,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,深振业Ａ,000006,323.32,329.42,331.32,317.61,403265,279512883.61,4.25,2.01,6.48,2.99
240,2025-01-23,深振业Ａ,000006,333.61,322.94,339.32,322.94,453150,322820712.3,4.98,-1.74,-5.71,3.36
239,2025-01-22,深振业Ａ,000006,331.32,328.65,340.85,326.75,559390,399372315.63,4.03,-6.0,-20.96,4.14
238,2025-01-21,深振业Ａ,000006,341.23,349.61,374.37,337.04,928768,724160016.61,10.8,1.1,3.81,6.88
237,2025-01-20,深振业Ａ,000006,323.7,345.8,345.8,316.08,400798,291054654.49,9.29,8.1,25.91,2.97
236,2025-01-17,深振业Ａ,000006,318.75,319.89,321.04,314.56,201220,136090931.24,2.01,-0.83,-2.67,1.49
235,2025-01-16,深振业Ａ,000006,319.51,322.56,327.51,319.51,212781,146433956.29,2.51,1.07,3.43,1.58
234,2025-01-15,深振业Ａ,000006,321.42,319.13,325.99,317.61,218676,149121520.13,2.6,-0.95,-3.05,1.62
233,2025-01-14,深振业Ａ,000006,313.42,322.18,322.94,312.27,218838,148318577.69,3.4,2.79,8.76,1.62
232,2025-01-13,深振业Ａ,000006,310.37,313.42,315.32,301.22,231849,151139934.67,4.45,-1.08,-3.42,1.72
231,2025-01-10,深振业Ａ,000006,325.23,316.84,329.8,316.46,245929,169348735.0,4.12,-2.12,-6.86,1.82
230,2025-01-09,深振业Ａ,000006,322.94,323.7,327.13,320.27,209081,144172288.31,2.1,-0.7,-2.29,1.55
229,2025-01-08,深振业Ａ,000006,319.89,325.99,329.42,315.32,366921,253004649.76,4.38,1.3,4.19,2.72
228,2025-01-07,深振业Ａ,000006,316.84,321.8,322.18,314.56,236842,160237518.36,2.41,1.81,5.72,1.75
227,2025-01-06,深振业Ａ,000006,319.13,316.08,323.7,308.46,321402,216461997.02,4.7,-2.47,-8.0,2.38
226,2025-01-03,深振业Ａ,000006,338.94,324.08,344.66,322.18,392405,275530026.87,6.67,-3.85,-12.96,2.91
225,2025-01-02,深振业Ａ,000006,336.27,337.04,347.32,334.37,307195,225252942.3,3.81,-0.78,-2.66,2.28
224,2024-12-31,深振业Ａ,000006,345.8,339.7,349.61,339.7,299388,222278567.0,2.87,-1.76,-6.1,2.22
223,2024-12-30,深振业Ａ,000006,351.51,345.8,355.7,335.89,658624,484503473.29,5.41,-5.61,-20.57,4.88
222,2024-12-27,深振业Ａ,000006,354.94,366.37,369.8,354.18,332234,264969926.79,4.39,3.0,10.67,2.46
221,2024-12-26,深振业Ａ,000006,354.94,355.7,359.89,347.7,265324,203982933.52,3.43,0.11,0.38,1.97
220,2024-12-25,深振业Ａ,000006,375.13,355.32,375.89,348.85,400717,311517826.88,7.22,-5.18,-19.43,2.97
219,2024-12-24,深振业Ａ,000006,375.89,374.75,383.13,370.56,244494,201713469.17,3.35,-0.2,-0.76,1.81
218,2024-12-23,深振业Ａ,000006,392.28,375.51,396.09,375.13,398411,336372905.3,5.23,-6.28,-25.15,2.95
217,2024-12-20,深振业Ａ,000006,401.8,400.66,406.37,397.61,304132,271494824.69,2.18,-0.28,-1.14,2.25
216,2024-12-19,深振业Ａ,000006,388.47,401.8,403.71,387.32,369652,324818097.17,4.17,2.33,9.14,2.74
215,2024-12-18,深振业Ａ,000006,380.47,392.66,404.85,377.04,486242,424024866.64,7.33,3.52,13.34,3.6
214,2024-12-17,深振业Ａ,000006,386.18,379.32,392.66,378.94,289112,244957027.26,3.55,-1.97,-7.62,2.14
213,2024-12-16,深振业Ａ,000006,395.71,386.94,395.71,385.8,388235,335901566.81,2.47,-3.7,-14.86,2.88
212,2024-12-13,深振业Ａ,000006,411.32,401.8,415.9,401.42,400345,362840602.24,3.52,-2.31,-9.52,2.97
211,2024-12-12,深振业Ａ,000006,403.71,411.32,413.23,400.66,387445,351984835.02,3.08,0.74,3.04,2.87
210,2024-12-11,深振业Ａ,000006,402.94,408.28,413.23,398.75,414369,377783227.0,3.59,1.23,4.96,3.07
