,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,深圳能源,000027,99.54,99.42,99.89,99.07,106479,65135774.3,0.82,0.0,0.0,0.22
240,2025-01-23,深圳能源,000027,100.25,99.42,101.07,99.42,134366,83015942.64,1.66,-0.12,-0.12,0.28
239,2025-01-22,深圳能源,000027,99.78,99.54,99.89,98.83,65698,40078692.26,1.06,-0.24,-0.24,0.14
238,2025-01-21,深圳能源,000027,100.25,99.78,100.36,99.42,63052,38697644.13,0.94,-0.23,-0.23,0.13
237,2025-01-20,深圳能源,000027,100.36,100.01,100.72,99.89,70917,43843155.17,0.83,0.0,0.0,0.15
236,2025-01-17,深圳能源,000027,100.01,100.01,100.25,99.54,65197,40154770.18,0.71,0.0,0.0,0.14
235,2025-01-16,深圳能源,000027,100.13,100.01,100.72,99.78,104140,64343084.0,0.94,0.23,0.23,0.22
234,2025-01-15,深圳能源,000027,100.25,99.78,100.6,99.66,94412,58096225.22,0.94,-0.35,-0.35,0.2
233,2025-01-14,深圳能源,000027,98.36,100.13,100.25,98.01,138838,84848733.3,2.28,1.8,1.77,0.29
232,2025-01-13,深圳能源,000027,97.78,98.36,98.36,97.54,99131,59369544.56,0.83,0.11,0.11,0.21
231,2025-01-10,深圳能源,000027,98.95,98.25,99.3,98.01,115730,70099838.4,1.3,-0.71,-0.7,0.24
230,2025-01-09,深圳能源,000027,99.3,98.95,99.42,98.72,93918,57099328.45,0.7,-0.59,-0.59,0.2
229,2025-01-08,深圳能源,000027,100.13,99.54,100.25,98.36,173423,105803050.36,1.88,-0.82,-0.82,0.36
228,2025-01-07,深圳能源,000027,100.83,100.36,100.83,99.66,116214,71737200.4,1.16,-0.47,-0.47,0.24
227,2025-01-06,深圳能源,000027,100.95,100.83,101.19,100.25,118431,73611681.04,0.93,-0.12,-0.12,0.25
226,2025-01-03,深圳能源,000027,101.54,100.95,102.36,100.6,163688,102772209.06,1.74,-0.46,-0.47,0.34
225,2025-01-02,深圳能源,000027,103.54,101.42,103.78,101.07,263295,167731259.64,2.61,-2.27,-2.36,0.55
224,2024-12-31,深圳能源,000027,104.95,103.78,106.25,103.54,329396,215973455.27,2.57,-1.44,-1.52,0.69
223,2024-12-30,深圳能源,000027,106.6,105.3,107.42,104.95,487777,325860904.11,2.36,0.45,0.47,1.03
222,2024-12-27,深圳能源,000027,104.13,104.83,104.95,103.78,173470,113565452.76,1.12,0.67,0.7,0.36
221,2024-12-26,深圳能源,000027,104.72,104.13,104.95,104.01,113549,74083101.62,0.9,-0.67,-0.7,0.24
220,2024-12-25,深圳能源,000027,104.83,104.83,105.19,104.13,119529,78231726.68,1.01,0.0,0.0,0.25
219,2024-12-24,深圳能源,000027,103.66,104.83,104.83,103.54,156572,102334012.54,1.25,1.25,1.29,0.33
218,2024-12-23,深圳能源,000027,104.01,103.54,104.6,103.54,146657,95378015.51,1.02,-0.45,-0.47,0.31
217,2024-12-20,深圳能源,000027,104.6,104.01,104.95,103.89,146277,95261549.68,1.01,-0.56,-0.59,0.31
216,2024-12-19,深圳能源,000027,105.07,104.6,105.19,103.66,207179,135274826.93,1.45,-0.66,-0.7,0.44
215,2024-12-18,深圳能源,000027,105.07,105.3,106.83,105.07,267766,178705350.29,1.68,0.33,0.35,0.56
214,2024-12-17,深圳能源,000027,105.19,104.95,105.54,104.36,156197,102806495.22,1.12,-0.23,-0.24,0.33
213,2024-12-16,深圳能源,000027,104.72,105.19,105.78,104.6,153922,101707447.79,1.13,0.45,0.47,0.32
212,2024-12-13,深圳能源,000027,106.48,104.72,106.6,104.72,275851,182350377.08,1.76,-1.76,-1.88,0.58
211,2024-12-12,深圳能源,000027,106.25,106.6,106.72,105.78,172436,115463924.02,0.88,0.33,0.35,0.36
210,2024-12-11,深圳能源,000027,105.89,106.25,106.6,105.66,153340,102474558.34,0.89,0.34,0.36,0.32
209,2024-12-10,深圳能源,000027,107.89,105.89,107.89,105.66,275448,185242730.64,2.1,-0.34,-0.36,0.58
208,2024-12-09,深圳能源,000027,106.6,106.25,107.07,105.78,182961,122755210.4,1.21,-0.33,-0.35,0.38
207,2024-12-06,深圳能源,000027,105.54,106.6,106.95,105.54,287199,192384066.94,1.33,0.89,0.94,0.6
206,2024-12-05,深圳能源,000027,105.54,105.66,105.78,105.19,124677,82614581.42,0.56,0.11,0.12,0.26
205,2024-12-04,深圳能源,000027,105.78,105.54,106.01,105.19,175550,116532634.0,0.77,-0.67,-0.71,0.37
204,2024-12-03,深圳能源,000027,106.36,106.25,106.36,105.42,207237,138061095.66,0.89,0.23,0.24,0.44
203,2024-12-02,深圳能源,000027,105.3,106.01,106.25,105.07,188256,125198522.53,1.12,0.56,0.59,0.4
202,2024-11-29,深圳能源,000027,105.3,105.42,105.78,104.6,230038,151971653.2,1.12,-0.11,-0.12,0.48
201,2024-11-28,深圳能源,000027,104.48,105.54,106.36,104.36,282860,187954957.65,1.92,1.24,1.29,0.59
200,2024-11-27,深圳能源,000027,102.95,104.25,104.25,102.13,186411,119869308.61,2.05,0.69,0.71,0.39
199,2024-11-26,深圳能源,000027,104.13,103.54,104.36,103.19,143284,92740626.45,1.12,-0.57,-0.59,0.3
198,2024-11-25,深圳能源,000027,104.36,104.13,104.48,103.19,196747,127683816.01,1.24,-0.12,-0.12,0.41
197,2024-11-22,深圳能源,000027,106.72,104.25,107.19,104.25,284949,189299056.87,2.75,-2.42,-2.58,0.6
196,2024-11-21,深圳能源,000027,107.42,106.83,107.89,106.36,192833,129837346.44,1.42,-0.55,-0.59,0.41
195,2024-11-20,深圳能源,000027,107.3,107.42,107.54,106.36,231921,156668450.34,1.1,-0.11,-0.12,0.49
194,2024-11-19,深圳能源,000027,108.01,107.54,108.48,106.25,360413,243599311.24,2.06,-0.44,-0.47,0.76
193,2024-11-18,深圳能源,000027,105.89,108.01,108.95,105.89,532700,364386503.83,2.9,2.46,2.59,1.12
192,2024-11-15,深圳能源,000027,106.48,105.42,106.95,105.3,250812,167625649.56,1.54,-1.32,-1.41,0.53
191,2024-11-14,深圳能源,000027,108.36,106.83,108.6,106.48,259281,176030551.74,1.95,-1.52,-1.65,0.55
190,2024-11-13,深圳能源,000027,108.6,108.48,109.42,107.54,283560,194708078.88,1.72,-0.54,-0.59,0.6
189,2024-11-12,深圳能源,000027,108.48,109.07,110.01,108.25,477942,331379853.93,1.62,0.54,0.59,1.0
188,2024-11-11,深圳能源,000027,108.48,108.48,109.07,107.3,370953,253708490.61,1.64,0.21,0.23,0.78
187,2024-11-08,深圳能源,000027,109.78,108.25,111.42,107.78,587404,409449529.24,3.34,-0.75,-0.82,1.23
186,2024-11-07,深圳能源,000027,105.89,109.07,109.07,105.78,511319,349636063.32,3.09,2.32,2.47,1.07
185,2024-11-06,深圳能源,000027,107.3,106.6,107.78,106.36,397652,268549869.18,1.33,-0.44,-0.47,0.84
184,2024-11-05,深圳能源,000027,105.89,107.07,107.19,105.42,389568,261999693.46,1.67,1.0,1.06,0.82
183,2024-11-04,深圳能源,000027,105.54,106.01,106.01,105.42,236483,157165711.81,0.56,0.33,0.35,0.5
182,2024-11-01,深圳能源,000027,105.89,105.66,106.6,104.83,371866,247317948.47,1.67,-0.33,-0.35,0.78
181,2024-10-31,深圳能源,000027,107.19,106.01,107.89,105.54,546625,365935312.46,2.19,-1.42,-1.53,1.15
180,2024-10-30,深圳能源,000027,106.95,107.54,108.01,106.6,310153,210442641.63,1.31,0.22,0.24,0.65
179,2024-10-29,深圳能源,000027,109.42,107.3,110.13,107.07,451894,310022582.04,2.8,-1.94,-2.12,0.95
178,2024-10-28,深圳能源,000027,111.07,109.42,111.54,108.25,668775,464754845.58,2.99,-0.64,-0.71,1.41
177,2024-10-25,深圳能源,000027,107.78,110.13,110.6,107.3,781238,539518875.83,3.11,3.77,4.0,1.64
176,2024-10-24,深圳能源,000027,106.36,106.13,106.6,105.66,194341,129592801.53,0.88,-0.44,-0.47,0.41
175,2024-10-23,深圳能源,000027,106.72,106.6,107.42,106.13,341774,229966047.02,1.21,-0.11,-0.12,0.72
174,2024-10-22,深圳能源,000027,105.42,106.72,106.72,104.95,302919,201705847.6,1.68,1.23,1.3,0.64
173,2024-10-21,深圳能源,000027,105.66,105.42,106.25,104.83,346632,229568735.33,1.35,0.0,0.0,0.73
172,2024-10-18,深圳能源,000027,103.89,105.42,106.95,102.6,493629,324207794.37,4.19,1.47,1.53,1.04
171,2024-10-17,深圳能源,000027,105.07,103.89,105.89,103.78,281930,185238326.29,2.01,-0.79,-0.83,0.59
170,2024-10-16,深圳能源,000027,104.01,104.72,106.01,103.3,304381,199822428.35,2.58,-0.22,-0.23,0.64
