,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,华联控股,000036,38.04,37.58,38.36,37.52,144144,57658546.5,2.22,-0.87,-0.33,0.97
239,2025-01-24,华联控股,000036,38.56,37.91,38.88,37.71,259120,104259375.89,3.03,-1.84,-0.71,1.75
238,2025-01-23,华联控股,000036,37.84,38.62,38.81,37.78,270358,110450105.4,2.74,2.77,1.04,1.83
237,2025-01-22,华联控股,000036,37.84,37.58,37.91,37.26,153104,60297316.2,1.72,-0.69,-0.26,1.03
236,2025-01-21,华联控股,000036,39.07,37.84,39.07,37.65,237140,95782471.3,3.65,-2.67,-1.04,1.6
235,2025-01-20,华联控股,000036,38.94,38.88,39.33,38.43,178033,74102913.06,2.33,0.67,0.26,1.2
234,2025-01-17,华联控股,000036,38.3,38.62,38.94,38.04,150875,61919920.7,2.34,0.34,0.13,1.02
233,2025-01-16,华联控股,000036,37.71,38.49,39.07,37.65,210135,85940081.1,3.76,1.88,0.71,1.42
232,2025-01-15,华联控股,000036,37.78,37.78,38.1,37.0,182931,72119355.4,2.89,-0.68,-0.26,1.24
231,2025-01-14,华联控股,000036,36.35,38.04,38.1,36.29,243986,95713147.79,4.99,4.82,1.75,1.65
230,2025-01-13,华联控股,000036,35.96,36.29,36.42,35.25,120128,44421067.4,3.24,0.55,0.2,0.81
229,2025-01-10,华联控股,000036,36.81,36.09,37.0,36.03,140940,53219102.56,2.64,-1.96,-0.72,0.95
228,2025-01-09,华联控股,000036,36.35,36.81,37.07,36.16,173776,66081447.0,2.49,0.9,0.33,1.17
227,2025-01-08,华联控股,000036,36.87,36.48,37.13,35.64,199562,74803410.33,4.04,-1.06,-0.39,1.35
226,2025-01-07,华联控股,000036,36.35,36.87,36.87,36.09,158777,60233860.6,2.15,1.6,0.58,1.07
225,2025-01-06,华联控股,000036,36.48,36.29,36.74,35.64,173923,65026990.8,3.02,-0.52,-0.19,1.17
224,2025-01-03,华联控股,000036,37.91,36.48,38.04,36.35,328000,126375137.52,4.5,-2.93,-1.1,2.22
223,2025-01-02,华联控股,000036,38.43,37.58,38.68,37.39,234203,94423853.2,3.36,-2.21,-0.85,1.58
222,2024-12-31,华联控股,000036,38.94,38.43,39.27,38.3,141415,58223008.29,2.49,-1.31,-0.51,0.96
221,2024-12-30,华联控股,000036,39.14,38.94,39.2,38.3,106276,43837309.1,2.31,0.0,0.0,0.72
220,2024-12-27,华联控股,000036,38.88,38.94,39.53,38.75,147900,62181534.4,2.01,0.15,0.06,1.0
219,2024-12-26,华联控股,000036,38.88,38.88,39.07,38.49,138279,57191437.7,1.5,0.67,0.26,0.93
218,2024-12-25,华联控股,000036,39.66,38.62,39.66,38.1,219382,90195152.54,3.95,-2.3,-0.91,1.48
217,2024-12-24,华联控股,000036,39.91,39.53,40.11,39.2,208844,88815343.1,2.28,-0.8,-0.32,1.41
