,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,深圳华强,000062,145.81,147.59,148.16,145.23,98640,208135935.53,2.01,1.09,1.59,0.94
240,2025-01-23,深圳华强,000062,148.1,146.0,151.03,146.0,132358,281989873.45,3.42,-0.77,-1.14,1.27
239,2025-01-22,深圳华强,000062,148.8,147.14,148.86,146.51,89577,189271511.6,1.58,-1.37,-2.04,0.86
238,2025-01-21,深圳华强,000062,151.35,149.18,151.67,147.97,91536,196042127.7,2.45,-1.1,-1.66,0.88
237,2025-01-20,深圳华强,000062,150.08,150.84,151.73,149.25,126018,272658951.76,1.66,0.81,1.21,1.21
236,2025-01-17,深圳华强,000062,149.06,149.63,150.9,147.97,102277,219000661.45,1.96,0.04,0.06,0.98
235,2025-01-16,深圳华强,000062,150.39,149.57,152.88,147.85,132817,286346840.2,3.37,0.17,0.26,1.27
234,2025-01-15,深圳华强,000062,150.2,149.31,152.05,149.12,150425,324526634.35,1.94,-0.93,-1.4,1.44
233,2025-01-14,深圳华强,000062,143.7,150.71,151.29,142.88,215719,458661252.5,5.89,5.48,7.83,2.07
232,2025-01-13,深圳华强,000062,141.47,142.88,143.51,139.94,92809,188170392.3,2.49,-0.31,-0.44,0.89
231,2025-01-10,深圳华强,000062,146.7,143.32,148.16,143.26,116152,242796001.0,3.34,-2.43,-3.57,1.11
230,2025-01-09,深圳华强,000062,146.25,146.89,149.12,145.62,123949,261378174.16,2.39,0.44,0.64,1.19
229,2025-01-08,深圳华强,000062,146.89,146.25,146.95,141.67,131447,272681292.25,3.61,-0.09,-0.13,1.26
228,2025-01-07,深圳华强,000062,143.9,146.38,146.38,143.83,129305,269203266.45,1.77,1.72,2.48,1.24
227,2025-01-06,深圳华强,000062,144.09,143.9,145.62,142.05,148648,305590877.25,2.46,-0.66,-0.95,1.42
226,2025-01-03,深圳华强,000062,152.31,144.85,153.07,144.53,187020,395929651.85,5.6,-4.97,-7.58,1.79
225,2025-01-02,深圳华强,000062,155.49,152.43,156.19,149.82,151594,334334462.0,4.09,-2.05,-3.19,1.45
224,2024-12-31,深圳华强,000062,161.22,155.62,161.48,155.62,131950,300759851.96,3.64,-3.21,-5.16,1.26
223,2024-12-30,深圳华强,000062,160.91,160.78,162.31,158.74,106812,247999760.7,2.22,-0.12,-0.19,1.02
222,2024-12-27,深圳华强,000062,161.29,160.97,163.14,160.01,150471,351840508.83,1.94,-0.2,-0.32,1.44
221,2024-12-26,深圳华强,000062,159.76,161.29,161.99,159.76,110889,257914350.84,1.39,0.55,0.89,1.06
220,2024-12-25,深圳华强,000062,162.95,160.4,164.79,159.57,133600,311819567.48,3.2,-1.72,-2.8,1.28
219,2024-12-24,深圳华强,000062,163.65,163.2,164.28,160.4,171681,402101588.09,2.37,-0.31,-0.51,1.64
218,2024-12-23,深圳华强,000062,169.0,163.71,169.25,162.88,185912,445600121.5,3.76,-3.35,-5.67,1.78
217,2024-12-20,深圳华强,000062,168.42,169.38,171.36,167.28,148894,366198808.21,2.42,0.57,0.96,1.43
216,2024-12-19,深圳华强,000062,167.72,168.42,169.32,166.9,127202,309901239.13,1.43,-0.53,-0.9,1.22
215,2024-12-18,深圳华强,000062,166.77,169.32,169.89,165.75,158522,387284295.52,2.48,1.53,2.55,1.52
214,2024-12-17,深圳华强,000062,169.44,166.77,171.99,166.51,183873,450217365.85,3.23,-1.58,-2.67,1.76
213,2024-12-16,深圳华强,000062,172.5,169.44,173.39,168.3,181708,449219458.92,2.95,-1.88,-3.25,1.74
212,2024-12-13,深圳华强,000062,177.15,172.69,177.15,172.44,205566,520483615.4,2.65,-2.97,-5.29,1.97
211,2024-12-12,深圳华强,000062,177.79,177.98,178.55,175.37,189265,488171754.18,1.78,-0.18,-0.32,1.81
210,2024-12-11,深圳华强,000062,177.22,178.3,179.06,176.58,166082,429842690.65,1.39,0.14,0.25,1.59
209,2024-12-10,深圳华强,000062,183.01,178.05,183.27,177.73,213316,561371843.6,3.11,-0.17,-0.31,2.04
208,2024-12-09,深圳华强,000062,180.98,178.36,181.61,176.9,188336,490195417.28,2.59,-1.79,-3.25,1.8
207,2024-12-06,深圳华强,000062,180.85,181.61,182.95,179.06,196743,519452437.12,2.15,0.42,0.76,1.88
206,2024-12-05,深圳华强,000062,181.49,180.85,182.63,180.34,173441,458330256.01,1.26,-0.35,-0.64,1.66
205,2024-12-04,深圳华强,000062,187.86,181.49,187.86,181.1,227236,614665491.15,3.64,-2.4,-4.46,2.18
204,2024-12-03,深圳华强,000062,184.61,185.95,188.56,182.7,340677,933157310.17,3.19,1.08,1.98,3.26
203,2024-12-02,深圳华强,000062,181.49,183.97,184.61,180.28,258073,694256103.56,2.4,2.01,3.63,2.47
202,2024-11-29,深圳华强,000062,179.19,180.34,182.51,175.69,288744,761370273.8,3.77,-0.24,-0.44,2.76
201,2024-11-28,深圳华强,000062,184.29,180.78,185.18,180.66,216245,582829335.92,2.47,-1.01,-1.85,2.07
200,2024-11-27,深圳华强,000062,179.7,182.63,183.01,174.6,271645,713041585.85,4.64,0.74,1.34,2.6
199,2024-11-26,深圳华强,000062,182.7,181.29,185.5,180.98,202170,544235620.21,2.47,-0.73,-1.34,1.94
198,2024-11-25,深圳华强,000062,184.29,182.63,185.56,178.11,289875,773489973.79,4.01,-1.79,-3.32,2.78
197,2024-11-22,深圳华强,000062,193.85,185.95,194.23,185.56,371021,1041870312.49,4.42,-5.17,-10.13,3.55
196,2024-11-21,深圳华强,000062,192.95,196.08,199.84,192.32,360310,1047923092.8,3.87,0.92,1.79,3.45
195,2024-11-20,深圳华强,000062,190.98,194.29,194.55,188.94,316809,901528693.48,2.94,1.73,3.31,3.03
