,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,深圳机场,000089,52.3,52.75,53.02,52.23,101700,71925382.94,1.51,0.86,0.45,0.5
239,2025-01-24,深圳机场,000089,52.43,52.3,52.69,52.1,98577,69029883.1,1.13,-0.25,-0.13,0.48
238,2025-01-23,深圳机场,000089,52.49,52.43,53.21,52.36,136563,96662966.81,1.62,0.0,0.0,0.67
237,2025-01-22,深圳机场,000089,51.51,52.43,52.56,50.86,178368,123683103.93,3.3,1.79,0.92,0.87
236,2025-01-21,深圳机场,000089,52.56,51.51,52.62,51.38,161562,111661615.91,2.36,-2.11,-1.11,0.79
235,2025-01-20,深圳机场,000089,52.04,52.62,52.82,51.71,187632,131178328.77,2.14,1.25,0.65,0.91
234,2025-01-17,深圳机场,000089,51.12,51.97,52.17,50.99,120126,83095428.04,2.31,1.78,0.91,0.59
233,2025-01-16,深圳机场,000089,51.45,51.06,52.17,50.99,107245,73819667.46,2.29,-0.76,-0.39,0.52
232,2025-01-15,深圳机场,000089,51.38,51.45,51.51,50.92,103193,70592281.57,1.15,0.39,0.2,0.5
231,2025-01-14,深圳机场,000089,49.42,51.25,51.58,49.36,150534,101424418.0,4.49,3.56,1.76,0.73
230,2025-01-13,深圳机场,000089,49.62,49.49,49.81,49.23,86528,56817285.0,1.17,-0.38,-0.19,0.42
229,2025-01-10,深圳机场,000089,49.68,49.68,50.27,49.62,88877,59072395.0,1.31,0.0,0.0,0.43
228,2025-01-09,深圳机场,000089,50.08,49.68,50.08,49.49,88966,58908418.52,1.18,-0.92,-0.46,0.43
227,2025-01-08,深圳机场,000089,50.21,50.14,50.27,49.49,92025,61079478.31,1.56,0.12,0.06,0.45
226,2025-01-07,深圳机场,000089,50.47,50.08,50.53,49.75,98100,65405174.0,1.55,-0.63,-0.32,0.48
225,2025-01-06,深圳机场,000089,50.34,50.4,50.6,50.08,95555,64001174.0,1.03,0.12,0.06,0.47
224,2025-01-03,深圳机场,000089,50.66,50.34,51.06,50.21,132595,89400311.74,1.68,-0.51,-0.26,0.65
223,2025-01-02,深圳机场,000089,51.64,50.6,51.97,50.4,162810,111015351.99,3.04,-1.9,-0.98,0.79
222,2024-12-31,深圳机场,000089,52.36,51.58,52.49,51.58,122866,85507207.0,1.74,-1.62,-0.85,0.6
221,2024-12-30,深圳机场,000089,52.82,52.43,52.88,52.17,101040,70964175.22,1.35,-0.61,-0.32,0.49
220,2024-12-27,深圳机场,000089,51.97,52.75,52.88,51.84,154476,108590334.01,2.0,1.64,0.85,0.75
219,2024-12-26,深圳机场,000089,52.3,51.9,52.43,51.9,90936,63324420.26,1.01,-0.88,-0.46,0.44
218,2024-12-25,深圳机场,000089,52.56,52.36,52.62,51.97,85876,59912045.88,1.24,-0.25,-0.13,0.42
217,2024-12-24,深圳机场,000089,51.84,52.49,52.62,51.64,118144,82579100.87,1.9,1.65,0.85,0.58
216,2024-12-23,深圳机场,000089,51.71,51.64,52.04,51.64,95569,66196034.21,0.77,0.0,0.0,0.47
215,2024-12-20,深圳机场,000089,51.84,51.64,52.1,51.58,74451,51570209.95,1.0,-0.77,-0.4,0.36
214,2024-12-19,深圳机场,000089,51.97,52.04,52.1,51.38,100592,69500298.0,1.38,-0.25,-0.13,0.49
213,2024-12-18,深圳机场,000089,52.36,52.17,52.69,52.1,97620,68489521.0,1.13,-0.11,-0.06,0.48
212,2024-12-17,深圳机场,000089,52.56,52.23,52.69,51.97,132492,92779755.0,1.38,-0.25,-0.13,0.65
211,2024-12-16,深圳机场,000089,52.17,52.36,52.88,52.17,144247,101326186.0,1.36,0.0,0.0,0.7
210,2024-12-13,深圳机场,000089,53.41,52.36,53.54,52.17,321349,226619787.32,2.56,-2.2,-1.18,1.57
209,2024-12-12,深圳机场,000089,53.41,53.54,53.67,53.15,134529,96671175.0,0.97,0.37,0.2,0.66
208,2024-12-11,深圳机场,000089,53.21,53.34,53.73,53.15,112938,81000749.47,1.09,0.11,0.06,0.55
207,2024-12-10,深圳机场,000089,54.19,53.28,54.26,53.15,159721,115158665.97,2.08,-0.11,-0.06,0.78
206,2024-12-09,深圳机场,000089,53.67,53.34,53.8,53.08,88789,63725145.65,1.34,-0.37,-0.2,0.43
205,2024-12-06,深圳机场,000089,53.02,53.54,53.67,53.02,93930,67358361.6,1.22,0.87,0.46,0.46
204,2024-12-05,深圳机场,000089,52.82,53.08,53.21,52.75,65116,46312202.0,0.87,0.38,0.2,0.32
203,2024-12-04,深圳机场,000089,53.15,52.88,53.41,52.82,75938,54068792.8,1.1,-1.1,-0.59,0.37
202,2024-12-03,深圳机场,000089,53.54,53.47,53.6,52.95,97028,69419477.15,1.21,-0.13,-0.07,0.47
201,2024-12-02,深圳机场,000089,52.82,53.54,53.73,52.75,170311,122044777.89,1.86,1.75,0.92,0.83
200,2024-11-29,深圳机场,000089,52.62,52.62,52.88,52.43,112558,79377048.05,0.86,0.11,0.06,0.55
199,2024-11-28,深圳机场,000089,52.1,52.56,52.62,51.97,117426,82409254.64,1.25,0.88,0.46,0.57
198,2024-11-27,深圳机场,000089,51.51,52.1,52.1,51.06,84243,57989694.49,2.01,0.89,0.46,0.41
197,2024-11-26,深圳机场,000089,51.38,51.64,52.17,51.38,100540,69648577.7,1.54,0.51,0.26,0.49
196,2024-11-25,深圳机场,000089,51.51,51.38,52.17,51.06,109750,75578855.25,2.16,0.0,0.0,0.54
195,2024-11-22,深圳机场,000089,52.56,51.38,52.75,51.32,118100,82302419.72,2.72,-2.36,-1.24,0.58
194,2024-11-21,深圳机场,000089,52.75,52.62,52.82,52.49,65364,46086185.34,0.62,-0.38,-0.2,0.32
193,2024-11-20,深圳机场,000089,52.69,52.82,52.88,52.49,108494,76689667.63,0.74,0.13,0.07,0.53
192,2024-11-19,深圳机场,000089,52.95,52.75,53.02,52.23,98759,69696373.0,1.5,-0.13,-0.07,0.48
191,2024-11-18,深圳机场,000089,52.56,52.82,53.34,52.36,144458,102556474.0,1.87,0.99,0.52,0.7
190,2024-11-15,深圳机场,000089,52.62,52.3,53.02,52.3,103489,73000248.0,1.37,-0.61,-0.32,0.5
189,2024-11-14,深圳机场,000089,53.41,52.62,53.47,52.56,113460,80496525.4,1.71,-1.24,-0.66,0.55
188,2024-11-13,深圳机场,000089,53.41,53.28,53.67,53.02,81172,58063989.94,1.22,-0.36,-0.19,0.4
187,2024-11-12,深圳机场,000089,53.6,53.47,54.13,53.21,133695,96444469.46,1.72,-0.24,-0.13,0.65
186,2024-11-11,深圳机场,000089,53.86,53.6,53.93,53.02,181924,130507093.47,1.68,-0.98,-0.53,0.89
185,2024-11-08,深圳机场,000089,54.65,54.13,55.04,53.86,238544,173910550.65,2.16,-0.72,-0.39,1.16
184,2024-11-07,深圳机场,000089,53.6,54.52,54.71,53.34,180316,131261509.68,2.55,1.34,0.72,0.88
183,2024-11-06,深圳机场,000089,54.65,53.8,54.91,53.6,223371,162259983.23,2.4,-1.56,-0.85,1.09
182,2024-11-05,深圳机场,000089,53.28,54.65,55.04,53.08,413304,301906021.95,3.68,2.71,1.44,2.02
181,2024-11-04,深圳机场,000089,52.17,53.21,53.28,52.17,275018,193888295.52,2.13,1.99,1.04,1.34
180,2024-11-01,深圳机场,000089,51.77,52.17,52.43,51.51,228337,158955686.98,1.77,0.38,0.2,1.11
179,2024-10-31,深圳机场,000089,51.84,51.97,52.23,51.77,127895,88928910.06,0.88,-0.13,-0.07,0.62
178,2024-10-30,深圳机场,000089,51.64,52.04,52.17,51.58,106221,73702219.5,1.14,0.64,0.33,0.52
177,2024-10-29,深圳机场,000089,52.43,51.71,52.49,51.71,158032,109930544.25,1.49,-1.49,-0.78,0.77
176,2024-10-28,深圳机场,000089,52.17,52.49,52.49,51.97,181736,126967696.52,1.0,0.61,0.32,0.89
175,2024-10-25,深圳机场,000089,52.3,52.17,52.75,51.97,178994,125247194.0,1.5,0.13,0.07,0.87
174,2024-10-24,深圳机场,000089,51.97,52.1,52.3,51.77,89141,61980885.0,1.01,-0.25,-0.13,0.43
173,2024-10-23,深圳机场,000089,52.3,52.23,52.82,51.97,161539,113099773.79,1.64,0.5,0.26,0.79
172,2024-10-22,深圳机场,000089,51.32,51.97,52.1,51.25,160146,110660133.44,1.66,1.4,0.72,0.78
171,2024-10-21,深圳机场,000089,51.06,51.25,51.77,50.79,174633,119511927.78,1.92,0.51,0.26,0.85
170,2024-10-18,深圳机场,000089,50.4,50.99,51.45,50.14,202369,136894421.96,2.6,1.17,0.59,0.99
169,2024-10-17,深圳机场,000089,51.19,50.4,51.19,50.4,112876,76374244.6,1.55,-1.29,-0.66,0.55
168,2024-10-16,深圳机场,000089,50.4,51.06,51.32,50.27,125798,85570951.12,2.07,0.65,0.33,0.61
167,2024-10-15,深圳机场,000089,51.32,50.73,51.58,50.73,122503,83594303.3,1.65,-1.51,-0.78,0.6
166,2024-10-14,深圳机场,000089,51.32,51.51,51.58,50.86,156181,106863187.58,1.41,1.16,0.59,0.76
165,2024-10-11,深圳机场,000089,51.97,50.92,52.23,50.79,188995,129957239.39,2.77,-2.02,-1.05,0.92
164,2024-10-10,深圳机场,000089,51.84,51.97,52.75,51.45,285806,199538142.22,2.5,0.13,0.07,1.39
163,2024-10-09,深圳机场,000089,53.34,51.9,53.41,51.19,422661,295112950.13,4.16,-2.83,-1.51,2.06
162,2024-10-08,深圳机场,000089,57.0,53.41,57.39,51.38,748784,548945878.29,11.37,1.0,0.53,3.65
161,2024-09-30,深圳机场,000089,50.66,52.88,53.28,50.21,585331,404946864.26,6.19,6.57,3.26,2.85
160,2024-09-27,深圳机场,000089,48.31,49.62,50.21,48.25,313569,204426555.7,4.09,3.55,1.7,1.53
159,2024-09-26,深圳机场,000089,46.74,47.92,47.92,46.61,187542,116930202.03,2.8,2.37,1.11,0.91
158,2024-09-25,深圳机场,000089,47.07,46.81,47.53,46.74,167930,104330727.77,1.69,0.28,0.13,0.82
157,2024-09-24,深圳机场,000089,45.7,46.68,46.74,45.7,128678,78367197.13,2.28,2.3,1.05,0.63
156,2024-09-23,深圳机场,000089,45.76,45.63,45.9,45.63,48525,29096163.0,0.59,-0.15,-0.07,0.24
155,2024-09-20,深圳机场,000089,45.7,45.7,45.76,45.37,48416,28938554.0,0.85,0.0,0.0,0.24
154,2024-09-19,深圳机场,000089,45.31,45.7,45.96,45.31,74618,44665945.0,1.44,1.02,0.46,0.36
153,2024-09-18,深圳机场,000089,45.57,45.24,45.57,44.85,49581,29244784.36,1.58,-0.44,-0.2,0.24
152,2024-09-13,深圳机场,000089,45.63,45.44,45.76,45.37,35440,21127322.0,0.85,-0.42,-0.19,0.17
151,2024-09-12,深圳机场,000089,45.5,45.63,45.76,45.44,49304,29474155.0,0.7,0.42,0.19,0.24
150,2024-09-11,深圳机场,000089,45.76,45.44,45.76,45.31,60750,36175021.65,0.98,-0.85,-0.39,0.3
149,2024-09-10,深圳机场,000089,46.16,45.83,46.22,45.44,74674,44697677.0,1.69,-0.43,-0.2,0.36
148,2024-09-09,深圳机场,000089,46.42,46.03,46.42,45.9,55298,33458893.0,1.12,-0.84,-0.39,0.27
147,2024-09-06,深圳机场,000089,46.61,46.42,46.74,46.42,38969,23846894.0,0.69,-0.41,-0.19,0.19
146,2024-09-05,深圳机场,000089,46.61,46.61,46.68,46.42,43097,26354631.0,0.56,0.0,0.0,0.21
145,2024-09-04,深圳机场,000089,46.48,46.61,46.81,46.42,57833,35456819.0,0.84,0.0,0.0,0.28
144,2024-09-03,深圳机场,000089,46.35,46.61,46.81,46.35,55570,34057679.48,0.99,0.69,0.32,0.27
143,2024-09-02,深圳机场,000089,46.48,46.29,46.68,46.16,105763,64586881.7,1.11,-0.84,-0.39,0.52
142,2024-08-30,深圳机场,000089,46.16,46.68,46.88,46.03,114185,69906343.24,1.84,1.13,0.52,0.56
141,2024-08-29,深圳机场,000089,45.9,46.16,46.22,45.76,62204,37590643.0,1.0,0.44,0.2,0.3
140,2024-08-28,深圳机场,000089,46.16,45.96,46.35,45.83,98835,59702804.0,1.13,-0.56,-0.26,0.48
139,2024-08-27,深圳机场,000089,46.68,46.22,46.81,46.16,70579,42999725.07,1.39,-1.11,-0.52,0.34
138,2024-08-26,深圳机场,000089,46.55,46.74,46.88,46.42,65253,40076630.4,0.99,0.28,0.13,0.32
137,2024-08-23,深圳机场,000089,46.42,46.61,46.74,46.29,77516,47386534.38,0.97,0.41,0.19,0.38
136,2024-08-22,深圳机场,000089,46.81,46.42,46.94,46.35,98089,60102066.99,1.26,-0.83,-0.39,0.48
135,2024-08-21,深圳机场,000089,47.46,46.81,47.53,46.74,113195,70211920.0,1.66,-1.51,-0.72,0.55
134,2024-08-20,深圳机场,000089,48.31,47.53,48.31,47.27,159529,100198626.5,2.16,-1.49,-0.72,0.78
133,2024-08-19,深圳机场,000089,48.25,48.25,48.51,48.05,108886,69484459.72,0.95,-0.12,-0.06,0.53
132,2024-08-16,深圳机场,000089,49.1,48.31,49.16,48.12,236045,150991254.15,2.12,-1.73,-0.85,1.15
131,2024-08-15,深圳机场,000089,48.9,49.16,49.36,48.83,59223,38600298.5,1.08,0.53,0.26,0.29
130,2024-08-14,深圳机场,000089,49.1,48.9,49.29,48.9,72617,47235599.0,0.79,-0.41,-0.2,0.35
129,2024-08-13,深圳机场,000089,48.9,49.1,49.23,48.7,53693,34864097.0,1.08,0.41,0.2,0.26
128,2024-08-12,深圳机场,000089,49.03,48.9,49.29,48.77,61784,40101781.0,1.06,-0.67,-0.33,0.3
127,2024-08-09,深圳机场,000089,49.62,49.23,49.62,49.16,68583,44915582.0,0.93,-0.38,-0.19,0.33
126,2024-08-08,深圳机场,000089,49.23,49.42,49.75,49.16,82241,54044604.38,1.2,0.12,0.06,0.4
125,2024-08-07,深圳机场,000089,49.55,49.36,49.68,49.23,71865,47121381.0,0.91,-0.52,-0.26,0.35
124,2024-08-06,深圳机场,000089,49.88,49.62,50.21,49.23,97986,64665964.0,1.97,-0.38,-0.19,0.48
123,2024-08-05,深圳机场,000089,50.01,49.81,50.66,49.68,155156,103285746.0,1.97,0.0,0.0,0.76
122,2024-08-02,深圳机场,000089,49.88,49.81,50.27,49.62,116464,77307243.08,1.3,-0.4,-0.2,0.57
121,2024-08-01,深圳机场,000089,49.42,50.01,50.79,49.23,167974,111467045.29,3.16,1.19,0.59,0.82
120,2024-07-31,深圳机场,000089,48.44,49.42,49.68,48.44,126588,82589697.08,2.56,1.88,0.91,0.62
119,2024-07-30,深圳机场,000089,48.31,48.51,48.57,48.25,48373,30992153.06,0.66,0.14,0.07,0.24
118,2024-07-29,深圳机场,000089,48.57,48.44,48.7,48.31,74576,47836850.0,0.8,-0.41,-0.2,0.36
117,2024-07-26,深圳机场,000089,49.03,48.64,49.1,48.38,108591,69975092.0,1.47,-0.53,-0.26,0.53
116,2024-07-25,深圳机场,000089,48.83,48.9,49.23,48.7,65431,42463464.0,1.09,0.27,0.13,0.32
115,2024-07-24,深圳机场,000089,48.9,48.77,49.1,48.77,65827,42684220.0,0.67,-0.27,-0.13,0.32
114,2024-07-23,深圳机场,000089,49.49,48.9,49.68,48.9,77034,50446860.3,1.58,-1.19,-0.59,0.38
113,2024-07-22,深圳机场,000089,49.81,49.49,49.88,49.29,56272,37000723.0,1.18,-0.78,-0.39,0.27
112,2024-07-19,深圳机场,000089,49.55,49.88,49.88,49.49,86479,57081852.78,0.79,0.52,0.26,0.42
111,2024-07-18,深圳机场,000089,49.29,49.62,49.75,49.03,75081,49344442.07,1.45,0.26,0.13,0.37
110,2024-07-17,深圳机场,000089,49.42,49.49,49.75,49.23,76427,50206715.0,1.05,-0.12,-0.06,0.37
109,2024-07-16,深圳机场,000089,49.81,49.55,49.81,49.29,66298,43523205.0,1.05,-0.4,-0.2,0.32
108,2024-07-15,深圳机场,000089,49.62,49.75,50.01,49.36,78708,52054923.34,1.3,-0.4,-0.2,0.38
107,2024-07-12,深圳机场,000089,49.75,49.95,50.27,49.23,152934,101452509.07,2.09,0.4,0.2,0.75
106,2024-07-11,深圳机场,000089,49.03,49.75,49.88,48.97,151615,99536879.85,1.87,2.16,1.05,0.74
105,2024-07-10,深圳机场,000089,48.9,48.7,49.03,48.51,77586,50113559.16,1.06,-0.67,-0.33,0.38
104,2024-07-09,深圳机场,000089,48.12,49.03,49.16,47.92,158323,101930855.4,2.59,2.32,1.11,0.77
103,2024-07-08,深圳机场,000089,48.31,47.92,48.57,47.79,100014,63688008.88,1.61,-1.07,-0.52,0.49
102,2024-07-05,深圳机场,000089,48.25,48.44,48.57,48.12,65662,42002754.81,0.93,0.27,0.13,0.32
101,2024-07-04,深圳机场,000089,49.29,48.31,49.29,48.31,124915,80584458.64,1.99,-2.13,-1.05,0.61
100,2024-07-03,深圳机场,000089,49.23,49.36,49.75,49.03,108275,70942418.3,1.47,0.53,0.26,0.53
99,2024-07-02,深圳机场,000089,48.97,49.1,49.36,48.83,107891,70303592.85,1.08,-0.12,-0.06,0.53
98,2024-07-01,深圳机场,000089,48.57,49.16,49.23,48.51,163698,106363786.0,1.49,1.76,0.85,0.8
97,2024-06-28,深圳机场,000089,48.12,48.31,48.7,47.92,106645,68155520.0,1.63,0.96,0.46,0.52
96,2024-06-27,深圳机场,000089,47.99,47.85,48.18,47.66,73379,47190769.99,1.08,-0.56,-0.27,0.36
95,2024-06-26,深圳机场,000089,47.72,48.12,48.25,47.46,87402,56051636.37,1.65,0.56,0.27,0.43
94,2024-06-25,深圳机场,000089,47.46,47.85,48.18,47.46,85675,54958533.99,1.51,0.55,0.26,0.42
93,2024-06-24,深圳机场,000089,48.25,47.59,48.38,47.46,118716,76064912.98,1.9,-1.63,-0.79,0.58
92,2024-06-21,深圳机场,000089,48.31,48.38,48.77,48.25,80618,52505656.0,1.07,0.0,0.0,0.39
91,2024-06-20,深圳机场,000089,48.77,48.38,48.9,48.31,111359,72673715.73,1.21,-0.92,-0.45,0.54
90,2024-06-19,深圳机场,000089,49.23,48.83,49.36,48.7,126596,83351631.58,1.34,-0.81,-0.4,0.62
89,2024-06-18,深圳机场,000089,49.1,49.23,49.55,48.97,166388,110175794.94,1.18,0.14,0.07,0.81
88,2024-06-17,深圳机场,000089,50.08,49.16,50.21,48.57,266891,176479136.6,3.27,-2.09,-1.05,1.3
87,2024-06-14,深圳机场,000089,49.42,50.21,50.66,49.42,254320,172074979.23,2.5,1.33,0.66,1.24
86,2024-06-13,深圳机场,000089,49.95,49.55,50.08,49.42,160043,107011033.4,1.32,-0.8,-0.4,0.78
85,2024-06-12,深圳机场,000089,50.01,49.95,50.27,49.88,94932,64066090.0,0.78,-0.26,-0.13,0.46
84,2024-06-11,深圳机场,000089,50.6,50.08,50.66,49.75,118352,80055703.27,1.8,-1.03,-0.52,0.58
83,2024-06-07,深圳机场,000089,50.08,50.6,50.66,49.75,107202,72629991.41,1.82,1.3,0.65,0.52
82,2024-06-06,深圳机场,000089,50.73,49.95,50.86,49.68,180172,121800816.1,2.33,-1.4,-0.71,0.88
81,2024-06-05,深圳机场,000089,51.19,50.66,51.51,50.53,112490,77694959.91,1.91,-1.29,-0.66,0.55
80,2024-06-04,深圳机场,000089,50.08,51.32,51.38,50.08,172003,118061785.07,2.58,1.83,0.92,0.84
79,2024-06-03,深圳机场,000089,50.53,50.4,50.86,50.01,191856,130402570.93,1.67,-0.77,-0.39,0.94
78,2024-05-31,深圳机场,000089,50.86,50.79,51.25,50.66,106960,73661929.64,1.16,-0.26,-0.13,0.52
77,2024-05-30,深圳机场,000089,51.19,50.92,51.51,50.73,163816,113003874.0,1.51,-1.15,-0.59,0.8
76,2024-05-29,深圳机场,000089,51.77,51.51,52.1,51.32,163414,114280714.5,1.5,-0.89,-0.46,0.8
75,2024-05-28,深圳机场,000089,52.43,51.97,52.62,51.84,132813,94033003.6,1.49,-0.99,-0.52,0.65
74,2024-05-27,深圳机场,000089,52.43,52.49,52.62,52.04,107813,76541194.4,1.11,0.5,0.26,0.53
73,2024-05-24,深圳机场,000089,52.3,52.23,52.82,52.17,96049,68332066.39,1.24,-0.5,-0.26,0.47
