,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,国际实业,000159,18.0,18.06,18.35,17.91,118415,63433275.87,2.45,0.5,0.09,2.46
239,2025-01-24,国际实业,000159,17.88,17.97,17.97,17.67,78266,41124270.0,1.68,0.67,0.12,1.63
238,2025-01-23,国际实业,000159,17.88,17.85,18.35,17.73,112684,60224744.28,3.49,0.34,0.06,2.34
237,2025-01-22,国际实业,000159,18.12,17.79,18.12,17.7,86548,45331206.32,2.33,-1.33,-0.24,1.8
236,2025-01-21,国际实业,000159,18.61,18.03,18.7,17.97,122995,66111770.0,3.95,-2.38,-0.44,2.56
235,2025-01-20,国际实业,000159,18.41,18.47,18.64,18.03,93675,51122950.46,3.34,0.98,0.18,1.95
234,2025-01-17,国际实业,000159,18.44,18.29,18.47,18.26,86344,46862507.76,1.14,-0.97,-0.18,1.8
233,2025-01-16,国际实业,000159,18.44,18.47,18.85,18.32,119652,65905137.0,2.88,0.49,0.09,2.49
232,2025-01-15,国际实业,000159,18.58,18.38,18.67,18.23,96419,52604399.98,2.37,-0.81,-0.15,2.01
231,2025-01-14,国际实业,000159,18.03,18.53,18.56,17.82,137104,74162673.08,4.12,3.29,0.59,2.85
230,2025-01-13,国际实业,000159,17.73,17.94,18.12,17.47,83238,43726430.02,3.63,0.17,0.03,1.73
229,2025-01-10,国际实业,000159,18.53,17.91,18.73,17.88,134619,72752078.42,4.6,-3.03,-0.56,2.8
228,2025-01-09,国际实业,000159,18.38,18.47,18.64,18.26,72660,39881299.0,2.05,-0.32,-0.06,1.51
227,2025-01-08,国际实业,000159,18.79,18.53,18.97,18.03,120681,66082048.0,5.0,-1.38,-0.26,2.51
226,2025-01-07,国际实业,000159,18.44,18.79,18.82,18.14,96940,53118333.38,3.7,2.23,0.41,2.02
225,2025-01-06,国际实业,000159,18.56,18.38,18.73,17.88,108068,58770916.13,4.57,-1.08,-0.2,2.25
224,2025-01-03,国际实业,000159,19.64,18.58,19.76,18.35,155055,87097096.12,7.21,-4.96,-0.97,3.23
223,2025-01-02,国际实业,000159,19.91,19.55,20.29,19.41,137495,81598010.89,4.4,-2.35,-0.47,2.86
222,2024-12-31,国际实业,000159,20.67,20.02,20.76,19.94,127976,77509035.71,3.98,-2.86,-0.59,2.66
221,2024-12-30,国际实业,000159,21.23,20.61,21.37,20.41,146054,91000672.25,4.5,-3.33,-0.71,3.04
220,2024-12-27,国际实业,000159,21.11,21.32,21.67,20.99,171529,111031149.0,3.22,0.99,0.21,3.57
219,2024-12-26,国际实业,000159,20.58,21.11,21.26,20.55,169596,107246156.87,3.45,2.73,0.56,3.53
218,2024-12-25,国际实业,000159,20.67,20.55,20.87,20.02,164117,100519011.1,4.07,-1.67,-0.35,3.41
217,2024-12-24,国际实业,000159,20.46,20.9,21.08,19.52,326949,197718255.03,7.69,3.01,0.61,6.8
216,2024-12-23,国际实业,000159,21.76,20.29,21.76,20.23,316450,196494784.02,7.02,-6.88,-1.5,6.58
215,2024-12-20,国际实业,000159,21.32,21.79,22.02,21.23,248708,163026511.8,3.71,2.2,0.47,5.17
214,2024-12-19,国际实业,000159,22.78,21.32,22.84,21.14,396034,260608954.07,7.47,-6.29,-1.43,8.24
213,2024-12-18,国际实业,000159,23.78,22.75,24.49,22.58,524273,373785052.56,7.73,-7.97,-1.97,10.91
212,2024-12-17,国际实业,000159,26.07,24.72,26.34,24.72,499424,387557568.41,5.96,-9.08,-2.47,10.39
211,2024-12-16,国际实业,000159,24.93,27.19,27.19,24.93,1024976,853563966.68,9.07,9.07,2.26,21.32
