,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,云鼎科技,000409,22.29,22.04,22.72,21.96,210991,200905127.15,3.44,-0.23,-0.05,4.98
239,2025-01-24,云鼎科技,000409,21.99,22.09,22.22,21.48,298944,279336021.31,3.32,-0.9,-0.2,7.06
238,2025-01-23,云鼎科技,000409,21.48,22.29,22.29,21.41,320138,299881011.24,4.15,4.99,1.06,7.56
237,2025-01-22,云鼎科技,000409,21.41,21.23,21.63,21.03,116943,106257672.27,2.8,-0.84,-0.18,2.76
236,2025-01-21,云鼎科技,000409,21.56,21.41,21.66,21.23,124142,113479244.23,2.01,-0.09,-0.02,2.93
235,2025-01-20,云鼎科技,000409,21.31,21.43,21.71,21.08,164057,149768076.42,2.99,1.66,0.35,3.88
234,2025-01-17,云鼎科技,000409,21.15,21.08,21.56,20.85,124342,112466023.02,3.36,-0.24,-0.05,2.94
233,2025-01-16,云鼎科技,000409,21.36,21.13,21.51,20.98,179499,162959762.16,2.48,-1.08,-0.23,4.24
232,2025-01-15,云鼎科技,000409,20.62,21.36,21.76,20.5,270528,244492131.36,6.1,3.44,0.71,6.39
231,2025-01-14,云鼎科技,000409,19.66,20.65,20.65,19.59,146715,127720563.14,5.42,5.68,1.11,3.47
230,2025-01-13,云鼎科技,000409,19.18,19.54,19.64,18.7,95795,79779456.49,4.89,1.72,0.33,2.26
229,2025-01-10,云鼎科技,000409,19.92,19.21,20.09,19.21,96830,82337869.77,4.42,-3.42,-0.68,2.29
228,2025-01-09,云鼎科技,000409,19.56,19.89,20.09,19.54,90781,77890210.83,2.79,1.02,0.2,2.14
227,2025-01-08,云鼎科技,000409,19.92,19.69,20.07,19.11,108156,91302385.48,4.82,-1.15,-0.23,2.55
226,2025-01-07,云鼎科技,000409,19.36,19.92,19.92,19.36,94722,80174577.8,2.9,3.16,0.61,2.24
225,2025-01-06,云鼎科技,000409,19.21,19.31,19.51,18.78,102243,84856886.92,3.76,-0.41,-0.08,2.42
