,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,京粮控股,000505,18.67,18.67,18.8,18.55,50751,29619116.3,1.33,-0.69,-0.13,0.8
240,2025-01-23,京粮控股,000505,19.04,18.8,19.23,18.8,57691,34380157.0,2.27,-0.63,-0.12,0.91
239,2025-01-22,京粮控股,000505,19.11,18.92,19.17,18.89,40582,24098333.29,1.46,-1.15,-0.22,0.64
238,2025-01-21,京粮控股,000505,19.17,19.14,19.63,18.92,80155,48309382.95,3.72,0.16,0.03,1.27
237,2025-01-20,京粮控股,000505,19.2,19.11,19.29,18.89,40120,23994117.0,2.09,0.0,0.0,0.63
236,2025-01-17,京粮控股,000505,19.17,19.11,19.17,18.92,37851,22574626.0,1.31,-0.16,-0.03,0.6
235,2025-01-16,京粮控股,000505,19.2,19.14,19.38,19.01,78234,47046987.0,1.93,0.0,0.0,1.24
234,2025-01-15,京粮控股,000505,19.07,19.14,19.23,18.95,48496,28994519.85,1.47,0.16,0.03,0.77
233,2025-01-14,京粮控股,000505,18.7,19.11,19.14,18.7,78351,46578566.64,2.36,2.36,0.44,1.24
232,2025-01-13,京粮控股,000505,18.27,18.67,18.77,18.06,49849,28817491.39,3.86,1.63,0.3,0.79
231,2025-01-10,京粮控股,000505,18.77,18.37,18.86,18.37,48685,28361408.0,2.6,-2.6,-0.49,0.77
230,2025-01-09,京粮控股,000505,18.67,18.86,18.95,18.52,55927,32869178.0,2.3,0.86,0.16,0.88
229,2025-01-08,京粮控股,000505,18.7,18.7,18.86,18.27,69602,40522283.0,3.16,0.16,0.03,1.1
228,2025-01-07,京粮控股,000505,18.43,18.67,18.7,18.3,55637,32237114.0,2.17,1.3,0.24,0.88
227,2025-01-06,京粮控股,000505,18.43,18.43,18.67,17.9,66028,37860982.0,4.18,0.0,0.0,1.04
226,2025-01-03,京粮控股,000505,19.23,18.43,19.44,18.4,94662,55641446.2,5.38,-4.61,-0.89,1.5
225,2025-01-02,京粮控股,000505,19.63,19.32,20.0,19.17,90024,55451896.32,4.22,-1.73,-0.34,1.42
224,2024-12-31,京粮控股,000505,20.0,19.66,20.15,19.66,76312,47644057.4,2.45,-1.55,-0.31,1.21
223,2024-12-30,京粮控股,000505,20.4,19.97,20.4,19.91,94378,59357266.56,2.38,-3.15,-0.65,1.49
222,2024-12-27,京粮控股,000505,19.97,20.62,20.71,19.88,136408,87237140.82,4.15,3.1,0.62,2.16
