,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,航天发展,000547,94.71,96.65,97.2,94.3,134615,91921835.0,3.07,2.2,2.08,0.85
240,2025-01-23,航天发展,000547,95.13,94.57,97.07,94.44,149976,102717896.32,2.79,0.29,0.27,0.94
239,2025-01-22,航天发展,000547,95.54,94.3,95.54,93.6,124991,83995476.24,2.03,-1.44,-1.38,0.79
238,2025-01-21,航天发展,000547,97.34,95.68,97.9,94.57,179710,122393426.0,3.41,-2.13,-2.08,1.13
237,2025-01-20,航天发展,000547,97.48,97.76,98.73,96.93,96124,67036585.0,1.85,0.29,0.28,0.61
236,2025-01-17,航天发展,000547,96.65,97.48,98.31,95.96,103920,72029434.0,2.42,0.29,0.28,0.65
235,2025-01-16,航天发展,000547,97.34,97.2,98.45,95.96,125730,86965578.0,2.58,0.86,0.83,0.79
234,2025-01-15,航天发展,000547,97.2,96.37,98.04,96.1,104966,72444566.0,2.0,-0.85,-0.83,0.66
233,2025-01-14,航天发展,000547,94.71,97.2,97.34,94.16,121922,83705996.51,3.37,2.92,2.76,0.77
232,2025-01-13,航天发展,000547,93.47,94.44,95.13,91.94,94255,62994920.3,3.38,0.15,0.14,0.59
231,2025-01-10,航天发展,000547,97.2,94.3,97.48,94.3,102317,69921351.5,3.28,-2.85,-2.77,0.64
230,2025-01-09,航天发展,000547,95.4,97.07,98.31,95.4,149904,103873973.56,3.02,0.73,0.7,0.94
229,2025-01-08,航天发展,000547,95.96,96.37,96.79,93.47,147140,99952911.37,3.46,0.57,0.55,0.93
228,2025-01-07,航天发展,000547,94.99,95.82,95.96,94.16,107294,72614188.0,1.91,1.46,1.38,0.68
227,2025-01-06,航天发展,000547,94.71,94.44,95.68,93.33,133379,89814913.0,2.47,-0.73,-0.69,0.84
226,2025-01-03,航天发展,000547,99.14,95.13,99.42,94.85,192537,132423839.4,4.63,-3.65,-3.6,1.21
225,2025-01-02,航天发展,000547,102.33,98.73,103.02,97.76,225297,161254905.08,5.13,-3.65,-3.74,1.42
224,2024-12-31,航天发展,000547,107.45,102.47,107.87,102.33,291039,216372534.87,5.13,-5.13,-5.54,1.83
223,2024-12-30,航天发展,000547,107.59,108.01,109.11,105.24,168369,129477643.84,3.6,0.52,0.56,1.06
222,2024-12-27,航天发展,000547,107.31,107.45,108.28,106.9,202883,155980551.0,1.3,1.17,1.24,1.28
221,2024-12-26,航天发展,000547,104.82,106.21,107.18,104.68,144189,109366069.0,2.39,1.33,1.39,0.91
220,2024-12-25,航天发展,000547,106.21,104.82,106.9,104.27,158987,119233793.49,2.47,-1.69,-1.8,1.0
219,2024-12-24,航天发展,000547,105.79,106.62,108.01,105.24,158501,120535373.4,2.6,0.26,0.28,1.0
218,2024-12-23,航天发展,000547,109.95,106.34,110.36,105.93,220162,169377313.0,4.01,-3.64,-4.02,1.39
217,2024-12-20,航天发展,000547,110.64,110.36,111.05,109.53,127870,100682259.52,1.37,-0.25,-0.28,0.81
