,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-24,供销大集,000564,32.39,31.79,32.39,31.07,4200583,1146096206.25,4.08,-1.85,-0.6,2.85
239,2025-01-23,供销大集,000564,32.87,32.39,34.07,32.27,4866182,1391518309.91,5.56,0.0,0.0,3.31
238,2025-01-22,供销大集,000564,32.51,32.39,33.11,31.91,3078824,860918560.3,3.68,-0.74,-0.24,2.09
237,2025-01-21,供销大集,000564,33.35,32.63,33.47,32.27,3006004,845330441.63,3.61,-1.81,-0.6,2.04
236,2025-01-20,供销大集,000564,33.35,33.23,33.95,32.99,3440468,989036128.64,2.91,0.73,0.24,2.34
235,2025-01-17,供销大集,000564,33.35,32.99,33.59,32.87,3429352,976711783.53,2.13,-2.48,-0.84,2.33
234,2025-01-16,供销大集,000564,33.59,33.83,35.03,33.35,5125814,1504021151.86,5.04,1.44,0.48,3.48
233,2025-01-15,供销大集,000564,34.07,33.35,34.31,32.87,4550754,1311882197.05,4.24,-1.77,-0.6,3.09
232,2025-01-14,供销大集,000564,31.79,33.95,34.19,31.67,6396320,1831461251.39,7.87,5.99,1.92,4.35
231,2025-01-13,供销大集,000564,31.91,32.03,32.87,31.55,4274416,1184626661.51,3.99,-3.26,-1.08,2.9
230,2025-01-10,供销大集,000564,34.79,33.11,35.03,33.11,5896503,1715094229.04,5.39,-7.07,-2.52,4.01
229,2025-01-09,供销大集,000564,33.71,35.63,37.18,33.35,8007000,2429566240.02,11.24,4.58,1.56,5.44
228,2025-01-08,供销大集,000564,34.43,34.07,34.79,32.51,6184928,1793442765.03,6.62,-1.05,-0.36,4.2
227,2025-01-07,供销大集,000564,33.71,34.43,34.79,33.47,5081541,1489332187.27,3.94,2.87,0.96,3.45
226,2025-01-06,供销大集,000564,34.79,33.47,35.99,33.23,7218505,2114902749.53,7.45,-9.69,-3.59,4.91
225,2025-01-03,供销大集,000564,40.42,37.06,40.78,37.06,7336694,2383219966.9,9.02,-10.18,-4.2,4.99
224,2025-01-02,供销大集,000564,39.58,41.26,42.94,38.98,8760235,3080935373.36,9.83,2.38,0.96,5.95
223,2024-12-31,供销大集,000564,39.46,40.3,42.34,39.1,7206611,2519242016.31,8.19,1.82,0.72,4.9
222,2024-12-30,供销大集,000564,38.74,39.58,40.66,38.5,4617441,1569266569.76,5.49,0.61,0.24,3.14
221,2024-12-27,供销大集,000564,39.94,39.34,41.38,39.1,6139526,2123987143.96,5.61,-3.25,-1.32,4.17
220,2024-12-26,供销大集,000564,39.46,40.66,41.74,38.38,7129164,2419958838.28,8.46,2.42,0.96,4.84
