,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,粤宏远Ａ,000573,47.81,51.54,54.19,47.61,1094851,583508593.09,13.3,4.16,2.06,17.3
240,2025-01-23,粤宏远Ａ,000573,46.53,49.48,49.48,44.86,1259979,619945839.41,10.3,10.3,4.62,19.91
239,2025-01-22,粤宏远Ａ,000573,46.34,44.86,47.81,44.27,1142888,544158545.91,8.0,1.33,0.59,18.06
238,2025-01-21,粤宏远Ａ,000573,42.41,44.27,45.94,41.92,897627,409570225.63,9.37,3.19,1.37,14.18
237,2025-01-20,粤宏远Ａ,000573,42.51,42.9,43.78,41.13,745543,331688901.03,6.28,1.63,0.69,11.78
236,2025-01-17,粤宏远Ａ,000573,41.62,42.21,44.08,40.35,898152,393575561.29,8.77,-0.71,-0.3,14.19
235,2025-01-16,粤宏远Ａ,000573,41.13,42.51,44.08,40.94,1314780,574705769.56,7.14,-3.34,-1.47,20.77
234,2025-01-15,粤宏远Ａ,000573,45.55,43.98,47.71,42.9,1609216,744426708.38,10.36,-5.28,-2.45,25.42
233,2025-01-14,粤宏远Ａ,000573,43.19,46.43,50.85,43.19,2204433,1065251368.45,15.93,-3.47,-1.67,34.83
232,2025-01-13,粤宏远Ａ,000573,50.26,48.1,50.26,48.1,403889,202746197.0,4.04,-10.09,-5.4,6.38
231,2025-01-10,粤宏远Ａ,000573,47.32,53.5,53.5,44.37,2650142,1370800681.96,18.79,10.1,4.91,41.87
230,2025-01-09,粤宏远Ａ,000573,48.59,48.59,48.59,45.55,2354142,1169169672.14,6.9,10.23,4.51,37.19
229,2025-01-08,粤宏远Ａ,000573,44.08,44.08,44.08,43.29,572803,261682903.56,1.98,10.31,4.12,9.05
228,2025-01-07,粤宏远Ａ,000573,39.96,39.96,39.96,39.17,852740,353699493.31,2.18,10.33,3.74,13.47
227,2025-01-06,粤宏远Ａ,000573,36.22,36.22,36.22,36.22,90918,34276214.18,0.0,10.12,3.33,1.44
226,2025-01-03,粤宏远Ａ,000573,32.89,32.89,32.89,32.89,136095,46680430.65,0.0,10.22,3.05,2.15
225,2025-01-02,粤宏远Ａ,000573,28.37,29.84,31.12,28.37,431257,135445469.99,9.63,4.45,1.27,6.81
224,2024-12-31,粤宏远Ａ,000573,27.98,28.57,29.45,27.68,286161,85505698.45,6.33,2.11,0.59,4.52
223,2024-12-30,粤宏远Ａ,000573,28.37,27.98,28.76,27.29,212692,62517228.56,5.22,-0.71,-0.2,3.36
222,2024-12-27,粤宏远Ａ,000573,27.39,28.18,29.06,27.29,210899,62820511.09,6.46,2.88,0.79,3.33
221,2024-12-26,粤宏远Ａ,000573,26.8,27.39,27.78,26.8,134618,38712218.0,3.63,1.44,0.39,2.13
220,2024-12-25,粤宏远Ａ,000573,27.78,27.0,27.88,25.92,216909,60699634.1,7.06,-2.81,-0.78,3.43
219,2024-12-24,粤宏远Ａ,000573,28.08,27.78,28.47,27.19,222564,64753143.98,4.53,-1.73,-0.49,3.52
218,2024-12-23,粤宏远Ａ,000573,30.73,28.27,30.83,27.78,353425,106910317.69,9.86,-8.57,-2.65,5.58
217,2024-12-20,粤宏远Ａ,000573,32.3,30.92,32.79,30.73,371664,122482188.26,6.34,-4.83,-1.57,5.87
216,2024-12-19,粤宏远Ａ,000573,31.91,32.49,33.08,31.22,241976,81218104.0,5.83,1.82,0.58,3.82
215,2024-12-18,粤宏远Ａ,000573,31.61,31.91,32.1,30.53,228194,75242287.66,4.98,1.27,0.4,3.61
214,2024-12-17,粤宏远Ａ,000573,33.18,31.51,33.67,31.32,321349,107624376.36,7.02,-5.88,-1.97,5.08
213,2024-12-16,粤宏远Ａ,000573,32.89,33.48,33.97,32.79,308064,107167830.37,3.59,1.79,0.59,4.87
212,2024-12-13,粤宏远Ａ,000573,33.97,32.89,34.16,32.89,395933,137567024.07,3.67,-5.08,-1.76,6.26
211,2024-12-12,粤宏远Ａ,000573,33.18,34.65,35.44,32.2,677643,242294213.97,9.85,5.35,1.76,10.71
210,2024-12-11,粤宏远Ａ,000573,31.51,32.89,32.89,31.22,389503,131979797.42,5.25,3.4,1.08,6.15
209,2024-12-10,粤宏远Ａ,000573,32.89,31.81,33.48,31.61,381029,128336252.12,5.92,0.63,0.2,6.02
208,2024-12-09,粤宏远Ａ,000573,32.3,31.61,32.99,31.02,328901,109083052.66,6.1,-2.14,-0.69,5.2
207,2024-12-06,粤宏远Ａ,000573,31.32,32.3,32.69,31.32,447822,150167457.16,4.36,2.83,0.89,7.07
206,2024-12-05,粤宏远Ａ,000573,30.63,31.41,31.51,30.33,322199,104643636.92,3.87,2.88,0.88,5.09
205,2024-12-04,粤宏远Ａ,000573,31.41,30.53,31.51,30.33,349515,112908486.01,3.76,-2.8,-0.88,5.52
204,2024-12-03,粤宏远Ａ,000573,31.91,31.41,32.1,31.02,452881,148774741.57,3.41,-0.95,-0.3,7.15
203,2024-12-02,粤宏远Ａ,000573,30.33,31.71,31.81,29.84,699868,228111158.0,6.54,5.21,1.57,11.06
202,2024-11-29,粤宏远Ａ,000573,29.94,30.14,30.63,28.86,663953,207197068.12,5.87,0.0,0.0,10.49
201,2024-11-28,粤宏远Ａ,000573,29.65,30.14,30.73,29.65,731344,231146720.01,3.57,-0.33,-0.1,11.55
200,2024-11-27,粤宏远Ａ,000573,30.14,30.24,31.51,30.14,1268966,402953469.32,4.08,-9.92,-3.33,20.05
199,2024-11-26,粤宏远Ａ,000573,33.57,33.57,34.26,33.57,429871,150510758.08,1.84,-10.24,-3.83,6.79
198,2024-11-25,粤宏远Ａ,000573,35.83,37.4,37.4,31.81,1936754,717673582.5,16.46,10.1,3.43,30.6
197,2024-11-22,粤宏远Ａ,000573,30.92,33.97,33.97,29.75,1639483,553047677.19,13.69,10.18,3.14,25.9
196,2024-11-21,粤宏远Ａ,000573,27.78,30.83,30.83,27.78,639889,198817901.75,10.9,10.19,2.85,10.11
