,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,太阳能,000591,70.2,70.34,70.75,69.93,244011,107186792.0,1.17,0.4,0.28,0.68
240,2025-01-23,太阳能,000591,70.75,70.06,71.57,70.06,261188,115728185.0,2.15,-0.4,-0.28,0.73
239,2025-01-22,太阳能,000591,70.75,70.34,71.02,70.06,213393,93852219.05,1.35,-0.96,-0.68,0.59
238,2025-01-21,太阳能,000591,71.57,71.02,71.7,70.47,181141,80239855.8,1.73,-0.38,-0.27,0.5
237,2025-01-20,太阳能,000591,71.43,71.29,71.98,71.16,209218,93578590.76,1.15,0.0,0.0,0.58
236,2025-01-17,太阳能,000591,71.29,71.29,71.57,71.02,203207,90681714.18,0.77,0.18,0.13,0.56
235,2025-01-16,太阳能,000591,70.61,71.16,71.57,70.47,293210,130344242.84,1.56,0.98,0.69,0.81
234,2025-01-15,太阳能,000591,70.47,70.47,71.02,69.79,318853,139918750.0,1.74,-0.2,-0.14,0.89
233,2025-01-14,太阳能,000591,69.52,70.61,70.88,69.38,371398,162545433.52,2.16,1.57,1.09,1.03
232,2025-01-13,太阳能,000591,67.6,69.52,69.52,67.6,302572,129822258.93,2.75,-0.59,-0.41,0.84
231,2025-01-10,太阳能,000591,71.16,69.93,71.29,69.93,193388,85253028.97,1.91,-1.73,-1.23,0.54
230,2025-01-09,太阳能,000591,71.29,71.16,71.7,70.88,213598,95310000.68,1.15,-0.18,-0.13,0.59
229,2025-01-08,太阳能,000591,71.84,71.29,71.84,70.34,287615,127855206.72,2.08,-0.96,-0.69,0.8
228,2025-01-07,太阳能,000591,72.25,71.98,72.39,71.43,214712,96544647.51,1.33,-0.18,-0.13,0.6
227,2025-01-06,太阳能,000591,72.66,72.11,72.66,71.57,291587,131770776.28,1.5,-0.44,-0.32,0.81
226,2025-01-03,太阳能,000591,72.84,72.43,73.39,72.16,344720,159306109.44,1.69,-0.19,-0.14,0.96
225,2025-01-02,太阳能,000591,74.62,72.57,74.75,72.02,411217,192119254.17,3.66,-2.75,-2.05,1.14
224,2024-12-31,太阳能,000591,76.26,74.62,76.4,74.62,398029,191663501.39,2.33,-2.15,-1.64,1.11
223,2024-12-30,太阳能,000591,76.12,76.26,76.26,75.71,249126,121099673.24,0.72,0.0,0.0,0.69
222,2024-12-27,太阳能,000591,75.71,76.26,76.4,75.58,305281,148493891.22,1.08,0.73,0.55,0.85
221,2024-12-26,太阳能,000591,75.85,75.71,75.99,75.58,226525,109733682.0,0.54,-0.37,-0.28,0.63
220,2024-12-25,太阳能,000591,76.81,75.99,76.81,75.44,301585,146540510.08,1.79,-0.89,-0.68,0.84
219,2024-12-24,太阳能,000591,75.85,76.67,76.81,75.71,288588,141261915.0,1.45,1.27,0.96,0.8
218,2024-12-23,太阳能,000591,76.26,75.71,76.81,75.58,353188,172131247.6,1.62,-0.54,-0.41,0.98
217,2024-12-20,太阳能,000591,76.4,76.12,76.94,75.99,331674,162248524.0,1.24,-0.72,-0.55,0.92
216,2024-12-19,太阳能,000591,76.81,76.67,76.94,75.85,417814,204442305.5,1.41,-0.88,-0.68,1.16
215,2024-12-18,太阳能,000591,77.9,77.35,78.45,77.22,481870,241111768.08,1.6,0.53,0.41,1.34
214,2024-12-17,太阳能,000591,77.49,76.94,78.04,76.67,374338,185478409.15,1.76,-1.05,-0.82,1.04
213,2024-12-16,太阳能,000591,77.9,77.76,78.58,77.35,435462,217513342.02,1.58,-0.36,-0.28,1.21
212,2024-12-13,太阳能,000591,79.54,78.04,79.68,77.9,724793,365229783.45,2.23,-2.22,-1.77,2.01
211,2024-12-12,太阳能,000591,79.81,79.81,79.95,79.13,504537,258412522.12,1.03,0.0,0.0,1.4
210,2024-12-11,太阳能,000591,79.54,79.81,80.36,79.4,358292,184466201.5,1.2,0.0,0.0,1.0
209,2024-12-10,太阳能,000591,80.91,79.81,81.59,79.54,583383,301778199.36,2.57,0.16,0.13,1.62
208,2024-12-09,太阳能,000591,80.09,79.68,80.91,79.13,489667,252067745.2,2.23,-0.16,-0.13,1.36
207,2024-12-06,太阳能,000591,77.9,79.81,79.95,77.63,777895,395474462.24,2.98,2.45,1.91,2.16
206,2024-12-05,太阳能,000591,77.9,77.9,78.17,77.63,270699,135227298.96,0.69,0.0,0.0,0.75
205,2024-12-04,太阳能,000591,78.86,77.9,78.99,77.76,387464,195053928.0,1.55,-1.55,-1.23,1.08
204,2024-12-03,太阳能,000591,78.17,79.13,79.54,77.49,611058,308580088.37,2.62,1.05,0.82,1.7
203,2024-12-02,太阳能,000591,77.22,78.31,78.31,77.08,540580,270268221.53,1.58,0.88,0.68,1.5
202,2024-11-29,太阳能,000591,77.22,77.63,78.04,76.81,411057,204484033.53,1.59,0.36,0.28,1.14
201,2024-11-28,太阳能,000591,77.22,77.35,77.9,76.81,380537,188888916.96,1.41,0.17,0.13,1.06
200,2024-11-27,太阳能,000591,76.53,77.22,77.35,75.17,406664,198117633.0,2.85,0.9,0.69,1.13
199,2024-11-26,太阳能,000591,77.22,76.53,77.35,76.26,288819,142148442.9,1.41,-0.71,-0.55,0.8
198,2024-11-25,太阳能,000591,77.49,77.08,77.9,76.53,448000,221266227.12,1.76,-0.87,-0.68,1.24
197,2024-11-22,太阳能,000591,79.4,77.76,79.68,77.76,548028,277066831.61,2.42,-2.07,-1.64,1.52
196,2024-11-21,太阳能,000591,79.4,79.4,80.5,78.99,428111,219011164.99,1.9,0.0,0.0,1.19
195,2024-11-20,太阳能,000591,79.54,79.4,79.68,78.72,455186,231722359.66,1.21,0.0,0.0,1.26
194,2024-11-19,太阳能,000591,79.13,79.4,79.81,78.04,572010,290307822.79,2.24,0.34,0.27,1.59
193,2024-11-18,太阳能,000591,78.04,79.13,80.77,78.04,1099398,564119732.03,3.52,2.12,1.64,3.06
192,2024-11-15,太阳能,000591,78.31,77.49,78.72,77.35,573684,288033970.85,1.75,-1.22,-0.96,1.59
191,2024-11-14,太阳能,000591,80.23,78.45,80.77,78.17,659834,336825823.14,3.24,-2.22,-1.78,1.83
190,2024-11-13,太阳能,000591,80.36,80.23,80.77,79.27,551773,284526949.03,1.86,-0.51,-0.41,1.53
189,2024-11-12,太阳能,000591,81.87,80.64,82.0,80.09,754994,396022389.1,2.34,-1.33,-1.09,2.1
188,2024-11-11,太阳能,000591,81.73,81.73,82.41,81.05,639379,337022422.75,1.66,-0.5,-0.41,1.78
187,2024-11-08,太阳能,000591,83.37,82.14,83.92,81.73,739709,395693689.87,2.64,-0.82,-0.68,2.06
186,2024-11-07,太阳能,000591,81.18,82.82,82.82,80.77,853864,453020036.11,2.51,1.33,1.09,2.37
185,2024-11-06,太阳能,000591,82.0,81.73,83.37,81.32,859687,456985053.28,2.49,-0.67,-0.55,2.39
184,2024-11-05,太阳能,000591,79.68,82.28,82.41,79.4,1168541,615514768.68,3.78,3.44,2.74,3.25
183,2024-11-04,太阳能,000591,79.4,79.54,79.68,78.72,511356,260189085.15,1.21,0.34,0.27,1.42
182,2024-11-01,太阳能,000591,80.09,79.27,80.23,78.72,669136,342210829.59,1.88,-1.36,-1.09,1.86
181,2024-10-31,太阳能,000591,79.13,80.36,81.32,79.13,1165574,603082369.92,2.8,2.8,2.19,3.24
180,2024-10-30,太阳能,000591,78.31,78.17,78.86,77.49,536815,269408074.0,1.74,-0.52,-0.41,1.49
179,2024-10-29,太阳能,000591,79.95,78.58,80.5,78.31,746989,380461054.39,2.74,-1.54,-1.23,2.08
178,2024-10-28,太阳能,000591,80.36,79.81,80.5,78.58,956713,487486567.39,2.39,-0.68,-0.55,2.66
177,2024-10-25,太阳能,000591,76.94,80.36,80.91,76.94,1242899,637312433.32,5.13,3.89,3.01,3.45
176,2024-10-24,太阳能,000591,79.27,77.35,79.27,76.67,746071,369794442.98,3.29,-2.08,-1.64,2.07
175,2024-10-23,太阳能,000591,75.58,78.99,80.36,75.3,1527476,766449256.2,6.69,4.51,3.41,4.24
174,2024-10-22,太阳能,000591,74.89,75.58,75.85,74.75,518744,249268757.29,1.47,0.92,0.69,1.44
173,2024-10-21,太阳能,000591,74.34,74.89,76.26,74.07,669793,321354337.9,2.96,1.11,0.82,1.86
172,2024-10-18,太阳能,000591,73.25,74.07,75.3,72.7,634042,298245851.63,3.54,0.93,0.68,1.76
171,2024-10-17,太阳能,000591,74.89,73.39,75.3,73.25,428978,202802083.2,2.74,-1.82,-1.36,1.19
170,2024-10-16,太阳能,000591,73.8,74.75,75.17,72.98,434925,206731159.71,2.95,0.55,0.41,1.21
169,2024-10-15,太阳能,000591,75.85,74.34,76.4,74.34,554888,267739605.94,2.72,-1.81,-1.37,1.54
168,2024-10-14,太阳能,000591,75.58,75.71,76.12,74.89,470982,227448296.5,1.63,0.36,0.27,1.31
167,2024-10-11,太阳能,000591,77.49,75.44,77.63,74.89,590581,288176309.17,3.52,-2.98,-2.32,1.64
166,2024-10-10,太阳能,000591,77.22,77.76,79.27,76.53,783842,392782202.93,3.56,1.07,0.82,2.18
165,2024-10-09,太阳能,000591,80.36,76.94,80.64,76.53,1123612,565984023.58,5.05,-5.39,-4.38,3.12
164,2024-10-08,太阳能,000591,86.52,81.32,86.52,79.27,1865987,995518943.61,9.11,2.24,1.78,5.19
163,2024-09-30,太阳能,000591,76.67,79.54,80.09,75.99,1511268,759736382.36,5.56,7.78,5.74,4.2
162,2024-09-27,太阳能,000591,71.75,73.8,75.17,71.61,849608,396127962.57,5.02,4.05,2.87,2.36
161,2024-09-26,太阳能,000591,68.74,70.93,70.93,68.6,481331,212199855.1,3.39,3.19,2.19,1.34
160,2024-09-25,太阳能,000591,68.33,68.74,69.97,68.33,491430,214924111.93,2.42,1.42,0.96,1.37
159,2024-09-24,太阳能,000591,66.0,67.78,67.78,66.0,428502,180276409.1,2.71,3.12,2.05,1.19
158,2024-09-23,太阳能,000591,65.59,65.73,66.0,65.18,136862,56202033.3,1.25,0.41,0.27,0.38
157,2024-09-20,太阳能,000591,65.73,65.46,65.87,65.04,125948,51365481.0,1.26,-0.41,-0.27,0.35
156,2024-09-19,太阳能,000591,64.91,65.73,66.0,64.36,183176,74893269.52,2.54,1.91,1.23,0.51
155,2024-09-18,太阳能,000591,64.63,64.5,64.77,63.81,132595,53119279.0,1.49,-0.2,-0.13,0.37
154,2024-09-13,太阳能,000591,65.18,64.63,65.46,64.63,113700,46069253.0,1.27,-0.84,-0.55,0.32
153,2024-09-12,太阳能,000591,64.77,65.18,65.87,64.63,191923,78386666.55,1.91,0.63,0.41,0.53
