,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,铜陵有色,000630,119.52,119.87,121.28,119.52,1103946,363198500.88,1.47,0.0,0.0,1.05
239,2025-01-24,铜陵有色,000630,118.82,119.87,120.22,118.47,1042357,339091398.0,1.48,1.18,1.4,0.99
238,2025-01-23,铜陵有色,000630,119.52,118.47,121.28,118.47,1317625,430817537.4,2.36,-0.29,-0.35,1.25
237,2025-01-22,铜陵有色,000630,120.22,118.82,120.22,118.47,844921,274190418.29,1.46,-1.16,-1.4,0.8
236,2025-01-21,铜陵有色,000630,120.93,120.22,121.28,119.52,875300,287028693.0,1.46,-0.3,-0.36,0.83
235,2025-01-20,铜陵有色,000630,121.98,120.58,122.33,120.58,1167194,386236915.0,1.43,-1.15,-1.4,1.11
234,2025-01-17,铜陵有色,000630,121.98,121.98,122.33,120.93,1036471,344528247.84,1.14,-0.29,-0.35,0.98
233,2025-01-16,铜陵有色,000630,120.93,122.33,122.68,120.58,2022674,672466951.55,1.75,2.05,2.46,1.92
232,2025-01-15,铜陵有色,000630,120.93,119.87,121.63,119.52,1236052,405626468.0,1.74,-1.16,-1.41,1.17
231,2025-01-14,铜陵有色,000630,119.52,121.28,121.63,119.17,1772369,582750574.11,2.05,0.88,1.06,1.68
230,2025-01-13,铜陵有色,000630,117.77,120.22,120.58,116.36,1699011,552554811.93,3.57,1.78,2.1,1.61
229,2025-01-10,铜陵有色,000630,118.47,118.12,120.22,118.12,1625558,527937650.39,1.78,0.0,0.0,1.54
228,2025-01-09,铜陵有色,000630,118.12,118.12,118.82,117.07,1006512,323575877.05,1.48,0.0,0.0,0.96
227,2025-01-08,铜陵有色,000630,119.87,118.12,119.87,116.36,1565618,503409899.47,2.92,-1.75,-2.1,1.49
226,2025-01-07,铜陵有色,000630,118.47,120.22,120.58,117.42,1523294,495805720.15,2.67,1.48,1.75,1.45
225,2025-01-06,铜陵有色,000630,118.12,118.47,120.22,116.36,1699650,548989247.38,3.28,0.59,0.7,1.61
224,2025-01-03,铜陵有色,000630,117.07,117.77,120.93,116.71,2488079,808014626.44,3.62,0.91,1.06,2.36
223,2025-01-02,铜陵有色,000630,118.47,116.71,119.52,116.01,1637866,526540855.01,2.96,-1.49,-1.76,1.56
222,2024-12-31,铜陵有色,000630,120.93,118.47,121.63,118.12,1802990,588010765.13,2.89,-2.32,-2.81,1.71
221,2024-12-30,铜陵有色,000630,121.28,121.28,121.98,120.58,863181,285702085.0,1.15,0.0,0.0,0.82
220,2024-12-27,铜陵有色,000630,120.58,121.28,121.63,120.22,1078211,356514008.4,1.17,0.58,0.7,1.02
219,2024-12-26,铜陵有色,000630,121.28,120.58,121.98,120.22,970957,320903758.5,1.45,-0.58,-0.7,0.92
218,2024-12-25,铜陵有色,000630,121.98,121.28,122.68,120.93,1191192,395826340.3,1.43,-0.57,-0.7,1.13
217,2024-12-24,铜陵有色,000630,120.58,121.98,121.98,120.22,1200967,397015164.88,1.46,1.16,1.4,1.14
216,2024-12-23,铜陵有色,000630,120.58,120.58,121.98,120.22,1442291,476494725.3,1.46,0.3,0.36,1.37
215,2024-12-20,铜陵有色,000630,121.28,120.22,121.98,119.87,1639056,538866391.11,1.73,-1.16,-1.41,1.56
