,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,顺发恒业,000631,38.48,38.25,39.49,38.25,154872,46290468.84,3.24,0.0,0.0,0.65
239,2025-01-24,顺发恒业,000631,38.48,38.25,38.82,37.8,193095,56776186.14,2.63,-1.47,-0.57,0.81
238,2025-01-23,顺发恒业,000631,39.61,38.82,41.08,38.59,277486,84759949.35,6.38,-0.56,-0.22,1.16
237,2025-01-22,顺发恒业,000631,40.4,39.04,40.63,39.04,266005,81416234.04,3.89,-4.43,-1.81,1.11
236,2025-01-21,顺发恒业,000631,41.76,40.85,41.98,40.51,343176,109599572.88,3.54,-1.64,-0.68,1.43
235,2025-01-20,顺发恒业,000631,40.17,41.53,43.34,39.27,487097,156228195.5,10.13,3.39,1.36,2.03
234,2025-01-17,顺发恒业,000631,40.74,40.17,40.96,39.72,308450,96313213.24,3.02,-2.22,-0.91,1.29
233,2025-01-16,顺发恒业,000631,41.08,41.08,42.66,40.63,461823,148604582.82,4.9,-0.82,-0.34,1.93
232,2025-01-15,顺发恒业,000631,42.44,41.42,44.58,41.3,792711,263443227.31,7.67,-3.16,-1.35,3.31
231,2025-01-14,顺发恒业,000631,42.77,42.77,42.77,40.63,605197,196962137.04,5.43,8.61,3.39,2.53
230,2025-01-13,顺发恒业,000631,39.38,39.38,39.38,39.38,45315,13775905.92,0.0,8.75,3.17,0.19
229,2025-01-10,顺发恒业,000631,36.89,36.21,37.46,35.99,138069,38688235.78,3.97,-2.14,-0.79,0.58
228,2025-01-09,顺发恒业,000631,36.78,37.0,37.68,36.44,107145,30472108.9,3.36,0.3,0.11,0.45
227,2025-01-08,顺发恒业,000631,36.89,36.89,37.12,35.99,114013,31905123.0,3.07,0.3,0.11,0.48
226,2025-01-07,顺发恒业,000631,36.67,36.78,37.23,36.1,98049,27487710.94,3.11,1.24,0.45,0.41
225,2025-01-06,顺发恒业,000631,36.55,36.33,36.89,35.53,109813,30317058.0,3.72,-0.6,-0.22,0.46
224,2025-01-03,顺发恒业,000631,37.8,36.55,37.91,36.44,164752,46626008.0,3.89,-3.31,-1.25,0.69
223,2025-01-02,顺发恒业,000631,38.36,37.8,39.04,37.46,165816,48843801.4,4.13,-1.18,-0.45,0.69
222,2024-12-31,顺发恒业,000631,40.06,38.25,40.06,38.25,192288,57893027.65,4.6,-2.87,-1.13,0.8
221,2024-12-30,顺发恒业,000631,40.17,39.38,40.29,39.15,176272,53677016.04,2.84,-1.97,-0.79,0.74
220,2024-12-27,顺发恒业,000631,39.15,40.17,40.74,39.04,174877,54331202.93,4.34,2.61,1.02,0.73
219,2024-12-26,顺发恒业,000631,40.06,39.15,40.4,38.93,206089,62752880.49,3.67,-2.27,-0.91,0.86
218,2024-12-25,顺发恒业,000631,40.74,40.06,40.85,39.61,139944,43413607.0,3.03,-2.2,-0.9,0.58
217,2024-12-24,顺发恒业,000631,40.96,40.96,41.08,39.72,229811,71807511.3,3.37,1.39,0.56,0.96
216,2024-12-23,顺发恒业,000631,43.57,40.4,43.57,40.06,356433,114430385.54,8.06,-7.28,-3.17,1.49
215,2024-12-20,顺发恒业,000631,43.45,43.57,44.47,43.11,194979,66954846.72,3.15,0.79,0.34,0.81
214,2024-12-19,顺发恒业,000631,43.57,43.23,44.36,43.0,196708,67026202.16,3.08,-2.04,-0.9,0.82
213,2024-12-18,顺发恒业,000631,44.13,44.13,44.92,43.11,250308,86229395.8,4.1,0.0,0.0,1.05
212,2024-12-17,顺发恒业,000631,45.26,44.13,45.83,43.91,334374,117257040.88,4.25,-2.26,-1.02,1.4
211,2024-12-16,顺发恒业,000631,43.45,45.15,46.73,43.23,436311,155022721.86,8.06,3.91,1.7,1.82
210,2024-12-13,顺发恒业,000631,44.02,43.45,44.36,43.0,254727,86641599.48,3.06,-2.29,-1.02,1.06
209,2024-12-12,顺发恒业,000631,43.45,44.47,44.92,43.0,349606,121018535.08,4.41,2.07,0.9,1.46
208,2024-12-11,顺发恒业,000631,41.76,43.57,43.57,41.42,373501,125839381.54,5.15,4.33,1.81,1.56
207,2024-12-10,顺发恒业,000631,43.34,41.76,43.68,41.64,283573,93937809.37,4.83,-1.07,-0.45,1.18
206,2024-12-09,顺发恒业,000631,43.57,42.21,43.91,41.64,347552,115349145.64,5.2,-3.37,-1.47,1.45
205,2024-12-06,顺发恒业,000631,43.23,43.68,43.91,42.55,271839,92138432.07,3.16,1.58,0.68,1.13
204,2024-12-05,顺发恒业,000631,43.11,43.0,43.45,42.44,248575,83247885.08,2.35,0.26,0.11,1.04
203,2024-12-04,顺发恒业,000631,44.13,42.89,44.58,42.66,424935,144832854.55,4.33,-3.31,-1.47,1.77
202,2024-12-03,顺发恒业,000631,43.23,44.36,46.62,43.23,772257,271524085.12,7.68,0.52,0.23,3.22
201,2024-12-02,顺发恒业,000631,44.81,44.13,44.92,42.32,995893,343497953.66,5.98,1.57,0.68,4.16
200,2024-11-29,顺发恒业,000631,39.95,43.45,43.45,39.72,513625,170811333.22,9.34,8.76,3.5,2.14
199,2024-11-28,顺发恒业,000631,40.63,39.95,40.96,39.72,304864,95311200.21,3.03,-2.47,-1.01,1.27
198,2024-11-27,顺发恒业,000631,40.63,40.96,41.08,39.61,317070,99170748.68,3.59,0.0,0.0,1.32
197,2024-11-26,顺发恒业,000631,40.51,40.96,41.53,40.17,321840,101697224.85,3.34,0.54,0.22,1.34
196,2024-11-25,顺发恒业,000631,40.4,40.74,40.85,39.27,353821,110397643.85,3.91,0.84,0.34,1.48
195,2024-11-22,顺发恒业,000631,39.15,40.4,41.76,39.15,583258,183104319.9,6.67,3.19,1.25,2.44
194,2024-11-21,顺发恒业,000631,38.48,39.15,40.29,37.91,297548,89586022.34,6.19,1.74,0.67,1.24
193,2024-11-20,顺发恒业,000631,37.91,38.48,38.59,37.23,217335,63601532.05,3.59,1.5,0.57,0.91
192,2024-11-19,顺发恒业,000631,37.68,37.91,38.02,36.78,191778,55184030.12,3.3,0.9,0.34,0.8
191,2024-11-18,顺发恒业,000631,36.67,37.57,37.8,36.67,240723,68683180.29,3.08,2.45,0.9,1.0
190,2024-11-15,顺发恒业,000631,37.57,36.67,37.91,36.55,181650,51795690.66,3.61,-2.68,-1.01,0.76
189,2024-11-14,顺发恒业,000631,38.7,37.68,39.04,37.57,171120,50032948.89,3.84,-1.49,-0.57,0.71
188,2024-11-13,顺发恒业,000631,38.59,38.25,38.82,37.68,182271,53456997.59,2.94,-1.47,-0.57,0.76
187,2024-11-12,顺发恒业,000631,39.83,38.82,40.06,38.48,316446,96060190.89,3.94,-3.1,-1.24,1.32
186,2024-11-11,顺发恒业,000631,39.61,40.06,40.4,39.27,386757,118834999.0,2.76,-2.2,-0.9,1.61
185,2024-11-08,顺发恒业,000631,41.87,40.96,43.0,40.51,903048,291437812.52,6.27,3.12,1.24,3.77
184,2024-11-07,顺发恒业,000631,38.14,39.72,40.06,38.02,454791,138099244.57,5.3,3.22,1.24,1.9
183,2024-11-06,顺发恒业,000631,38.25,38.48,38.82,37.0,384516,112161596.43,4.77,0.89,0.34,1.61
182,2024-11-05,顺发恒业,000631,37.57,38.14,38.36,37.23,372200,108429464.96,3.01,1.52,0.57,1.55
181,2024-11-04,顺发恒业,000631,37.34,37.57,38.25,37.0,324328,92931744.57,3.29,-1.18,-0.45,1.35
180,2024-11-01,顺发恒业,000631,40.63,38.02,40.63,37.23,744697,220749242.33,8.86,-0.89,-0.34,3.11
179,2024-10-31,顺发恒业,000631,35.42,38.36,38.36,34.97,281159,80046316.73,9.6,8.64,3.05,1.17
178,2024-10-30,顺发恒业,000631,35.31,35.31,35.87,34.86,167381,44821476.0,2.86,0.0,0.0,0.7
177,2024-10-29,顺发恒业,000631,36.89,35.31,37.12,35.31,200278,54758629.66,4.91,-4.28,-1.58,0.84
176,2024-10-28,顺发恒业,000631,35.76,36.89,36.89,35.65,228114,63608489.58,3.46,2.84,1.02,0.95
175,2024-10-25,顺发恒业,000631,35.31,35.87,35.99,35.31,124991,33956175.31,1.93,1.59,0.56,0.52
174,2024-10-24,顺发恒业,000631,34.74,35.31,35.65,34.63,178870,47693941.83,2.94,1.64,0.57,0.75
173,2024-10-23,顺发恒业,000631,34.86,34.74,35.42,34.63,168500,44582657.08,2.27,0.0,0.0,0.7
172,2024-10-22,顺发恒业,000631,34.29,34.74,34.86,34.18,130637,34142797.32,1.99,1.64,0.56,0.55
171,2024-10-21,顺发恒业,000631,34.52,34.18,34.63,33.95,180122,46538187.68,1.96,-1.3,-0.45,0.75
170,2024-10-18,顺发恒业,000631,34.4,34.63,34.97,33.84,191917,49793225.99,3.28,0.67,0.23,0.8
169,2024-10-17,顺发恒业,000631,35.87,34.4,35.87,34.29,201165,53300948.98,4.42,-3.8,-1.36,0.84
168,2024-10-16,顺发恒业,000631,34.86,35.76,35.87,34.86,158510,42798981.8,2.89,2.26,0.79,0.66
167,2024-10-15,顺发恒业,000631,35.19,34.97,35.99,34.74,125541,33703095.86,3.53,-1.27,-0.45,0.52
166,2024-10-14,顺发恒业,000631,35.19,35.42,35.99,34.74,183968,49138220.16,3.62,2.61,0.9,0.77
165,2024-10-11,顺发恒业,000631,34.63,34.52,35.08,34.06,166688,43515975.28,2.95,-0.32,-0.11,0.7
164,2024-10-10,顺发恒业,000631,34.74,34.63,35.31,33.84,205198,53765403.9,4.23,-0.32,-0.11,0.86
163,2024-10-09,顺发恒业,000631,37.46,34.74,37.46,34.74,331763,90120080.13,7.15,-8.63,-3.28,1.39
162,2024-10-08,顺发恒业,000631,40.4,38.02,40.4,36.44,453217,133005993.48,10.64,2.12,0.79,1.89
161,2024-09-30,顺发恒业,000631,35.76,37.23,37.34,35.31,358040,99841622.44,5.88,7.85,2.71,1.49
160,2024-09-27,顺发恒业,000631,34.29,34.52,34.97,33.95,198685,51698502.99,3.02,2.37,0.8,0.83
159,2024-09-26,顺发恒业,000631,32.48,33.72,33.72,32.37,175916,43881841.05,4.16,3.82,1.24,0.73
158,2024-09-25,顺发恒业,000631,32.25,32.48,33.5,32.25,187882,46365751.78,3.9,1.4,0.45,0.78
157,2024-09-24,顺发恒业,000631,31.57,32.03,32.14,31.46,103693,24605228.45,2.16,1.81,0.57,0.43
156,2024-09-23,顺发恒业,000631,31.24,31.46,31.57,31.01,64730,15072232.66,1.79,0.35,0.11,0.27
155,2024-09-20,顺发恒业,000631,30.9,31.35,31.46,30.67,85433,19792401.96,2.54,0.74,0.23,0.36
154,2024-09-19,顺发恒业,000631,30.22,31.12,31.24,30.22,114002,26058858.9,3.38,2.98,0.9,0.48
153,2024-09-18,顺发恒业,000631,30.22,30.22,30.44,29.43,68728,15147965.9,3.37,0.77,0.23,0.29
152,2024-09-13,顺发恒业,000631,29.88,29.99,30.33,29.88,42089,9348747.08,1.5,0.0,0.0,0.18
151,2024-09-12,顺发恒业,000631,29.99,29.99,30.22,29.88,33899,7514604.0,1.13,0.0,0.0,0.14
150,2024-09-11,顺发恒业,000631,29.99,29.99,30.22,29.76,34957,7716788.36,1.52,-0.76,-0.23,0.15
149,2024-09-10,顺发恒业,000631,30.1,30.22,30.22,29.65,48793,10757564.0,1.89,0.4,0.12,0.2
148,2024-09-09,顺发恒业,000631,30.22,30.1,30.33,29.76,36783,8155032.92,1.89,0.0,0.0,0.15
147,2024-09-06,顺发恒业,000631,30.56,30.1,30.67,30.1,41953,9382759.0,1.87,-1.12,-0.34,0.18
146,2024-09-05,顺发恒业,000631,30.22,30.44,30.67,30.1,71017,15991459.1,1.9,1.5,0.45,0.3
145,2024-09-04,顺发恒业,000631,30.1,29.99,30.56,29.99,39237,8750627.0,1.89,-0.76,-0.23,0.16
144,2024-09-03,顺发恒业,000631,30.33,30.22,30.44,29.99,36962,8236908.0,1.5,0.4,0.12,0.15
143,2024-09-02,顺发恒业,000631,30.33,30.1,30.78,30.1,61750,13875232.48,2.24,-0.76,-0.23,0.26
142,2024-08-30,顺发恒业,000631,29.76,30.33,30.9,29.65,85052,19071215.2,4.2,1.92,0.57,0.36
141,2024-08-29,顺发恒业,000631,29.54,29.76,29.88,29.54,41048,8983930.4,1.14,0.0,0.0,0.17
140,2024-08-28,顺发恒业,000631,29.99,29.76,30.1,29.31,60972,13356915.5,2.63,-0.77,-0.23,0.25
139,2024-08-27,顺发恒业,000631,30.56,29.99,30.67,29.88,61086,13602548.08,2.58,-2.22,-0.68,0.26
138,2024-08-26,顺发恒业,000631,29.99,30.67,31.01,29.99,85231,19310950.52,3.43,3.06,0.91,0.36
137,2024-08-23,顺发恒业,000631,30.67,29.76,30.78,29.65,119102,26288419.4,3.68,-2.97,-0.91,0.5
136,2024-08-22,顺发恒业,000631,31.01,30.67,31.35,30.56,41598,9521980.0,2.55,-1.1,-0.34,0.17
135,2024-08-21,顺发恒业,000631,31.01,31.01,31.24,30.78,30673,7060975.9,1.48,0.0,0.0,0.13
134,2024-08-20,顺发恒业,000631,31.57,31.01,31.57,31.01,48678,11292017.0,1.78,-1.43,-0.45,0.2
133,2024-08-19,顺发恒业,000631,31.57,31.46,31.69,31.35,47926,11231655.0,1.08,-0.35,-0.11,0.2
132,2024-08-16,顺发恒业,000631,31.69,31.57,31.91,31.46,43769,10321560.24,1.42,-0.72,-0.23,0.18
131,2024-08-15,顺发恒业,000631,31.57,31.8,31.8,31.24,57682,13546833.99,1.77,0.73,0.23,0.24
130,2024-08-14,顺发恒业,000631,31.57,31.57,31.91,31.46,34813,8209335.0,1.42,-0.72,-0.23,0.15
129,2024-08-13,顺发恒业,000631,31.57,31.8,31.8,31.35,47429,11145326.8,1.43,0.73,0.23,0.2
128,2024-08-12,顺发恒业,000631,32.25,31.57,32.59,31.46,80173,18986458.06,3.5,-2.11,-0.68,0.33
127,2024-08-09,顺发恒业,000631,31.8,32.25,32.59,31.69,102916,24836433.56,2.83,1.42,0.45,0.43
126,2024-08-08,顺发恒业,000631,31.57,31.8,32.14,31.35,72632,17186561.0,2.51,1.08,0.34,0.3
125,2024-08-07,顺发恒业,000631,31.8,31.46,31.91,31.46,45172,10622788.7,1.42,-1.07,-0.34,0.19
124,2024-08-06,顺发恒业,000631,31.8,31.8,32.14,31.35,73123,17272180.42,2.48,0.0,0.0,0.31
123,2024-08-05,顺发恒业,000631,32.03,31.8,32.48,31.69,89248,21394712.87,2.47,-0.72,-0.23,0.37
122,2024-08-02,顺发恒业,000631,32.03,32.03,32.37,31.8,51185,12269219.0,1.78,0.0,0.0,0.21
121,2024-08-01,顺发恒业,000631,32.03,32.03,32.37,31.8,62969,15076480.55,1.78,0.0,0.0,0.26
120,2024-07-31,顺发恒业,000631,31.46,32.03,32.14,31.24,79307,18825931.49,2.87,2.17,0.68,0.33
119,2024-07-30,顺发恒业,000631,31.12,31.35,31.57,31.01,42307,9845153.71,1.79,0.35,0.11,0.18
118,2024-07-29,顺发恒业,000631,31.35,31.24,31.35,30.78,41567,9590776.0,1.83,0.39,0.12,0.17
117,2024-07-26,顺发恒业,000631,31.12,31.12,31.69,31.01,52730,12259907.47,2.19,0.0,0.0,0.22
116,2024-07-25,顺发恒业,000631,30.78,31.12,31.24,30.56,48330,11115617.92,2.2,0.71,0.22,0.2
115,2024-07-24,顺发恒业,000631,31.69,30.9,31.8,30.9,74880,17366053.8,2.83,-2.83,-0.9,0.31
114,2024-07-23,顺发恒业,000631,31.91,31.8,32.37,31.69,46853,11217349.93,2.13,-0.34,-0.11,0.2
113,2024-07-22,顺发恒业,000631,31.69,31.91,32.25,31.46,69502,16557842.16,2.49,0.69,0.22,0.29
112,2024-07-19,顺发恒业,000631,31.57,31.69,31.91,31.24,91705,21602474.44,2.09,-1.06,-0.34,0.38
111,2024-07-18,顺发恒业,000631,33.16,32.03,33.95,31.57,155738,37589391.58,7.46,0.38,0.12,0.65
110,2024-07-17,顺发恒业,000631,31.57,31.91,32.14,31.46,62458,14827428.39,2.15,1.08,0.34,0.26
109,2024-07-16,顺发恒业,000631,31.69,31.57,31.91,31.35,51793,12186021.0,1.77,-0.38,-0.12,0.22
108,2024-07-15,顺发恒业,000631,32.37,31.69,32.37,31.57,70929,16869000.0,2.47,-2.1,-0.68,0.3
107,2024-07-12,顺发恒业,000631,32.14,32.37,32.82,32.03,96031,23364973.8,2.48,1.44,0.46,0.4
106,2024-07-11,顺发恒业,000631,31.12,31.91,32.37,31.01,94074,22309978.32,4.42,3.67,1.13,0.39
