,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,仁和药业,000650,184.8,185.08,185.08,183.41,143226,79804897.41,0.9,0.15,0.28,1.08
240,2025-01-23,仁和药业,000650,185.91,184.8,186.75,184.8,165063,92755343.63,1.05,-0.15,-0.28,1.24
239,2025-01-22,仁和药业,000650,185.63,185.08,186.47,184.52,92486,51779909.0,1.05,-0.45,-0.83,0.69
238,2025-01-21,仁和药业,000650,186.47,185.91,186.75,184.8,113664,63706693.6,1.05,-0.15,-0.28,0.85
237,2025-01-20,仁和药业,000650,187.03,186.19,187.58,185.63,127043,71683555.0,1.05,0.15,0.28,0.95
236,2025-01-17,仁和药业,000650,185.36,185.91,186.75,184.52,115904,65098260.81,1.2,0.3,0.55,0.87
235,2025-01-16,仁和药业,000650,186.47,185.36,187.58,184.8,156459,88095053.0,1.5,-0.3,-0.55,1.18
234,2025-01-15,仁和药业,000650,186.75,185.91,186.75,185.08,124245,69737345.96,0.9,-0.15,-0.28,0.93
233,2025-01-14,仁和药业,000650,183.13,186.19,186.75,182.85,179831,100581382.73,2.13,1.83,3.34,1.35
232,2025-01-13,仁和药业,000650,182.57,182.85,183.41,181.18,122244,67153570.99,1.22,-0.15,-0.28,0.92
231,2025-01-10,仁和药业,000650,184.24,183.13,184.52,182.85,132124,73241374.68,0.91,-0.46,-0.84,0.99
230,2025-01-09,仁和药业,000650,183.97,183.97,185.08,182.57,131957,73265527.96,1.36,-0.45,-0.83,0.99
229,2025-01-08,仁和药业,000650,186.47,184.8,187.3,182.85,206558,115375632.93,2.39,-0.9,-1.67,1.55
228,2025-01-07,仁和药业,000650,190.09,186.47,190.09,184.8,262349,147840829.96,2.79,-1.61,-3.06,1.97
227,2025-01-06,仁和药业,000650,186.19,189.53,189.81,185.91,310166,177099926.66,2.1,2.1,3.9,2.33
226,2025-01-03,仁和药业,000650,186.19,185.63,188.69,184.8,219568,124184113.18,2.09,-0.3,-0.56,1.65
225,2025-01-02,仁和药业,000650,190.64,186.19,190.92,184.8,246051,140191292.54,3.22,-1.91,-3.62,1.85
224,2024-12-31,仁和药业,000650,193.42,189.81,193.98,189.81,232089,135211392.32,2.16,-1.72,-3.33,1.74
223,2024-12-30,仁和药业,000650,193.42,193.14,193.98,192.31,128940,75841044.11,0.86,-0.29,-0.56,0.97
222,2024-12-27,仁和药业,000650,192.87,193.7,194.26,191.75,176451,103911515.35,1.3,0.43,0.83,1.33
221,2024-12-26,仁和药业,000650,193.14,192.87,193.7,192.31,126604,74382519.0,0.72,-0.28,-0.55,0.95
220,2024-12-25,仁和药业,000650,193.42,193.42,194.26,191.75,161207,94563069.8,1.3,0.29,0.55,1.21
219,2024-12-24,仁和药业,000650,191.75,192.87,193.14,191.75,163672,95858232.49,0.72,0.58,1.12,1.23
218,2024-12-23,仁和药业,000650,194.81,191.75,195.37,191.75,252511,148499035.33,1.86,-1.71,-3.34,1.9
217,2024-12-20,仁和药业,000650,195.09,195.09,196.2,194.26,177821,105851932.56,0.99,0.0,0.0,1.34
216,2024-12-19,仁和药业,000650,193.98,195.09,195.09,192.59,237198,139844338.25,1.28,0.14,0.28,1.78
215,2024-12-18,仁和药业,000650,195.09,194.81,195.93,194.26,193702,115277160.52,0.86,0.14,0.27,1.45
214,2024-12-17,仁和药业,000650,197.6,194.54,197.6,194.26,295330,176216546.72,1.69,-1.41,-2.78,2.22
213,2024-12-16,仁和药业,000650,197.04,197.32,199.82,196.76,281305,170364257.08,1.55,0.0,0.0,2.11
212,2024-12-13,仁和药业,000650,200.66,197.32,200.66,197.04,402498,244575455.82,1.8,-1.8,-3.61,3.02
211,2024-12-12,仁和药业,000650,198.71,200.93,201.77,197.87,584528,358709159.57,1.97,1.4,2.78,4.39
210,2024-12-11,仁和药业,000650,197.04,198.15,198.43,196.76,282742,171020571.29,0.85,0.56,1.11,2.12
209,2024-12-10,仁和药业,000650,199.82,197.04,200.93,196.76,460035,279198810.16,2.12,0.14,0.28,3.46
208,2024-12-09,仁和药业,000650,198.15,196.76,198.71,196.2,332253,200794104.19,1.27,-0.28,-0.56,2.5
207,2024-12-06,仁和药业,000650,194.54,197.32,197.32,194.26,366375,219486628.22,1.57,1.29,2.51,2.75
206,2024-12-05,仁和药业,000650,194.26,194.81,194.81,193.42,194611,115216949.0,0.71,0.14,0.27,1.46
205,2024-12-04,仁和药业,000650,196.76,194.54,196.76,193.98,256162,152629173.98,1.41,-1.13,-2.22,1.92
204,2024-12-03,仁和药业,000650,197.6,196.76,197.87,195.37,252028,151135708.32,1.27,-0.28,-0.56,1.89
203,2024-12-02,仁和药业,000650,195.37,197.32,197.87,195.09,329782,198280622.99,1.42,0.85,1.67,2.48
202,2024-11-29,仁和药业,000650,193.7,195.65,196.2,193.42,290400,172650804.93,1.43,0.72,1.39,2.18
201,2024-11-28,仁和药业,000650,193.98,194.26,195.09,193.42,250096,147962592.0,0.86,0.14,0.28,1.88
200,2024-11-27,仁和药业,000650,192.59,193.98,194.26,190.36,231044,135043726.95,2.02,0.58,1.11,1.74
199,2024-11-26,仁和药业,000650,192.31,192.87,194.54,191.75,228301,134438697.3,1.45,0.29,0.56,1.71
198,2024-11-25,仁和药业,000650,192.59,192.31,193.14,190.64,209221,122100821.08,1.3,0.15,0.28,1.57
197,2024-11-22,仁和药业,000650,197.6,192.03,197.87,191.75,368327,218499204.82,3.09,-2.95,-5.84,2.77
196,2024-11-21,仁和药业,000650,196.76,197.87,198.99,195.09,361646,217616818.31,1.98,0.71,1.39,2.72
195,2024-11-20,仁和药业,000650,194.54,196.48,197.04,194.26,320803,191903362.38,1.42,0.71,1.39,2.41
194,2024-11-19,仁和药业,000650,193.42,195.09,195.09,192.31,278863,164656741.95,1.44,0.86,1.67,2.09
193,2024-11-18,仁和药业,000650,195.09,193.42,196.76,192.59,386682,229817097.15,2.14,-0.71,-1.39,2.9
192,2024-11-15,仁和药业,000650,196.48,194.81,198.15,194.81,344003,206454742.16,1.7,-0.99,-1.95,2.58
191,2024-11-14,仁和药业,000650,200.38,196.76,200.93,196.2,435326,264217821.75,2.36,-1.81,-3.62,3.27
190,2024-11-13,仁和药业,000650,203.16,200.38,204.83,198.43,715948,441061032.98,3.14,-1.77,-3.61,5.38
189,2024-11-12,仁和药业,000650,197.87,203.99,207.05,197.6,1383041,863085667.71,4.79,3.38,6.67,10.39
188,2024-11-11,仁和药业,000650,196.76,197.32,197.32,194.26,482501,288678894.27,1.55,0.14,0.28,3.62
187,2024-11-08,仁和药业,000650,199.26,197.04,200.1,195.09,672420,405215714.78,2.54,-0.28,-0.56,5.05
186,2024-11-07,仁和药业,000650,191.48,197.6,197.87,190.92,699793,417209848.07,3.61,2.75,5.29,5.26
185,2024-11-06,仁和药业,000650,192.03,192.31,193.14,190.92,497476,290634812.94,1.15,0.0,0.0,3.74
184,2024-11-05,仁和药业,000650,189.81,192.31,192.31,188.97,514560,298966663.18,1.76,1.17,2.22,3.86
183,2024-11-04,仁和药业,000650,188.14,190.09,190.09,187.86,300722,172236705.41,1.19,1.04,1.95,2.26
182,2024-11-01,仁和药业,000650,189.53,188.14,190.09,186.75,380893,217699051.5,1.76,-0.88,-1.67,2.86
181,2024-10-31,仁和药业,000650,188.69,189.81,190.64,188.14,354720,204114502.12,1.32,0.44,0.84,2.66
180,2024-10-30,仁和药业,000650,190.36,188.97,191.48,187.3,444258,255221563.51,2.19,-1.17,-2.23,3.34
179,2024-10-29,仁和药业,000650,196.48,191.2,197.6,190.92,997802,586896087.09,3.36,-3.78,-7.51,7.49
178,2024-10-28,仁和药业,000650,195.09,198.71,198.99,194.81,544183,328328236.94,2.14,1.71,3.34,4.09
177,2024-10-25,仁和药业,000650,193.42,195.37,195.65,192.87,482582,286171400.0,1.44,0.86,1.67,3.62
176,2024-10-24,仁和药业,000650,194.54,193.7,195.65,192.87,505981,299679445.09,1.42,-0.71,-1.39,3.8
175,2024-10-23,仁和药业,000650,194.26,195.09,195.65,193.14,493004,292293553.0,1.29,0.43,0.83,3.7
174,2024-10-22,仁和药业,000650,192.31,194.26,195.09,191.48,604130,355941070.1,1.88,1.01,1.95,4.54
173,2024-10-21,仁和药业,000650,194.81,192.31,194.81,192.03,424245,249175736.3,1.44,-0.57,-1.11,3.19
172,2024-10-18,仁和药业,000650,190.36,193.42,195.93,190.09,441710,259287447.36,3.06,1.46,2.78,3.32
171,2024-10-17,仁和药业,000650,193.14,190.64,193.7,190.64,267269,155965316.84,1.59,-0.72,-1.39,2.01
170,2024-10-16,仁和药业,000650,190.92,192.03,193.98,190.36,293322,171596405.53,1.89,0.0,0.0,2.2
169,2024-10-15,仁和药业,000650,194.81,192.03,196.2,192.03,304836,180241766.26,2.13,-1.71,-3.34,2.29
168,2024-10-14,仁和药业,000650,194.81,195.37,197.04,191.75,428831,254074795.42,2.72,0.29,0.56,3.22
167,2024-10-11,仁和药业,000650,201.49,194.81,201.77,192.87,456513,274818467.88,4.41,-3.45,-6.96,3.43
166,2024-10-10,仁和药业,000650,200.93,201.77,207.05,199.54,443604,277444987.6,3.74,0.42,0.84,3.33
165,2024-10-09,仁和药业,000650,210.95,200.93,210.95,200.66,712132,449415154.21,4.8,-6.23,-13.36,5.35
164,2024-10-08,仁和药业,000650,224.86,214.29,225.13,207.61,977128,653280272.01,8.45,3.36,6.96,7.34
163,2024-09-30,仁和药业,000650,198.99,207.33,209.0,197.32,784991,490846309.37,6.03,7.04,13.63,5.9
162,2024-09-27,仁和药业,000650,190.09,193.7,196.76,189.81,474255,278577276.68,3.69,2.96,5.56,3.56
161,2024-09-26,仁和药业,000650,183.13,188.14,188.14,182.57,315552,177023695.22,3.04,2.58,4.73,2.37
160,2024-09-25,仁和药业,000650,182.85,183.41,186.19,182.85,299449,166815797.73,1.84,1.07,1.95,2.25
159,2024-09-24,仁和药业,000650,177.57,181.46,182.02,177.29,255377,137988071.17,2.67,2.51,4.45,1.92
158,2024-09-23,仁和药业,000650,175.9,177.01,177.57,175.62,98801,52238775.64,1.11,0.47,0.83,0.74
157,2024-09-20,仁和药业,000650,177.01,176.18,177.01,174.51,109269,57336038.75,1.41,-0.31,-0.55,0.82
156,2024-09-19,仁和药业,000650,174.23,176.73,177.57,173.12,159958,84023935.32,2.57,1.92,3.33,1.2
155,2024-09-18,仁和药业,000650,174.23,173.4,174.51,171.45,110071,56660505.94,1.76,-0.48,-0.83,0.83
154,2024-09-13,仁和药业,000650,174.23,174.23,175.34,173.4,112286,58406116.05,1.11,-0.32,-0.56,0.84
153,2024-09-12,仁和药业,000650,175.62,174.79,177.01,174.51,95997,50407229.01,1.43,-0.15,-0.27,0.72
152,2024-09-11,仁和药业,000650,175.9,175.06,176.18,173.95,113121,59217510.25,1.26,-0.79,-1.4,0.85
151,2024-09-10,仁和药业,000650,178.4,176.46,179.24,173.95,167634,88107453.0,2.97,-1.09,-1.94,1.26
150,2024-09-09,仁和药业,000650,178.96,178.4,180.63,177.85,117012,62841689.2,1.55,-0.47,-0.84,0.88
149,2024-09-06,仁和药业,000650,180.07,179.24,181.18,178.96,95437,51560991.09,1.23,-0.77,-1.39,0.72
148,2024-09-05,仁和药业,000650,178.96,180.63,181.18,178.12,127598,69219087.14,1.71,0.93,1.67,0.96
147,2024-09-04,仁和药业,000650,179.52,178.96,181.18,178.68,131269,70881327.85,1.39,-0.62,-1.11,0.99
146,2024-09-03,仁和药业,000650,179.52,180.07,182.02,178.96,140309,76184722.67,1.7,0.31,0.55,1.05
145,2024-09-02,仁和药业,000650,180.91,179.52,182.3,179.52,153207,83231699.95,1.53,-0.92,-1.66,1.15
144,2024-08-30,仁和药业,000650,181.18,181.18,183.69,179.52,232539,127260928.0,2.31,0.3,0.55,1.75
143,2024-08-29,仁和药业,000650,178.12,180.63,181.18,177.85,162497,87997760.32,1.86,1.09,1.95,1.22
142,2024-08-28,仁和药业,000650,176.46,178.68,180.63,175.62,231248,123816740.06,2.86,1.9,3.34,1.74
141,2024-08-27,仁和药业,000650,176.46,175.34,177.85,174.79,150337,79165523.3,1.73,-0.79,-1.39,1.13
140,2024-08-26,仁和药业,000650,176.46,176.73,177.01,174.79,129341,68071848.08,1.26,0.0,0.0,0.97
139,2024-08-23,仁和药业,000650,178.12,176.73,178.68,176.18,150966,80025358.25,1.41,-0.63,-1.12,1.13
138,2024-08-22,仁和药业,000650,179.24,177.85,179.79,177.57,134624,72027244.06,1.24,-0.62,-1.11,1.01
137,2024-08-21,仁和药业,000650,181.74,178.96,182.02,178.4,197239,106393597.96,1.99,-1.68,-3.06,1.48
136,2024-08-20,仁和药业,000650,184.8,182.02,185.36,181.46,192920,106157353.0,2.11,-1.5,-2.78,1.45
135,2024-08-19,仁和药业,000650,185.63,184.8,186.47,184.24,172438,96566474.0,1.2,-0.45,-0.83,1.3
134,2024-08-16,仁和药业,000650,185.63,185.63,186.19,183.97,197386,110568335.94,1.19,-0.15,-0.28,1.48
133,2024-08-15,仁和药业,000650,185.63,185.91,187.58,184.8,271602,152704825.0,1.5,0.15,0.28,2.04
132,2024-08-14,仁和药业,000650,187.3,185.63,187.3,185.08,177808,99853695.21,1.18,-1.04,-1.95,1.34
131,2024-08-13,仁和药业,000650,188.14,187.58,188.14,185.63,260805,147091447.74,1.33,-0.3,-0.56,1.96
130,2024-08-12,仁和药业,000650,185.63,188.14,190.09,185.08,357715,203668044.34,2.7,1.35,2.51,2.69
129,2024-08-09,仁和药业,000650,187.86,185.63,188.69,184.8,237051,133724985.0,2.07,-1.19,-2.23,1.78
128,2024-08-08,仁和药业,000650,185.08,187.86,188.69,184.52,277069,157033250.0,2.25,1.35,2.5,2.08
127,2024-08-07,仁和药业,000650,187.3,185.36,187.3,184.52,214271,120242374.0,1.48,-1.18,-2.22,1.61
126,2024-08-06,仁和药业,000650,185.63,187.58,187.58,185.36,226680,127964178.55,1.2,1.5,2.78,1.7
125,2024-08-05,仁和药业,000650,186.19,184.8,189.53,184.8,286334,161899589.14,2.53,-1.19,-2.23,2.15
124,2024-08-02,仁和药业,000650,186.47,187.03,189.53,185.91,287097,163501064.0,1.94,0.0,0.0,2.16
123,2024-08-01,仁和药业,000650,187.3,187.03,189.81,185.91,226705,128856071.0,2.09,0.0,0.0,1.7
122,2024-07-31,仁和药业,000650,183.13,187.03,188.42,182.85,354325,199878057.74,3.05,2.29,4.18,2.66
121,2024-07-30,仁和药业,000650,182.85,182.85,184.24,182.02,123429,68084208.91,1.21,-0.15,-0.28,0.93
120,2024-07-29,仁和药业,000650,185.08,183.13,185.63,182.85,124945,69309397.24,1.5,-1.2,-2.23,0.94
119,2024-07-26,仁和药业,000650,186.75,185.36,187.03,184.52,139578,78339893.75,1.36,0.3,0.56,1.05
118,2024-07-25,仁和药业,000650,185.08,184.8,186.47,182.02,199137,111192188.64,2.45,1.68,3.06,1.5
117,2024-07-24,仁和药业,000650,183.41,181.74,184.24,181.18,148203,81493145.0,1.66,-1.21,-2.23,1.11
116,2024-07-23,仁和药业,000650,187.58,183.97,187.86,183.69,214733,120175804.5,2.23,-1.78,-3.33,1.61
115,2024-07-22,仁和药业,000650,187.86,187.3,188.97,185.63,151688,86136651.0,1.78,-0.45,-0.84,1.14
114,2024-07-19,仁和药业,000650,189.25,188.14,191.2,187.03,209649,119969156.0,2.2,-0.88,-1.67,1.57
113,2024-07-18,仁和药业,000650,187.58,189.81,190.09,186.19,202356,115641474.67,2.07,0.89,1.67,1.52
112,2024-07-17,仁和药业,000650,187.3,188.14,188.42,185.63,149838,84907377.21,1.49,0.3,0.56,1.13
111,2024-07-16,仁和药业,000650,187.58,187.58,188.14,186.19,112047,63478819.4,1.04,-0.3,-0.56,0.84
110,2024-07-15,仁和药业,000650,189.81,188.14,190.09,187.86,149189,85259432.6,1.17,-1.31,-2.5,1.12
109,2024-07-12,仁和药业,000650,191.48,190.64,192.03,188.14,238781,137831195.53,2.03,-0.44,-0.84,1.79
108,2024-07-11,仁和药业,000650,190.64,191.48,192.03,188.69,179406,103994770.0,1.78,1.78,3.34,1.35
107,2024-07-10,仁和药业,000650,188.69,188.14,190.64,187.58,150320,86123666.0,1.61,-0.73,-1.39,1.13
106,2024-07-09,仁和药业,000650,189.81,189.53,190.09,184.52,240282,136331784.73,2.94,0.0,0.0,1.8
105,2024-07-08,仁和药业,000650,192.59,189.53,192.87,188.69,141182,81463835.0,2.18,-1.3,-2.5,1.06
104,2024-07-05,仁和药业,000650,188.69,192.03,192.59,188.14,157591,94460415.59,2.35,1.47,2.78,1.18
103,2024-07-04,仁和药业,000650,192.03,189.25,192.31,187.86,129813,77233810.54,2.32,-1.16,-2.23,0.98
102,2024-07-03,仁和药业,000650,192.31,191.48,193.42,190.92,103241,62284857.0,1.3,-0.72,-1.39,0.78
101,2024-07-02,仁和药业,000650,193.14,192.87,194.54,192.31,134488,81753070.0,1.15,-0.28,-0.55,1.01
100,2024-07-01,仁和药业,000650,187.86,193.42,194.26,187.58,196576,118158459.0,3.55,2.81,5.28,1.48
99,2024-06-28,仁和药业,000650,188.14,188.14,190.36,187.3,152298,90317919.77,1.64,0.59,1.11,1.14
98,2024-06-27,仁和药业,000650,190.36,187.03,191.2,186.47,179120,105584456.0,2.48,-2.04,-3.89,1.35
97,2024-06-26,仁和药业,000650,184.52,190.92,191.48,183.41,221594,130061750.88,4.37,3.47,6.4,1.66
96,2024-06-25,仁和药业,000650,184.24,184.52,185.63,182.3,164617,94750351.44,1.81,0.15,0.28,1.24
95,2024-06-24,仁和药业,000650,188.69,184.24,189.25,183.41,202880,118171992.15,3.11,-1.78,-3.34,1.52
94,2024-06-21,仁和药业,000650,187.3,187.58,191.2,186.19,262984,155571099.08,2.67,0.0,0.0,1.98
93,2024-06-20,仁和药业,000650,198.15,187.58,198.71,185.36,567957,340084363.04,6.74,-5.33,-10.57,4.27
