,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,珠海中富,000659,41.61,42.82,43.06,41.13,174659,42660458.67,4.61,2.32,0.97,1.36
240,2025-01-23,珠海中富,000659,43.54,41.85,46.19,41.85,260217,65469673.04,10.25,-1.13,-0.48,2.02
239,2025-01-22,珠海中富,000659,44.75,42.33,44.75,42.33,282326,69980251.2,5.35,-6.41,-2.9,2.2
238,2025-01-21,珠海中富,000659,47.16,45.23,47.64,44.26,195522,50241963.84,7.28,-2.61,-1.21,1.52
237,2025-01-20,珠海中富,000659,45.95,46.44,47.16,44.26,161006,41996393.92,6.34,1.6,0.73,1.25
236,2025-01-17,珠海中富,000659,48.13,45.71,48.13,45.47,226841,59061343.51,5.56,-4.53,-2.17,1.76
235,2025-01-16,珠海中富,000659,48.37,47.88,49.81,46.92,175758,47422197.0,6.13,1.53,0.72,1.37
234,2025-01-15,珠海中富,000659,47.88,47.16,48.61,46.68,153010,40767231.0,4.03,-1.5,-0.72,1.19
233,2025-01-14,珠海中富,000659,45.47,47.88,48.37,44.51,244042,64526305.38,8.63,6.99,3.13,1.9
232,2025-01-13,珠海中富,000659,44.26,44.75,45.71,42.33,179978,45326630.07,7.51,-0.53,-0.24,1.4
231,2025-01-10,珠海中富,000659,47.88,44.99,48.13,44.99,212668,55470102.4,6.59,-5.56,-2.65,1.65
230,2025-01-09,珠海中富,000659,47.88,47.64,48.61,46.92,123668,33079491.0,3.53,-0.5,-0.24,0.96
229,2025-01-08,珠海中富,000659,48.85,47.88,49.57,45.95,159273,42400117.0,7.41,-1.99,-0.97,1.24
228,2025-01-07,珠海中富,000659,46.19,48.85,49.09,44.99,188062,49897286.14,8.88,5.76,2.66,1.46
227,2025-01-06,珠海中富,000659,46.19,46.19,47.88,43.54,204349,53216857.59,9.35,-0.54,-0.25,1.59
226,2025-01-03,珠海中富,000659,50.06,46.44,51.02,46.19,306214,82025459.69,9.7,-6.77,-3.37,2.38
225,2025-01-02,珠海中富,000659,51.26,49.81,52.71,49.81,220176,61789585.4,5.66,-2.83,-1.45,1.71
224,2024-12-31,珠海中富,000659,52.71,51.26,53.43,50.3,214345,60970332.81,5.91,-3.19,-1.69,1.67
223,2024-12-30,珠海中富,000659,55.61,52.95,55.61,52.23,277837,80292194.0,6.1,-4.37,-2.42,2.16
222,2024-12-27,珠海中富,000659,55.37,55.37,57.05,54.64,322084,96759425.0,4.37,0.45,0.25,2.51
221,2024-12-26,珠海中富,000659,50.54,55.12,56.33,50.54,463657,137469986.0,11.24,7.03,3.62,3.61
220,2024-12-25,珠海中富,000659,56.09,51.5,56.09,50.78,430928,122963470.84,9.47,-8.18,-4.59,3.35
219,2024-12-24,珠海中富,000659,56.57,56.09,56.81,53.68,398570,118262123.71,5.6,0.43,0.24,3.1
218,2024-12-23,珠海中富,000659,59.95,55.85,60.43,55.61,528497,163414962.26,8.14,-5.71,-3.38,4.11
217,2024-12-20,珠海中富,000659,59.95,59.23,62.36,58.99,555118,177225760.63,5.4,-5.02,-3.13,4.32
216,2024-12-19,珠海中富,000659,66.95,62.36,68.88,61.4,615082,204929632.84,11.55,-3.74,-2.42,4.78
215,2024-12-18,珠海中富,000659,64.78,64.78,66.23,61.16,711952,237717941.38,7.83,0.0,0.0,5.54
214,2024-12-17,珠海中富,000659,71.53,64.78,72.98,63.09,1147381,391822730.62,13.73,-10.05,-7.24,8.92
213,2024-12-16,珠海中富,000659,80.95,72.02,80.95,70.09,1835300,699991616.05,14.36,-4.79,-3.62,14.27
212,2024-12-13,珠海中富,000659,73.71,75.64,79.74,72.02,2120146,812642721.03,10.76,5.38,3.86,16.49
211,2024-12-12,珠海中富,000659,64.05,71.78,71.78,64.05,505328,181958468.78,12.11,12.49,7.97,3.93
210,2024-12-11,珠海中富,000659,61.64,63.81,65.26,61.64,528406,176932469.18,5.83,2.72,1.69,4.11
209,2024-12-10,珠海中富,000659,65.5,62.12,65.5,61.64,523316,173168536.39,6.17,-0.78,-0.49,4.07
208,2024-12-09,珠海中富,000659,66.71,62.61,66.95,61.4,702198,232851155.42,8.38,-5.47,-3.62,5.46
207,2024-12-06,珠海中富,000659,64.78,66.23,67.91,63.33,932626,320888284.63,7.07,2.24,1.45,7.25
206,2024-12-05,珠海中富,000659,67.19,64.78,67.43,62.61,1175298,395668072.3,7.05,-5.29,-3.62,9.14
205,2024-12-04,珠海中富,000659,63.33,68.4,71.78,61.64,1848539,642946932.39,15.89,7.19,4.59,14.38
204,2024-12-03,珠海中富,000659,55.85,63.81,63.81,55.85,982334,317654618.84,14.07,12.8,7.24,7.64
203,2024-12-02,珠海中富,000659,53.92,56.57,58.5,53.19,572665,172799100.95,9.89,5.38,2.89,4.45
202,2024-11-29,珠海中富,000659,53.19,53.68,55.61,51.99,435730,127657664.9,6.81,0.92,0.49,3.39
201,2024-11-28,珠海中富,000659,50.06,53.19,54.16,49.57,422193,121121532.93,9.13,5.75,2.89,3.28
200,2024-11-27,珠海中富,000659,48.61,50.3,50.54,47.16,230879,63077572.21,6.95,3.48,1.69,1.8
199,2024-11-26,珠海中富,000659,50.78,48.61,51.5,48.61,189327,52279543.15,5.66,-4.72,-2.41,1.47
198,2024-11-25,珠海中富,000659,49.33,51.02,51.26,47.88,258741,70715588.6,6.75,1.92,0.96,2.01
197,2024-11-22,珠海中富,000659,52.23,50.06,54.4,49.57,409567,115785701.86,9.12,-5.46,-2.89,3.19
196,2024-11-21,珠海中富,000659,54.4,52.95,55.37,51.99,313206,90898951.16,6.13,-3.94,-2.17,2.44
195,2024-11-20,珠海中富,000659,53.19,55.12,56.81,52.95,507037,150281685.22,7.29,4.1,2.17,3.94
