,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,亚太实业,000691,7.72,7.72,7.86,7.55,169777,46618052.0,4.05,0.92,0.07,5.25
240,2025-01-23,亚太实业,000691,7.83,7.65,8.17,7.62,265569,74346706.82,7.12,-0.91,-0.07,8.22
239,2025-01-22,亚太实业,000691,7.79,7.72,7.86,7.45,299822,82304996.25,5.02,-5.51,-0.45,9.27
238,2025-01-21,亚太实业,000691,7.79,8.17,8.38,7.79,559816,158905127.57,6.66,-7.79,-0.69,17.32
237,2025-01-20,亚太实业,000691,8.86,8.86,8.86,8.86,51346,15865914.0,0.0,-11.67,-1.17,1.59
236,2025-01-17,亚太实业,000691,10.21,10.03,10.38,10.0,118941,41057487.0,3.69,-2.72,-0.28,3.68
235,2025-01-16,亚太实业,000691,10.07,10.31,10.31,10.03,183905,63930875.0,2.79,2.79,0.28,5.69
234,2025-01-15,亚太实业,000691,10.28,10.03,10.55,9.93,310331,107026204.0,6.18,0.0,0.0,9.6
233,2025-01-14,亚太实业,000691,9.0,10.03,10.03,9.0,73586,24862796.0,11.5,11.94,1.07,2.28
232,2025-01-13,亚太实业,000691,8.72,8.96,9.1,8.41,121168,37151865.0,7.91,2.75,0.24,3.75
231,2025-01-10,亚太实业,000691,9.38,8.72,9.41,8.69,134433,42066837.0,7.79,-5.63,-0.52,4.16
230,2025-01-09,亚太实业,000691,9.1,9.24,9.38,9.03,128598,41164245.0,3.82,0.76,0.07,3.98
229,2025-01-08,亚太实业,000691,9.21,9.17,9.34,8.79,137701,43591062.0,5.97,-0.43,-0.04,4.26
228,2025-01-07,亚太实业,000691,8.9,9.21,9.21,8.76,159053,49677009.0,5.1,4.3,0.38,4.92
227,2025-01-06,亚太实业,000691,8.93,8.83,9.0,8.24,165491,50525023.38,8.42,-2.21,-0.2,5.12
226,2025-01-03,亚太实业,000691,10.0,9.03,10.03,9.0,219093,70951335.0,10.34,-9.34,-0.93,6.78
225,2025-01-02,亚太实业,000691,10.03,9.96,10.41,9.86,137615,47546368.89,5.48,-0.7,-0.07,4.26
224,2024-12-31,亚太实业,000691,10.34,10.03,10.52,10.03,120063,41819644.0,4.77,-2.43,-0.25,3.71
223,2024-12-30,亚太实业,000691,10.65,10.28,10.76,10.03,149050,51963909.5,6.81,-4.1,-0.44,4.61
222,2024-12-27,亚太实业,000691,10.55,10.72,10.86,10.34,168449,61172850.0,4.98,2.58,0.27,5.21
221,2024-12-26,亚太实业,000691,10.55,10.45,10.97,9.96,195926,70472712.0,9.7,0.38,0.04,6.06
220,2024-12-25,亚太实业,000691,11.31,10.41,11.34,10.28,258642,92518399.67,9.37,-7.96,-0.9,8.0
219,2024-12-24,亚太实业,000691,11.69,11.31,11.9,11.1,178583,68338075.02,6.83,-3.5,-0.41,5.52
218,2024-12-23,亚太实业,000691,13.28,11.72,13.28,11.72,262167,106578527.09,11.81,-11.28,-1.49,8.11
217,2024-12-20,亚太实业,000691,13.07,13.21,13.38,13.0,106493,46323594.33,2.91,1.07,0.14,3.29
216,2024-12-19,亚太实业,000691,13.04,13.07,13.31,12.9,115466,49772206.3,3.1,-1.28,-0.17,3.57
215,2024-12-18,亚太实业,000691,13.59,13.24,13.62,13.04,147861,64776759.4,4.29,-2.07,-0.28,4.57
214,2024-12-17,亚太实业,000691,14.52,13.52,14.62,13.38,194448,88117737.03,8.5,-7.33,-1.07,6.02
213,2024-12-16,亚太实业,000691,14.73,14.59,14.83,14.48,128962,61372042.0,2.42,0.76,0.11,3.99
212,2024-12-13,亚太实业,000691,15.14,14.48,15.14,14.48,151986,72828189.0,4.38,-3.92,-0.59,4.7
211,2024-12-12,亚太实业,000691,14.52,15.07,15.17,14.31,234683,113385303.0,5.94,4.07,0.59,7.26
210,2024-12-11,亚太实业,000691,13.93,14.48,14.93,13.93,215452,101553285.98,7.16,3.65,0.51,6.66
209,2024-12-10,亚太实业,000691,14.35,13.97,14.42,13.86,124028,57243121.0,3.99,-0.5,-0.07,3.84
208,2024-12-09,亚太实业,000691,14.24,14.04,14.35,13.76,111897,51443883.0,4.17,-0.71,-0.1,3.46
207,2024-12-06,亚太实业,000691,13.79,14.14,14.14,13.66,167538,76580167.08,3.48,2.54,0.35,5.18
206,2024-12-05,亚太实业,000691,13.73,13.79,13.97,13.55,119976,54237837.0,3.06,0.44,0.06,3.71
205,2024-12-04,亚太实业,000691,14.24,13.73,14.24,13.59,105995,48237047.68,4.6,-2.9,-0.41,3.28
204,2024-12-03,亚太实业,000691,14.24,14.14,14.42,14.1,115394,53561783.5,2.26,-0.21,-0.03,3.57
203,2024-12-02,亚太实业,000691,14.17,14.17,14.48,13.9,159063,73934399.33,4.22,2.98,0.41,4.92
202,2024-11-29,亚太实业,000691,13.69,13.76,13.93,13.48,95559,42983662.0,3.29,0.51,0.07,2.96
201,2024-11-28,亚太实业,000691,13.45,13.69,13.9,13.35,110711,49582722.0,4.11,2.32,0.31,3.42
200,2024-11-27,亚太实业,000691,13.73,13.38,13.73,13.0,91638,39944415.0,5.32,-2.55,-0.35,2.83
199,2024-11-26,亚太实业,000691,13.52,13.73,14.04,13.38,90715,40820344.0,4.91,2.08,0.28,2.81
198,2024-11-25,亚太实业,000691,12.97,13.45,13.48,12.97,96725,42132936.0,3.94,4.02,0.52,2.99
197,2024-11-22,亚太实业,000691,13.66,12.93,13.66,12.9,88615,38836979.0,5.61,-4.58,-0.62,2.74
196,2024-11-21,亚太实业,000691,13.66,13.55,13.73,13.38,93974,41797880.0,2.56,-0.81,-0.11,2.91
195,2024-11-20,亚太实业,000691,13.45,13.66,13.93,13.38,107339,48290368.0,4.11,2.09,0.28,3.32
194,2024-11-19,亚太实业,000691,13.28,13.38,13.45,13.0,88814,38745328.2,3.38,0.53,0.07,2.75
193,2024-11-18,亚太实业,000691,14.04,13.31,14.17,13.21,136273,60560572.0,7.08,-1.77,-0.24,4.22
192,2024-11-15,亚太实业,000691,14.0,13.55,14.24,13.38,87161,39524848.04,6.11,-3.7,-0.52,2.7
191,2024-11-14,亚太实业,000691,14.55,14.07,14.59,14.0,80483,37334461.0,4.05,-3.3,-0.48,2.49
190,2024-11-13,亚太实业,000691,14.52,14.55,14.69,14.04,95177,44685122.0,4.49,0.48,0.07,2.94
189,2024-11-12,亚太实业,000691,14.86,14.48,15.07,14.28,125483,59819207.67,5.34,-2.1,-0.31,3.88
188,2024-11-11,亚太实业,000691,14.42,14.79,15.04,14.35,158415,75820872.0,4.82,3.35,0.48,4.9
187,2024-11-08,亚太实业,000691,14.48,14.31,14.55,14.04,111099,51717469.99,3.57,0.21,0.03,3.44
186,2024-11-07,亚太实业,000691,13.97,14.28,14.31,13.66,115479,53342584.63,4.68,2.73,0.38,3.57
185,2024-11-06,亚太实业,000691,14.1,13.9,14.21,13.83,91913,42048176.0,2.71,-0.71,-0.1,2.84
184,2024-11-05,亚太实业,000691,13.9,14.0,14.17,13.79,124900,57278791.6,2.73,0.5,0.07,3.86
183,2024-11-04,亚太实业,000691,13.79,13.93,13.97,13.59,111664,50448959.0,2.77,1.46,0.2,3.45
182,2024-11-01,亚太实业,000691,14.1,13.73,14.24,13.59,190633,86811988.3,4.63,-2.21,-0.31,5.9
181,2024-10-31,亚太实业,000691,13.83,14.04,14.42,13.59,236043,107582538.7,6.08,2.78,0.38,7.3
180,2024-10-30,亚太实业,000691,13.79,13.66,14.17,13.41,138833,62703790.0,5.51,-0.94,-0.13,4.29
179,2024-10-29,亚太实业,000691,14.07,13.79,14.38,13.59,123294,55864299.0,5.63,-1.78,-0.25,3.81
178,2024-10-28,亚太实业,000691,13.62,14.04,14.14,13.59,206596,94122058.85,4.05,3.31,0.45,6.39
177,2024-10-25,亚太实业,000691,14.24,13.59,14.76,13.55,309079,141179549.3,8.46,-5.03,-0.72,9.56
176,2024-10-24,亚太实业,000691,14.48,14.31,14.76,14.21,138338,65221262.0,3.81,-0.76,-0.11,4.28
175,2024-10-23,亚太实业,000691,14.55,14.42,14.66,14.17,95616,44875640.0,3.37,-0.69,-0.1,2.96
174,2024-10-22,亚太实业,000691,14.55,14.52,14.62,14.38,73831,34868834.23,1.65,-0.21,-0.03,2.28
173,2024-10-21,亚太实业,000691,14.69,14.55,14.93,14.38,122207,57977422.5,3.76,-0.48,-0.07,3.78
172,2024-10-18,亚太实业,000691,14.38,14.62,14.62,14.0,122862,57501748.5,4.3,1.39,0.2,3.8
171,2024-10-17,亚太实业,000691,15.62,14.42,16.14,14.28,322416,160445145.42,11.98,-7.09,-1.1,9.97
170,2024-10-16,亚太实业,000691,14.69,15.52,15.55,14.62,147389,72244094.35,6.26,4.44,0.66,4.56
169,2024-10-15,亚太实业,000691,15.11,14.86,15.28,14.76,90747,43999406.5,3.48,-0.47,-0.07,2.81
168,2024-10-14,亚太实业,000691,14.86,14.93,15.11,14.55,118732,57329692.98,3.76,0.2,0.03,3.67
167,2024-10-11,亚太实业,000691,14.48,14.9,15.07,14.21,123807,58674598.95,5.92,2.62,0.38,3.83
166,2024-10-10,亚太实业,000691,14.79,14.52,14.83,13.73,132487,61838962.0,7.58,0.0,0.0,4.1
165,2024-10-09,亚太实业,000691,15.04,14.52,15.07,14.17,206553,97785584.98,5.8,-6.44,-1.0,6.39
164,2024-10-08,亚太实业,000691,17.11,15.52,17.14,14.28,379265,189749513.4,18.43,0.0,0.0,11.73
163,2024-09-30,亚太实业,000691,14.21,15.52,15.55,14.07,244319,118196784.52,10.52,10.31,1.45,7.56
162,2024-09-27,亚太实业,000691,13.28,14.07,14.07,13.24,127349,57133727.96,6.28,6.51,0.86,3.94
161,2024-09-26,亚太实业,000691,12.9,13.21,13.21,12.55,86915,37156407.0,5.14,2.96,0.38,2.69
160,2024-09-25,亚太实业,000691,12.86,12.83,13.24,12.79,74388,31792305.0,3.52,0.31,0.04,2.3
159,2024-09-24,亚太实业,000691,12.38,12.79,12.86,12.31,88836,36979812.0,4.43,3.06,0.38,2.75
158,2024-09-23,亚太实业,000691,12.17,12.41,12.48,12.07,59156,24197004.0,3.37,1.97,0.24,1.83
157,2024-09-20,亚太实业,000691,12.62,12.17,12.76,12.0,78970,32145877.46,6.28,0.58,0.07,2.44
156,2024-09-19,亚太实业,000691,12.03,12.1,12.14,11.9,52863,21226532.1,2.0,0.83,0.1,1.64
155,2024-09-18,亚太实业,000691,12.03,12.0,12.14,11.83,46243,18401876.66,2.57,-0.58,-0.07,1.43
154,2024-09-13,亚太实业,000691,12.03,12.07,12.07,11.9,38775,15496998.0,1.41,0.0,0.0,1.2
153,2024-09-12,亚太实业,000691,12.03,12.07,12.17,11.93,65185,26126638.0,1.99,0.0,0.0,2.02
152,2024-09-11,亚太实业,000691,12.03,12.07,12.1,11.9,35696,14271559.01,1.66,0.33,0.04,1.1
151,2024-09-10,亚太实业,000691,12.0,12.03,12.07,11.83,43623,17354127.98,2.0,0.25,0.03,1.35
150,2024-09-09,亚太实业,000691,12.07,12.0,12.1,11.86,55370,22073928.46,1.99,-0.58,-0.07,1.71
149,2024-09-06,亚太实业,000691,12.03,12.07,12.14,11.9,56349,22526245.0,2.0,0.58,0.07,1.74
148,2024-09-05,亚太实业,000691,11.86,12.0,12.03,11.69,79626,31584027.0,2.85,0.59,0.07,2.46
147,2024-09-04,亚太实业,000691,11.28,11.93,12.17,11.21,101093,39311268.0,8.51,5.76,0.65,3.13
146,2024-09-03,亚太实业,000691,11.34,11.28,11.41,11.1,31945,12090488.0,2.77,0.62,0.07,0.99
145,2024-09-02,亚太实业,000691,11.38,11.21,11.52,11.21,39652,15090057.0,2.72,-1.75,-0.2,1.23
144,2024-08-30,亚太实业,000691,11.07,11.41,11.55,10.97,87309,33253643.4,5.24,3.07,0.34,2.7
143,2024-08-29,亚太实业,000691,10.76,11.07,11.1,10.62,38818,14289062.0,4.45,2.59,0.28,1.2
