,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,本钢板材,000761,6.39,6.48,6.48,6.16,434946,135782079.18,5.18,4.85,0.3,1.17
240,2025-01-23,本钢板材,000761,6.2,6.18,6.27,6.17,189810,57257142.0,1.62,0.16,0.01,0.51
239,2025-01-22,本钢板材,000761,6.2,6.17,6.21,6.11,114031,33450768.31,1.61,-0.48,-0.03,0.31
238,2025-01-21,本钢板材,000761,6.27,6.2,6.29,6.18,124202,37452932.86,1.76,-0.96,-0.06,0.33
237,2025-01-20,本钢板材,000761,6.25,6.26,6.34,6.15,163163,49874305.49,3.05,0.48,0.03,0.44
236,2025-01-17,本钢板材,000761,6.35,6.23,6.37,6.21,151212,46089491.0,2.52,-1.89,-0.12,0.41
235,2025-01-16,本钢板材,000761,6.24,6.35,6.42,6.23,159581,50073073.27,3.04,1.76,0.11,0.43
234,2025-01-15,本钢板材,000761,6.23,6.24,6.25,6.18,96092,28912805.2,1.12,0.0,0.0,0.26
233,2025-01-14,本钢板材,000761,6.2,6.24,6.25,6.15,125953,37688616.0,1.61,0.65,0.04,0.34
232,2025-01-13,本钢板材,000761,6.1,6.2,6.21,6.06,104988,30751525.2,2.45,1.14,0.07,0.28
231,2025-01-10,本钢板材,000761,6.21,6.13,6.24,6.12,82563,24375786.2,1.93,-1.29,-0.08,0.22
230,2025-01-09,本钢板材,000761,6.21,6.21,6.24,6.18,71121,21367184.78,0.96,-0.48,-0.03,0.19
229,2025-01-08,本钢板材,000761,6.32,6.24,6.32,6.17,114131,34501096.36,2.37,-1.27,-0.08,0.31
228,2025-01-07,本钢板材,000761,6.31,6.32,6.34,6.25,85895,26488889.1,1.42,0.0,0.0,0.23
227,2025-01-06,本钢板材,000761,6.27,6.32,6.36,6.21,110214,33975155.82,2.39,0.8,0.05,0.3
226,2025-01-03,本钢板材,000761,6.36,6.27,6.37,6.25,113677,35219776.82,1.89,-1.42,-0.09,0.31
225,2025-01-02,本钢板材,000761,6.42,6.36,6.48,6.33,121840,39017598.06,2.34,-0.78,-0.05,0.33
