,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,京山轻机,000821,20.11,20.53,20.54,20.05,123098,151787816.0,2.43,1.94,0.39,2.03
240,2025-01-23,京山轻机,000821,20.57,20.14,20.72,20.14,130848,161986777.4,2.84,-1.32,-0.27,2.16
239,2025-01-22,京山轻机,000821,20.48,20.41,20.57,20.3,75013,92531895.0,1.31,-1.07,-0.22,1.24
238,2025-01-21,京山轻机,000821,20.77,20.63,20.84,20.39,77671,96514512.0,2.17,-0.39,-0.08,1.28
237,2025-01-20,京山轻机,000821,20.87,20.71,21.1,20.6,106488,133960427.0,2.42,0.15,0.03,1.76
236,2025-01-17,京山轻机,000821,20.53,20.68,20.83,20.39,88478,110463503.41,2.13,0.24,0.05,1.46
235,2025-01-16,京山轻机,000821,20.53,20.63,21.05,20.45,141834,178229240.5,2.91,0.19,0.04,2.34
234,2025-01-15,京山轻机,000821,20.38,20.59,20.99,20.23,196105,244434306.75,3.72,0.88,0.18,3.24
233,2025-01-14,京山轻机,000821,19.49,20.41,20.42,19.4,155366,187862378.89,5.23,4.72,0.92,2.57
232,2025-01-13,京山轻机,000821,19.21,19.49,19.67,19.13,83714,97719449.0,2.78,0.52,0.1,1.38
231,2025-01-10,京山轻机,000821,19.9,19.39,20.06,19.37,88511,105197329.1,3.46,-2.71,-0.54,1.46
230,2025-01-09,京山轻机,000821,19.54,19.93,20.09,19.54,96999,116612146.0,2.79,1.06,0.21,1.6
229,2025-01-08,京山轻机,000821,19.85,19.72,19.85,19.19,110694,130278774.66,3.33,-0.5,-0.1,1.83
228,2025-01-07,京山轻机,000821,19.69,19.82,19.85,19.54,82522,98042214.0,1.57,0.66,0.13,1.36
227,2025-01-06,京山轻机,000821,19.45,19.69,19.87,19.25,102385,120839625.0,3.19,1.23,0.24,1.69
226,2025-01-03,京山轻机,000821,20.03,19.45,20.18,19.42,138349,164988689.66,3.79,-2.99,-0.6,2.29
225,2025-01-02,京山轻机,000821,20.56,20.05,20.74,19.82,142151,174677362.93,4.47,-2.53,-0.52,2.35
224,2024-12-31,京山轻机,000821,21.38,20.57,21.47,20.57,149412,189231324.0,4.21,-3.79,-0.81,2.47
223,2024-12-30,京山轻机,000821,21.43,21.38,21.61,21.11,94751,123042302.0,2.33,-0.37,-0.08,1.57
222,2024-12-27,京山轻机,000821,21.4,21.46,21.68,21.25,120577,157791571.99,2.01,0.14,0.03,1.99
221,2024-12-26,京山轻机,000821,21.46,21.43,21.61,21.37,111834,145944984.33,1.12,-0.14,-0.03,1.85
220,2024-12-25,京山轻机,000821,21.76,21.46,21.82,21.31,124801,162995393.0,2.34,-1.38,-0.3,2.06
219,2024-12-24,京山轻机,000821,21.23,21.76,21.91,21.23,162684,215019663.65,3.2,2.5,0.53,2.69
218,2024-12-23,京山轻机,000821,21.79,21.23,21.86,21.16,172343,225071075.72,3.2,-2.88,-0.63,2.85
217,2024-12-20,京山轻机,000821,21.79,21.86,22.04,21.65,135693,180527084.0,1.79,0.55,0.12,2.24
216,2024-12-19,京山轻机,000821,21.61,21.74,21.85,21.4,183057,241116272.0,2.06,-0.55,-0.12,3.02
215,2024-12-18,京山轻机,000821,21.98,21.86,22.13,21.76,146548,195809004.24,1.69,-0.27,-0.06,2.42
214,2024-12-17,京山轻机,000821,22.64,21.92,22.66,21.88,210730,284738860.7,3.44,-3.27,-0.74,3.48
213,2024-12-16,京山轻机,000821,23.57,22.66,23.78,22.54,314314,442019689.55,5.28,-3.49,-0.82,5.19
212,2024-12-13,京山轻机,000821,23.36,23.48,24.38,23.29,512525,748204343.08,4.6,-0.97,-0.23,8.47
211,2024-12-12,京山轻机,000821,22.66,23.71,23.96,22.39,539532,770523041.08,6.93,4.73,1.07,8.91
210,2024-12-11,京山轻机,000821,22.67,22.64,22.75,22.49,124549,172216787.24,1.15,0.0,0.0,2.06
209,2024-12-10,京山轻机,000821,23.17,22.64,23.17,22.6,228291,319960408.88,2.53,0.53,0.12,3.77
208,2024-12-09,京山轻机,000821,22.87,22.52,22.94,22.33,182614,252019323.0,2.66,-1.92,-0.44,3.02
207,2024-12-06,京山轻机,000821,22.97,22.96,23.08,22.43,194681,271342182.96,2.83,0.09,0.02,3.22
206,2024-12-05,京山轻机,000821,22.6,22.94,23.17,22.54,161250,225709516.0,2.77,0.97,0.22,2.66
205,2024-12-04,京山轻机,000821,23.15,22.72,23.17,22.57,184868,257773524.88,2.59,-2.11,-0.49,3.05
204,2024-12-03,京山轻机,000821,23.18,23.21,23.41,22.91,219802,311389261.19,2.16,0.17,0.04,3.63
203,2024-12-02,京山轻机,000821,22.72,23.17,23.23,22.33,260050,365103997.88,3.91,0.78,0.18,4.3
202,2024-11-29,京山轻机,000821,22.75,22.99,23.3,22.6,274269,385463868.48,3.06,0.52,0.12,4.53
201,2024-11-28,京山轻机,000821,22.64,22.87,23.5,22.61,308931,436661476.4,3.91,0.4,0.09,5.1
200,2024-11-27,京山轻机,000821,22.19,22.78,22.85,21.85,279142,381211938.0,4.48,2.02,0.45,4.61
199,2024-11-26,京山轻机,000821,22.43,22.33,22.93,22.28,201752,278191273.04,2.89,-0.8,-0.18,3.33
198,2024-11-25,京山轻机,000821,22.16,22.51,22.51,21.76,188282,254477680.76,3.38,1.49,0.33,3.11
197,2024-11-22,京山轻机,000821,23.05,22.18,23.21,22.16,223080,309306337.89,4.54,-4.07,-0.94,3.69
196,2024-11-21,京山轻机,000821,23.38,23.12,23.72,22.84,285959,406303750.13,3.79,-0.52,-0.12,4.72
195,2024-11-20,京山轻机,000821,23.03,23.24,23.44,22.81,255601,362214186.0,2.73,0.78,0.18,4.22
194,2024-11-19,京山轻机,000821,22.49,23.06,23.09,22.3,256983,357224840.39,3.56,3.78,0.84,4.25
193,2024-11-18,京山轻机,000821,22.87,22.22,23.18,22.04,297467,409380563.76,4.89,-4.59,-1.07,4.91
192,2024-11-15,京山轻机,000821,23.99,23.29,24.5,23.26,367966,536741965.8,5.11,-3.96,-0.96,6.08
191,2024-11-14,京山轻机,000821,25.15,24.25,26.05,24.13,551306,853208338.85,7.75,-2.1,-0.52,9.11
190,2024-11-13,京山轻机,000821,25.0,24.77,25.46,23.96,441466,667636475.37,5.97,-1.39,-0.35,7.29
189,2024-11-12,京山轻机,000821,25.46,25.12,26.29,24.82,860762,1359119682.68,5.78,-1.22,-0.31,14.22
188,2024-11-11,京山轻机,000821,23.14,25.43,25.43,22.94,793313,1197783565.43,10.69,9.19,2.14,13.11
