,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,超声电子,000823,24.62,24.17,24.84,24.17,154332,160654460.45,2.72,-1.91,-0.47,2.87
239,2025-01-24,超声电子,000823,24.51,24.64,24.8,24.46,171393,179545601.76,1.38,0.08,0.02,3.19
238,2025-01-23,超声电子,000823,25.2,24.62,25.38,24.6,233372,248071511.82,3.11,-1.79,-0.45,4.35
237,2025-01-22,超声电子,000823,25.0,25.07,25.43,24.8,186451,198966917.0,2.5,-0.44,-0.11,3.47
236,2025-01-21,超声电子,000823,25.07,25.18,25.4,24.82,232468,248205656.28,2.31,0.44,0.11,4.33
235,2025-01-20,超声电子,000823,24.6,25.07,25.36,24.42,305032,322999901.65,3.82,1.83,0.45,5.68
234,2025-01-17,超声电子,000823,23.56,24.62,24.89,23.41,321582,333235728.76,6.26,4.19,0.99,5.99
233,2025-01-16,超声电子,000823,23.99,23.63,24.03,23.34,184201,184926588.1,2.92,0.17,0.04,3.43
232,2025-01-15,超声电子,000823,23.38,23.59,24.08,23.34,193978,195216492.5,3.14,0.13,0.03,3.61
231,2025-01-14,超声电子,000823,22.42,23.56,23.56,22.13,185467,181485115.0,6.44,6.17,1.37,3.45
230,2025-01-13,超声电子,000823,22.15,22.19,22.55,21.63,149245,139534206.3,4.08,-1.6,-0.36,2.78
229,2025-01-10,超声电子,000823,23.56,22.55,23.76,22.55,209724,205326834.0,5.14,-4.21,-0.99,3.91
228,2025-01-09,超声电子,000823,22.35,23.54,24.42,22.35,369022,371219788.7,9.2,4.58,1.03,6.87
227,2025-01-08,超声电子,000823,22.78,22.51,22.8,21.65,225113,212491689.54,5.0,-2.13,-0.49,4.19
226,2025-01-07,超声电子,000823,21.86,23.0,23.0,21.86,238730,229048942.28,5.18,4.5,0.99,4.45
225,2025-01-06,超声电子,000823,21.88,22.01,22.57,21.23,184329,171743074.84,6.1,0.18,0.04,3.43
224,2025-01-03,超声电子,000823,23.36,21.97,23.5,21.86,268025,257329405.33,7.04,-5.67,-1.32,4.99
223,2025-01-02,超声电子,000823,24.44,23.29,24.64,22.98,309525,311506565.88,6.84,-4.08,-0.99,5.76
222,2024-12-31,超声电子,000823,25.92,24.28,25.97,24.21,383627,406331736.57,6.79,-6.33,-1.64,7.14
221,2024-12-30,超声电子,000823,25.27,25.92,26.19,24.91,387693,425861498.97,5.0,1.33,0.34,7.22
220,2024-12-27,超声电子,000823,25.36,25.58,26.44,25.36,394496,434074234.02,4.25,0.71,0.18,7.35
219,2024-12-26,超声电子,000823,24.91,25.4,25.92,24.71,422413,458549039.08,4.86,1.97,0.49,7.87
218,2024-12-25,超声电子,000823,25.7,24.91,25.79,24.55,435597,463948248.98,4.74,-4.74,-1.24,8.11
217,2024-12-24,超声电子,000823,25.47,26.15,26.84,24.78,677038,748957811.46,8.0,1.51,0.39,12.61
216,2024-12-23,超声电子,000823,26.53,25.76,27.16,25.18,751236,830653996.59,7.31,-4.84,-1.31,13.99
215,2024-12-20,超声电子,000823,24.96,27.07,27.07,24.42,821765,912317108.05,10.72,9.55,2.36,15.3
214,2024-12-19,超声电子,000823,23.99,24.71,24.71,23.54,462190,475604087.49,4.74,0.08,0.02,8.61
213,2024-12-18,超声电子,000823,23.56,24.69,24.78,22.87,628965,643765045.65,8.04,3.91,0.93,11.71
212,2024-12-17,超声电子,000823,23.05,23.76,25.0,22.64,464201,472480053.75,10.25,3.21,0.74,8.65
211,2024-12-16,超声电子,000823,23.11,23.02,23.29,22.82,84171,82476755.99,2.04,0.0,0.0,1.57
210,2024-12-13,超声电子,000823,23.36,23.02,23.45,23.0,94725,93063957.0,1.92,-1.75,-0.41,1.76
209,2024-12-12,超声电子,000823,23.43,23.43,23.59,23.11,94714,93998769.93,2.05,0.21,0.05,1.76
208,2024-12-11,超声电子,000823,23.02,23.38,23.5,23.0,106749,105510497.88,2.17,1.65,0.38,1.99
207,2024-12-10,超声电子,000823,23.45,23.0,23.56,22.98,117528,115908261.9,2.52,-0.09,-0.02,2.19
206,2024-12-09,超声电子,000823,22.98,23.02,23.27,22.82,97326,95043773.75,1.96,0.48,0.11,1.81
205,2024-12-06,超声电子,000823,22.73,22.91,22.98,22.51,87420,84520263.68,2.07,0.97,0.22,1.63
204,2024-12-05,超声电子,000823,22.42,22.69,22.89,22.3,77320,74367361.6,2.63,1.11,0.25,1.44
203,2024-12-04,超声电子,000823,22.91,22.44,23.0,22.35,81317,77967255.0,2.84,-2.05,-0.47,1.51
202,2024-12-03,超声电子,000823,22.8,22.91,23.02,22.64,79726,77212473.4,1.66,0.31,0.07,1.48
201,2024-12-02,超声电子,000823,22.62,22.84,22.93,22.53,83566,80611108.18,1.77,1.2,0.27,1.56
200,2024-11-29,超声电子,000823,22.13,22.57,22.66,21.92,78741,74633718.15,3.33,1.71,0.38,1.47
