,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,云南铜业,000878,31.75,32.14,32.21,31.61,260314,328441806.57,1.9,1.68,0.53,1.3
240,2025-01-23,云南铜业,000878,32.03,31.61,32.31,31.58,261917,330248996.67,2.29,-0.94,-0.3,1.31
239,2025-01-22,云南铜业,000878,32.1,31.91,32.17,31.72,172340,216973090.05,1.4,-0.72,-0.23,0.86
238,2025-01-21,云南铜业,000878,32.12,32.14,32.19,31.7,198222,250315276.42,1.53,0.34,0.11,0.99
237,2025-01-20,云南铜业,000878,32.26,32.03,32.31,31.96,204812,259232224.0,1.08,-0.71,-0.23,1.02
236,2025-01-17,云南铜业,000878,32.05,32.26,32.38,31.93,244305,310562953.37,1.4,0.16,0.05,1.22
235,2025-01-16,云南铜业,000878,32.17,32.21,32.61,31.91,389154,495173638.78,2.2,1.16,0.37,1.94
234,2025-01-15,云南铜业,000878,31.93,31.84,32.24,31.58,261972,328732168.86,2.05,-1.03,-0.33,1.31
233,2025-01-14,云南铜业,000878,31.7,32.17,32.26,31.54,443794,559436465.22,2.26,1.1,0.35,2.21
232,2025-01-13,云南铜业,000878,30.53,31.82,31.91,30.41,525859,652871820.34,4.87,3.28,1.01,2.62
231,2025-01-10,云南铜业,000878,30.97,30.81,31.44,30.76,217677,265996860.88,2.2,-0.52,-0.16,1.09
230,2025-01-09,云南铜业,000878,30.83,30.97,31.11,30.67,169181,205965194.52,1.43,0.45,0.14,0.84
229,2025-01-08,云南铜业,000878,31.28,30.83,31.4,30.3,308110,372858536.95,3.49,-2.16,-0.68,1.54
228,2025-01-07,云南铜业,000878,31.18,31.51,31.54,30.86,253515,312696716.45,2.18,1.06,0.33,1.27
227,2025-01-06,云南铜业,000878,30.72,31.18,31.61,30.3,324051,397503492.98,4.27,1.73,0.53,1.62
226,2025-01-03,云南铜业,000878,30.58,30.65,31.65,30.58,424980,520125930.32,3.51,0.56,0.17,2.12
225,2025-01-02,云南铜业,000878,31.02,30.48,31.37,30.25,263544,319932478.89,3.62,-1.58,-0.49,1.32
