,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,中广核技,000881,25.61,25.54,25.84,25.34,106672,73524054.86,1.94,-0.66,-0.17,1.35
240,2025-01-23,中广核技,000881,27.02,25.71,27.55,25.71,198760,143457068.08,6.95,-2.91,-0.77,2.51
239,2025-01-22,中广核技,000881,26.38,26.48,26.65,26.21,69909,50176300.0,1.66,-0.11,-0.03,0.88
238,2025-01-21,中广核技,000881,26.45,26.51,26.75,26.11,81046,58036632.76,2.43,0.76,0.2,1.03
237,2025-01-20,中广核技,000881,25.64,26.31,26.41,25.57,120930,85394882.0,3.26,2.21,0.57,1.53
236,2025-01-17,中广核技,000881,25.24,25.74,26.38,25.13,148326,104065312.9,4.93,1.58,0.4,1.88
235,2025-01-16,中广核技,000881,25.54,25.34,25.87,25.13,65754,45268626.0,2.91,-0.39,-0.1,0.83
234,2025-01-15,中广核技,000881,25.71,25.44,25.77,25.27,71475,49103702.62,1.94,-1.17,-0.3,0.9
233,2025-01-14,中广核技,000881,25.07,25.74,25.74,24.93,93280,63931189.76,3.24,2.84,0.71,1.18
232,2025-01-13,中广核技,000881,24.87,25.03,25.07,24.19,78127,52192876.48,3.56,1.34,0.33,0.99
231,2025-01-10,中广核技,000881,25.47,24.7,25.61,24.66,70675,47885935.0,3.73,-3.02,-0.77,0.89
230,2025-01-09,中广核技,000881,25.2,25.47,25.67,25.2,69567,47917218.82,1.85,0.0,0.0,0.88
229,2025-01-08,中广核技,000881,26.14,25.47,26.14,25.03,99371,68499689.7,4.25,-2.56,-0.67,1.26
228,2025-01-07,中广核技,000881,25.71,26.14,26.18,25.34,88945,62014878.84,3.27,1.83,0.47,1.13
227,2025-01-06,中广核技,000881,25.4,25.67,25.74,24.9,95763,65771110.92,3.3,0.9,0.23,1.21
226,2025-01-03,中广核技,000881,26.31,25.44,26.45,25.3,111633,77695536.98,4.39,-2.83,-0.74,1.41
225,2025-01-02,中广核技,000881,26.95,26.18,27.18,25.97,95792,69162200.0,4.48,-2.97,-0.8,1.21
224,2024-12-31,中广核技,000881,27.55,26.98,27.65,26.95,84143,62368773.78,2.54,-2.21,-0.61,1.06
223,2024-12-30,中广核技,000881,28.13,27.59,28.16,27.49,81177,61430692.0,2.41,-0.72,-0.2,1.03
222,2024-12-27,中广核技,000881,27.32,27.79,27.96,27.29,91518,69146922.42,2.45,1.72,0.47,1.16
221,2024-12-26,中广核技,000881,27.45,27.32,27.62,27.18,71115,52961583.0,1.6,-0.47,-0.13,0.9
220,2024-12-25,中广核技,000881,28.06,27.45,28.06,27.25,84349,63089616.44,2.9,-1.82,-0.51,1.07
219,2024-12-24,中广核技,000881,27.89,27.96,28.29,27.69,73208,55807025.28,2.15,0.25,0.07,0.93
218,2024-12-23,中广核技,000881,28.49,27.89,28.6,27.79,97292,74565361.48,2.84,-2.24,-0.64,1.23
217,2024-12-20,中广核技,000881,28.63,28.53,28.73,28.39,67082,52323246.41,1.19,0.0,0.0,0.85
216,2024-12-19,中广核技,000881,28.53,28.53,28.63,28.16,86050,66692349.52,1.64,-0.59,-0.17,1.09
215,2024-12-18,中广核技,000881,28.83,28.7,28.9,28.46,91700,71971291.4,1.54,0.6,0.17,1.16
214,2024-12-17,中广核技,000881,29.4,28.53,29.84,28.49,171821,136056974.7,4.62,-2.39,-0.7,2.17
213,2024-12-16,中广核技,000881,29.07,29.23,29.74,28.9,174022,140044503.9,2.92,1.74,0.5,2.2
212,2024-12-13,中广核技,000881,29.57,28.73,29.57,28.7,139913,111049418.0,2.94,-3.07,-0.91,1.77
211,2024-12-12,中广核技,000881,29.57,29.64,29.81,29.3,93248,75461934.0,1.72,0.24,0.07,1.18
210,2024-12-11,中广核技,000881,29.4,29.57,29.64,29.27,93622,75634312.2,1.26,0.82,0.24,1.18
209,2024-12-10,中广核技,000881,30.01,29.33,30.24,29.3,140578,114357007.52,3.18,-0.71,-0.21,1.78
208,2024-12-09,中广核技,000881,29.81,29.54,30.17,29.27,125500,102071126.0,3.04,-0.2,-0.06,1.59
207,2024-12-06,中广核技,000881,29.57,29.6,29.74,29.3,104443,84432252.87,1.5,0.92,0.27,1.32
206,2024-12-05,中广核技,000881,28.9,29.33,29.47,28.83,110113,87967813.0,2.21,1.38,0.4,1.39
205,2024-12-04,中广核技,000881,29.17,28.93,29.57,28.73,111608,88710533.0,2.87,-1.16,-0.34,1.41
204,2024-12-03,中广核技,000881,29.54,29.27,29.6,28.97,102202,81684527.0,2.13,-0.91,-0.27,1.29
203,2024-12-02,中广核技,000881,28.86,29.54,29.64,28.86,120424,96721207.7,2.68,1.62,0.47,1.52
202,2024-11-29,中广核技,000881,28.8,29.07,29.13,28.39,141244,111471970.46,2.57,0.94,0.27,1.79
201,2024-11-28,中广核技,000881,28.9,28.8,29.1,28.73,98519,77945334.9,1.28,-0.59,-0.17,1.25
200,2024-11-27,中广核技,000881,28.56,28.97,28.97,28.09,122849,95415265.0,3.06,0.84,0.24,1.55
199,2024-11-26,中广核技,000881,28.9,28.73,29.57,28.53,112579,89214161.8,3.6,-0.59,-0.17,1.42
198,2024-11-25,中广核技,000881,28.76,28.9,29.07,28.33,126381,98865520.34,2.55,-0.24,-0.07,1.6
197,2024-11-22,中广核技,000881,29.44,28.97,30.04,28.8,169106,136941034.48,4.18,-2.26,-0.67,2.14
196,2024-11-21,中广核技,000881,29.1,29.64,30.34,29.1,199582,162613159.97,4.25,1.51,0.44,2.53
195,2024-11-20,中广核技,000881,28.83,29.2,29.27,28.73,137960,109676315.0,1.86,0.59,0.17,1.75
194,2024-11-19,中广核技,000881,28.53,29.03,29.03,28.29,155118,121345055.07,2.61,2.47,0.7,1.96
193,2024-11-18,中广核技,000881,28.73,28.33,29.2,28.19,162811,127389782.68,3.55,-0.46,-0.13,2.06
192,2024-11-15,中广核技,000881,29.23,28.46,29.54,28.43,167950,133322492.88,3.78,-2.97,-0.87,2.13
191,2024-11-14,中广核技,000881,30.48,29.33,30.51,29.3,215431,175907548.44,3.96,-4.09,-1.25,2.73
190,2024-11-13,中广核技,000881,30.78,30.58,31.22,30.17,282085,237123864.38,3.38,-1.51,-0.47,3.57
189,2024-11-12,中广核技,000881,30.51,31.05,32.29,30.48,556167,480837683.66,5.94,1.87,0.57,7.04
188,2024-11-11,中广核技,000881,29.91,30.48,30.75,29.77,312183,260789541.49,3.24,0.79,0.24,3.95
187,2024-11-08,中广核技,000881,30.31,30.24,31.65,29.54,590335,494396010.63,6.96,-0.23,-0.07,7.47
186,2024-11-07,中广核技,000881,31.25,30.31,31.92,29.7,873443,734826875.1,7.45,1.68,0.5,11.05
185,2024-11-06,中广核技,000881,27.86,29.81,29.81,27.86,162171,130785905.95,7.14,9.11,2.49,2.05
184,2024-11-05,中广核技,000881,26.58,27.32,27.35,26.45,167352,122916999.8,3.38,2.67,0.71,2.12
183,2024-11-04,中广核技,000881,26.34,26.61,27.05,25.91,140408,100911982.0,4.33,1.14,0.3,1.78
182,2024-11-01,中广核技,000881,26.61,26.31,26.98,25.91,187471,134126448.89,4.01,-1.5,-0.4,2.37
181,2024-10-31,中广核技,000881,26.81,26.71,26.98,26.38,144614,104641232.71,2.23,-0.78,-0.21,1.83
180,2024-10-30,中广核技,000881,26.71,26.92,27.08,26.55,92135,67140001.4,1.98,0.64,0.17,1.17
179,2024-10-29,中广核技,000881,27.55,26.75,27.55,26.61,132250,96891910.25,3.42,-2.55,-0.7,1.67
178,2024-10-28,中广核技,000881,26.71,27.45,27.45,26.71,149176,110299913.49,2.77,2.62,0.7,1.89
177,2024-10-25,中广核技,000881,26.31,26.75,26.75,26.31,103196,74419647.56,1.67,1.67,0.44,1.31
176,2024-10-24,中广核技,000881,26.58,26.31,26.61,26.14,91842,65430303.25,1.77,-1.02,-0.27,1.16
