,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,法尔胜,000890,6.32,6.15,6.87,6.09,137215,42427156.0,12.62,-0.49,-0.03,3.27
239,2025-01-24,法尔胜,000890,6.18,6.18,6.29,5.95,117694,35117887.0,5.48,-0.48,-0.03,2.81
238,2025-01-23,法尔胜,000890,6.18,6.21,6.61,6.01,192899,59149610.78,9.62,-0.48,-0.03,4.6
237,2025-01-22,法尔胜,000890,6.96,6.24,6.96,6.15,162219,50122380.56,11.84,-8.77,-0.6,3.87
236,2025-01-21,法尔胜,000890,6.98,6.84,7.16,6.67,199266,65089401.0,7.07,-1.3,-0.09,4.75
235,2025-01-20,法尔胜,000890,6.67,6.93,7.01,6.35,155401,50270816.75,10.03,5.32,0.35,3.7
234,2025-01-17,法尔胜,000890,6.61,6.58,6.67,6.38,85465,26804256.0,4.35,-1.35,-0.09,2.04
233,2025-01-16,法尔胜,000890,6.61,6.67,6.87,6.55,98814,31557975.0,4.86,1.37,0.09,2.36
232,2025-01-15,法尔胜,000890,6.7,6.58,6.75,6.32,109542,34256462.0,6.53,0.0,0.0,2.61
231,2025-01-14,法尔胜,000890,6.09,6.58,6.61,6.04,115256,35520236.13,9.48,9.48,0.57,2.75
230,2025-01-13,法尔胜,000890,5.81,6.01,6.09,5.58,80603,23343827.0,8.66,2.04,0.12,1.92
229,2025-01-10,法尔胜,000890,6.32,5.89,6.41,5.89,83644,24997411.0,8.23,-6.8,-0.43,1.99
228,2025-01-09,法尔胜,000890,6.18,6.32,6.41,6.12,82040,25054579.36,4.65,1.28,0.08,1.96
227,2025-01-08,法尔胜,000890,6.38,6.24,6.52,5.92,121767,36748033.01,9.45,-1.73,-0.11,2.9
226,2025-01-07,法尔胜,000890,5.92,6.35,6.35,5.89,113755,34046025.0,7.77,7.26,0.43,2.71
225,2025-01-06,法尔胜,000890,5.98,5.92,6.06,5.52,101083,29269489.0,8.94,-1.99,-0.12,2.41
224,2025-01-03,法尔胜,000890,6.75,6.04,6.87,6.01,150603,45475563.0,13.01,-8.62,-0.57,3.59
223,2025-01-02,法尔胜,000890,6.61,6.61,7.01,6.55,123322,39650522.26,6.93,-0.45,-0.03,2.94
222,2024-12-31,法尔胜,000890,6.87,6.64,7.01,6.61,116438,37484491.0,5.9,-2.06,-0.14,2.78
221,2024-12-30,法尔胜,000890,7.1,6.78,7.21,6.61,161253,51721280.25,8.32,-5.96,-0.43,3.84
