,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,厦门港务,000905,16.26,16.64,16.93,16.06,337585,242539098.15,5.39,3.03,0.49,4.55
240,2025-01-23,厦门港务,000905,16.36,16.15,16.59,16.11,247378,175146769.83,2.95,-0.8,-0.13,3.33
239,2025-01-22,厦门港务,000905,16.45,16.28,16.76,16.28,221667,157771134.59,2.9,-1.51,-0.25,2.99
238,2025-01-21,厦门港务,000905,16.89,16.53,16.96,16.49,309408,222805109.09,2.77,-2.54,-0.43,4.17
237,2025-01-20,厦门港务,000905,16.98,16.96,17.29,16.83,383725,284755884.88,2.68,-1.34,-0.23,5.17
236,2025-01-17,厦门港务,000905,16.98,17.19,17.72,16.43,525622,390281973.7,7.64,1.78,0.3,7.09
235,2025-01-16,厦门港务,000905,17.0,16.89,17.27,16.68,389928,287107132.28,3.42,-2.09,-0.36,5.26
234,2025-01-15,厦门港务,000905,16.91,17.25,17.78,16.81,587763,445281339.68,5.69,1.23,0.21,7.92
233,2025-01-14,厦门港务,000905,16.7,17.04,17.13,16.47,489725,358561459.91,3.95,1.91,0.32,6.6
232,2025-01-13,厦门港务,000905,15.94,16.72,17.61,15.94,466874,338454489.92,10.25,2.58,0.42,6.29
231,2025-01-10,厦门港务,000905,16.96,16.3,17.19,16.08,568056,408107460.06,6.41,-5.89,-1.02,7.66
230,2025-01-09,厦门港务,000905,16.78,17.32,17.53,16.43,793772,580727698.27,6.48,2.0,0.34,10.7
229,2025-01-08,厦门港务,000905,16.3,16.98,17.83,16.25,1079843,814794132.94,9.58,2.97,0.49,14.56
228,2025-01-07,厦门港务,000905,16.26,16.49,16.49,15.91,473405,328956058.37,3.5,-0.36,-0.06,6.38
227,2025-01-06,厦门港务,000905,15.77,16.55,16.6,15.24,660655,456919685.45,8.53,3.83,0.61,8.91
226,2025-01-03,厦门港务,000905,16.19,15.94,16.64,15.68,588014,404697979.86,6.02,-0.13,-0.02,7.93
225,2025-01-02,厦门港务,000905,16.32,15.96,17.1,15.89,768701,544275134.68,7.3,-3.68,-0.61,10.36
224,2024-12-31,厦门港务,000905,15.55,16.57,16.57,15.49,602845,424229542.98,7.04,8.02,1.23,8.13
223,2024-12-30,厦门港务,000905,15.36,15.34,15.56,15.28,63405,41303768.0,1.81,-0.97,-0.15,0.85
222,2024-12-27,厦门港务,000905,15.15,15.49,15.66,15.11,115227,75875351.58,3.63,2.11,0.32,1.55
221,2024-12-26,厦门港务,000905,15.13,15.17,15.22,15.11,43317,27852674.0,0.73,0.13,0.02,0.58
220,2024-12-25,厦门港务,000905,15.24,15.15,15.3,15.02,62339,39881423.0,1.83,-0.85,-0.13,0.84
219,2024-12-24,厦门港务,000905,15.11,15.28,15.32,15.11,68966,44444045.0,1.39,1.13,0.17,0.93
218,2024-12-23,厦门港务,000905,15.45,15.11,15.55,15.07,109391,70717847.0,3.1,-2.33,-0.36,1.47
217,2024-12-20,厦门港务,000905,15.43,15.47,15.56,15.39,59666,39334229.11,1.1,0.13,0.02,0.8
216,2024-12-19,厦门港务,000905,15.41,15.45,15.51,15.32,85187,55759874.33,1.23,-0.39,-0.06,1.15
215,2024-12-18,厦门港务,000905,15.66,15.51,15.72,15.47,86888,57773669.0,1.6,-0.45,-0.07,1.17
214,2024-12-17,厦门港务,000905,16.19,15.58,16.23,15.55,177374,119689245.15,4.23,-3.17,-0.51,2.39
213,2024-12-16,厦门港务,000905,15.87,16.09,16.32,15.85,242236,168326358.74,2.98,2.16,0.34,3.27
212,2024-12-13,厦门港务,000905,16.11,15.75,16.11,15.75,110125,75114592.95,2.23,-2.23,-0.36,1.48
211,2024-12-12,厦门港务,000905,16.04,16.11,16.15,15.98,140391,96896931.68,1.06,0.81,0.13,1.89
210,2024-12-11,厦门港务,000905,15.79,15.98,16.08,15.72,115595,78864187.64,2.28,1.33,0.21,1.56
209,2024-12-10,厦门港务,000905,16.09,15.77,16.15,15.75,137453,93523480.37,2.52,-0.5,-0.08,1.85
208,2024-12-09,厦门港务,000905,15.89,15.85,15.96,15.72,82430,55882931.63,1.51,-0.25,-0.04,1.11
207,2024-12-06,厦门港务,000905,15.72,15.89,15.89,15.68,92743,62625326.98,1.34,1.08,0.17,1.25
206,2024-12-05,厦门港务,000905,15.74,15.72,15.75,15.62,93273,62378329.0,0.83,-0.13,-0.02,1.26
205,2024-12-04,厦门港务,000905,16.0,15.74,16.04,15.68,184492,125282220.0,2.23,-2.66,-0.43,2.49
204,2024-12-03,厦门港务,000905,15.91,16.17,16.43,15.79,293651,202939875.48,4.03,1.89,0.3,3.96
203,2024-12-02,厦门港务,000905,15.72,15.87,15.89,15.66,139323,94252576.59,1.47,1.34,0.21,1.88
202,2024-11-29,厦门港务,000905,15.56,15.66,15.74,15.55,102565,68506056.0,1.22,0.51,0.08,1.38
201,2024-11-28,厦门港务,000905,15.39,15.58,15.66,15.39,111427,73900455.14,1.75,0.71,0.11,1.5
200,2024-11-27,厦门港务,000905,15.41,15.47,15.47,15.09,90667,58736635.0,2.46,0.13,0.02,1.22
199,2024-11-26,厦门港务,000905,15.39,15.45,15.79,15.36,101637,67140776.55,2.79,0.26,0.04,1.37
198,2024-11-25,厦门港务,000905,15.22,15.41,15.53,15.13,97006,63247097.63,2.63,1.31,0.2,1.31
197,2024-11-22,厦门港务,000905,15.55,15.21,15.7,15.19,108842,71566846.89,3.27,-2.5,-0.39,1.47
196,2024-11-21,厦门港务,000905,15.6,15.6,15.66,15.49,92376,61288656.25,1.08,-0.51,-0.08,1.25
195,2024-11-20,厦门港务,000905,15.38,15.68,15.75,15.34,165873,110176352.66,2.66,1.62,0.25,2.24
194,2024-11-19,厦门港务,000905,15.36,15.43,15.45,15.17,84699,55036204.44,1.83,0.72,0.11,1.14
193,2024-11-18,厦门港务,000905,15.32,15.32,15.58,15.24,137087,89943911.2,2.23,0.66,0.1,1.85
192,2024-11-15,厦门港务,000905,15.34,15.22,15.53,15.19,96136,62801377.0,2.21,-1.04,-0.16,1.3
191,2024-11-14,厦门港务,000905,15.7,15.38,15.75,15.36,152235,100515558.0,2.47,-2.47,-0.39,2.05
190,2024-11-13,厦门港务,000905,15.75,15.77,15.96,15.6,118145,79539884.25,2.27,-0.38,-0.06,1.59
189,2024-11-12,厦门港务,000905,15.89,15.83,16.15,15.74,231148,158235808.78,2.58,-0.38,-0.06,3.12
188,2024-11-11,厦门港务,000905,15.77,15.89,15.94,15.72,139942,94727318.98,1.39,0.13,0.02,1.89
187,2024-11-08,厦门港务,000905,15.81,15.87,15.96,15.55,221657,149378776.94,2.6,0.63,0.1,2.99
186,2024-11-07,厦门港务,000905,15.39,15.77,15.79,15.34,204033,136372922.4,2.91,1.94,0.3,2.75
185,2024-11-06,厦门港务,000905,15.43,15.47,15.58,15.36,142194,93601300.56,1.42,-0.13,-0.02,1.92
184,2024-11-05,厦门港务,000905,15.3,15.49,15.62,15.24,158625,104163806.64,2.48,1.11,0.17,2.14
183,2024-11-04,厦门港务,000905,15.22,15.32,15.34,15.13,91413,59050077.26,1.38,0.66,0.1,1.23
182,2024-11-01,厦门港务,000905,15.45,15.22,15.45,15.11,142532,92191759.31,2.2,-1.36,-0.21,1.92
181,2024-10-31,厦门港务,000905,15.36,15.43,15.62,15.28,208643,136815166.8,2.2,-0.13,-0.02,2.81
180,2024-10-30,厦门港务,000905,15.41,15.45,15.98,15.22,374521,246165488.55,4.83,-1.84,-0.29,5.05
179,2024-10-29,厦门港务,000905,15.21,15.74,16.42,14.9,505227,340665758.03,9.99,3.48,0.53,6.81
178,2024-10-28,厦门港务,000905,15.02,15.21,15.22,14.96,133899,85639508.0,1.73,1.26,0.19,1.81
177,2024-10-25,厦门港务,000905,14.9,15.02,15.04,14.85,92992,58759806.19,1.28,0.81,0.12,1.25
176,2024-10-24,厦门港务,000905,14.88,14.9,14.96,14.81,56792,35621841.99,1.01,0.0,0.0,0.77
175,2024-10-23,厦门港务,000905,14.9,14.9,15.04,14.85,90545,56973605.0,1.28,0.0,0.0,1.22
174,2024-10-22,厦门港务,000905,14.77,14.9,14.94,14.75,103979,64970879.25,1.29,1.02,0.15,1.4
173,2024-10-21,厦门港务,000905,14.88,14.75,14.94,14.71,103578,64430935.78,1.56,-0.2,-0.03,1.4
172,2024-10-18,厦门港务,000905,14.71,14.78,14.94,14.54,148254,92419749.18,2.73,0.89,0.13,2.0
171,2024-10-17,厦门港务,000905,15.09,14.65,15.12,14.61,178436,112138916.0,3.37,-3.11,-0.47,2.41
170,2024-10-16,厦门港务,000905,15.41,15.12,15.6,15.09,179685,117901924.96,3.31,-1.88,-0.29,2.42
169,2024-10-15,厦门港务,000905,14.95,15.41,15.82,14.92,293757,194964291.44,6.0,2.8,0.42,3.96
168,2024-10-14,厦门港务,000905,14.78,14.99,14.99,14.78,120923,76499818.65,1.42,1.63,0.24,1.63
167,2024-10-11,厦门港务,000905,14.8,14.75,14.92,14.63,103319,64585834.9,1.96,-0.2,-0.03,1.39
166,2024-10-10,厦门港务,000905,14.69,14.78,14.99,14.58,122233,76728877.8,2.8,0.89,0.13,1.65
165,2024-10-09,厦门港务,000905,15.37,14.65,15.37,14.65,185494,117860256.45,4.62,-6.09,-0.95,2.5
164,2024-10-08,厦门港务,000905,16.22,15.6,16.32,15.14,322708,218290124.44,7.79,3.04,0.46,4.35
163,2024-09-30,厦门港务,000905,14.59,15.14,15.26,14.48,277019,175008238.27,5.44,5.65,0.81,3.73
162,2024-09-27,厦门港务,000905,14.14,14.33,14.42,14.1,143788,86156344.35,2.28,1.99,0.28,1.94
161,2024-09-26,厦门港务,000905,13.8,14.05,14.1,13.76,97007,56503273.0,2.46,1.66,0.23,1.31
160,2024-09-25,厦门港务,000905,13.8,13.82,13.97,13.74,84025,48621370.67,1.68,0.95,0.13,1.13
159,2024-09-24,厦门港务,000905,13.44,13.69,13.71,13.44,65084,36654655.89,2.01,1.86,0.25,0.88
158,2024-09-23,厦门港务,000905,13.35,13.44,13.46,13.31,32362,17892800.55,1.12,0.67,0.09,0.44
157,2024-09-20,厦门港务,000905,13.31,13.35,13.37,13.27,28678,15768794.36,0.75,0.15,0.02,0.39
156,2024-09-19,厦门港务,000905,13.14,13.33,13.37,13.14,38101,20871912.02,1.75,1.45,0.19,0.51
155,2024-09-18,厦门港务,000905,13.18,13.14,13.18,13.03,26057,14006821.49,1.14,0.0,0.0,0.35
154,2024-09-13,厦门港务,000905,13.21,13.14,13.23,13.12,22368,12112111.0,0.83,-0.3,-0.04,0.3
153,2024-09-12,厦门港务,000905,13.12,13.18,13.27,13.12,24710,13427864.85,1.14,0.3,0.04,0.33
152,2024-09-11,厦门港务,000905,13.18,13.14,13.23,13.1,25954,14027342.05,0.98,-0.83,-0.11,0.35
151,2024-09-10,厦门港务,000905,13.21,13.25,13.29,13.12,35365,19195628.13,1.28,0.0,0.0,0.48
150,2024-09-09,厦门港务,000905,13.35,13.25,13.35,13.2,30614,16738924.0,1.12,-0.97,-0.13,0.41
149,2024-09-06,厦门港务,000905,13.37,13.38,13.48,13.37,35716,19808068.12,0.82,0.07,0.01,0.48
148,2024-09-05,厦门港务,000905,13.31,13.37,13.38,13.31,19480,10728055.0,0.53,0.45,0.06,0.26
147,2024-09-04,厦门港务,000905,13.35,13.31,13.4,13.31,31031,17098975.47,0.67,-0.67,-0.09,0.42
146,2024-09-03,厦门港务,000905,13.4,13.4,13.44,13.33,31369,17352125.0,0.82,-0.15,-0.02,0.42
145,2024-09-02,厦门港务,000905,13.48,13.42,13.59,13.4,36262,20284684.0,1.41,-0.45,-0.06,0.49
144,2024-08-30,厦门港务,000905,13.29,13.48,13.57,13.29,49742,27698346.96,2.1,1.13,0.15,0.67
143,2024-08-29,厦门港务,000905,13.35,13.33,13.38,13.2,51753,28376459.5,1.34,-0.52,-0.07,0.7
142,2024-08-28,厦门港务,000905,13.38,13.4,13.48,13.33,28716,15909523.39,1.12,0.15,0.02,0.39
141,2024-08-27,厦门港务,000905,13.48,13.38,13.55,13.37,26241,14591912.46,1.33,-0.89,-0.12,0.35
140,2024-08-26,厦门港务,000905,13.4,13.5,13.52,13.33,25058,13935924.0,1.42,0.6,0.08,0.34
