,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,大亚圣象,000910,19.53,19.55,19.84,19.51,28843,21262142.0,1.7,0.77,0.15,0.53
239,2025-01-24,大亚圣象,000910,19.18,19.4,19.53,19.18,24843,17954786.0,1.82,0.73,0.14,0.45
238,2025-01-23,大亚圣象,000910,19.42,19.26,19.46,19.24,21299,15392859.0,1.15,0.42,0.08,0.39
237,2025-01-22,大亚圣象,000910,19.35,19.18,19.35,19.0,21919,15627469.0,1.82,-0.42,-0.08,0.4
236,2025-01-21,大亚圣象,000910,19.73,19.26,19.77,19.18,28026,20300344.0,3.01,-1.83,-0.36,0.51
235,2025-01-20,大亚圣象,000910,19.48,19.62,19.73,19.33,25666,18795209.24,2.06,0.93,0.18,0.47
234,2025-01-17,大亚圣象,000910,19.53,19.44,19.57,19.37,18557,13485982.76,1.02,-0.92,-0.18,0.34
233,2025-01-16,大亚圣象,000910,19.66,19.62,19.9,19.51,26615,19624320.56,1.99,-0.1,-0.02,0.49
232,2025-01-15,大亚圣象,000910,19.53,19.64,19.84,19.35,23541,17284973.0,2.51,0.56,0.11,0.43
231,2025-01-14,大亚圣象,000910,19.26,19.53,19.62,19.18,40688,29540271.0,2.29,1.82,0.35,0.74
230,2025-01-13,大亚圣象,000910,19.11,19.18,19.24,18.74,31332,22153923.02,2.6,-0.1,-0.02,0.57
229,2025-01-10,大亚圣象,000910,19.79,19.2,19.79,19.18,30719,22290741.0,3.09,-2.69,-0.53,0.56
228,2025-01-09,大亚圣象,000910,19.99,19.73,20.03,19.64,31915,23736568.48,1.95,-1.2,-0.24,0.58
227,2025-01-08,大亚圣象,000910,20.28,19.97,20.28,19.57,36916,27518390.83,3.51,-1.19,-0.24,0.67
226,2025-01-07,大亚圣象,000910,20.19,20.21,20.41,19.88,38197,28895432.61,2.63,0.1,0.02,0.7
225,2025-01-06,大亚圣象,000910,19.97,20.19,20.47,19.44,33772,25416705.0,5.16,1.1,0.22,0.62
224,2025-01-03,大亚圣象,000910,20.87,19.97,20.87,19.92,39239,29968362.0,4.58,-3.62,-0.75,0.72
223,2025-01-02,大亚圣象,000910,20.72,20.72,21.24,20.54,38626,30612161.0,3.37,-0.29,-0.06,0.71
222,2024-12-31,大亚圣象,000910,20.96,20.78,21.27,20.78,28844,22982294.22,2.34,-0.86,-0.18,0.53
221,2024-12-30,大亚圣象,000910,21.07,20.96,21.4,20.72,30479,24266193.97,3.21,-0.95,-0.2,0.56
220,2024-12-27,大亚圣象,000910,20.8,21.16,21.31,20.74,33343,26763459.1,2.74,1.58,0.33,0.61
219,2024-12-26,大亚圣象,000910,20.94,20.83,21.16,20.69,41522,33000431.97,2.24,-0.53,-0.11,0.76
218,2024-12-25,大亚圣象,000910,21.18,20.94,21.29,20.69,33895,26818613.0,2.82,-1.64,-0.35,0.62
217,2024-12-24,大亚圣象,000910,21.05,21.29,21.55,21.05,43222,35072524.0,2.39,1.67,0.35,0.79
216,2024-12-23,大亚圣象,000910,21.86,20.94,21.86,20.87,58610,47367954.94,4.52,-4.3,-0.94,1.07
215,2024-12-20,大亚圣象,000910,22.06,21.88,22.21,21.64,53527,44939335.0,2.61,0.18,0.04,0.98
214,2024-12-19,大亚圣象,000910,21.82,21.84,22.17,21.53,35579,29513166.0,2.92,-0.5,-0.11,0.65
213,2024-12-18,大亚圣象,000910,22.21,21.95,22.32,21.77,40151,33851371.0,2.49,-0.5,-0.11,0.73
212,2024-12-17,大亚圣象,000910,23.03,22.06,23.09,21.95,74347,63610573.22,4.97,-3.75,-0.86,1.36
211,2024-12-16,大亚圣象,000910,23.0,22.92,23.27,22.83,40388,35940360.84,1.91,-0.74,-0.17,0.74
210,2024-12-13,大亚圣象,000910,23.27,23.09,23.55,23.05,50861,45712971.6,2.14,-1.24,-0.29,0.93
209,2024-12-12,大亚圣象,000910,23.18,23.38,23.44,22.76,50156,44808066.0,2.95,1.34,0.31,0.92
208,2024-12-11,大亚圣象,000910,22.39,23.07,23.6,22.39,105345,94258548.32,5.39,2.76,0.62,1.93
207,2024-12-10,大亚圣象,000910,23.18,22.45,23.6,22.39,58576,51278054.12,5.39,0.0,0.0,1.07
206,2024-12-09,大亚圣象,000910,22.74,22.45,23.14,22.21,71448,62349635.57,4.15,0.27,0.06,1.31
205,2024-12-06,大亚圣象,000910,21.93,22.39,22.63,21.82,52307,44763772.0,3.69,1.91,0.42,0.96
204,2024-12-05,大亚圣象,000910,21.9,21.97,22.04,21.71,49894,41793194.85,1.5,0.18,0.04,0.91
203,2024-12-04,大亚圣象,000910,22.48,21.93,22.5,21.84,68086,57750398.0,2.91,-3.18,-0.72,1.24
202,2024-12-03,大亚圣象,000910,22.28,22.65,23.0,22.08,151831,131717025.69,4.13,1.66,0.37,2.78
201,2024-12-02,大亚圣象,000910,21.07,22.28,22.39,21.07,159065,133398366.55,6.27,5.84,1.23,2.91
200,2024-11-29,大亚圣象,000910,20.52,21.05,21.24,20.47,104202,82851220.58,3.72,1.74,0.36,1.9
199,2024-11-28,大亚圣象,000910,20.23,20.69,20.74,20.17,74802,57924370.4,2.82,2.27,0.46,1.37
198,2024-11-27,大亚圣象,000910,19.88,20.23,20.28,19.51,51558,38534510.0,3.88,1.97,0.39,0.94
197,2024-11-26,大亚圣象,000910,19.84,19.84,20.03,19.73,43575,32598554.0,1.52,0.46,0.09,0.8
196,2024-11-25,大亚圣象,000910,19.64,19.75,19.79,19.33,36290,26639626.0,2.36,1.13,0.22,0.66
195,2024-11-22,大亚圣象,000910,20.1,19.53,20.25,19.48,60088,44945624.0,3.83,-2.93,-0.59,1.1
194,2024-11-21,大亚圣象,000910,20.23,20.12,20.39,19.97,61817,46834137.1,2.06,-1.18,-0.24,1.13
193,2024-11-20,大亚圣象,000910,20.34,20.36,20.47,20.17,53942,41294424.82,1.47,0.1,0.02,0.99
192,2024-11-19,大亚圣象,000910,20.19,20.34,20.39,19.88,61705,46803777.88,2.53,0.99,0.2,1.13
191,2024-11-18,大亚圣象,000910,19.99,20.14,20.58,19.92,83811,64144142.18,3.35,2.23,0.44,1.53
190,2024-11-15,大亚圣象,000910,20.08,19.7,20.25,19.68,49010,36662314.0,2.85,-1.45,-0.29,0.9
189,2024-11-14,大亚圣象,000910,20.19,19.99,20.61,19.99,67448,51428496.74,3.07,-0.99,-0.2,1.23
188,2024-11-13,大亚圣象,000910,19.79,20.19,20.5,19.46,85386,64122674.4,5.28,2.49,0.49,1.56
187,2024-11-12,大亚圣象,000910,19.97,19.7,20.1,19.62,62674,46971452.0,2.4,-1.35,-0.27,1.15
186,2024-11-11,大亚圣象,000910,19.95,19.97,20.23,19.75,44663,33351829.7,2.38,-0.84,-0.17,0.82
185,2024-11-08,大亚圣象,000910,20.52,20.14,20.58,19.97,48614,37022195.26,2.99,-1.23,-0.25,0.89
184,2024-11-07,大亚圣象,000910,19.97,20.39,20.45,19.73,60444,46069188.16,3.6,1.9,0.38,1.1
183,2024-11-06,大亚圣象,000910,19.64,20.01,20.34,19.4,67282,49990361.11,4.81,2.46,0.48,1.23
182,2024-11-05,大亚圣象,000910,19.37,19.53,19.57,19.29,37981,27616555.5,1.45,1.03,0.2,0.69
181,2024-11-04,大亚圣象,000910,19.22,19.33,19.35,19.04,36386,26023480.94,1.61,0.57,0.11,0.67
180,2024-11-01,大亚圣象,000910,19.59,19.22,19.66,19.02,49320,35537673.55,3.29,-1.23,-0.24,0.9
