,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,沃顿科技,000920,22.22,22.17,22.4,21.96,29388,24851357.0,1.98,-0.36,-0.08,0.7
240,2025-01-23,沃顿科技,000920,22.46,22.25,22.69,22.2,28827,24745083.29,2.2,-0.09,-0.02,0.68
239,2025-01-22,沃顿科技,000920,22.4,22.27,22.46,22.12,22245,18937701.0,1.51,-0.93,-0.21,0.53
238,2025-01-21,沃顿科技,000920,22.43,22.48,22.59,22.17,32314,27689318.55,1.88,0.45,0.1,0.77
237,2025-01-20,沃顿科技,000920,22.35,22.38,22.69,22.27,48916,42022530.45,1.88,0.0,0.0,1.16
236,2025-01-17,沃顿科技,000920,21.94,22.38,22.53,21.83,41596,35493415.45,3.19,2.15,0.47,0.99
235,2025-01-16,沃顿科技,000920,21.86,21.91,22.35,21.75,33599,28273182.0,2.76,0.97,0.21,0.8
234,2025-01-15,沃顿科技,000920,21.94,21.7,22.01,21.62,23531,19598081.0,1.78,-1.09,-0.24,0.56
233,2025-01-14,沃顿科技,000920,21.31,21.94,21.94,21.31,33469,27811141.0,2.96,3.05,0.65,0.79
232,2025-01-13,沃顿科技,000920,21.13,21.29,21.31,20.79,33253,26858059.0,2.45,0.28,0.06,0.79
231,2025-01-10,沃顿科技,000920,21.75,21.23,21.83,21.23,28835,23733672.0,2.75,-2.66,-0.58,0.68
230,2025-01-09,沃顿科技,000920,21.75,21.81,21.94,21.68,20359,17004899.35,1.19,-0.23,-0.05,0.48
229,2025-01-08,沃顿科技,000920,21.96,21.86,22.07,21.31,44209,36710849.66,3.44,-0.95,-0.21,1.05
228,2025-01-07,沃顿科技,000920,22.07,22.07,22.2,21.7,32656,27393890.0,2.27,0.36,0.08,0.77
227,2025-01-06,沃顿科技,000920,21.88,21.99,22.43,21.39,42057,35301497.56,4.75,0.5,0.11,1.0
226,2025-01-03,沃顿科技,000920,22.69,21.88,22.85,21.78,50106,42760950.0,4.73,-3.36,-0.76,1.19
225,2025-01-02,沃顿科技,000920,23.26,22.64,23.55,22.46,54911,48228887.8,4.68,-2.87,-0.67,1.3
224,2024-12-31,沃顿科技,000920,24.04,23.31,24.28,23.26,45712,41302367.0,4.25,-2.96,-0.71,1.08
223,2024-12-30,沃顿科技,000920,24.25,24.02,24.48,23.78,40968,37805577.63,2.89,-0.74,-0.18,0.97
222,2024-12-27,沃顿科技,000920,23.81,24.2,24.43,23.73,53632,49616560.41,2.94,1.64,0.39,1.27
221,2024-12-26,沃顿科技,000920,23.26,23.81,23.83,23.26,38922,35219653.93,2.45,2.45,0.57,0.92
220,2024-12-25,沃顿科技,000920,23.52,23.24,23.63,22.85,39204,34730914.95,3.31,-1.4,-0.33,0.93
219,2024-12-24,沃顿科技,000920,23.34,23.57,23.7,23.16,45247,40655358.84,2.32,1.12,0.26,1.07
218,2024-12-23,沃顿科技,000920,24.04,23.31,24.22,23.0,68257,61673477.0,5.09,-2.83,-0.68,1.62
217,2024-12-20,沃顿科技,000920,24.15,23.99,24.38,23.91,42265,39035071.4,1.94,-0.74,-0.18,1.0
216,2024-12-19,沃顿科技,000920,23.81,24.17,24.25,23.52,49950,45858668.14,3.06,1.3,0.31,1.18
215,2024-12-18,沃顿科技,000920,23.78,23.86,24.48,23.63,63985,58953966.0,3.6,1.1,0.26,1.52
214,2024-12-17,沃顿科技,000920,24.3,23.6,24.41,23.5,64882,59150850.0,3.74,-3.0,-0.73,1.54
213,2024-12-16,沃顿科技,000920,24.3,24.33,24.69,24.15,46973,43874398.0,2.23,0.66,0.16,1.11
212,2024-12-13,沃顿科技,000920,24.61,24.17,24.72,24.17,53015,49495188.2,2.22,-2.42,-0.6,1.26
211,2024-12-12,沃顿科技,000920,24.59,24.77,24.82,24.35,61271,57737660.31,1.9,0.2,0.05,1.45
210,2024-12-11,沃顿科技,000920,24.56,24.72,24.77,24.51,47443,44759908.0,1.06,0.45,0.11,1.12
209,2024-12-10,沃顿科技,000920,25.52,24.61,25.6,24.61,91005,87007266.0,3.98,-1.16,-0.29,2.16
208,2024-12-09,沃顿科技,000920,24.82,24.9,24.95,24.46,72005,68221101.0,1.97,0.0,0.0,1.71
207,2024-12-06,沃顿科技,000920,24.9,24.9,25.29,24.69,105673,100699619.5,2.43,0.65,0.16,2.5
206,2024-12-05,沃顿科技,000920,23.94,24.74,25.19,23.94,131396,124092915.0,5.2,3.0,0.72,3.11
205,2024-12-04,沃顿科技,000920,24.41,24.02,24.41,23.89,54732,50644534.0,2.14,-1.27,-0.31,1.3
204,2024-12-03,沃顿科技,000920,24.28,24.33,24.46,24.09,62130,57877427.6,1.52,0.21,0.05,1.47
203,2024-12-02,沃顿科技,000920,24.17,24.28,24.43,24.15,81218,75461024.28,1.16,0.87,0.21,1.92
202,2024-11-29,沃顿科技,000920,23.76,24.07,24.25,23.73,72296,66558740.0,2.19,1.22,0.29,1.71
201,2024-11-28,沃顿科技,000920,23.63,23.78,24.04,23.55,68330,62401188.97,2.08,0.76,0.18,1.62
200,2024-11-27,沃顿科技,000920,23.39,23.6,23.6,22.77,56048,49700619.0,3.52,0.21,0.05,1.33
199,2024-11-26,沃顿科技,000920,23.83,23.55,23.91,23.44,45551,41310758.05,1.98,-0.97,-0.23,1.08
198,2024-11-25,沃顿科技,000920,23.26,23.78,23.78,23.08,53668,48126078.91,3.0,2.02,0.47,1.27
