,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
235,2025-01-27,兰州黄河,000929,15.45,15.38,15.85,15.3,57975,35907610.0,3.61,0.85,0.13,3.12
234,2025-01-24,兰州黄河,000929,15.25,15.25,15.33,14.98,44815,26951603.0,2.31,0.46,0.07,2.41
233,2025-01-23,兰州黄河,000929,15.53,15.18,15.82,15.18,70914,43626833.68,4.19,-0.65,-0.1,3.82
232,2025-01-22,兰州黄河,000929,15.68,15.28,15.68,15.16,55366,33641943.0,3.29,-3.41,-0.54,2.98
231,2025-01-21,兰州黄河,000929,16.25,15.82,16.42,15.5,76463,48035938.6,5.7,-2.04,-0.33,4.12
230,2025-01-20,兰州黄河,000929,15.28,16.15,16.39,15.28,118043,74377860.66,6.57,-4.38,-0.74,6.35
229,2025-01-17,兰州黄河,000929,17.04,16.89,17.14,16.67,37620,25232381.0,2.76,-0.88,-0.15,2.03
228,2025-01-16,兰州黄河,000929,17.06,17.04,17.29,16.89,35793,24337803.0,2.38,1.31,0.22,1.93
227,2025-01-15,兰州黄河,000929,16.99,16.82,17.16,16.59,38505,25825821.0,3.37,-0.53,-0.09,2.07
226,2025-01-14,兰州黄河,000929,16.12,16.91,16.94,16.1,65025,43023936.8,5.21,4.9,0.79,3.5
225,2025-01-13,兰州黄河,000929,15.87,16.12,16.27,15.35,40448,25519069.0,5.74,0.62,0.1,2.18
224,2025-01-10,兰州黄河,000929,16.89,16.02,16.96,16.02,36557,23811962.0,5.62,-4.3,-0.72,1.97
223,2025-01-09,兰州黄河,000929,16.57,16.74,16.89,16.3,47573,31589475.0,3.57,1.21,0.2,2.56
222,2025-01-08,兰州黄河,000929,16.94,16.54,17.06,16.27,65322,43270828.0,4.65,-2.65,-0.45,3.52
221,2025-01-07,兰州黄河,000929,16.15,16.99,17.01,16.15,66770,43979102.0,5.39,6.39,1.02,3.59
220,2025-01-06,兰州黄河,000929,16.22,15.97,16.3,15.43,48160,30476661.0,5.28,-3.04,-0.5,2.59
219,2025-01-03,兰州黄河,000929,17.86,16.47,17.96,16.42,70779,47498725.0,8.74,-6.58,-1.16,3.81
218,2025-01-02,兰州黄河,000929,17.58,17.63,18.23,17.46,68418,48782834.89,4.4,0.69,0.12,3.68
217,2024-12-31,兰州黄河,000929,17.78,17.51,18.1,17.41,51008,36104426.73,3.92,-0.4,-0.07,2.75
216,2024-12-30,兰州黄河,000929,17.96,17.58,18.08,17.11,57484,40075026.0,5.36,-2.87,-0.52,3.09
215,2024-12-27,兰州黄河,000929,17.81,18.1,18.4,17.56,59550,42934476.93,4.72,1.63,0.29,3.21
214,2024-12-26,兰州黄河,000929,17.56,17.81,18.3,17.44,84917,60150057.8,4.94,2.3,0.4,4.57
213,2024-12-25,兰州黄河,000929,17.83,17.41,17.86,16.77,73174,50221057.03,6.17,-1.53,-0.27,3.94
212,2024-12-24,兰州黄河,000929,18.2,17.68,18.35,17.11,110900,77518389.0,6.76,-3.65,-0.67,5.97
211,2024-12-23,兰州黄河,000929,19.64,18.35,19.76,18.35,105167,78525391.8,6.93,-9.87,-2.01,5.66
210,2024-12-20,兰州黄河,000929,19.76,20.36,20.63,19.76,75524,61274615.4,4.39,2.62,0.52,4.07
209,2024-12-19,兰州黄河,000929,20.21,19.84,20.58,19.64,80028,63661294.0,4.58,-3.27,-0.67,4.31
208,2024-12-18,兰州黄河,000929,21.03,20.51,22.07,20.36,97043,80189991.38,8.07,-3.25,-0.69,5.22
207,2024-12-17,兰州黄河,000929,23.18,21.2,23.41,21.18,105951,92609951.49,9.53,-9.44,-2.21,5.7
206,2024-12-16,兰州黄河,000929,23.68,23.41,23.98,22.79,91574,85149574.33,5.03,-1.14,-0.27,4.93
205,2024-12-13,兰州黄河,000929,23.31,23.68,24.89,23.21,158440,152495482.8,7.25,2.16,0.5,8.53
204,2024-12-12,兰州黄河,000929,22.79,23.18,23.61,22.49,122441,113121921.0,4.93,2.07,0.47,6.59
203,2024-12-11,兰州黄河,000929,22.27,22.71,22.94,22.27,62533,56481792.01,3.0,1.75,0.39,3.37
202,2024-12-10,兰州黄河,000929,23.68,22.32,23.68,22.32,81409,74228898.15,6.03,-1.06,-0.24,4.38
201,2024-12-09,兰州黄河,000929,22.69,22.56,23.18,22.22,76012,68736333.2,4.22,-0.79,-0.18,4.09
200,2024-12-06,兰州黄河,000929,21.75,22.74,23.78,21.57,124278,113502105.04,10.16,4.55,0.99,6.69
199,2024-12-05,兰州黄河,000929,21.47,21.75,21.9,21.18,43623,37525343.26,3.36,1.54,0.33,2.35
198,2024-12-04,兰州黄河,000929,21.8,21.42,21.95,21.25,50943,43904148.8,3.21,-1.83,-0.4,2.74
197,2024-12-03,兰州黄河,000929,22.24,21.82,22.24,21.62,74945,65568389.3,2.8,-1.36,-0.3,4.03
196,2024-12-02,兰州黄河,000929,22.07,22.12,22.24,21.8,103302,90606338.0,1.98,-0.67,-0.15,5.56
195,2024-11-29,兰州黄河,000929,20.85,22.27,22.69,20.85,157419,137950039.05,8.76,6.05,1.27,8.47
194,2024-11-28,兰州黄河,000929,20.81,21.0,21.3,20.63,50240,41949684.0,3.24,1.4,0.29,2.7
193,2024-11-27,兰州黄河,000929,20.83,20.71,20.95,20.09,54947,44722881.8,4.13,-0.58,-0.12,2.96
192,2024-11-26,兰州黄河,000929,21.45,20.83,21.5,20.78,73215,61702368.0,3.39,-1.88,-0.4,3.94
191,2024-11-25,兰州黄河,000929,21.0,21.23,21.75,20.33,91676,77300511.19,6.86,2.51,0.52,4.94
190,2024-11-22,兰州黄河,000929,20.93,20.71,21.99,20.46,114954,97440829.39,7.36,-0.34,-0.07,6.19
189,2024-11-21,兰州黄河,000929,20.41,20.78,20.93,20.38,64431,53062843.72,2.71,2.21,0.45,3.47
188,2024-11-20,兰州黄河,000929,19.94,20.33,20.43,19.81,59097,47572218.99,3.09,1.45,0.29,3.18
187,2024-11-19,兰州黄河,000929,19.84,20.04,20.16,19.44,66829,52649121.79,3.63,1.01,0.2,3.6
186,2024-11-18,兰州黄河,000929,20.36,19.84,21.13,19.62,92746,74573006.85,7.33,-3.74,-0.77,4.99
185,2024-11-15,兰州黄河,000929,21.5,20.61,21.95,20.33,101701,86154944.43,7.7,-2.0,-0.42,5.48
184,2024-11-14,兰州黄河,000929,21.0,21.03,22.39,21.0,120219,103443574.51,6.55,-0.94,-0.2,6.47
183,2024-11-13,兰州黄河,000929,21.99,21.23,22.14,20.76,167646,142625124.18,6.07,-6.64,-1.51,9.03
182,2024-11-12,兰州黄河,000929,21.95,22.74,23.31,21.08,306169,269937855.36,9.85,0.44,0.1,16.48
181,2024-11-11,兰州黄河,000929,24.18,22.64,24.18,22.49,415279,385214887.5,7.69,2.96,0.65,22.36
180,2024-11-08,兰州黄河,000929,21.99,21.99,21.99,21.99,12378,10867743.52,0.0,9.9,1.98,0.67
179,2024-10-31,兰州黄河,000929,19.54,20.01,20.01,18.65,289842,222098327.75,6.93,1.99,0.39,15.6
178,2024-10-30,兰州黄河,000929,17.83,19.62,19.62,17.58,151300,114981254.36,11.42,9.85,1.76,8.15
177,2024-10-29,兰州黄河,000929,18.05,17.86,18.2,17.41,106148,74671654.97,4.38,-1.05,-0.19,5.71
176,2024-10-28,兰州黄河,000929,17.21,18.05,18.08,17.19,123452,87146374.46,5.19,5.19,0.89,6.65
175,2024-10-25,兰州黄河,000929,16.84,17.16,17.31,16.74,76278,52052618.84,3.38,1.72,0.29,4.11
