,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,中国重汽,000951,65.05,64.58,65.57,64.55,115874,216506130.06,1.57,-0.45,-0.29,0.99
239,2025-01-24,中国重汽,000951,64.2,64.87,65.22,64.15,141301,262918288.28,1.66,0.62,0.4,1.2
238,2025-01-23,中国重汽,000951,65.81,64.47,65.98,64.26,172751,322177148.04,2.63,-1.47,-0.96,1.47
237,2025-01-22,中国重汽,000951,64.96,65.43,65.57,64.61,108265,202925216.78,1.47,0.09,0.06,0.92
236,2025-01-21,中国重汽,000951,66.45,65.37,66.53,64.99,214187,403335927.92,2.32,-1.36,-0.9,1.82
235,2025-01-20,中国重汽,000951,67.03,66.27,68.14,65.95,172834,332281658.64,3.28,-0.66,-0.44,1.47
234,2025-01-17,中国重汽,000951,66.53,66.71,67.58,66.07,168743,325989818.42,2.27,0.09,0.06,1.44
233,2025-01-16,中国重汽,000951,66.51,66.65,67.9,66.3,208984,404443435.82,2.43,1.37,0.9,1.78
232,2025-01-15,中国重汽,000951,67.41,65.75,67.64,65.66,245105,469316073.06,2.91,-3.25,-2.21,2.09
231,2025-01-14,中国重汽,000951,66.01,67.96,68.22,65.66,356445,691095341.9,3.88,2.95,1.95,3.03
230,2025-01-13,中国重汽,000951,63.91,66.01,67.55,63.59,346325,661816896.76,6.08,1.29,0.84,2.95
229,2025-01-10,中国重汽,000951,66.13,65.17,66.27,64.35,399035,746430130.42,2.85,-3.32,-2.24,3.4
228,2025-01-09,中国重汽,000951,65.46,67.41,68.92,64.2,740102,1416983083.7,7.13,1.89,1.25,6.3
227,2025-01-08,中国重汽,000951,60.71,66.16,66.16,59.87,592009,1078117730.07,10.29,8.25,5.04,5.04
226,2025-01-07,中国重汽,000951,61.38,61.12,62.02,59.98,185979,320848685.5,3.33,-0.33,-0.2,1.58
225,2025-01-06,中国重汽,000951,60.71,61.32,61.9,60.33,213538,370679643.3,2.59,1.29,0.78,1.82
224,2025-01-03,中国重汽,000951,59.52,60.54,62.46,59.23,280161,485485683.04,5.44,2.02,1.2,2.38
223,2025-01-02,中国重汽,000951,59.92,59.34,61.73,58.93,228105,392524864.76,4.66,-1.22,-0.73,1.94
222,2024-12-31,中国重汽,000951,61.0,60.07,61.26,59.78,145791,248459603.07,2.43,-1.52,-0.93,1.24
221,2024-12-30,中国重汽,000951,61.15,61.0,62.4,60.19,122716,211700322.22,3.63,0.28,0.17,1.04
220,2024-12-27,中国重汽,000951,60.68,60.83,61.15,59.81,96559,165150366.46,2.21,0.25,0.15,0.82
219,2024-12-26,中国重汽,000951,61.15,60.68,61.18,60.04,90255,154891865.54,1.86,-0.77,-0.47,0.77
218,2024-12-25,中国重汽,000951,61.21,61.15,61.5,60.42,87166,150530774.84,1.77,0.0,0.0,0.74
217,2024-12-24,中国重汽,000951,60.45,61.15,61.53,60.45,93349,161358818.01,1.78,0.77,0.47,0.79
216,2024-12-23,中国重汽,000951,59.05,60.68,61.58,58.88,215431,371813947.78,4.57,2.71,1.6,1.83
215,2024-12-20,中国重汽,000951,59.98,59.08,60.33,58.53,175532,291994850.01,2.99,-1.89,-1.14,1.49
214,2024-12-19,中国重汽,000951,59.14,60.22,60.54,58.85,110847,187873199.68,2.83,0.74,0.44,0.94
213,2024-12-18,中国重汽,000951,61.03,59.78,61.73,59.55,127523,217494816.09,3.58,-1.73,-1.05,1.09
212,2024-12-17,中国重汽,000951,60.65,60.83,61.41,60.39,87098,150308791.67,1.68,0.2,0.12,0.74
211,2024-12-16,中国重汽,000951,60.94,60.71,61.53,60.45,80873,139445387.92,1.77,-0.77,-0.47,0.69
