,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,安泰科技,000969,59.37,57.28,59.46,57.28,295572,345091785.7,3.67,-3.52,-2.09,2.88
239,2025-01-24,安泰科技,000969,58.1,59.37,59.46,58.05,290467,344584734.17,2.41,1.49,0.87,2.83
238,2025-01-23,安泰科技,000969,59.41,58.5,60.54,58.5,424847,510045401.86,3.45,-1.08,-0.64,4.14
237,2025-01-22,安泰科技,000969,58.55,59.14,60.32,58.41,479418,576147255.0,3.25,0.54,0.32,4.67
236,2025-01-21,安泰科技,000969,59.37,58.82,59.41,57.73,364671,430288246.4,2.89,1.01,0.59,3.55
235,2025-01-20,安泰科技,000969,58.32,58.23,58.82,57.73,295433,347167102.1,1.88,0.38,0.22,2.88
234,2025-01-17,安泰科技,000969,57.87,58.01,58.28,57.37,263782,307554313.42,1.57,-0.15,-0.09,2.57
233,2025-01-16,安泰科技,000969,58.01,58.1,59.09,57.55,363834,427445265.0,2.66,0.47,0.27,3.55
232,2025-01-15,安泰科技,000969,57.87,57.83,58.41,57.33,339807,395607773.9,1.86,-0.31,-0.18,3.31
231,2025-01-14,安泰科技,000969,54.52,58.01,58.05,54.02,485602,553300004.94,7.39,6.4,3.49,4.73
230,2025-01-13,安泰科技,000969,53.57,54.52,54.79,53.16,182240,197210824.95,2.99,0.09,0.05,1.78
229,2025-01-10,安泰科技,000969,55.33,54.47,56.06,54.38,291779,323248445.99,3.02,-1.96,-1.09,2.84
228,2025-01-09,安泰科技,000969,53.75,55.56,57.33,53.34,446334,499302072.0,7.37,2.58,1.4,4.35
227,2025-01-08,安泰科技,000969,55.51,54.16,55.97,52.71,360216,389530650.99,5.85,-2.76,-1.54,3.51
226,2025-01-07,安泰科技,000969,52.71,55.7,55.7,52.66,349606,379930236.0,5.74,5.23,2.77,3.41
225,2025-01-06,安泰科技,000969,52.48,52.93,53.84,51.89,194698,205725269.58,3.71,0.59,0.31,1.9
224,2025-01-03,安泰科技,000969,53.79,52.62,54.56,52.34,249558,266188663.89,4.13,-2.1,-1.13,2.43
223,2025-01-02,安泰科技,000969,55.38,53.75,55.65,53.2,290985,318078178.23,4.41,-3.34,-1.86,2.84
222,2024-12-31,安泰科技,000969,58.32,55.61,58.41,55.61,322648,367169447.9,4.81,-4.5,-2.62,3.14
221,2024-12-30,安泰科技,000969,57.46,58.23,58.96,56.87,355918,418163786.27,3.64,1.34,0.77,3.47
220,2024-12-27,安泰科技,000969,56.56,57.46,57.87,56.56,251092,289845587.46,2.32,1.59,0.9,2.45
219,2024-12-26,安泰科技,000969,55.79,56.56,56.83,55.7,152837,173239304.32,2.03,1.64,0.91,1.49
218,2024-12-25,安泰科技,000969,56.92,55.65,57.1,55.11,206490,231272119.0,3.5,-2.23,-1.27,2.01
217,2024-12-24,安泰科技,000969,56.47,56.92,57.28,56.29,177038,202181680.06,1.76,1.12,0.63,1.73
216,2024-12-23,安泰科技,000969,57.19,56.29,57.55,55.83,203828,231620698.29,3.01,-1.5,-0.86,1.99
215,2024-12-20,安泰科技,000969,56.42,57.15,57.42,56.15,217113,248554742.28,2.25,1.37,0.77,2.12
