,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,中旗新材,001212,28.16,29.45,29.52,28.16,17882,38515064.5,4.79,3.77,1.07,1.75
240,2025-01-23,中旗新材,001212,28.55,28.38,28.85,28.07,12827,27148751.15,2.76,0.46,0.13,1.25
239,2025-01-22,中旗新材,001212,28.45,28.25,28.87,28.19,8309,17635858.43,2.37,-1.64,-0.47,0.81
238,2025-01-21,中旗新材,001212,28.99,28.72,29.2,28.25,12081,25727267.0,3.29,-0.42,-0.12,1.18
237,2025-01-20,中旗新材,001212,29.24,28.84,29.72,28.12,18928,40609684.92,5.64,1.69,0.48,1.85
236,2025-01-17,中旗新材,001212,27.8,28.36,28.42,27.73,10923,22878884.54,2.47,1.47,0.41,1.07
235,2025-01-16,中旗新材,001212,28.47,27.95,28.6,27.61,12605,26378721.36,3.51,-0.92,-0.26,1.23
234,2025-01-15,中旗新材,001212,27.87,28.21,28.55,27.69,19586,41007164.51,3.1,1.69,0.47,1.91
233,2025-01-14,中旗新材,001212,26.59,27.74,27.74,26.59,19438,39506263.79,4.32,4.17,1.11,1.9
232,2025-01-13,中旗新材,001212,26.54,26.63,26.73,25.82,13456,26331635.98,3.42,0.15,0.04,1.31
231,2025-01-10,中旗新材,001212,28.02,26.59,28.03,26.59,20519,41553268.88,5.14,-5.04,-1.41,2.0
230,2025-01-09,中旗新材,001212,28.07,28.0,28.47,27.95,13261,27825681.97,1.84,-0.99,-0.28,1.3
229,2025-01-08,中旗新材,001212,28.55,28.28,28.72,27.6,13706,28761495.52,3.91,-1.22,-0.35,1.34
228,2025-01-07,中旗新材,001212,27.78,28.63,28.91,27.72,19234,40597587.0,4.28,3.06,0.85,1.88
227,2025-01-06,中旗新材,001212,28.24,27.78,28.45,27.25,17478,36126079.92,4.26,-1.49,-0.42,1.71
226,2025-01-03,中旗新材,001212,30.58,28.2,30.88,28.03,33233,71864368.35,9.33,-7.72,-2.36,3.25
225,2025-01-02,中旗新材,001212,31.32,30.56,31.49,30.19,26228,60422878.35,4.15,-2.43,-0.76,2.56
224,2024-12-31,中旗新材,001212,32.57,31.32,32.85,31.29,24679,58604605.34,4.79,-3.84,-1.25,2.41
223,2024-12-30,中旗新材,001212,33.44,32.57,33.84,32.38,33566,82653292.0,4.38,-2.4,-0.8,3.3
222,2024-12-27,中旗新材,001212,33.5,33.37,33.83,33.16,28488,71308361.92,2.0,-0.6,-0.2,2.8
221,2024-12-26,中旗新材,001212,33.75,33.57,34.14,33.31,36306,91546801.48,2.46,-0.65,-0.22,3.57
220,2024-12-25,中旗新材,001212,34.43,33.79,34.44,33.23,50544,127444323.27,3.46,-3.37,-1.18,4.97
219,2024-12-24,中旗新材,001212,33.75,34.97,36.39,33.57,86467,224206881.72,8.35,3.58,1.21,8.5
218,2024-12-23,中旗新材,001212,33.5,33.76,34.53,33.46,62563,158716209.66,3.16,-0.35,-0.12,6.15
217,2024-12-20,中旗新材,001212,33.44,33.88,34.3,33.41,60675,153428031.57,2.67,1.47,0.49,5.96
216,2024-12-19,中旗新材,001212,33.27,33.39,34.0,33.05,88895,222836388.61,2.81,-1.1,-0.37,8.74
215,2024-12-18,中旗新材,001212,30.95,33.76,33.76,30.64,43707,108453788.51,10.14,9.72,2.99,4.3
214,2024-12-17,中旗新材,001212,32.01,30.77,32.58,30.58,36396,84891699.56,6.26,-3.66,-1.17,3.58
213,2024-12-16,中旗新材,001212,31.5,31.94,33.26,31.32,41145,99088126.76,6.16,1.4,0.44,4.04
