,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,兰州银行,001227,2.73,2.72,2.73,2.69,658450,154358923.23,1.48,0.37,0.01,1.56
240,2025-01-23,兰州银行,001227,2.68,2.71,2.72,2.67,804270,191558504.2,1.88,1.88,0.05,1.91
239,2025-01-22,兰州银行,001227,2.68,2.66,2.69,2.65,398234,93255295.73,1.49,-1.12,-0.03,0.95
238,2025-01-21,兰州银行,001227,2.7,2.69,2.71,2.67,414174,97910548.75,1.49,0.0,0.0,0.98
237,2025-01-20,兰州银行,001227,2.7,2.69,2.72,2.68,430130,102244364.34,1.49,0.37,0.01,1.02
236,2025-01-17,兰州银行,001227,2.68,2.68,2.69,2.65,427632,100760346.48,1.49,-0.37,-0.01,1.02
235,2025-01-16,兰州银行,001227,2.66,2.69,2.71,2.65,821519,194149159.48,2.27,1.89,0.05,2.97
234,2025-01-15,兰州银行,001227,2.66,2.64,2.69,2.63,527228,123259266.35,2.26,-0.75,-0.02,1.9
233,2025-01-14,兰州银行,001227,2.6,2.66,2.67,2.6,650524,151145944.28,2.68,1.92,0.05,2.35
232,2025-01-13,兰州银行,001227,2.59,2.61,2.61,2.57,448035,101858570.77,1.53,0.0,0.0,1.62
231,2025-01-10,兰州银行,001227,2.66,2.61,2.66,2.6,515104,118935062.57,2.26,-1.88,-0.05,1.86
230,2025-01-09,兰州银行,001227,2.66,2.66,2.68,2.65,398813,93356361.87,1.12,-0.37,-0.01,1.44
229,2025-01-08,兰州银行,001227,2.68,2.67,2.7,2.64,639727,150466902.63,2.23,-0.74,-0.02,2.31
228,2025-01-07,兰州银行,001227,2.68,2.69,2.69,2.66,466103,109781435.6,1.12,0.37,0.01,1.68
227,2025-01-06,兰州银行,001227,2.68,2.68,2.7,2.65,638544,150244389.38,1.87,0.0,0.0,2.31
226,2025-01-03,兰州银行,001227,2.71,2.68,2.73,2.68,624145,148487762.4,1.85,-1.11,-0.03,2.25
225,2025-01-02,兰州银行,001227,2.78,2.71,2.8,2.7,1008980,245468921.47,3.6,-2.52,-0.07,3.65
224,2024-12-31,兰州银行,001227,2.84,2.78,2.88,2.78,1326893,332885227.96,3.51,-2.46,-0.07,4.79
223,2024-12-30,兰州银行,001227,2.83,2.85,2.86,2.82,751783,189658446.92,1.4,0.0,0.0,2.72
222,2024-12-27,兰州银行,001227,2.82,2.85,2.85,2.81,821008,206252604.81,1.41,0.71,0.02,2.97
221,2024-12-26,兰州银行,001227,2.83,2.83,2.84,2.81,712524,178199033.28,1.06,-0.35,-0.01,2.57
220,2024-12-25,兰州银行,001227,2.84,2.84,2.87,2.83,1012004,255589556.2,1.41,0.0,0.0,3.66
219,2024-12-24,兰州银行,001227,2.81,2.84,2.84,2.8,831923,208004828.77,1.42,1.07,0.03,3.01
218,2024-12-23,兰州银行,001227,2.83,2.81,2.86,2.8,1072817,269198861.97,2.12,-0.71,-0.02,3.88
217,2024-12-20,兰州银行,001227,2.86,2.83,2.87,2.83,694918,175491277.08,1.4,-1.05,-0.03,2.51
216,2024-12-19,兰州银行,001227,2.87,2.86,2.88,2.84,706196,179064330.0,1.39,-0.69,-0.02,2.55
215,2024-12-18,兰州银行,001227,2.89,2.88,2.92,2.87,723129,186313732.57,1.74,0.0,0.0,2.61
214,2024-12-17,兰州银行,001227,2.93,2.88,2.95,2.86,887084,228483810.79,3.06,-2.04,-0.06,3.2
213,2024-12-16,兰州银行,001227,2.94,2.94,2.97,2.92,848305,222471757.64,1.7,0.0,0.0,3.06
212,2024-12-13,兰州银行,001227,3.01,2.94,3.02,2.92,1324953,350188116.53,3.31,-2.65,-0.08,4.79
211,2024-12-12,兰州银行,001227,2.99,3.02,3.03,2.98,1059778,285022852.49,1.67,1.0,0.03,3.83
210,2024-12-11,兰州银行,001227,2.96,2.99,3.01,2.96,1046597,279356849.61,1.68,0.67,0.02,3.78
209,2024-12-10,兰州银行,001227,2.99,2.97,3.04,2.96,1527480,407296729.3,2.71,0.68,0.02,5.52
208,2024-12-09,兰州银行,001227,2.95,2.95,2.98,2.93,1142036,301218948.76,1.69,0.0,0.0,4.13
207,2024-12-06,兰州银行,001227,2.89,2.95,2.97,2.89,1227011,320891936.91,2.77,2.08,0.06,4.43
206,2024-12-05,兰州银行,001227,2.89,2.89,2.91,2.88,508333,130970236.4,1.03,-0.34,-0.01,1.84
205,2024-12-04,兰州银行,001227,2.91,2.9,2.93,2.88,852361,220536963.3,1.71,-0.68,-0.02,3.08
204,2024-12-03,兰州银行,001227,2.88,2.92,2.92,2.86,844475,217136354.31,2.08,1.39,0.04,3.05
203,2024-12-02,兰州银行,001227,2.84,2.88,2.9,2.83,876831,223336805.88,2.46,1.41,0.04,3.17
202,2024-11-29,兰州银行,001227,2.82,2.84,2.86,2.81,713517,179884476.51,1.77,0.71,0.02,2.58
201,2024-11-28,兰州银行,001227,2.8,2.82,2.85,2.8,798343,200211882.82,1.78,0.36,0.01,2.88
200,2024-11-27,兰州银行,001227,2.8,2.81,2.82,2.75,825271,203321289.34,2.5,0.36,0.01,2.98
199,2024-11-26,兰州银行,001227,2.8,2.8,2.82,2.78,637701,158349153.3,1.43,0.0,0.0,2.3
198,2024-11-25,兰州银行,001227,2.8,2.8,2.82,2.78,701212,173882471.44,1.43,0.0,0.0,2.53
197,2024-11-22,兰州银行,001227,2.89,2.8,2.9,2.8,1106894,279928618.78,3.45,-3.45,-0.1,4.0
196,2024-11-21,兰州银行,001227,2.91,2.9,2.92,2.88,813389,209497469.54,1.37,-0.68,-0.02,2.94
195,2024-11-20,兰州银行,001227,2.91,2.92,2.95,2.89,1116737,289033108.94,2.05,-0.34,-0.01,4.03
194,2024-11-19,兰州银行,001227,2.94,2.93,2.99,2.89,2055337,536836543.15,3.37,-1.35,-0.04,7.43
193,2024-11-18,兰州银行,001227,2.88,2.97,3.05,2.87,3295575,874434563.59,6.34,4.58,0.13,11.91
192,2024-11-15,兰州银行,001227,2.86,2.84,2.9,2.82,1046786,266266662.25,2.79,-1.05,-0.03,3.78
191,2024-11-14,兰州银行,001227,2.92,2.87,2.93,2.87,799935,206122959.34,2.05,-2.05,-0.06,2.89
190,2024-11-13,兰州银行,001227,2.9,2.93,2.94,2.9,760602,197760378.36,1.37,0.34,0.01,2.75
189,2024-11-12,兰州银行,001227,2.97,2.92,2.98,2.9,1102502,289110925.15,2.7,-1.35,-0.04,3.98
188,2024-11-11,兰州银行,001227,2.92,2.96,3.0,2.91,1269544,333422089.01,3.07,1.02,0.03,4.59
187,2024-11-08,兰州银行,001227,3.01,2.93,3.03,2.91,1639163,432042217.93,4.01,-2.01,-0.06,5.92
186,2024-11-07,兰州银行,001227,2.85,2.99,3.0,2.84,2067991,540060416.02,5.59,4.55,0.13,7.47
185,2024-11-06,兰州银行,001227,2.87,2.86,2.88,2.84,1020304,258579335.51,1.39,-0.35,-0.01,3.69
184,2024-11-05,兰州银行,001227,2.82,2.87,2.88,2.8,1505549,380974413.91,2.84,1.77,0.05,5.44
183,2024-11-04,兰州银行,001227,2.81,2.82,2.82,2.77,704584,174273141.58,1.78,0.36,0.01,2.55
182,2024-11-01,兰州银行,001227,2.8,2.81,2.87,2.8,1407519,352682025.14,2.49,0.0,0.0,5.08
181,2024-10-31,兰州银行,001227,2.78,2.81,2.83,2.77,899459,223558784.08,2.15,0.72,0.02,3.25
180,2024-10-30,兰州银行,001227,2.8,2.79,2.82,2.77,819530,202797271.77,1.79,-0.36,-0.01,2.96
179,2024-10-29,兰州银行,001227,2.85,2.8,2.9,2.8,1119341,281929440.27,3.53,-1.06,-0.03,4.04
178,2024-10-28,兰州银行,001227,2.78,2.83,2.83,2.76,1070414,266306122.66,2.52,1.8,0.05,3.87
177,2024-10-25,兰州银行,001227,2.76,2.78,2.79,2.75,615434,150906754.11,1.45,0.72,0.02,2.22
176,2024-10-24,兰州银行,001227,2.78,2.76,2.78,2.75,526879,128828828.0,1.08,-0.72,-0.02,1.9
175,2024-10-23,兰州银行,001227,2.77,2.78,2.8,2.76,811641,199878740.19,1.44,0.36,0.01,2.93
174,2024-10-22,兰州银行,001227,2.77,2.77,2.8,2.75,687632,168106180.31,1.81,0.0,0.0,2.48
173,2024-10-21,兰州银行,001227,2.8,2.77,2.8,2.76,900328,221035531.31,1.42,-1.42,-0.04,3.25
172,2024-10-18,兰州银行,001227,2.77,2.81,2.83,2.73,1020367,251242746.05,3.62,1.81,0.05,3.69
171,2024-10-17,兰州银行,001227,2.82,2.76,2.83,2.76,862234,212957600.51,2.47,-2.47,-0.07,3.11
170,2024-10-16,兰州银行,001227,2.72,2.83,2.84,2.72,1445667,359195828.67,4.35,2.54,0.07,5.22
169,2024-10-15,兰州银行,001227,2.82,2.76,2.84,2.75,1073626,265861009.02,3.18,-2.47,-0.07,3.88
168,2024-10-14,兰州银行,001227,2.81,2.83,2.87,2.79,1461395,366651986.63,2.9,2.54,0.07,5.28
167,2024-10-11,兰州银行,001227,2.8,2.76,2.83,2.72,1131411,277970317.63,3.89,-2.47,-0.07,4.09
166,2024-10-10,兰州银行,001227,2.8,2.83,2.89,2.76,1579836,396521191.4,4.64,1.07,0.03,5.71
165,2024-10-09,兰州银行,001227,2.95,2.8,2.96,2.8,2228325,567329275.33,5.21,-8.79,-0.27,8.05
164,2024-10-08,兰州银行,001227,3.22,3.07,3.22,2.93,3933733,1084882312.55,9.8,3.72,0.11,14.21
163,2024-09-30,兰州银行,001227,2.77,2.96,2.96,2.75,3311080,847753735.04,7.72,8.82,0.24,11.96
162,2024-09-27,兰州银行,001227,2.74,2.72,2.74,2.66,1478285,352106235.43,2.96,0.74,0.02,5.34
161,2024-09-26,兰州银行,001227,2.59,2.7,2.7,2.58,1479148,343890555.13,4.6,3.45,0.09,5.34
160,2024-09-25,兰州银行,001227,2.54,2.61,2.74,2.53,1833910,424045504.63,8.33,3.57,0.09,6.63
159,2024-09-24,兰州银行,001227,2.47,2.52,2.53,2.47,560719,122383026.36,2.43,2.02,0.05,2.03
158,2024-09-23,兰州银行,001227,2.45,2.47,2.48,2.44,249663,53534616.69,1.63,0.82,0.02,0.9
157,2024-09-20,兰州银行,001227,2.46,2.45,2.47,2.44,207777,44297020.36,1.22,0.0,0.0,0.75
156,2024-09-19,兰州银行,001227,2.44,2.45,2.47,2.42,211599,45063737.27,2.05,0.41,0.01,0.76
155,2024-09-18,兰州银行,001227,2.43,2.44,2.44,2.39,276378,57982105.33,2.06,0.41,0.01,1.0
154,2024-09-13,兰州银行,001227,2.46,2.43,2.48,2.43,402834,86003097.17,2.04,-0.82,-0.02,1.46
153,2024-09-12,兰州银行,001227,2.44,2.45,2.48,2.44,349980,74951900.82,1.64,0.41,0.01,1.26
152,2024-09-11,兰州银行,001227,2.45,2.44,2.45,2.43,223943,47476062.04,0.82,-0.41,-0.01,0.81
151,2024-09-10,兰州银行,001227,2.46,2.45,2.47,2.43,271989,57784596.17,1.63,-0.41,-0.01,0.98
150,2024-09-09,兰州银行,001227,2.48,2.46,2.49,2.45,267767,57452127.76,1.61,-1.2,-0.03,0.97
149,2024-09-06,兰州银行,001227,2.5,2.49,2.52,2.49,203049,44331326.62,1.2,-0.8,-0.02,0.73
148,2024-09-05,兰州银行,001227,2.51,2.51,2.52,2.5,178193,38968758.76,0.8,0.0,0.0,0.64
147,2024-09-04,兰州银行,001227,2.53,2.51,2.54,2.51,202032,44420709.28,1.19,-0.79,-0.02,0.73
146,2024-09-03,兰州银行,001227,2.55,2.53,2.56,2.52,327658,72545916.0,1.57,-0.78,-0.02,1.18
145,2024-09-02,兰州银行,001227,2.56,2.55,2.58,2.55,268074,60089650.08,1.17,-0.39,-0.01,0.97
144,2024-08-30,兰州银行,001227,2.54,2.56,2.58,2.54,334555,75128414.0,1.57,0.39,0.01,1.21
