,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,弘业期货,001236,9.84,9.71,9.98,9.68,182290,177710772.98,3.02,-2.12,-0.21,5.58
240,2025-01-23,弘业期货,001236,10.24,9.92,10.5,9.92,321284,327516668.06,5.79,-1.0,-0.1,9.84
239,2025-01-22,弘业期货,001236,9.83,10.02,10.13,9.72,242224,240234411.66,4.14,1.11,0.11,7.42
238,2025-01-21,弘业期货,001236,10.08,9.91,10.11,9.73,193079,190068899.0,3.79,-1.1,-0.11,5.91
237,2025-01-20,弘业期货,001236,10.2,10.02,10.35,9.96,234911,236721797.27,3.84,-1.38,-0.14,7.2
236,2025-01-17,弘业期货,001236,10.14,10.16,10.43,9.99,311252,315202120.0,4.21,-2.87,-0.3,9.53
235,2025-01-16,弘业期货,001236,9.83,10.46,11.03,9.82,514542,533801641.32,11.93,3.16,0.32,15.76
234,2025-01-15,弘业期货,001236,9.21,10.14,10.14,9.07,274567,263101851.3,11.61,9.98,0.92,8.41
233,2025-01-14,弘业期货,001236,8.86,9.22,9.22,8.86,114919,104024041.13,4.06,4.06,0.36,3.52
232,2025-01-13,弘业期货,001236,8.61,8.86,8.88,8.54,69501,60698538.39,3.89,1.49,0.13,2.13
231,2025-01-10,弘业期货,001236,8.98,8.73,9.12,8.73,60111,53654043.0,4.33,-3.0,-0.27,1.84
230,2025-01-09,弘业期货,001236,8.91,9.0,9.07,8.9,67200,60262966.0,1.9,0.33,0.03,2.06
229,2025-01-08,弘业期货,001236,9.1,8.97,9.11,8.73,86689,77060602.0,4.17,-1.54,-0.14,2.66
228,2025-01-07,弘业期货,001236,9.0,9.11,9.13,8.92,64009,57629350.0,2.34,1.67,0.15,1.96
227,2025-01-06,弘业期货,001236,8.98,8.96,9.07,8.78,69647,62157277.0,3.23,-0.22,-0.02,2.13
226,2025-01-03,弘业期货,001236,9.44,8.98,9.48,8.95,97063,88591579.0,5.66,-4.06,-0.38,2.97
225,2025-01-02,弘业期货,001236,9.64,9.36,9.73,9.26,85214,80932374.0,4.86,-3.21,-0.31,2.61
224,2024-12-31,弘业期货,001236,10.16,9.67,10.22,9.66,93461,92145958.13,5.5,-5.01,-0.51,2.86
223,2024-12-30,弘业期货,001236,10.14,10.18,10.23,10.05,50860,51445100.0,1.76,-0.59,-0.06,1.56
222,2024-12-27,弘业期货,001236,10.28,10.24,10.48,10.21,66381,68313999.0,2.63,-0.1,-0.01,2.03
221,2024-12-26,弘业期货,001236,10.13,10.25,10.31,10.13,50325,51418923.78,1.76,0.39,0.04,1.54
220,2024-12-25,弘业期货,001236,10.38,10.21,10.46,10.11,51685,52679225.0,3.37,-1.73,-0.18,1.58
219,2024-12-24,弘业期货,001236,10.31,10.39,10.43,10.24,48447,49897804.75,1.85,1.17,0.12,1.48
218,2024-12-23,弘业期货,001236,10.67,10.27,10.68,10.24,69144,71745932.0,4.12,-3.75,-0.4,2.12
217,2024-12-20,弘业期货,001236,10.62,10.67,10.77,10.57,56191,59947712.0,1.89,0.57,0.06,1.72
216,2024-12-19,弘业期货,001236,10.58,10.61,10.67,10.48,58294,61423065.0,1.79,-0.28,-0.03,1.79
215,2024-12-18,弘业期货,001236,10.73,10.64,10.82,10.62,52631,56190522.0,1.87,-0.65,-0.07,1.61
214,2024-12-17,弘业期货,001236,10.98,10.71,11.03,10.69,63082,68021972.0,3.09,-2.55,-0.28,1.93
213,2024-12-16,弘业期货,001236,11.22,10.99,11.22,10.94,81123,89273591.5,2.52,-1.26,-0.14,2.49
212,2024-12-13,弘业期货,001236,11.26,11.13,11.33,11.13,112193,125474972.64,1.75,-2.54,-0.29,3.44
