,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,博菲电气,001255,30.38,31.03,31.03,29.35,35758,106935334.0,5.39,-0.39,-0.12,17.88
240,2025-01-23,博菲电气,001255,30.19,31.15,31.8,30.15,39771,121817594.0,5.48,3.52,1.06,19.89
239,2025-01-22,博菲电气,001255,30.85,30.09,31.11,30.09,27638,83314966.99,3.3,-2.53,-0.78,13.82
238,2025-01-21,博菲电气,001255,32.0,30.87,32.07,30.17,32137,97922887.0,6.04,-1.84,-0.58,16.07
237,2025-01-20,博菲电气,001255,32.42,31.45,32.93,31.12,65639,207958258.4,5.55,-3.56,-1.16,32.82
236,2025-01-17,博菲电气,001255,29.23,32.61,32.61,29.05,69752,216078501.38,11.99,9.87,2.93,34.88
235,2025-01-16,博菲电气,001255,28.17,29.68,29.89,28.17,41420,118249000.64,5.79,-0.03,-0.01,20.71
234,2025-01-15,博菲电气,001255,31.7,29.69,31.7,29.69,53280,158622167.6,6.1,-9.89,-3.26,26.64
233,2025-01-14,博菲电气,001255,31.93,32.95,35.15,31.4,86325,284721876.6,11.66,2.49,0.8,43.16
232,2025-01-13,博菲电气,001255,29.87,32.15,32.25,29.38,30785,95491044.36,9.53,6.81,2.05,15.39
231,2025-01-10,博菲电气,001255,30.84,30.1,30.84,30.05,12119,36385166.0,2.56,-2.37,-0.73,6.06
230,2025-01-09,博菲电气,001255,30.47,30.83,30.92,30.3,15272,46315162.0,2.04,1.25,0.38,7.64
229,2025-01-08,博菲电气,001255,30.34,30.45,30.68,29.88,14599,43703430.0,2.62,-0.46,-0.14,7.3
228,2025-01-07,博菲电气,001255,30.17,30.59,30.59,29.32,21790,64932224.0,4.29,3.34,0.99,10.9
227,2025-01-06,博菲电气,001255,27.67,29.6,29.95,26.78,23892,68559079.0,11.46,6.98,1.93,11.95
226,2025-01-03,博菲电气,001255,28.75,27.67,28.84,27.58,11999,33272137.0,4.44,-2.43,-0.69,6.0
225,2025-01-02,博菲电气,001255,28.47,28.36,29.09,28.25,11552,32615102.0,2.92,-1.32,-0.38,5.78
224,2024-12-31,博菲电气,001255,29.57,28.74,29.64,28.51,11449,32813295.52,3.82,-2.81,-0.83,5.72
223,2024-12-30,博菲电气,001255,29.05,29.57,30.24,28.4,22458,65616867.46,6.26,0.65,0.19,11.23
222,2024-12-27,博菲电气,001255,28.25,29.38,29.65,28.2,17807,51205172.5,5.14,4.18,1.18,8.9
221,2024-12-26,博菲电气,001255,27.77,28.2,28.45,27.67,11458,31931523.0,2.81,1.77,0.49,5.73
220,2024-12-25,博菲电气,001255,29.07,27.71,29.07,27.45,12293,33891709.24,5.57,-4.71,-1.37,6.15
219,2024-12-24,博菲电气,001255,28.71,29.08,29.4,28.38,9991,28541359.37,3.55,1.18,0.34,5.0
218,2024-12-23,博菲电气,001255,29.96,28.74,30.61,28.64,14921,42924671.24,6.52,-4.93,-1.49,7.46
217,2024-12-20,博菲电气,001255,30.17,30.23,30.56,30.02,11014,32968731.32,1.78,-0.26,-0.08,5.51
216,2024-12-19,博菲电气,001255,29.49,30.31,30.31,29.25,11056,32704915.0,3.54,1.2,0.36,5.53
215,2024-12-18,博菲电气,001255,29.7,29.95,30.24,28.97,14102,41446527.0,4.28,0.84,0.25,7.05
214,2024-12-17,博菲电气,001255,31.17,29.7,31.17,29.47,22581,67582633.36,5.45,-4.75,-1.48,11.29
213,2024-12-16,博菲电气,001255,30.86,31.18,31.69,30.66,16697,51405296.88,3.31,0.26,0.08,8.35
212,2024-12-13,博菲电气,001255,31.4,31.1,31.8,30.95,20369,63015022.3,2.66,-2.57,-0.82,10.18
211,2024-12-12,博菲电气,001255,31.15,31.92,31.95,30.87,28858,89503970.99,3.45,2.11,0.66,14.43
210,2024-12-11,博菲电气,001255,32.27,31.26,32.3,30.56,46370,142601239.7,5.3,-4.75,-1.56,23.18
209,2024-12-10,博菲电气,001255,35.11,32.82,35.11,32.79,68212,227976454.29,6.61,-6.55,-2.3,34.11
208,2024-12-09,博菲电气,001255,33.3,35.12,36.61,32.88,90041,315763393.46,11.2,5.43,1.81,45.02
207,2024-12-06,博菲电气,001255,32.15,33.31,33.75,31.9,41038,134431429.08,5.74,3.32,1.07,20.52
206,2024-12-05,博菲电气,001255,31.91,32.24,32.31,31.26,31925,100229388.2,3.26,0.09,0.03,15.96
205,2024-12-04,博菲电气,001255,30.91,32.21,33.17,30.76,43593,137401192.72,7.73,3.34,1.04,21.8
204,2024-12-03,博菲电气,001255,30.89,31.17,31.72,30.63,36426,112358713.34,3.53,0.94,0.29,18.21
203,2024-12-02,博菲电气,001255,30.1,30.88,31.05,29.92,39868,120384900.0,3.76,2.63,0.79,19.93
202,2024-11-29,博菲电气,001255,30.33,30.09,30.65,29.2,30991,91821080.12,4.8,-0.46,-0.14,15.5
201,2024-11-28,博菲电气,001255,29.93,30.23,30.64,29.85,31463,93829561.98,2.61,-0.2,-0.06,15.73
200,2024-11-27,博菲电气,001255,30.8,30.29,30.8,28.95,46058,135536455.82,5.82,-4.75,-1.51,23.03
199,2024-11-26,博菲电气,001255,30.65,31.8,32.8,29.85,69041,211202667.63,9.55,2.91,0.9,34.52
198,2024-11-25,博菲电气,001255,32.85,30.9,32.85,30.06,54366,166515077.08,8.41,-6.82,-2.26,27.18
197,2024-11-22,博菲电气,001255,34.26,33.16,35.95,33.13,71363,239840412.82,7.67,-9.82,-3.61,35.68
196,2024-11-21,博菲电气,001255,40.87,36.77,41.25,36.77,89031,341477461.4,10.98,-9.92,-4.05,44.52
195,2024-11-20,博菲电气,001255,35.24,40.82,40.82,33.52,97781,364177267.21,19.66,9.91,3.68,48.89
194,2024-11-19,博菲电气,001255,35.33,37.14,38.83,33.57,88169,326045582.92,14.89,5.12,1.81,44.08
193,2024-11-18,博菲电气,001255,32.42,35.33,35.33,32.42,44317,149682767.44,9.05,9.89,3.18,22.16
192,2024-11-15,博菲电气,001255,27.87,32.15,32.15,27.85,58985,178068098.38,14.7,9.88,2.89,29.49
191,2024-11-14,博菲电气,001255,29.41,29.26,31.25,28.15,61506,177613725.48,10.35,-2.3,-0.69,30.75
190,2024-11-13,博菲电气,001255,27.84,29.95,30.16,27.05,78708,221375157.42,11.32,8.99,2.47,39.35
189,2024-11-12,博菲电气,001255,25.55,27.48,27.48,25.26,49027,129176261.0,8.88,9.88,2.47,24.51
188,2024-11-11,博菲电气,001255,24.57,25.01,25.13,24.57,16591,40789321.0,2.27,1.46,0.36,8.3
187,2024-11-08,博菲电气,001255,24.81,24.65,25.01,24.6,12913,31536937.0,1.65,-0.6,-0.15,6.46
