,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,康冠科技,001308,42.27,42.76,43.22,42.13,59564,140689121.9,2.57,0.68,0.29,6.78
240,2025-01-23,康冠科技,001308,43.44,42.47,43.99,42.44,51202,122036404.9,3.6,-1.23,-0.53,5.83
239,2025-01-22,康冠科技,001308,44.09,43.0,44.48,42.73,70608,169189373.56,3.93,-3.44,-1.53,8.03
238,2025-01-21,康冠科技,001308,43.74,44.53,45.09,43.5,88304,216429873.69,3.65,2.25,0.98,10.05
237,2025-01-20,康冠科技,001308,42.56,43.55,44.47,42.27,86764,208865014.73,5.2,3.03,1.28,9.87
236,2025-01-17,康冠科技,001308,41.68,42.27,43.4,41.24,47611,110455877.28,5.16,1.0,0.42,5.42
235,2025-01-16,康冠科技,001308,42.1,41.85,43.13,41.46,46498,108023325.88,4.0,0.29,0.12,5.29
234,2025-01-15,康冠科技,001308,42.52,41.73,42.61,41.64,44305,102330613.42,2.28,-1.86,-0.79,5.04
233,2025-01-14,康冠科技,001308,41.1,42.52,42.74,40.51,57936,134006153.62,5.46,4.16,1.7,6.59
232,2025-01-13,康冠科技,001308,40.92,40.82,41.12,40.04,53338,119119315.03,2.6,-1.61,-0.67,6.07
231,2025-01-10,康冠科技,001308,44.42,41.49,44.74,41.46,98988,235059314.35,7.32,-7.37,-3.3,11.26
230,2025-01-09,康冠科技,001308,43.93,44.79,46.17,43.59,100163,250668372.56,5.92,2.8,1.22,11.4
229,2025-01-08,康冠科技,001308,43.96,43.57,44.04,41.63,92771,220104124.48,5.47,-1.18,-0.52,10.56
228,2025-01-07,康冠科技,001308,44.72,44.09,45.99,43.03,109410,266724073.99,6.64,-1.14,-0.51,12.45
227,2025-01-06,康冠科技,001308,45.99,44.6,47.12,44.21,152063,381251567.24,5.96,-8.63,-4.21,17.3
226,2025-01-03,康冠科技,001308,50.72,48.81,51.7,48.18,158920,440014067.46,7.24,0.41,0.2,18.08
225,2025-01-02,康冠科技,001308,49.38,48.61,51.33,47.85,116092,321007200.15,7.05,-1.54,-0.76,13.21
224,2024-12-31,康冠科技,001308,50.75,49.37,51.72,48.88,110078,306523056.11,5.64,-2.0,-1.01,12.52
223,2024-12-30,康冠科技,001308,49.0,50.38,51.43,48.13,166709,465235305.46,6.65,1.57,0.78,18.97
222,2024-12-27,康冠科技,001308,51.4,49.6,52.24,49.03,183705,519122948.76,6.35,-1.82,-0.92,20.9
221,2024-12-26,康冠科技,001308,48.69,50.52,51.12,47.98,164064,457583974.97,6.32,1.63,0.81,18.67
220,2024-12-25,康冠科技,001308,48.49,49.71,51.23,48.27,206456,572643913.99,5.99,0.57,0.28,23.49
219,2024-12-24,康冠科技,001308,46.82,49.43,50.6,45.5,264556,718854626.84,11.02,6.85,3.17,30.1
218,2024-12-23,康冠科技,001308,47.63,46.26,47.86,45.87,177862,460208748.12,4.1,-4.6,-2.23,23.03
217,2024-12-20,康冠科技,001308,44.64,48.49,48.49,44.47,164451,433343051.39,9.06,9.33,4.14,21.29
216,2024-12-19,康冠科技,001308,44.13,44.35,44.77,43.54,48073,117350351.29,2.76,-0.65,-0.29,6.22
215,2024-12-18,康冠科技,001308,42.96,44.64,45.51,42.56,89610,219148057.49,6.89,4.2,1.8,11.6
214,2024-12-17,康冠科技,001308,44.36,42.84,44.69,42.61,64742,155676207.7,4.68,-3.58,-1.59,8.38
213,2024-12-16,康冠科技,001308,45.89,44.43,46.14,43.96,56827,140951766.49,4.76,-2.93,-1.34,7.36
212,2024-12-13,康冠科技,001308,45.78,45.77,46.73,45.62,89327,228862507.19,2.41,-0.76,-0.35,11.56
211,2024-12-12,康冠科技,001308,47.14,46.12,47.49,45.09,114533,292677718.7,5.18,-0.41,-0.19,14.83
210,2024-12-11,康冠科技,001308,43.82,46.31,47.14,43.79,175093,445864103.08,7.57,4.58,2.03,22.67
209,2024-12-10,康冠科技,001308,44.97,44.28,45.31,44.13,97150,240553529.57,2.68,0.39,0.17,12.58
