,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,铭科精技,001319,26.77,28.18,28.18,26.68,74238,197779254.22,5.55,4.29,1.16,12.18
240,2025-01-23,铭科精技,001319,27.61,27.02,28.09,27.02,65077,173478430.72,3.91,-1.28,-0.35,10.67
239,2025-01-22,铭科精技,001319,27.36,27.37,27.8,27.2,49897,132180420.42,2.16,-1.65,-0.46,8.18
238,2025-01-21,铭科精技,001319,27.34,27.83,28.06,27.06,80139,213768736.0,3.66,1.83,0.5,13.14
237,2025-01-20,铭科精技,001319,27.3,27.33,27.53,27.04,54047,142109195.0,1.82,1.37,0.37,8.86
236,2025-01-17,铭科精技,001319,26.77,26.96,27.26,26.68,43044,111867013.1,2.15,-0.04,-0.01,7.06
235,2025-01-16,铭科精技,001319,27.31,26.97,27.68,26.44,77395,202175539.68,4.55,-1.14,-0.31,12.69
234,2025-01-15,铭科精技,001319,27.03,27.28,27.76,26.98,117633,310493417.44,2.89,1.04,0.28,19.29
233,2025-01-14,铭科精技,001319,24.86,27.0,27.0,24.69,75146,188067401.32,9.38,9.62,2.37,12.33
232,2025-01-13,铭科精技,001319,24.1,24.63,25.33,24.1,46835,111708756.91,4.98,-0.28,-0.07,7.68
231,2025-01-10,铭科精技,001319,24.97,24.7,26.08,24.7,59377,145054882.0,5.53,-1.08,-0.27,9.74
230,2025-01-09,铭科精技,001319,24.48,24.97,25.22,24.48,48668,116566322.72,3.02,2.0,0.49,7.98
229,2025-01-08,铭科精技,001319,24.0,24.48,24.84,23.17,45062,103865396.0,6.93,1.62,0.39,7.39
228,2025-01-07,铭科精技,001319,23.28,24.09,24.1,23.28,31743,72128558.0,3.53,3.7,0.86,5.21
227,2025-01-06,铭科精技,001319,23.67,23.23,23.91,22.82,36236,81329299.78,4.58,-2.39,-0.57,5.94
226,2025-01-03,铭科精技,001319,25.64,23.8,25.72,23.7,58391,137258911.0,7.92,-6.74,-1.72,9.58
225,2025-01-02,铭科精技,001319,25.94,25.52,26.84,25.06,55696,138968001.02,6.81,-2.33,-0.61,9.14
224,2024-12-31,铭科精技,001319,26.98,26.13,27.08,26.02,60894,155555953.0,3.87,-4.5,-1.23,9.99
223,2024-12-30,铭科精技,001319,26.47,27.36,27.42,25.64,84563,219205944.88,6.68,2.7,0.72,13.87
222,2024-12-27,铭科精技,001319,26.77,26.64,27.03,26.33,47776,123126129.0,2.63,0.08,0.02,7.84
221,2024-12-26,铭科精技,001319,25.94,26.62,26.92,25.7,53931,137781779.0,4.73,3.18,0.82,8.85
220,2024-12-25,铭科精技,001319,26.48,25.8,26.8,25.53,52046,129834218.0,4.8,-2.49,-0.66,8.54
219,2024-12-24,铭科精技,001319,26.59,26.46,27.16,26.16,56535,144755014.81,3.83,1.42,0.37,9.27
218,2024-12-23,铭科精技,001319,27.75,26.09,27.87,25.88,70865,182080641.08,7.17,-5.95,-1.65,11.62
217,2024-12-20,铭科精技,001319,26.85,27.74,28.34,26.54,93967,249382069.88,6.7,3.28,0.88,15.41
216,2024-12-19,铭科精技,001319,26.33,26.86,27.21,26.04,73143,188876250.0,4.39,0.86,0.23,12.0
215,2024-12-18,铭科精技,001319,26.8,26.63,27.63,26.39,74666,193240904.28,4.6,-1.19,-0.32,12.25
214,2024-12-17,铭科精技,001319,28.4,26.95,28.66,26.85,107480,284705009.57,6.27,-6.62,-1.91,17.63
213,2024-12-16,铭科精技,001319,30.05,28.86,30.35,28.64,149386,423425136.37,5.55,-6.3,-1.94,24.5
212,2024-12-13,铭科精技,001319,30.69,30.8,33.08,30.29,258611,786135196.73,8.83,-2.53,-0.8,42.42
211,2024-12-12,铭科精技,001319,29.68,31.6,31.6,29.68,272045,818568096.6,6.66,9.65,2.78,44.62
210,2024-12-11,铭科精技,001319,29.86,28.82,30.13,28.34,184626,518326787.8,5.84,-6.0,-1.84,30.28
209,2024-12-10,铭科精技,001319,32.86,30.66,32.86,30.27,271517,827688296.97,8.58,1.62,0.49,44.54
208,2024-12-09,铭科精技,001319,30.17,30.17,30.17,30.17,51168,149360267.7,0.0,9.63,2.65,8.39
207,2024-12-06,铭科精技,001319,28.49,27.52,28.49,26.5,130843,343051252.96,7.29,0.88,0.24,21.46
206,2024-12-05,铭科精技,001319,26.44,27.28,27.38,26.43,124251,323453755.08,3.63,4.2,1.1,20.38
205,2024-12-04,铭科精技,001319,25.43,26.18,26.88,25.43,89721,227199998.0,5.6,1.08,0.28,14.72
204,2024-12-03,铭科精技,001319,26.26,25.9,26.45,25.58,79295,198292690.68,3.34,-0.65,-0.17,13.01
203,2024-12-02,铭科精技,001319,25.22,26.07,26.35,25.22,102289,254568212.76,4.53,4.53,1.13,16.78
202,2024-11-29,铭科精技,001319,23.93,24.94,25.18,23.69,63690,150201200.0,6.23,4.35,1.04,10.45
201,2024-11-28,铭科精技,001319,23.86,23.9,24.09,23.63,28840,65942698.88,1.91,-0.79,-0.19,4.73
200,2024-11-27,铭科精技,001319,23.97,24.09,24.18,23.15,33688,76041201.0,4.29,0.33,0.08,5.53
199,2024-11-26,铭科精技,001319,24.44,24.01,24.46,23.69,40071,92251628.0,3.1,-3.19,-0.79,6.57
198,2024-11-25,铭科精技,001319,23.88,24.8,25.33,23.5,57280,135182209.76,7.69,4.16,0.99,9.4
197,2024-11-22,铭科精技,001319,25.04,23.81,25.16,23.78,45290,106482832.0,5.46,-5.78,-1.46,7.43
196,2024-11-21,铭科精技,001319,25.73,25.27,25.73,24.83,50919,123822631.0,3.49,-2.13,-0.55,8.35
195,2024-11-20,铭科精技,001319,24.92,25.82,26.06,24.63,63411,155459796.83,5.74,3.57,0.89,10.4
194,2024-11-19,铭科精技,001319,24.06,24.93,24.93,24.06,52489,123653455.0,3.63,3.96,0.95,8.61
193,2024-11-18,铭科精技,001319,25.5,23.98,25.79,23.69,58675,138277480.8,8.25,-5.81,-1.48,9.62
192,2024-11-15,铭科精技,001319,25.88,25.46,26.54,25.44,55298,137675715.3,4.21,-2.56,-0.67,9.07
191,2024-11-14,铭科精技,001319,27.18,26.13,27.21,26.1,80021,205552489.71,4.04,-4.95,-1.36,13.13
190,2024-11-13,铭科精技,001319,26.12,27.49,27.53,24.96,139392,354018696.12,9.85,5.37,1.4,22.86
189,2024-11-12,铭科精技,001319,27.22,26.09,27.22,25.86,91563,234180462.76,5.01,-3.94,-1.07,15.02
188,2024-11-11,铭科精技,001319,26.58,27.16,27.34,26.23,119692,309076480.0,4.11,0.67,0.18,19.63
