,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,永顺泰,001338,10.68,10.73,10.73,10.62,68090,71569806.0,1.03,0.28,0.03,2.89
240,2025-01-23,永顺泰,001338,10.82,10.7,10.88,10.7,72467,77026703.62,1.69,0.28,0.03,3.07
239,2025-01-22,永顺泰,001338,10.77,10.67,10.8,10.64,61507,64703005.0,1.48,-1.2,-0.13,2.61
238,2025-01-21,永顺泰,001338,10.98,10.8,11.07,10.73,94599,100643372.52,3.12,-1.01,-0.11,4.01
237,2025-01-20,永顺泰,001338,10.96,10.91,11.05,10.77,157285,169165149.34,2.56,-0.37,-0.04,6.67
236,2025-01-17,永顺泰,001338,11.27,10.95,11.28,10.72,322206,348041153.0,5.13,0.27,0.03,13.66
235,2025-01-16,永顺泰,001338,10.67,10.92,10.92,10.45,117422,124663082.0,4.73,9.86,0.98,4.98
234,2025-01-15,永顺泰,001338,9.95,9.94,10.04,9.86,66307,64901102.0,1.81,0.0,0.0,2.81
233,2025-01-14,永顺泰,001338,9.75,9.94,9.99,9.74,102412,99445260.36,2.57,2.05,0.2,4.34
232,2025-01-13,永顺泰,001338,9.48,9.74,9.75,9.33,66198,62204991.0,4.38,1.67,0.16,2.81
231,2025-01-10,永顺泰,001338,10.07,9.58,10.08,9.58,100988,97458753.0,4.97,-4.87,-0.49,4.28
230,2025-01-09,永顺泰,001338,10.02,10.07,10.31,9.97,81022,81028850.92,3.37,-0.2,-0.02,3.43
229,2025-01-08,永顺泰,001338,10.25,10.09,10.26,9.88,85286,84474678.01,3.7,-1.75,-0.18,3.61
228,2025-01-07,永顺泰,001338,10.3,10.27,10.39,10.06,72057,72311189.22,3.2,-0.29,-0.03,3.05
227,2025-01-06,永顺泰,001338,10.34,10.3,10.51,9.98,99736,100637343.0,5.06,-1.62,-0.17,4.23
226,2025-01-03,永顺泰,001338,11.09,10.47,11.2,10.36,154929,163369319.34,7.57,-5.59,-0.62,6.57
