,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,播恩集团,001366,11.78,11.42,11.79,11.15,45026,49844070.78,5.59,-0.26,-0.03,8.09
240,2025-01-23,播恩集团,001366,11.4,11.45,11.63,11.3,47318,52702724.0,2.9,0.7,0.08,8.5
239,2025-01-22,播恩集团,001366,11.0,11.37,11.42,10.89,52647,57472832.0,4.77,2.34,0.26,9.46
238,2025-01-21,播恩集团,001366,11.29,11.11,11.34,10.92,28553,30734233.0,3.77,-0.36,-0.04,5.13
237,2025-01-20,播恩集团,001366,10.89,11.15,11.24,10.7,44743,47867613.55,5.01,3.43,0.37,8.04
236,2025-01-17,播恩集团,001366,10.93,10.78,10.93,10.67,17862,18680877.0,2.4,-0.46,-0.05,3.21
235,2025-01-16,播恩集团,001366,10.93,10.83,10.99,10.7,25629,27006874.0,2.68,0.0,0.0,4.6
234,2025-01-15,播恩集团,001366,10.9,10.83,10.97,10.67,27540,28959733.5,2.75,-0.64,-0.07,4.95
233,2025-01-14,播恩集团,001366,10.65,10.9,10.93,10.46,40853,42649994.0,4.44,3.02,0.32,7.34
232,2025-01-13,播恩集团,001366,10.3,10.58,10.59,10.06,38036,38523289.0,5.12,2.12,0.22,6.83
231,2025-01-10,播恩集团,001366,10.82,10.36,11.18,10.35,51133,52850973.65,7.61,-4.95,-0.54,9.18
230,2025-01-09,播恩集团,001366,10.79,10.9,11.61,10.79,57188,61159272.0,7.65,1.68,0.18,10.27
229,2025-01-08,播恩集团,001366,11.1,10.72,11.17,10.46,73427,77312650.08,6.36,-3.94,-0.44,13.19
228,2025-01-07,播恩集团,001366,10.99,11.16,11.73,10.63,95547,105292494.69,10.29,4.4,0.47,17.16
227,2025-01-06,播恩集团,001366,10.63,10.69,10.91,10.26,27878,28848448.0,6.11,0.47,0.05,5.01
226,2025-01-03,播恩集团,001366,10.77,10.64,11.0,10.39,40781,42420044.0,5.62,-2.03,-0.22,7.32
225,2025-01-02,播恩集团,001366,10.69,10.86,11.13,10.62,32273,34344170.5,4.74,0.84,0.09,5.8
224,2024-12-31,播恩集团,001366,11.02,10.77,11.21,10.74,37089,39413477.24,4.23,-3.06,-0.34,6.66
223,2024-12-30,播恩集团,001366,10.91,11.11,11.78,10.86,62892,68930785.85,8.38,1.18,0.13,11.3
222,2024-12-27,播恩集团,001366,10.79,10.98,11.12,10.67,30795,32902517.0,4.21,2.62,0.28,5.53
221,2024-12-26,播恩集团,001366,10.51,10.7,10.82,10.51,19969,20824392.0,2.92,0.94,0.1,3.59
220,2024-12-25,播恩集团,001366,10.91,10.6,10.94,10.41,29359,30210554.0,4.87,-2.57,-0.28,5.27
219,2024-12-24,播恩集团,001366,11.07,10.88,11.15,10.58,40827,43173028.0,5.19,-1.0,-0.11,7.33
218,2024-12-23,播恩集团,001366,12.06,10.99,12.07,10.94,64929,71241192.0,9.32,-9.32,-1.13,11.66
217,2024-12-20,播恩集团,001366,11.66,12.12,12.14,11.66,37506,43682775.8,4.11,3.68,0.43,6.74
216,2024-12-19,播恩集团,001366,11.64,11.69,11.74,11.4,25335,28552119.2,2.9,-0.17,-0.02,4.55
215,2024-12-18,播恩集团,001366,11.95,11.71,11.98,11.53,36923,42127014.88,3.78,-1.6,-0.19,6.63
214,2024-12-17,播恩集团,001366,12.82,11.9,12.83,11.8,49326,58452488.97,8.03,-7.18,-0.92,8.86
