,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,百通能源,001376,13.93,13.77,13.98,13.73,43589,59339501.0,1.8,-0.65,-0.09,2.03
239,2025-01-24,百通能源,001376,13.74,13.86,13.86,13.58,52619,70898986.0,2.04,0.8,0.11,2.45
238,2025-01-23,百通能源,001376,13.95,13.75,14.2,13.68,78784,108091783.4,3.76,-0.65,-0.09,3.66
237,2025-01-22,百通能源,001376,13.58,13.84,14.21,13.46,106986,145835455.96,5.53,2.06,0.28,4.98
236,2025-01-21,百通能源,001376,13.87,13.56,13.9,13.52,48042,64180714.0,2.75,-1.95,-0.27,2.23
235,2025-01-20,百通能源,001376,13.65,13.83,13.84,13.6,55718,75227981.3,1.77,1.99,0.27,2.59
234,2025-01-17,百通能源,001376,13.43,13.56,13.63,13.41,38312,50884413.0,1.62,-0.07,-0.01,1.78
233,2025-01-16,百通能源,001376,13.53,13.57,13.69,13.34,53566,71252295.78,2.6,0.89,0.12,2.49
232,2025-01-15,百通能源,001376,13.6,13.45,13.65,13.37,61324,81128464.0,2.05,-1.68,-0.23,2.85
231,2025-01-14,百通能源,001376,13.14,13.68,13.69,13.05,103675,136369561.77,4.94,5.56,0.72,4.82
230,2025-01-13,百通能源,001376,13.27,12.96,13.28,12.9,85721,109583203.88,2.83,-3.64,-0.49,3.99
229,2025-01-10,百通能源,001376,13.95,13.45,14.04,13.45,68550,92580802.0,4.21,-4.0,-0.56,3.19
228,2025-01-09,百通能源,001376,14.06,14.01,14.2,13.98,50974,70513221.0,1.56,-0.92,-0.13,2.37
227,2025-01-08,百通能源,001376,14.24,14.14,14.34,13.76,70171,97274804.4,4.06,-0.98,-0.14,3.26
226,2025-01-07,百通能源,001376,14.16,14.28,14.29,13.95,60883,84504555.84,2.4,0.99,0.14,2.83
225,2025-01-06,百通能源,001376,13.98,14.14,14.3,13.7,70223,96987223.8,4.27,0.64,0.09,3.27
224,2025-01-03,百通能源,001376,14.54,14.05,14.66,13.92,94933,132695298.8,5.09,-3.44,-0.5,4.42
223,2025-01-02,百通能源,001376,14.8,14.55,15.13,14.4,93720,136149436.91,4.91,-2.15,-0.32,4.36
222,2024-12-31,百通能源,001376,15.21,14.87,15.24,14.81,67798,99880837.44,2.85,-1.39,-0.21,3.15
221,2024-12-30,百通能源,001376,15.33,15.08,15.36,15.05,58874,87779194.42,2.02,-1.69,-0.26,2.74
220,2024-12-27,百通能源,001376,15.28,15.34,15.5,15.28,87172,131915905.17,1.43,-0.07,-0.01,4.05
219,2024-12-26,百通能源,001376,14.81,15.35,15.98,14.76,146374,221261311.88,8.24,3.65,0.54,6.81
218,2024-12-25,百通能源,001376,15.16,14.81,15.16,14.65,97016,141396180.0,3.36,-2.5,-0.38,4.51
