,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,伟星股份,002003,158.66,158.66,160.57,157.88,75991,109722424.65,1.7,0.06,0.09,0.75
239,2025-01-24,伟星股份,002003,154.14,158.57,159.44,153.79,143128,203666356.48,3.66,2.58,3.99,1.41
238,2025-01-23,伟星股份,002003,154.66,154.58,155.7,153.45,57675,80252702.98,1.46,0.0,0.0,0.57
237,2025-01-22,伟星股份,002003,152.49,154.58,154.84,151.62,73864,101688945.48,2.11,1.2,1.83,0.73
236,2025-01-21,伟星股份,002003,154.75,152.75,154.92,152.49,81631,112565025.42,1.57,-1.01,-1.56,0.81
235,2025-01-20,伟星股份,002003,157.96,154.31,159.53,153.79,111809,157166196.4,3.66,-1.66,-2.61,1.1
234,2025-01-17,伟星股份,002003,155.01,156.92,158.31,153.62,92406,130495047.4,3.03,1.29,2.0,0.91
233,2025-01-16,伟星股份,002003,154.4,154.92,156.23,153.19,80593,112223089.86,1.97,0.45,0.69,0.8
232,2025-01-15,伟星股份,002003,155.1,154.23,156.4,153.71,86924,121392187.0,1.74,-0.39,-0.61,0.86
231,2025-01-14,伟星股份,002003,152.32,154.84,154.92,150.58,106082,145997280.32,2.85,1.6,2.44,1.05
230,2025-01-13,伟星股份,002003,154.23,152.4,156.83,149.28,158931,218239540.97,4.87,-1.63,-2.52,1.57
229,2025-01-10,伟星股份,002003,156.66,154.92,157.01,154.66,82638,116078639.2,1.5,-1.11,-1.74,0.82
228,2025-01-09,伟星股份,002003,156.05,156.66,157.79,153.62,131681,185935849.31,2.67,0.44,0.69,1.3
227,2025-01-08,伟星股份,002003,153.62,155.97,157.1,151.36,109361,152233254.07,3.75,1.81,2.78,1.08
226,2025-01-07,伟星股份,002003,153.36,153.19,155.18,152.32,70898,97596014.89,1.87,0.0,0.0,0.7
225,2025-01-06,伟星股份,002003,152.14,153.19,155.01,151.1,123537,170225833.9,2.57,0.63,0.96,1.22
224,2025-01-03,伟星股份,002003,153.36,152.23,155.01,151.1,103970,142514724.89,2.54,-1.24,-1.91,1.03
223,2025-01-02,伟星股份,002003,157.27,154.14,157.79,152.92,126818,177371781.64,3.11,-1.72,-2.69,1.26
222,2024-12-31,伟星股份,002003,156.4,156.83,159.27,156.23,106812,152230132.36,1.94,0.0,0.0,1.06
221,2024-12-30,伟星股份,002003,153.19,156.83,157.44,153.19,126220,177943862.91,2.76,1.98,3.04,1.25
220,2024-12-27,伟星股份,002003,154.14,153.79,154.92,153.01,73786,101777998.88,1.24,-0.23,-0.35,0.73
219,2024-12-26,伟星股份,002003,154.66,154.14,155.27,153.71,64822,89990747.11,1.01,-0.28,-0.44,0.64
218,2024-12-25,伟星股份,002003,156.49,154.58,156.49,153.27,136465,189320568.09,2.06,-1.22,-1.91,1.35
217,2024-12-24,伟星股份,002003,154.84,156.49,157.01,154.23,141039,198348837.45,1.79,0.62,0.96,1.4
216,2024-12-23,伟星股份,002003,153.27,155.53,156.49,152.92,149198,209316509.99,2.32,0.96,1.48,1.48
215,2024-12-20,伟星股份,002003,152.58,154.05,154.58,151.8,167072,230569373.57,1.81,0.51,0.78,1.65
214,2024-12-19,伟星股份,002003,149.54,153.27,158.4,149.36,396685,550579250.16,6.02,2.08,3.13,3.93
213,2024-12-18,伟星股份,002003,147.28,150.14,150.84,146.67,206176,274922206.14,2.84,2.37,3.47,2.04
212,2024-12-17,伟星股份,002003,144.93,146.67,147.02,144.15,127618,165069350.26,1.98,0.96,1.39,1.26
211,2024-12-16,伟星股份,002003,145.11,145.28,147.1,143.8,119956,153931094.07,2.27,0.12,0.17,1.19
210,2024-12-13,伟星股份,002003,145.89,145.11,146.41,144.58,145565,187073191.44,1.25,-0.83,-1.21,1.44
209,2024-12-12,伟星股份,002003,143.63,146.32,146.32,143.02,128202,164393280.68,2.3,1.87,2.69,1.27
208,2024-12-11,伟星股份,002003,144.41,143.63,145.19,143.37,96366,122568344.91,1.26,-0.9,-1.3,0.95
207,2024-12-10,伟星股份,002003,144.93,144.93,146.93,143.63,120076,154330169.74,2.31,1.27,1.82,1.19
206,2024-12-09,伟星股份,002003,143.19,143.11,144.15,141.2,103335,130005364.0,2.06,-0.3,-0.43,1.02
205,2024-12-06,伟星股份,002003,142.33,143.54,143.98,141.89,105556,133035188.01,1.46,0.43,0.61,1.04
204,2024-12-05,伟星股份,002003,141.28,142.93,143.37,140.24,164126,204600697.81,2.22,1.23,1.73,1.62
203,2024-12-04,伟星股份,002003,145.11,141.2,146.5,140.24,320748,401416198.15,4.28,-3.56,-5.21,3.17
202,2024-12-03,伟星股份,002003,147.71,146.41,147.89,145.11,190346,246601470.55,1.89,-0.71,-1.04,1.88
201,2024-12-02,伟星股份,002003,152.58,147.45,153.19,147.02,211962,282230140.22,4.03,-3.75,-5.74,2.1
200,2024-11-29,伟星股份,002003,149.62,153.19,153.53,149.62,114154,155940189.54,2.6,2.03,3.05,1.13
199,2024-11-28,伟星股份,002003,150.93,150.14,151.19,148.49,94509,126371294.08,1.79,-0.58,-0.87,0.94
198,2024-11-27,伟星股份,002003,148.84,151.01,151.01,147.89,64096,85583133.18,2.09,1.4,2.08,0.63
197,2024-11-26,伟星股份,002003,147.1,148.93,149.45,146.93,62402,82463157.5,1.71,1.07,1.57,0.62
196,2024-11-25,伟星股份,002003,146.58,147.36,148.41,145.97,75431,98481352.24,1.66,0.47,0.69,0.75
195,2024-11-22,伟星股份,002003,149.19,146.67,150.67,146.5,76306,100520705.86,2.79,-1.75,-2.61,0.76
194,2024-11-21,伟星股份,002003,148.75,149.28,149.28,147.36,69888,92445457.34,1.29,0.3,0.44,0.69
193,2024-11-20,伟星股份,002003,148.75,148.84,149.45,146.5,95747,126064578.02,1.98,0.06,0.09,0.95
192,2024-11-19,伟星股份,002003,145.37,148.75,148.84,144.76,134030,175705845.25,2.8,2.02,2.95,1.33
191,2024-11-18,伟星股份,002003,144.67,145.8,146.67,144.58,100238,128841737.67,1.45,0.84,1.22,0.99
190,2024-11-15,伟星股份,002003,144.15,144.58,146.23,143.54,76681,98425628.71,1.87,0.3,0.43,0.76
189,2024-11-14,伟星股份,002003,144.24,144.15,145.63,143.8,73703,94164570.32,1.26,-0.36,-0.52,0.73
188,2024-11-13,伟星股份,002003,145.89,144.67,148.32,143.28,105467,135068162.72,3.46,-0.78,-1.13,1.04
187,2024-11-12,伟星股份,002003,144.5,145.8,147.89,144.5,141474,183294635.64,2.35,0.96,1.39,1.4
186,2024-11-11,伟星股份,002003,145.37,144.41,145.45,143.45,76180,96881919.05,1.37,-0.84,-1.22,0.75
185,2024-11-08,伟星股份,002003,148.67,145.63,148.67,145.02,109253,141232995.39,2.48,-0.95,-1.39,1.08
184,2024-11-07,伟星股份,002003,144.15,147.02,147.97,144.15,120697,156907476.64,2.63,1.08,1.57,1.19
183,2024-11-06,伟星股份,002003,146.93,145.45,147.71,143.28,166257,212938862.2,3.01,-1.3,-1.91,1.65
182,2024-11-05,伟星股份,002003,147.36,147.36,147.62,144.15,149437,193792077.99,2.36,0.12,0.17,1.48
181,2024-11-04,伟星股份,002003,146.15,147.19,147.8,145.45,103489,134577327.54,1.6,0.24,0.35,1.02
180,2024-11-01,伟星股份,002003,148.67,146.84,150.58,146.41,126960,167247642.16,2.79,-1.63,-2.44,1.26
179,2024-10-31,伟星股份,002003,153.27,149.28,153.45,149.01,123763,165511870.12,2.89,-2.99,-4.6,1.23
178,2024-10-30,伟星股份,002003,155.36,153.88,155.79,151.8,146723,201598544.84,2.55,-1.55,-2.43,1.45
177,2024-10-29,伟星股份,002003,151.45,156.31,157.53,149.28,231934,320168816.89,5.49,4.11,6.17,2.3
176,2024-10-28,伟星股份,002003,150.58,150.14,151.01,148.49,59361,79320762.74,1.67,-0.35,-0.53,0.59
175,2024-10-25,伟星股份,002003,151.45,150.67,152.06,149.8,74486,100319591.56,1.49,-0.52,-0.78,0.74
174,2024-10-24,伟星股份,002003,151.62,151.45,151.71,150.32,52706,71177329.12,0.92,0.29,0.44,0.52
173,2024-10-23,伟星股份,002003,148.32,151.01,151.45,148.15,115011,154426644.16,2.22,1.7,2.52,1.14
172,2024-10-22,伟星股份,002003,146.67,148.49,149.01,145.8,105842,138415933.04,2.18,0.88,1.3,1.05
171,2024-10-21,伟星股份,002003,148.32,147.19,149.1,144.32,111623,144671593.5,3.23,-0.47,-0.7,1.1
170,2024-10-18,伟星股份,002003,146.5,147.89,149.8,145.63,101256,132962956.33,2.85,1.07,1.57,1.0
169,2024-10-17,伟星股份,002003,148.84,146.32,149.45,145.8,62836,82271704.42,2.46,-1.46,-2.17,0.62
168,2024-10-16,伟星股份,002003,147.97,148.49,149.8,146.76,64988,85547730.19,2.06,0.53,0.78,0.64
167,2024-10-15,伟星股份,002003,149.97,147.71,151.01,147.54,74460,98978917.47,2.3,-1.91,-2.87,0.74
166,2024-10-14,伟星股份,002003,149.1,150.58,151.19,147.8,85221,113651346.54,2.28,1.17,1.74,0.84
165,2024-10-11,伟星股份,002003,150.14,148.84,150.93,147.1,126019,167172406.01,2.56,-0.64,-0.96,1.25
164,2024-10-10,伟星股份,002003,151.19,149.8,155.1,149.45,171945,232868191.98,3.75,-0.46,-0.69,1.7
163,2024-10-09,伟星股份,002003,152.92,150.49,155.1,149.97,207324,283075571.87,3.31,-3.02,-4.69,2.05
162,2024-10-08,伟星股份,002003,165.87,155.18,166.48,147.71,294727,415749727.42,12.12,0.17,0.26,2.92
161,2024-09-30,伟星股份,002003,150.67,154.92,155.88,148.75,234509,321305894.08,4.83,4.95,7.3,2.32
160,2024-09-27,伟星股份,002003,144.76,147.62,151.19,142.59,173217,225926429.32,5.94,2.04,2.95,1.71
159,2024-09-26,伟星股份,002003,143.11,144.67,144.76,140.67,115738,144535204.7,2.85,0.85,1.22,1.15
158,2024-09-25,伟星股份,002003,143.72,143.45,145.37,140.24,101197,127571759.45,3.61,0.85,1.21,1.0
157,2024-09-24,伟星股份,002003,141.28,142.24,142.76,139.63,100580,126550898.12,2.23,1.3,1.83,1.0
156,2024-09-23,伟星股份,002003,140.5,140.41,141.89,139.46,63935,79783438.76,1.73,0.0,0.0,0.63
155,2024-09-20,伟星股份,002003,140.59,140.41,141.11,139.11,78739,97962624.45,1.42,-0.18,-0.26,0.78
154,2024-09-19,伟星股份,002003,142.06,140.67,143.19,139.98,92075,115689301.78,2.26,-0.86,-1.22,0.91
153,2024-09-18,伟星股份,002003,140.85,141.89,143.63,140.07,73055,92507442.51,2.53,0.74,1.04,0.72
152,2024-09-13,伟星股份,002003,140.07,140.85,142.41,139.11,64252,80833379.81,2.35,0.5,0.7,0.64
151,2024-09-12,伟星股份,002003,139.54,140.15,140.93,137.55,82830,102445910.35,2.43,0.68,0.95,0.82
150,2024-09-11,伟星股份,002003,137.98,139.2,140.15,137.72,58060,71506186.68,1.76,0.56,0.78,0.57
149,2024-09-10,伟星股份,002003,139.11,138.42,139.11,136.76,79069,96117060.41,1.69,-0.31,-0.43,0.78
148,2024-09-09,伟星股份,002003,137.98,138.85,140.59,135.98,82203,101109474.8,3.33,0.31,0.43,0.81
147,2024-09-06,伟星股份,002003,144.06,138.42,144.76,137.98,110851,137759667.4,4.69,-4.26,-6.16,1.1
