,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,亿帆医药,002019,105.46,106.64,107.83,104.91,155707,164681363.34,2.79,2.0,2.09,1.85
240,2025-01-23,亿帆医药,002019,105.46,104.55,106.46,104.37,79054,82613182.0,2.0,0.0,0.0,0.94
239,2025-01-22,亿帆医药,002019,104.91,104.55,105.46,103.46,63034,65074743.0,1.9,-0.86,-0.91,0.75
238,2025-01-21,亿帆医药,002019,107.28,105.46,107.46,104.64,108469,113271274.5,2.64,-1.37,-1.46,1.29
237,2025-01-20,亿帆医药,002019,105.82,106.92,107.55,105.37,120524,127741721.6,2.09,2.27,2.37,1.43
236,2025-01-17,亿帆医药,002019,103.09,104.55,105.19,102.37,80237,82599354.0,2.73,1.23,1.27,0.95
235,2025-01-16,亿帆医药,002019,104.55,103.28,105.55,102.82,92399,95138476.54,2.62,-0.96,-1.0,1.1
234,2025-01-15,亿帆医药,002019,105.37,104.28,105.37,104.1,63516,65817887.66,1.2,-1.12,-1.18,0.75
233,2025-01-14,亿帆医药,002019,103.28,105.46,105.82,103.19,89610,92760481.7,2.54,1.93,2.0,1.06
232,2025-01-13,亿帆医药,002019,102.18,103.46,103.46,101.82,65133,66238353.04,1.59,0.36,0.37,0.77
231,2025-01-10,亿帆医药,002019,104.82,103.09,105.28,102.91,76933,79127383.0,2.26,-1.73,-1.82,0.91
230,2025-01-09,亿帆医药,002019,105.1,104.91,105.82,103.82,57311,59711570.16,1.89,-0.61,-0.64,0.68
229,2025-01-08,亿帆医药,002019,105.64,105.55,107.01,103.91,81020,84736380.97,2.92,-0.6,-0.64,0.96
228,2025-01-07,亿帆医药,002019,106.92,106.19,107.64,104.1,93376,97410018.42,3.31,-0.68,-0.73,1.11
227,2025-01-06,亿帆医药,002019,105.28,106.92,108.46,104.64,106833,112998120.77,3.65,2.27,2.37,1.27
226,2025-01-03,亿帆医药,002019,105.28,104.55,107.37,104.19,84136,88142824.88,3.02,-0.61,-0.64,1.0
225,2025-01-02,亿帆医药,002019,107.55,105.19,108.37,104.46,93251,98448015.2,3.63,-2.45,-2.64,1.11
224,2024-12-31,亿帆医药,002019,109.65,107.83,110.92,107.64,87975,95590272.32,2.99,-1.82,-2.0,1.05
223,2024-12-30,亿帆医药,002019,110.37,109.83,111.47,109.65,62145,68368571.0,1.64,-0.82,-0.91,0.74
222,2024-12-27,亿帆医药,002019,108.74,110.74,111.65,107.74,82407,90692517.0,3.6,1.84,2.0,0.98
221,2024-12-26,亿帆医药,002019,110.47,108.74,111.28,108.1,140172,152813887.71,2.87,-1.89,-2.09,1.67
220,2024-12-25,亿帆医药,002019,112.83,110.83,113.38,110.19,68015,75315459.23,2.84,-1.21,-1.36,0.81
219,2024-12-24,亿帆医药,002019,112.01,112.19,112.38,111.28,50256,56117920.3,0.99,0.9,1.0,0.6
