,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,联创电子,002036,47.78,45.96,48.2,45.96,228666,205062088.75,4.7,-3.47,-1.65,2.17
239,2025-01-24,联创电子,002036,46.39,47.61,47.67,46.17,251473,227550919.12,3.24,2.87,1.33,2.39
238,2025-01-23,联创电子,002036,47.67,46.28,48.68,46.28,297734,272264185.81,5.07,-2.26,-1.07,2.83
237,2025-01-22,联创电子,002036,47.03,47.35,47.78,46.39,295885,268089005.04,2.96,0.68,0.32,2.81
236,2025-01-21,联创电子,002036,47.88,47.03,48.63,46.07,559270,503873339.21,5.18,-4.86,-2.4,5.31
235,2025-01-20,联创电子,002036,48.95,49.43,49.86,48.31,266521,252073691.4,3.21,2.21,1.07,2.53
234,2025-01-17,联创电子,002036,48.15,48.36,48.74,47.78,207461,192449346.17,1.97,-0.56,-0.27,1.97
233,2025-01-16,联创电子,002036,47.83,48.63,48.9,47.61,335714,311530747.11,2.72,2.36,1.12,3.19
232,2025-01-15,联创电子,002036,48.26,47.51,48.63,47.35,256551,235024168.48,2.65,-1.76,-0.85,2.44
231,2025-01-14,联创电子,002036,46.97,48.36,48.47,46.23,364231,333317116.69,4.8,3.67,1.71,3.46
230,2025-01-13,联创电子,002036,44.2,46.65,47.13,43.18,405463,356132672.12,8.74,3.19,1.44,3.85
229,2025-01-10,联创电子,002036,46.81,45.21,47.61,44.95,381032,339067905.04,5.74,-2.42,-1.12,3.62
228,2025-01-09,联创电子,002036,45.0,46.33,47.24,44.73,349967,311441619.18,5.55,2.48,1.12,3.32
227,2025-01-08,联创电子,002036,45.69,45.21,45.85,43.34,297345,256308056.96,5.47,-1.52,-0.7,2.82
226,2025-01-07,联创电子,002036,44.63,45.91,45.96,44.63,260521,227621305.7,2.98,3.01,1.34,2.47
225,2025-01-06,联创电子,002036,44.84,44.57,45.11,43.88,275980,235976832.12,2.74,-0.6,-0.27,2.62
224,2025-01-03,联创电子,002036,47.29,44.84,47.83,44.73,360086,318663230.89,6.56,-5.18,-2.45,3.42
223,2025-01-02,联创电子,002036,48.74,47.29,49.59,46.71,377925,348562842.24,5.88,-3.39,-1.66,3.59
222,2024-12-31,联创电子,002036,51.62,48.95,52.05,48.95,323048,310007548.65,6.03,-4.79,-2.46,3.07
221,2024-12-30,联创电子,002036,51.35,51.41,51.89,50.28,227554,223722600.4,3.11,-0.62,-0.32,2.16
220,2024-12-27,联创电子,002036,51.67,51.73,53.01,50.82,286235,286507617.98,4.22,-0.4,-0.21,2.72
219,2024-12-26,联创电子,002036,50.66,51.94,52.15,50.34,285445,282090456.27,3.56,2.2,1.12,2.71
218,2024-12-25,联创电子,002036,52.9,50.82,52.9,50.5,330288,324740122.55,4.54,-3.93,-2.08,3.14
217,2024-12-24,联创电子,002036,51.99,52.9,53.22,50.82,408868,408893497.64,4.64,2.26,1.17,3.88
216,2024-12-23,联创电子,002036,54.29,51.73,55.36,51.62,442073,448969991.86,6.89,-4.72,-2.56,4.2
215,2024-12-20,联创电子,002036,53.06,54.29,54.98,52.85,345558,358264189.49,3.99,1.61,0.86,3.28
