,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,美年健康,002044,29.78,30.03,30.42,29.65,376733,164383225.88,2.59,1.08,0.32,0.97
239,2025-01-24,美年健康,002044,29.26,29.71,29.97,29.2,323030,138574617.6,2.63,1.54,0.45,0.83
238,2025-01-23,美年健康,002044,29.78,29.26,30.16,29.2,273789,117846475.5,3.25,-0.88,-0.26,0.71
237,2025-01-22,美年健康,002044,29.78,29.52,29.91,29.26,244610,104404933.37,2.17,-1.5,-0.45,0.63
236,2025-01-21,美年健康,002044,30.42,29.97,30.42,29.78,251481,109308635.0,2.11,-1.06,-0.32,0.65
235,2025-01-20,美年健康,002044,30.42,30.29,30.67,30.16,236727,104410534.68,1.69,0.43,0.13,0.61
234,2025-01-17,美年健康,002044,30.29,30.16,30.48,29.84,258698,113362654.0,2.1,-0.85,-0.26,0.67
233,2025-01-16,美年健康,002044,30.67,30.42,31.06,30.29,262036,116817604.78,2.52,-0.62,-0.19,0.68
232,2025-01-15,美年健康,002044,30.48,30.61,31.19,30.35,379065,168667737.42,2.75,0.2,0.06,0.98
231,2025-01-14,美年健康,002044,29.78,30.55,30.55,29.52,561278,245249516.03,3.44,1.94,0.58,1.45
230,2025-01-13,美年健康,002044,28.82,29.97,29.97,28.56,449138,191687262.8,4.87,3.56,1.03,1.16
229,2025-01-10,美年健康,002044,29.14,28.94,29.65,28.88,391071,165753843.85,2.64,-0.89,-0.26,1.01
228,2025-01-09,美年健康,002044,29.07,29.2,29.46,28.69,319697,134941236.1,2.63,-0.44,-0.13,0.83
227,2025-01-08,美年健康,002044,29.39,29.33,29.39,28.5,563042,235871671.16,3.05,0.65,0.19,1.45
226,2025-01-07,美年健康,002044,29.59,29.14,29.78,28.3,1037406,434933057.77,4.98,-1.92,-0.57,2.68
225,2025-01-06,美年健康,002044,30.1,29.71,30.35,29.46,633721,274464101.12,2.94,-1.72,-0.52,1.64
224,2025-01-03,美年健康,002044,31.06,30.23,31.31,30.03,468406,208863391.38,4.1,-3.08,-0.96,1.21
223,2025-01-02,美年健康,002044,31.44,31.19,32.21,30.87,407313,186656186.56,4.25,-1.02,-0.32,1.05
222,2024-12-31,美年健康,002044,32.08,31.51,32.34,31.38,327154,151648157.79,2.99,-1.78,-0.57,0.84
221,2024-12-30,美年健康,002044,32.34,32.08,32.47,31.76,259922,121078686.59,2.19,-0.99,-0.32,0.67
220,2024-12-27,美年健康,002044,32.08,32.4,32.98,31.96,279803,133164293.8,3.17,0.78,0.25,0.72
219,2024-12-26,美年健康,002044,31.96,32.15,32.28,31.7,259727,121423341.0,1.81,0.22,0.07,0.67
218,2024-12-25,美年健康,002044,32.85,32.08,32.98,31.83,420125,196964642.38,3.52,-1.78,-0.58,1.08
217,2024-12-24,美年健康,002044,32.79,32.66,32.92,32.34,321113,152958428.01,1.78,0.0,0.0,0.83
216,2024-12-23,美年健康,002044,33.94,32.66,34.07,32.6,515510,248976473.92,4.32,-3.97,-1.35,1.33
215,2024-12-20,美年健康,002044,33.49,34.01,34.45,33.43,316755,157909931.6,3.04,1.34,0.45,0.82
214,2024-12-19,美年健康,002044,33.49,33.56,34.01,33.11,476581,234039692.1,2.65,-1.32,-0.45,1.23
213,2024-12-18,美年健康,002044,34.13,34.01,34.26,33.69,451106,224171360.8,1.68,0.0,0.0,1.16
212,2024-12-17,美年健康,002044,35.16,34.01,35.29,33.81,851805,427075177.5,4.15,-4.65,-1.66,2.2
211,2024-12-16,美年健康,002044,36.31,35.67,37.27,35.09,1213142,645222704.58,6.08,-0.53,-0.19,3.13
210,2024-12-13,美年健康,002044,35.74,35.86,36.25,35.48,679703,358539453.67,2.15,0.0,0.0,1.76
209,2024-12-12,美年健康,002044,35.8,35.86,35.99,35.09,611797,319151923.87,2.51,0.17,0.06,1.58
208,2024-12-11,美年健康,002044,34.45,35.8,36.31,34.45,978968,511438090.2,5.36,3.14,1.09,2.53
207,2024-12-10,美年健康,002044,35.09,34.71,35.67,34.52,957519,493211534.74,3.36,1.49,0.51,2.47
206,2024-12-09,美年健康,002044,35.48,34.2,35.99,34.07,905216,462717433.41,5.54,-1.3,-0.45,2.34
205,2024-12-06,美年健康,002044,33.49,34.65,35.29,33.49,928658,472013818.36,5.37,3.46,1.16,2.4
204,2024-12-05,美年健康,002044,33.24,33.49,33.69,33.04,351997,171722532.46,1.96,0.75,0.25,0.91
203,2024-12-04,美年健康,002044,34.71,33.24,34.71,33.04,802924,394820433.2,4.8,-4.4,-1.53,2.07
202,2024-12-03,美年健康,002044,34.97,34.77,35.22,34.39,395594,201717359.6,2.37,-0.57,-0.2,1.02
201,2024-12-02,美年健康,002044,33.43,34.97,35.42,33.3,890592,453248301.33,6.31,4.02,1.35,2.3
200,2024-11-29,美年健康,002044,33.43,33.62,34.01,33.24,376538,185686959.02,2.3,0.39,0.13,0.97
199,2024-11-28,美年健康,002044,33.24,33.49,33.81,33.17,427491,209291762.9,1.92,0.39,0.13,1.1
198,2024-11-27,美年健康,002044,32.72,33.36,33.36,31.89,533936,254175488.4,4.47,1.55,0.51,1.38
197,2024-11-26,美年健康,002044,33.04,32.85,34.01,32.66,409939,198451911.99,4.07,-0.96,-0.32,1.06
196,2024-11-25,美年健康,002044,34.07,33.17,34.45,32.66,512650,249586365.0,5.35,-0.78,-0.26,1.32
195,2024-11-22,美年健康,002044,34.77,33.43,34.97,33.3,521212,260252458.27,4.79,-4.21,-1.47,1.35
194,2024-11-21,美年健康,002044,34.9,34.9,35.03,34.26,492177,249575509.2,2.2,-0.37,-0.13,1.27
193,2024-11-20,美年健康,002044,33.43,35.03,35.61,33.24,1131274,572792588.01,7.08,4.6,1.54,2.92
192,2024-11-19,美年健康,002044,32.92,33.49,34.07,32.85,561690,275138981.63,3.72,2.13,0.7,1.45
191,2024-11-18,美年健康,002044,32.72,32.79,33.62,32.21,542402,260512600.52,4.33,0.58,0.19,1.4
190,2024-11-15,美年健康,002044,32.98,32.6,33.49,32.47,469403,226404667.05,3.05,-2.48,-0.83,1.21
189,2024-11-14,美年健康,002044,34.33,33.43,34.77,33.36,657420,327105016.12,4.05,-4.05,-1.41,1.7
188,2024-11-13,美年健康,002044,34.52,34.84,35.48,34.13,760442,388226654.36,3.93,1.31,0.45,1.96
187,2024-11-12,美年健康,002044,34.39,34.39,35.29,34.13,853270,434169155.51,3.39,0.38,0.13,2.2
186,2024-11-11,美年健康,002044,34.45,34.26,34.65,33.49,834929,416232320.36,3.37,-0.55,-0.19,2.16
185,2024-11-08,美年健康,002044,34.9,34.45,35.48,34.26,799715,407282976.97,3.51,-0.92,-0.32,2.07
184,2024-11-07,美年健康,002044,34.13,34.77,35.67,33.81,989559,503438231.77,5.4,0.93,0.32,2.56
183,2024-11-06,美年健康,002044,33.75,34.45,35.03,33.36,1413288,710024209.49,4.94,1.89,0.64,3.65
182,2024-11-05,美年健康,002044,32.21,33.81,33.88,31.76,1512184,730033190.23,6.57,4.74,1.53,3.9
181,2024-11-04,美年健康,002044,31.96,32.28,32.4,31.38,1023432,475474393.85,3.17,0.4,0.13,2.64
180,2024-11-01,美年健康,002044,32.79,32.15,33.75,31.96,1959439,941012371.36,5.5,-1.17,-0.38,5.06
179,2024-10-31,美年健康,002044,30.03,32.53,32.53,30.03,1826476,851506709.28,8.39,9.23,2.75,4.72
178,2024-10-30,美年健康,002044,30.23,29.78,30.29,29.39,652320,281720030.65,2.96,-2.1,-0.64,1.68
177,2024-10-29,美年健康,002044,29.65,30.42,32.02,29.65,1414059,633503286.65,8.01,2.81,0.83,3.65
176,2024-10-28,美年健康,002044,28.5,29.59,29.65,28.37,585394,247669516.6,4.5,4.08,1.16,1.51
175,2024-10-25,美年健康,002044,27.53,28.43,28.56,27.53,519064,211429378.57,3.73,3.01,0.83,1.34
174,2024-10-24,美年健康,002044,27.47,27.6,27.73,27.34,346298,137845958.09,1.42,0.25,0.07,0.89
173,2024-10-23,美年健康,002044,27.73,27.53,27.79,27.28,402155,159641555.63,1.85,-0.25,-0.07,1.04
172,2024-10-22,美年健康,002044,27.15,27.6,27.66,27.02,394974,156156340.31,2.36,1.66,0.45,1.02
171,2024-10-21,美年健康,002044,27.34,27.15,27.47,26.96,420538,164575157.49,1.87,-0.69,-0.19,1.09
170,2024-10-18,美年健康,002044,26.77,27.34,27.86,26.57,539441,210691050.1,4.82,2.13,0.57,1.39
169,2024-10-17,美年健康,002044,27.6,26.77,27.66,26.7,371084,145082003.16,3.5,-2.33,-0.64,0.96
168,2024-10-16,美年健康,002044,27.09,27.41,27.6,26.83,353655,138972923.87,2.84,0.96,0.26,0.91
167,2024-10-15,美年健康,002044,27.92,27.15,27.92,27.15,373092,148086227.29,2.78,-2.09,-0.58,0.96
166,2024-10-14,美年健康,002044,27.41,27.73,27.92,26.83,454003,179497352.15,4.0,1.65,0.45,1.17
165,2024-10-11,美年健康,002044,28.62,27.28,28.62,26.96,537647,214311727.69,5.81,-4.48,-1.28,1.39
164,2024-10-10,美年健康,002044,28.82,28.56,29.71,28.43,628408,263793837.6,4.45,-0.66,-0.19,1.62
163,2024-10-09,美年健康,002044,30.61,28.75,30.61,28.62,897585,385315831.94,6.39,-7.62,-2.37,2.32
162,2024-10-08,美年健康,002044,32.6,31.12,32.6,29.97,1293475,591286762.59,8.81,4.29,1.28,3.34
161,2024-09-30,美年健康,002044,28.05,29.84,29.84,28.05,1456944,619228244.03,6.55,9.14,2.5,3.76
160,2024-09-27,美年健康,002044,26.64,27.34,27.86,26.57,876428,342991653.87,4.89,3.64,0.96,2.26
159,2024-09-26,美年健康,002044,24.91,26.38,26.45,24.78,703753,259044075.68,6.69,5.65,1.41,1.82
