,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,德美化工,002054,21.27,21.36,21.47,21.18,42849,25442917.3,1.36,0.42,0.09,1.12
240,2025-01-23,德美化工,002054,21.53,21.27,21.68,21.27,42199,25380358.68,1.92,-0.56,-0.12,1.1
239,2025-01-22,德美化工,002054,21.71,21.39,21.71,21.3,39012,23346977.0,1.89,-1.2,-0.26,1.02
238,2025-01-21,德美化工,002054,21.94,21.65,22.03,21.5,62346,37873600.0,2.45,0.0,0.0,1.63
237,2025-01-20,德美化工,002054,21.76,21.65,21.79,21.39,44915,27220457.15,1.86,0.42,0.09,1.17
236,2025-01-17,德美化工,002054,21.3,21.56,21.68,21.24,46356,27828214.36,2.05,0.56,0.12,1.21
235,2025-01-16,德美化工,002054,21.27,21.44,21.53,21.15,48968,29194396.98,1.8,1.52,0.32,1.28
234,2025-01-15,德美化工,002054,21.24,21.12,21.33,21.07,34018,20073771.99,1.22,-0.56,-0.12,0.89
233,2025-01-14,德美化工,002054,20.45,21.24,21.3,20.45,69078,40291081.15,4.16,3.86,0.79,1.8
232,2025-01-13,德美化工,002054,20.25,20.45,20.54,19.93,39025,21846291.0,2.99,0.39,0.08,1.02
231,2025-01-10,德美化工,002054,20.6,20.37,20.77,20.37,43042,24506426.98,1.94,-1.4,-0.29,1.12
230,2025-01-09,德美化工,002054,20.51,20.66,20.8,20.31,43576,24895444.65,2.39,0.73,0.15,1.14
229,2025-01-08,德美化工,002054,20.63,20.51,20.66,20.02,51473,29040900.16,3.1,-0.73,-0.15,1.34
228,2025-01-07,德美化工,002054,20.37,20.66,20.69,20.05,55865,31373291.82,3.16,2.02,0.41,1.46
227,2025-01-06,德美化工,002054,19.9,20.25,20.34,19.35,68381,37561229.39,4.94,1.0,0.2,1.79
226,2025-01-03,德美化工,002054,20.75,20.05,20.89,20.02,77814,43536626.9,4.23,-2.53,-0.52,2.03
225,2025-01-02,德美化工,002054,20.89,20.57,21.12,20.48,62140,35855784.92,3.06,-1.67,-0.35,1.62
224,2024-12-31,德美化工,002054,21.3,20.92,21.5,20.83,66170,38944935.0,3.14,-2.06,-0.44,1.73
223,2024-12-30,德美化工,002054,21.39,21.36,21.53,21.01,59729,35416346.01,2.41,-0.93,-0.2,1.56
222,2024-12-27,德美化工,002054,21.15,21.56,21.76,20.98,93549,56234264.99,3.71,2.62,0.55,2.44
