,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,东华软件,002065,229.48,223.86,230.88,223.86,669092,482658757.4,3.13,-0.12,-0.28,2.3
239,2025-01-24,东华软件,002065,219.93,224.14,224.42,219.93,490353,346305983.5,2.04,1.91,4.21,1.69
238,2025-01-23,东华软件,002065,222.18,219.93,226.67,219.93,522210,370017565.96,3.06,0.0,0.0,1.8
237,2025-01-22,东华软件,002065,220.49,219.93,221.05,218.52,256090,178131079.2,1.14,-0.51,-1.12,0.88
236,2025-01-21,东华软件,002065,223.58,221.05,224.14,219.65,314366,220187461.0,2.03,-0.25,-0.56,1.08
235,2025-01-20,东华软件,002065,222.46,221.61,224.42,220.49,387415,273189317.0,1.78,0.38,0.84,1.33
234,2025-01-17,东华软件,002065,219.65,220.77,222.18,218.52,322497,224901010.64,1.66,-0.13,-0.28,1.11
233,2025-01-16,东华软件,002065,221.05,221.05,226.67,219.37,474704,334683729.0,3.3,0.0,0.0,1.63
232,2025-01-15,东华软件,002065,222.46,221.05,223.02,219.09,405180,283281224.2,1.77,-0.38,-0.84,1.39
231,2025-01-14,东华软件,002065,212.35,221.89,222.46,211.22,622350,429407957.32,5.33,5.19,10.95,2.14
230,2025-01-13,东华软件,002065,209.26,210.94,212.35,205.05,371258,244666943.0,3.49,0.8,1.68,1.28
229,2025-01-10,东华软件,002065,211.5,209.26,215.72,209.26,429009,287933784.0,3.04,-1.46,-3.09,1.48
228,2025-01-09,东华软件,002065,208.98,212.35,214.03,208.42,395416,264705855.6,2.66,0.53,1.13,1.36
227,2025-01-08,东华软件,002065,211.5,211.22,213.75,204.77,467674,308104993.06,4.23,-0.4,-0.85,1.61
226,2025-01-07,东华软件,002065,208.14,212.07,212.35,207.85,404674,267412402.48,2.17,2.31,4.78,1.39
225,2025-01-06,东华软件,002065,208.7,207.29,211.22,205.89,429168,280123157.0,2.55,-0.81,-1.69,1.48
224,2025-01-03,东华软件,002065,217.68,208.98,219.09,207.85,635726,425043568.54,5.16,-4.12,-8.98,2.19
223,2025-01-02,东华软件,002065,228.35,217.96,228.91,215.44,775383,545281773.29,5.9,-4.55,-10.39,2.67
222,2024-12-31,东华软件,002065,238.18,228.35,239.58,228.35,600121,444449988.53,4.73,-3.9,-9.27,2.06
