,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,苏州固锝,002079,49.11,49.48,49.62,48.83,106063,106678107.17,1.61,0.75,0.37,1.31
240,2025-01-23,苏州固锝,002079,50.04,49.11,50.65,49.06,126472,128971613.77,3.2,-1.13,-0.56,1.56
239,2025-01-22,苏州固锝,002079,49.86,49.67,50.14,49.48,86605,88119985.9,1.32,-0.74,-0.37,1.07
238,2025-01-21,苏州固锝,002079,50.28,50.04,50.32,49.44,98292,100165837.9,1.76,0.18,0.09,1.21
237,2025-01-20,苏州固锝,002079,50.14,49.95,50.42,49.62,113387,115850772.32,1.6,0.1,0.05,1.4
236,2025-01-17,苏州固锝,002079,48.92,49.9,50.61,48.83,180581,183461857.97,3.62,1.61,0.79,2.23
235,2025-01-16,苏州固锝,002079,49.34,49.11,50.14,48.69,119700,120582176.51,2.96,0.1,0.05,1.48
234,2025-01-15,苏州固锝,002079,49.01,49.06,49.39,48.55,119059,119212069.4,1.72,0.29,0.14,1.47
233,2025-01-14,苏州固锝,002079,47.0,48.92,48.97,46.49,153678,150893342.76,5.32,4.91,2.29,1.9
232,2025-01-13,苏州固锝,002079,45.97,46.63,46.91,45.5,91966,86784774.76,3.02,-0.09,-0.04,1.14
231,2025-01-10,苏州固锝,002079,47.47,46.67,48.41,46.63,116093,112783249.0,3.74,-1.97,-0.94,1.43
230,2025-01-09,苏州固锝,002079,47.0,47.61,48.03,46.91,103338,100693714.72,2.36,0.4,0.19,1.28
229,2025-01-08,苏州固锝,002079,47.56,47.42,48.22,46.16,151043,145348619.84,4.31,-0.79,-0.38,1.87
228,2025-01-07,苏州固锝,002079,46.63,47.8,47.89,46.63,116470,112396233.28,2.71,2.73,1.27,1.44
227,2025-01-06,苏州固锝,002079,46.58,46.53,47.05,45.93,107192,101692137.92,2.4,-0.3,-0.14,1.32
226,2025-01-03,苏州固锝,002079,48.5,46.67,48.87,46.53,157614,152795611.4,4.85,-3.21,-1.55,1.95
225,2025-01-02,苏州固锝,002079,50.18,48.22,50.42,47.8,167758,168365849.63,5.22,-4.0,-2.01,2.07
224,2024-12-31,苏州固锝,002079,52.57,50.23,52.71,50.18,154066,161216264.06,4.88,-3.07,-1.59,1.9
223,2024-12-30,苏州固锝,002079,52.01,51.82,52.38,51.26,96648,102684313.65,2.15,-0.63,-0.33,1.19
222,2024-12-27,苏州固锝,002079,52.34,52.15,53.09,51.96,131777,142103326.66,2.16,-0.17,-0.09,1.63
221,2024-12-26,苏州固锝,002079,51.31,52.24,52.57,51.17,110009,117627202.8,2.72,1.54,0.79,1.36
220,2024-12-25,苏州固锝,002079,52.48,51.45,52.48,51.07,131924,139306026.53,2.68,-2.04,-1.07,1.63
219,2024-12-24,苏州固锝,002079,52.43,52.52,52.95,51.59,135335,145088441.73,2.61,0.61,0.32,1.67
218,2024-12-23,苏州固锝,002079,53.97,52.2,54.12,52.06,177966,192752291.8,3.81,-3.55,-1.92,2.2
217,2024-12-20,苏州固锝,002079,53.6,54.12,54.72,53.18,219069,242941509.9,2.87,0.8,0.43,2.71
216,2024-12-19,苏州固锝,002079,52.9,53.69,53.74,52.29,180997,196784811.73,2.73,1.05,0.56,2.24
215,2024-12-18,苏州固锝,002079,52.48,53.13,53.46,52.01,137373,149065038.02,2.76,1.24,0.65,1.7
214,2024-12-17,苏州固锝,002079,52.99,52.48,53.83,52.38,177288,192161687.4,2.72,-1.58,-0.84,2.19
213,2024-12-16,苏州固锝,002079,54.58,53.32,54.77,53.18,184841,203792660.39,2.92,-2.15,-1.17,2.28
212,2024-12-13,苏州固锝,002079,55.57,54.49,55.94,54.44,246236,278005452.25,2.68,-2.75,-1.54,3.04
211,2024-12-12,苏州固锝,002079,56.27,56.03,56.36,55.24,284935,326765094.0,1.98,-0.83,-0.47,3.52
210,2024-12-11,苏州固锝,002079,56.22,56.5,58.19,55.99,424130,494778118.14,3.87,-0.67,-0.38,5.24
209,2024-12-10,苏州固锝,002079,55.52,56.88,58.28,54.58,691234,799487179.11,6.85,5.29,2.86,8.54
208,2024-12-09,苏州固锝,002079,55.38,54.02,55.38,53.74,252581,282136181.0,2.96,-2.46,-1.36,3.12
207,2024-12-06,苏州固锝,002079,55.75,55.38,55.89,54.54,374343,424216955.68,2.4,-1.74,-0.98,4.63
206,2024-12-05,苏州固锝,002079,54.35,56.36,57.06,54.21,560156,645709730.26,5.17,2.21,1.22,6.93
205,2024-12-04,苏州固锝,002079,55.75,55.14,56.46,54.07,547718,622572444.46,4.4,1.55,0.84,6.77
204,2024-12-03,苏州固锝,002079,53.93,54.3,55.29,52.9,377553,417570417.2,4.44,0.95,0.51,4.67
203,2024-12-02,苏州固锝,002079,53.09,53.79,53.93,52.71,283922,312093529.03,2.29,1.15,0.61,3.51
202,2024-11-29,苏州固锝,002079,52.52,53.18,53.88,51.82,327021,353906340.03,3.9,0.8,0.42,4.04
201,2024-11-28,苏州固锝,002079,53.23,52.76,54.02,52.62,320016,349599759.92,2.65,-0.08,-0.04,3.96
200,2024-11-27,苏州固锝,002079,51.45,52.8,52.85,50.7,345277,365312381.0,4.11,0.88,0.46,4.27
199,2024-11-26,苏州固锝,002079,53.65,52.34,54.35,52.29,375338,408774573.16,3.87,-1.67,-0.89,4.64
