,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,生 意 宝,002095,80.17,76.59,80.84,76.59,69687,122981783.0,5.33,-3.96,-3.16,2.77
239,2025-01-24,生 意 宝,002095,78.02,79.75,80.04,76.8,96817,171882521.04,4.11,1.28,1.01,3.85
238,2025-01-23,生 意 宝,002095,78.19,78.74,81.18,77.81,128829,231800733.22,4.38,2.25,1.73,5.12
237,2025-01-22,生 意 宝,002095,78.36,77.01,78.36,76.5,62405,108867265.65,2.36,-2.13,-1.68,2.48
236,2025-01-21,生 意 宝,002095,79.92,78.69,80.17,77.77,79674,141502708.44,3.02,-0.91,-0.72,3.17
235,2025-01-20,生 意 宝,002095,80.38,79.41,81.98,79.2,115530,208319725.14,3.41,-2.59,-2.11,4.59
234,2025-01-17,生 意 宝,002095,82.99,81.52,83.75,80.93,148105,275218097.6,3.32,-4.11,-3.49,5.88
233,2025-01-16,生 意 宝,002095,83.87,85.01,86.7,81.73,253590,485385691.12,6.0,2.59,2.15,10.07
232,2025-01-15,生 意 宝,002095,81.22,82.86,85.69,81.22,220342,413840205.46,5.51,2.18,1.77,8.75
231,2025-01-14,生 意 宝,002095,77.56,81.09,81.09,76.88,126363,226924209.0,5.51,6.11,4.67,5.02
230,2025-01-13,生 意 宝,002095,75.03,76.42,76.93,73.47,63329,108094112.82,4.56,0.78,0.59,2.52
229,2025-01-10,生 意 宝,002095,79.2,75.83,79.33,75.54,78644,137889982.18,4.79,-4.16,-3.29,3.12
228,2025-01-09,生 意 宝,002095,77.09,79.12,80.0,76.71,105179,187687310.65,4.24,2.01,1.56,4.18
227,2025-01-08,生 意 宝,002095,76.17,77.56,78.02,74.36,89023,153654880.53,4.78,1.27,0.97,3.54
226,2025-01-07,生 意 宝,002095,74.73,76.59,76.59,74.65,71240,121346462.0,2.6,2.65,1.98,2.83
225,2025-01-06,生 意 宝,002095,74.57,74.61,76.34,72.25,82417,138693062.32,5.48,0.05,0.04,3.27
224,2025-01-03,生 意 宝,002095,79.24,74.57,79.66,74.4,101854,175111077.0,6.64,-5.89,-4.67,4.05
223,2025-01-02,生 意 宝,002095,78.82,79.24,82.48,77.56,105715,191685683.08,6.2,-0.21,-0.17,4.2
222,2024-12-31,生 意 宝,002095,82.86,79.41,83.33,79.12,73670,134817758.85,5.13,-3.23,-2.65,2.93
221,2024-12-30,生 意 宝,002095,83.2,82.06,83.2,80.46,60712,112692229.53,3.29,-1.37,-1.14,2.41
220,2024-12-27,生 意 宝,002095,82.99,83.2,84.76,81.94,94368,179167964.44,3.39,0.0,0.0,3.75
219,2024-12-26,生 意 宝,002095,81.6,83.2,84.21,81.52,88254,165999753.1,3.3,2.12,1.73,3.51
218,2024-12-25,生 意 宝,002095,83.83,81.47,83.96,79.45,107719,197446052.2,5.4,-2.52,-2.11,4.28
217,2024-12-24,生 意 宝,002095,83.83,83.58,85.31,82.32,96474,182116836.07,3.57,-0.2,-0.17,3.83
216,2024-12-23,生 意 宝,002095,89.27,83.75,89.52,83.45,159976,311401036.61,6.76,-6.71,-6.02,6.36
215,2024-12-20,生 意 宝,002095,88.42,89.77,91.58,87.75,134657,276152127.39,4.29,0.56,0.5,5.35
214,2024-12-19,生 意 宝,002095,86.87,89.27,89.48,85.94,149459,296849612.5,4.0,0.81,0.72,5.94
213,2024-12-18,生 意 宝,002095,88.76,88.55,90.19,87.33,135204,272689134.92,3.23,0.05,0.04,5.37
212,2024-12-17,生 意 宝,002095,93.1,88.51,94.74,88.04,183389,376371476.75,7.14,-5.7,-5.35,7.29
211,2024-12-16,生 意 宝,002095,101.52,93.86,101.69,92.05,231033,503880280.31,9.46,-7.85,-8.0,9.18
210,2024-12-13,生 意 宝,002095,103.42,101.86,104.89,100.72,267183,628417581.18,3.99,-2.42,-2.53,10.61
209,2024-12-12,生 意 宝,002095,100.68,104.39,104.68,99.42,328092,765578138.65,5.23,3.77,3.79,13.03
208,2024-12-11,生 意 宝,002095,98.57,100.6,101.06,97.44,233077,528575429.72,3.66,1.62,1.6,9.26
207,2024-12-10,生 意 宝,002095,99.84,99.0,100.34,97.94,256824,580738368.9,2.46,1.56,1.52,10.2
206,2024-12-09,生 意 宝,002095,98.36,97.48,99.8,96.26,209553,468342798.62,3.57,-1.58,-1.56,8.33
205,2024-12-06,生 意 宝,002095,100.55,99.04,103.42,98.11,325335,739942218.76,5.19,-3.17,-3.24,12.93
204,2024-12-05,生 意 宝,002095,104.26,102.28,106.54,101.35,394975,933179012.25,4.83,-4.9,-5.27,15.69
203,2024-12-04,生 意 宝,002095,106.24,107.55,117.61,106.24,565670,1408993957.11,9.67,-8.55,-10.06,22.47
202,2024-12-03,生 意 宝,002095,121.82,117.61,130.16,117.61,551275,1510970901.36,9.64,-9.7,-12.64,21.9
201,2024-12-02,生 意 宝,002095,121.19,130.25,139.22,121.19,836020,2575954599.58,14.21,2.62,3.33,33.21
200,2024-11-29,生 意 宝,002095,119.42,126.92,126.92,112.85,700439,1998065893.36,12.16,9.68,11.2,27.83
199,2024-11-28,生 意 宝,002095,112.64,115.72,115.72,101.69,791199,2010339104.86,13.3,9.67,10.2,31.43
198,2024-11-27,生 意 宝,002095,87.12,105.52,105.52,87.12,671234,1527289267.87,19.11,9.62,9.26,26.67
197,2024-11-26,生 意 宝,002095,106.96,96.26,113.19,93.31,708157,1682416672.67,19.25,-6.77,-6.99,28.13
196,2024-11-25,生 意 宝,002095,103.25,103.25,103.25,100.68,152457,359611464.18,2.73,9.62,9.06,6.06
195,2024-11-22,生 意 宝,002095,94.19,94.19,94.19,92.47,173000,370842172.29,2.0,9.55,8.21,6.87
194,2024-11-21,生 意 宝,002095,85.98,85.98,85.98,85.98,25085,48940074.11,0.0,9.49,7.45,1.0
193,2024-11-20,生 意 宝,002095,74.57,78.53,78.53,73.51,237921,408608933.1,7.0,9.46,6.79,9.45
192,2024-11-19,生 意 宝,002095,66.1,71.74,71.74,65.09,83478,129376263.64,10.14,9.44,6.19,3.32
191,2024-11-18,生 意 宝,002095,69.26,65.55,70.56,65.05,81051,120683935.8,7.97,-5.23,-3.62,3.22
190,2024-11-15,生 意 宝,002095,68.29,69.17,73.01,68.29,112052,178935309.29,6.85,0.36,0.25,4.45
189,2024-11-14,生 意 宝,002095,71.28,68.92,71.58,68.8,47388,74595315.6,3.9,-3.2,-2.28,1.88
188,2024-11-13,生 意 宝,002095,70.06,71.2,73.13,70.06,72461,116296623.89,4.34,0.59,0.42,2.88
187,2024-11-12,生 意 宝,002095,72.0,70.78,72.46,69.81,72296,115552723.0,3.69,-1.46,-1.05,2.87
186,2024-11-11,生 意 宝,002095,68.8,71.83,72.17,68.67,95358,151950898.06,5.05,3.59,2.49,3.79
185,2024-11-08,生 意 宝,002095,70.19,69.34,71.37,68.71,97574,153459858.59,3.84,0.0,0.0,3.88
184,2024-11-07,生 意 宝,002095,66.77,69.34,69.34,66.56,80644,123587124.0,4.13,3.06,2.06,3.2
183,2024-11-06,生 意 宝,002095,66.56,67.28,67.95,66.23,70966,107048093.13,2.58,0.95,0.63,2.82
182,2024-11-05,生 意 宝,002095,64.88,66.65,66.77,64.04,56716,83752905.24,4.25,3.67,2.36,2.25
181,2024-11-04,生 意 宝,002095,63.11,64.29,64.29,62.77,31230,44478992.99,2.41,2.0,1.26,1.24
180,2024-11-01,生 意 宝,002095,66.44,63.03,66.44,62.6,81577,116500074.5,5.73,-5.97,-4.0,3.24
179,2024-10-31,生 意 宝,002095,65.59,67.03,67.62,65.05,60878,90782256.47,3.92,2.26,1.48,2.42
178,2024-10-30,生 意 宝,002095,66.61,65.55,66.61,64.58,60896,89305148.79,3.04,-1.77,-1.18,2.42
177,2024-10-29,生 意 宝,002095,67.95,66.73,68.75,66.61,54395,82129941.74,3.15,-1.8,-1.22,2.16
176,2024-10-28,生 意 宝,002095,66.56,67.95,68.12,66.44,62381,94355065.05,2.52,2.01,1.34,2.48
175,2024-10-25,生 意 宝,002095,66.73,66.61,67.7,66.18,65070,97348938.42,2.33,2.01,1.31,2.59
174,2024-10-24,生 意 宝,002095,66.14,65.3,66.31,64.96,45182,66158791.51,2.03,-1.89,-1.26,1.8
173,2024-10-23,生 意 宝,002095,67.41,66.56,67.45,66.14,67124,100405187.67,1.95,-1.07,-0.72,2.67
172,2024-10-22,生 意 宝,002095,66.56,67.28,68.25,66.06,79646,119526587.72,3.29,1.08,0.72,3.16
171,2024-10-21,生 意 宝,002095,65.93,66.56,67.36,65.93,76284,113920612.3,2.18,1.28,0.84,3.03
170,2024-10-18,生 意 宝,002095,64.54,65.72,66.9,63.57,64702,94451081.44,5.15,1.69,1.09,2.57
169,2024-10-17,生 意 宝,002095,65.05,64.63,66.06,64.37,45198,65967271.5,2.62,0.14,0.09,1.8
168,2024-10-16,生 意 宝,002095,64.25,64.54,65.51,63.57,41892,60486578.0,3.0,-0.14,-0.09,1.66
167,2024-10-15,生 意 宝,002095,64.54,64.63,67.2,63.32,68855,101002468.27,5.97,-0.51,-0.33,2.74
166,2024-10-14,生 意 宝,002095,63.53,64.96,65.01,62.52,52481,74888198.8,3.93,2.53,1.6,2.08
165,2024-10-11,生 意 宝,002095,65.55,63.36,65.89,62.77,63543,91226008.3,4.72,-4.15,-2.74,2.52
164,2024-10-10,生 意 宝,002095,68.29,66.1,70.23,64.92,87902,131194590.55,7.78,-3.21,-2.19,3.49
163,2024-10-09,生 意 宝,002095,72.25,68.29,72.46,68.29,133113,210007560.03,5.53,-9.49,-7.16,5.29
162,2024-10-08,生 意 宝,002095,75.87,75.45,75.87,70.44,195610,325862205.86,7.84,8.87,6.15,7.77
161,2024-09-30,生 意 宝,002095,66.82,69.3,69.51,64.79,168268,254304741.94,7.42,8.93,5.68,6.69
160,2024-09-27,生 意 宝,002095,61.47,63.62,64.5,60.92,125752,175451149.9,5.93,5.45,3.29,5.0
159,2024-09-26,生 意 宝,002095,58.98,60.33,60.58,58.73,97432,129377938.84,3.11,1.28,0.76,3.87
158,2024-09-25,生 意 宝,002095,58.81,59.57,61.05,58.6,135236,180308097.95,4.15,0.85,0.5,5.37
157,2024-09-24,生 意 宝,002095,57.17,59.07,59.53,56.29,108049,139509696.83,5.69,3.78,2.15,4.29
156,2024-09-23,生 意 宝,002095,57.3,56.92,57.63,56.67,54383,68597962.95,1.68,-0.3,-0.17,2.16
155,2024-09-20,生 意 宝,002095,57.68,57.09,58.35,56.67,114247,145127133.4,2.94,0.0,0.0,4.54
154,2024-09-19,生 意 宝,002095,52.58,57.09,57.09,52.45,71133,87169854.36,8.88,9.28,4.85,2.83
153,2024-09-18,生 意 宝,002095,53.38,52.24,54.14,51.74,38273,44442152.0,4.5,-1.99,-1.06,1.52
152,2024-09-13,生 意 宝,002095,54.69,53.3,54.77,53.17,44712,53035197.18,2.92,-2.61,-1.43,1.78
151,2024-09-12,生 意 宝,002095,54.73,54.73,55.57,54.56,46329,56230059.89,1.83,-0.6,-0.33,1.84
150,2024-09-11,生 意 宝,002095,55.11,55.06,55.87,54.56,64108,77985540.19,2.33,-2.19,-1.23,2.55
149,2024-09-10,生 意 宝,002095,56.62,56.29,59.11,55.78,102585,129770232.93,5.85,-1.04,-0.59,4.08
148,2024-09-09,生 意 宝,002095,56.92,56.88,58.18,55.4,117159,146736679.27,4.84,-0.87,-0.5,4.65
147,2024-09-06,生 意 宝,002095,58.18,57.38,61.09,56.92,209658,275902885.38,7.45,2.48,1.39,8.33
146,2024-09-05,生 意 宝,002095,52.96,55.99,55.99,51.74,103634,124871776.8,8.3,9.29,4.76,4.12
145,2024-09-04,生 意 宝,002095,51.61,51.23,51.82,50.94,15081,17024373.03,1.7,-0.91,-0.47,0.6
144,2024-09-03,生 意 宝,002095,50.35,51.7,52.07,50.35,20919,23690259.4,3.37,1.25,0.64,0.83
143,2024-09-02,生 意 宝,002095,51.91,51.06,52.2,50.98,18990,21545724.14,2.35,-1.54,-0.8,0.75
142,2024-08-30,生 意 宝,002095,50.89,51.86,52.41,50.77,24917,28432018.56,3.22,1.91,0.97,0.99
141,2024-08-29,生 意 宝,002095,50.47,50.89,51.06,49.8,12526,13957230.04,2.49,0.73,0.37,0.5
140,2024-08-28,生 意 宝,002095,49.93,50.52,50.81,49.29,16141,17822576.84,3.04,1.1,0.55,0.64
139,2024-08-27,生 意 宝,002095,50.98,49.97,51.61,49.76,16637,18436482.0,3.61,-2.38,-1.22,0.66
138,2024-08-26,生 意 宝,002095,50.14,51.19,51.19,49.67,18443,20538262.86,3.04,2.52,1.26,0.73
137,2024-08-23,生 意 宝,002095,49.72,49.93,50.05,48.92,14744,16002831.0,2.28,0.69,0.34,0.59
136,2024-08-22,生 意 宝,002095,51.06,49.59,51.7,49.55,27488,30371335.36,4.19,-3.37,-1.73,1.09
135,2024-08-21,生 意 宝,002095,51.32,51.32,52.12,51.06,15711,17812894.8,2.05,-0.56,-0.29,0.62
134,2024-08-20,生 意 宝,002095,52.71,51.61,53.0,51.48,19228,22025768.1,2.87,-2.7,-1.43,0.76
133,2024-08-19,生 意 宝,002095,52.24,53.04,53.34,51.95,19135,22299100.0,2.66,1.53,0.8,0.76
132,2024-08-16,生 意 宝,002095,52.71,52.24,52.83,52.12,13599,15696002.2,1.35,-0.32,-0.17,0.54
131,2024-08-15,生 意 宝,002095,51.7,52.41,53.09,51.23,20838,23993045.47,3.59,1.22,0.63,0.83
