,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,莱宝高科,002106,39.67,40.63,40.75,39.49,147737,157783945.0,3.18,2.42,0.96,2.1
240,2025-01-23,莱宝高科,002106,40.5,39.67,41.15,39.61,212867,228599397.5,3.82,-1.61,-0.65,3.02
239,2025-01-22,莱宝高科,002106,40.57,40.32,40.66,40.14,115831,124373138.4,1.28,-1.13,-0.46,1.65
238,2025-01-21,莱宝高科,002106,40.57,40.78,40.84,40.23,111552,120341926.96,1.51,0.99,0.4,1.58
237,2025-01-20,莱宝高科,002106,40.07,40.38,40.54,39.86,135442,144938170.67,1.71,1.3,0.52,1.92
236,2025-01-17,莱宝高科,002106,39.4,39.86,39.98,39.31,121477,127649569.2,1.7,0.86,0.34,1.73
235,2025-01-16,莱宝高科,002106,39.64,39.52,39.98,39.18,109478,114685187.67,2.03,0.23,0.09,1.55
234,2025-01-15,莱宝高科,002106,39.86,39.43,39.86,39.24,103045,107616000.87,1.55,-1.15,-0.46,1.46
233,2025-01-14,莱宝高科,002106,38.01,39.89,39.89,37.58,230895,238459137.18,6.1,5.36,2.03,3.28
232,2025-01-13,莱宝高科,002106,38.04,37.86,38.11,37.15,124675,122869854.0,2.51,-0.97,-0.37,1.77
231,2025-01-10,莱宝高科,002106,39.06,38.23,39.43,38.17,136674,139330739.23,3.22,-2.42,-0.95,1.94
230,2025-01-09,莱宝高科,002106,38.78,39.18,39.74,38.66,155212,161179403.7,2.78,0.95,0.37,2.2
229,2025-01-08,莱宝高科,002106,39.06,38.81,39.24,37.58,197678,200245140.19,4.22,-1.27,-0.5,2.81
228,2025-01-07,莱宝高科,002106,38.51,39.31,39.37,38.17,175011,179653965.41,3.15,3.07,1.17,2.49
227,2025-01-06,莱宝高科,002106,38.78,38.14,39.03,37.77,158657,159570292.0,3.25,-1.65,-0.64,2.25
226,2025-01-03,莱宝高科,002106,39.8,38.78,40.14,38.57,216443,223988179.59,3.93,-2.93,-1.17,3.07
225,2025-01-02,莱宝高科,002106,41.03,39.95,41.58,39.27,290606,312790511.62,5.64,-2.42,-0.99,4.13
224,2024-12-31,莱宝高科,002106,42.26,40.94,42.72,40.9,313171,350686641.84,4.32,-2.92,-1.23,4.45
223,2024-12-30,莱宝高科,002106,41.83,42.17,42.63,41.12,186104,210235009.89,3.6,0.45,0.19,2.64
222,2024-12-27,莱宝高科,002106,41.83,41.98,42.5,41.64,176936,200155849.67,2.05,0.07,0.03,2.51
221,2024-12-26,莱宝高科,002106,40.87,41.95,42.26,40.78,190310,213496518.82,3.61,2.39,0.98,2.7
220,2024-12-25,莱宝高科,002106,41.8,40.97,41.8,40.32,157964,172498892.04,3.54,-2.06,-0.86,2.24
219,2024-12-24,莱宝高科,002106,41.43,41.83,42.32,41.12,226378,252393930.1,2.92,1.88,0.77,3.22
218,2024-12-23,莱宝高科,002106,42.44,41.06,42.69,40.94,209785,233734616.5,4.12,-3.25,-1.38,2.98
217,2024-12-20,莱宝高科,002106,41.61,42.44,42.6,41.46,245942,278596747.38,2.74,1.85,0.77,3.49
