,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,罗平锌电,002114,10.93,10.81,11.17,10.77,83913,49459021.1,3.69,-0.28,-0.03,2.59
239,2025-01-24,罗平锌电,002114,10.86,10.84,10.93,10.59,100015,57796193.13,3.14,0.0,0.0,3.09
238,2025-01-23,罗平锌电,002114,11.02,10.84,11.2,10.84,100608,59941695.0,3.3,-0.55,-0.06,3.11
237,2025-01-22,罗平锌电,002114,10.92,10.9,11.04,10.81,63743,37375947.0,2.09,-0.82,-0.09,1.97
236,2025-01-21,罗平锌电,002114,11.2,10.99,11.22,10.92,96376,57147883.0,2.69,-1.43,-0.16,2.98
235,2025-01-20,罗平锌电,002114,11.26,11.15,11.35,10.97,101837,60973736.63,3.37,-0.98,-0.11,3.15
234,2025-01-17,罗平锌电,002114,11.26,11.26,11.38,11.2,98177,59721120.66,1.59,-0.44,-0.05,3.04
233,2025-01-16,罗平锌电,002114,11.19,11.31,11.42,11.17,134213,81726855.04,2.25,1.62,0.18,4.15
232,2025-01-15,罗平锌电,002114,11.24,11.13,11.38,11.02,139325,83724583.0,3.19,-1.33,-0.15,4.31
231,2025-01-14,罗平锌电,002114,10.99,11.28,11.28,10.84,193809,115888465.22,4.01,2.83,0.31,5.99
230,2025-01-13,罗平锌电,002114,10.36,10.97,11.33,10.2,197571,115186494.0,10.7,3.88,0.41,6.11
229,2025-01-10,罗平锌电,002114,10.81,10.56,11.08,10.54,108124,62582414.0,4.97,-2.76,-0.3,3.34
228,2025-01-09,罗平锌电,002114,10.59,10.86,10.9,10.43,107274,62131715.0,4.42,2.16,0.23,3.32
227,2025-01-08,罗平锌电,002114,10.77,10.63,10.84,10.34,122650,69500751.0,4.63,-1.67,-0.18,3.79
226,2025-01-07,罗平锌电,002114,10.43,10.81,10.81,10.32,149016,85031604.5,4.76,4.95,0.51,4.61
225,2025-01-06,罗平锌电,002114,10.12,10.3,10.47,9.75,142657,77902733.0,7.05,0.88,0.09,4.41
224,2025-01-03,罗平锌电,002114,10.77,10.21,10.93,10.18,167891,94533271.0,7.0,-4.76,-0.51,5.19
223,2025-01-02,罗平锌电,002114,10.54,10.72,11.08,10.39,172179,99737938.52,6.57,2.1,0.22,5.32
222,2024-12-31,罗平锌电,002114,10.77,10.5,10.83,10.5,109842,62900840.2,3.08,-2.05,-0.22,3.4
221,2024-12-30,罗平锌电,002114,10.88,10.72,10.95,10.59,131614,75696286.0,3.25,-3.07,-0.34,4.07
