,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,拓邦股份,002139,219.35,227.31,228.05,219.05,660730,957091565.34,4.07,2.8,6.19,6.17
240,2025-01-23,拓邦股份,002139,225.54,221.12,228.05,220.38,738845,1067468246.94,3.43,-1.25,-2.8,6.9
239,2025-01-22,拓邦股份,002139,224.66,223.92,227.46,222.3,548645,793932180.96,2.28,-1.11,-2.51,5.12
238,2025-01-21,拓邦股份,002139,222.15,226.43,227.31,220.38,778681,1127247611.79,3.13,2.2,4.87,7.27
237,2025-01-20,拓邦股份,002139,220.82,221.56,223.92,218.91,710725,1013874866.09,2.3,1.55,3.39,6.63
236,2025-01-17,拓邦股份,002139,215.22,218.17,219.2,214.63,586907,821053549.69,2.12,1.09,2.36,5.48
235,2025-01-16,拓邦股份,002139,216.7,215.81,220.09,212.72,598645,833300650.48,3.44,0.62,1.33,5.59
234,2025-01-15,拓邦股份,002139,218.46,214.48,220.09,213.89,828921,1150340589.25,2.84,-1.69,-3.69,7.74
233,2025-01-14,拓邦股份,002139,199.89,218.17,219.05,198.42,1225618,1682726327.74,10.31,8.99,17.99,11.44
232,2025-01-13,拓邦股份,002139,196.35,200.18,204.46,195.91,467530,600791110.08,4.3,0.66,1.32,4.36
231,2025-01-10,拓邦股份,002139,198.42,198.86,206.82,197.53,589953,766689084.55,4.64,-0.59,-1.18,5.51
230,2025-01-09,拓邦股份,002139,194.44,200.04,202.54,193.85,527585,675777818.98,4.44,2.19,4.28,4.92
229,2025-01-08,拓邦股份,002139,195.17,195.76,198.12,186.33,562512,692797877.25,6.0,-0.38,-0.74,5.25
228,2025-01-07,拓邦股份,002139,192.96,196.5,198.12,192.81,408151,510903651.39,2.75,1.83,3.54,3.81
227,2025-01-06,拓邦股份,002139,193.85,192.96,196.35,190.6,351434,434024680.03,2.97,-0.23,-0.44,3.28
226,2025-01-03,拓邦股份,002139,201.51,193.4,202.4,192.67,534291,674480707.76,4.83,-3.95,-7.96,4.99
225,2025-01-02,拓邦股份,002139,210.06,201.36,212.42,199.01,665952,879515368.04,6.34,-4.88,-10.32,6.22
224,2024-12-31,拓邦股份,002139,222.0,211.68,222.0,211.54,642415,889921815.14,4.71,-4.59,-10.18,6.0
223,2024-12-30,拓邦股份,002139,216.7,221.86,224.66,214.48,862895,1228357834.7,4.73,3.01,6.49,8.05
222,2024-12-27,拓邦股份,002139,213.31,215.37,219.2,211.83,649534,903160731.12,3.46,0.97,2.06,6.06
221,2024-12-26,拓邦股份,002139,207.26,213.31,214.04,204.17,482096,656883870.88,4.73,2.19,4.57,4.5
220,2024-12-25,拓邦股份,002139,210.95,208.74,211.98,205.93,373460,500761345.4,2.86,-1.46,-3.09,3.49
219,2024-12-24,拓邦股份,002139,206.97,211.83,212.57,206.97,469950,635293924.98,2.72,2.79,5.75,4.39
218,2024-12-23,拓邦股份,002139,214.04,206.08,215.52,205.34,579542,780382832.15,4.77,-3.52,-7.52,5.41
217,2024-12-20,拓邦股份,002139,211.24,213.6,216.25,209.32,633377,870000883.0,3.29,1.47,3.1,5.91
216,2024-12-19,拓邦股份,002139,206.08,210.5,211.98,205.64,470781,634307817.14,3.03,0.7,1.47,4.39
215,2024-12-18,拓邦股份,002139,212.42,209.03,213.01,206.82,553549,744562842.64,2.95,-0.49,-1.03,5.17
214,2024-12-17,拓邦股份,002139,213.01,210.06,216.99,209.18,651995,890833959.22,3.69,-0.77,-1.62,6.09
213,2024-12-16,拓邦股份,002139,221.27,211.68,222.89,210.06,1009819,1401028865.39,5.82,-3.95,-8.7,9.43
212,2024-12-13,拓邦股份,002139,214.34,220.38,229.23,214.34,1682991,2425256442.5,6.96,3.03,6.49,15.71
211,2024-12-12,拓邦股份,002139,219.35,213.89,219.64,209.03,1242786,1698721676.9,4.83,-2.68,-5.9,11.6
210,2024-12-11,拓邦股份,002139,220.09,219.79,224.8,214.04,2151416,3044228989.18,4.95,1.02,2.21,20.08
209,2024-12-10,拓邦股份,002139,204.9,217.58,217.58,201.95,1427805,1963471971.1,7.86,9.41,18.72,13.33
208,2024-12-09,拓邦股份,002139,198.56,198.86,202.4,197.09,579108,739826766.51,2.69,0.75,1.48,5.41
207,2024-12-06,拓邦股份,002139,198.27,197.38,200.33,193.4,570033,716560141.25,3.49,-0.59,-1.18,5.32
206,2024-12-05,拓邦股份,002139,194.73,198.56,200.92,193.7,712052,905911434.65,3.74,2.74,5.3,6.65
205,2024-12-04,拓邦股份,002139,193.99,193.26,197.53,190.46,480255,595036693.06,3.64,-0.61,-1.18,4.48
204,2024-12-03,拓邦股份,002139,197.24,194.44,197.38,192.08,452341,564185214.78,2.69,-1.49,-2.94,4.22
203,2024-12-02,拓邦股份,002139,196.5,197.38,199.6,193.55,599061,753415921.7,3.12,1.75,3.39,5.59
202,2024-11-29,拓邦股份,002139,185.3,193.99,195.61,183.67,662737,808091012.41,6.44,4.61,8.55,6.19
201,2024-11-28,拓邦股份,002139,186.47,185.44,192.08,184.56,445254,533188107.99,4.05,-0.16,-0.3,4.16
200,2024-11-27,拓邦股份,002139,179.1,185.74,185.89,176.3,460393,530304219.49,5.32,3.11,5.6,4.3
199,2024-11-26,拓邦股份,002139,184.26,180.14,186.18,179.99,422496,491451850.47,3.34,-2.94,-5.45,3.94
198,2024-11-25,拓邦股份,002139,193.4,185.59,194.44,181.46,696451,827678486.47,6.77,-3.23,-6.19,6.5
197,2024-11-22,拓邦股份,002139,200.18,191.78,204.75,191.34,729184,927641616.63,6.64,-4.97,-10.03,6.81
196,2024-11-21,拓邦股份,002139,202.54,201.81,206.82,197.68,956958,1238434337.58,4.51,-0.36,-0.73,8.93
195,2024-11-20,拓邦股份,002139,190.16,202.54,202.54,189.42,1116415,1418185097.15,6.93,6.93,13.12,10.42
194,2024-11-19,拓邦股份,002139,182.64,189.42,189.42,182.35,425306,507201133.17,3.86,3.54,6.48,3.97
193,2024-11-18,拓邦股份,002139,190.16,182.94,191.63,181.32,459545,541787704.3,5.49,-2.51,-4.71,4.29
192,2024-11-15,拓邦股份,002139,185.59,187.65,195.91,185.44,596251,728794103.07,5.61,0.47,0.88,5.57
191,2024-11-14,拓邦股份,002139,191.78,186.77,193.26,186.18,385101,466356761.28,3.7,-2.39,-4.57,3.59
190,2024-11-13,拓邦股份,002139,191.49,191.34,193.11,187.36,353404,429454773.75,2.98,-0.69,-1.33,3.3
189,2024-11-12,拓邦股份,002139,196.79,192.67,199.01,190.6,636502,793739911.42,4.31,-1.21,-2.36,5.94
188,2024-11-11,拓邦股份,002139,186.47,195.03,196.06,186.47,743367,914346503.11,5.18,5.34,9.88,6.94
