,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,荣盛发展,002146,34.81,34.81,35.14,34.81,1614586,226587073.0,0.92,-3.47,-1.25,4.14
240,2025-01-23,荣盛发展,002146,36.22,36.06,36.55,36.06,1295531,204322586.0,1.36,0.0,0.0,3.32
239,2025-01-22,荣盛发展,002146,36.55,36.06,36.55,35.97,1598617,250371982.94,1.58,-1.8,-0.66,4.1
238,2025-01-21,荣盛发展,002146,36.55,36.72,37.39,36.47,2479299,409462635.24,2.51,0.22,0.08,6.36
237,2025-01-20,荣盛发展,002146,36.47,36.64,36.8,36.06,1480605,237397388.0,2.03,0.47,0.17,3.8
236,2025-01-17,荣盛发展,002146,36.3,36.47,36.72,36.14,1203164,191664273.4,1.59,-0.22,-0.08,3.08
235,2025-01-16,荣盛发展,002146,36.47,36.55,37.14,36.3,1793302,292057886.37,2.31,0.44,0.16,4.6
234,2025-01-15,荣盛发展,002146,36.39,36.39,36.64,36.06,1281926,203056685.0,1.59,-0.22,-0.08,3.29
233,2025-01-14,荣盛发展,002146,35.89,36.47,36.55,35.81,1593209,249990446.3,2.06,1.62,0.58,4.08
232,2025-01-13,荣盛发展,002146,35.56,35.89,35.97,35.31,1199381,180413532.98,1.84,0.22,0.08,3.08
231,2025-01-10,荣盛发展,002146,36.39,35.81,36.55,35.72,1200804,186504582.88,2.28,-1.59,-0.58,3.08
230,2025-01-09,荣盛发展,002146,36.39,36.39,36.64,36.22,1126301,179745312.0,1.15,-0.22,-0.08,2.89
229,2025-01-08,荣盛发展,002146,36.3,36.47,36.55,35.89,1532257,241181972.0,1.81,0.22,0.08,3.93
228,2025-01-07,荣盛发展,002146,35.97,36.39,36.39,35.81,1210919,188783899.0,1.61,0.92,0.33,3.1
227,2025-01-06,荣盛发展,002146,36.06,36.06,36.14,35.64,1301068,199448046.23,1.38,-0.22,-0.08,3.34
226,2025-01-03,荣盛发展,002146,36.8,36.14,36.89,36.06,1554024,246822992.96,2.26,-1.79,-0.66,3.98
225,2025-01-02,荣盛发展,002146,36.8,36.8,37.39,36.64,1785446,298345226.18,2.03,-0.24,-0.09,4.58
224,2024-12-31,荣盛发展,002146,37.47,36.89,37.64,36.8,1455200,243818725.83,2.25,-1.34,-0.5,3.73
223,2024-12-30,荣盛发展,002146,37.97,37.39,37.97,37.14,1963590,335164638.02,2.18,-1.73,-0.66,5.03
222,2024-12-27,荣盛发展,002146,37.8,38.05,38.3,37.72,1538487,276623626.75,1.53,0.21,0.08,3.94
221,2024-12-26,荣盛发展,002146,37.89,37.97,38.22,37.64,1211887,215225973.0,1.53,0.0,0.0,3.11
220,2024-12-25,荣盛发展,002146,38.3,37.97,38.3,37.55,1615954,286778134.68,1.96,-0.65,-0.25,4.14
219,2024-12-24,荣盛发展,002146,38.55,38.22,38.8,37.89,2154249,391037368.86,2.35,-1.49,-0.58,5.52
218,2024-12-23,荣盛发展,002146,39.88,38.8,39.88,38.72,1968554,378289807.72,2.9,-2.93,-1.17,5.05
217,2024-12-20,荣盛发展,002146,40.05,39.97,40.3,39.88,1106379,224859743.33,1.05,-0.4,-0.16,2.84
216,2024-12-19,荣盛发展,002146,40.05,40.13,40.22,39.72,1274177,257528467.0,1.24,-0.42,-0.17,3.27
215,2024-12-18,荣盛发展,002146,40.38,40.3,40.55,40.13,1330966,274708519.86,1.04,-0.4,-0.16,3.41
214,2024-12-17,荣盛发展,002146,41.46,40.46,41.46,40.38,2052362,433176165.0,2.6,-2.62,-1.09,5.26
213,2024-12-16,荣盛发展,002146,41.46,41.55,41.88,41.3,1871936,413922913.3,1.4,0.22,0.09,4.8
212,2024-12-13,荣盛发展,002146,42.3,41.46,42.38,41.38,2911650,647342753.93,2.35,-2.54,-1.08,7.47
211,2024-12-12,荣盛发展,002146,42.54,42.54,42.96,42.05,3388343,788874721.97,2.13,-0.21,-0.09,8.69
210,2024-12-11,荣盛发展,002146,41.21,42.63,43.04,40.96,4592680,1061452295.3,4.99,2.21,0.92,11.78
209,2024-12-10,荣盛发展,002146,42.38,41.71,42.79,41.55,3983172,913188414.68,2.99,0.6,0.25,10.21
208,2024-12-09,荣盛发展,002146,42.63,41.46,42.79,41.21,3183856,714302498.49,3.74,-1.99,-0.84,8.16
207,2024-12-06,荣盛发展,002146,41.38,42.3,42.88,41.3,4242572,973619224.11,3.81,2.03,0.84,10.88
206,2024-12-05,荣盛发展,002146,40.63,41.46,41.63,40.63,2688569,578837095.0,2.44,1.22,0.5,6.89
205,2024-12-04,荣盛发展,002146,41.63,40.96,42.38,40.8,3425262,757778247.28,3.78,-2.01,-0.84,8.78
204,2024-12-03,荣盛发展,002146,40.88,41.8,42.46,40.55,3913886,855642858.79,4.67,2.25,0.92,10.03
203,2024-12-02,荣盛发展,002146,39.97,40.88,41.21,39.8,2879583,609232253.09,3.52,2.07,0.83,7.38
202,2024-11-29,荣盛发展,002146,39.88,40.05,40.22,39.55,1943237,390663334.0,1.67,0.0,0.0,4.98
201,2024-11-28,荣盛发展,002146,39.72,40.05,40.38,39.55,2349930,476102007.08,2.09,0.63,0.25,6.03
200,2024-11-27,荣盛发展,002146,39.3,39.8,39.97,38.72,2171508,425359268.74,3.17,1.07,0.42,5.57
199,2024-11-26,荣盛发展,002146,39.38,39.38,39.8,39.3,1633561,320253678.96,1.26,-0.43,-0.17,4.19
198,2024-11-25,荣盛发展,002146,39.8,39.55,40.05,39.13,2215936,434385032.21,2.3,-1.25,-0.5,5.68
197,2024-11-22,荣盛发展,002146,40.38,40.05,41.05,40.05,2686888,563201695.9,2.47,-1.23,-0.5,6.89
196,2024-11-21,荣盛发展,002146,40.63,40.55,41.05,40.38,2470398,518617378.84,1.64,-0.81,-0.33,6.33
195,2024-11-20,荣盛发展,002146,40.63,40.88,41.46,40.3,3142751,669951208.57,2.82,-0.61,-0.25,8.06
194,2024-11-19,荣盛发展,002146,40.63,41.13,41.88,39.72,4824188,1007281244.98,5.22,-0.6,-0.25,12.37
193,2024-11-18,荣盛发展,002146,40.22,41.38,41.38,40.22,5690601,1225848880.47,2.92,4.18,1.66,14.59
192,2024-11-15,荣盛发展,002146,39.97,39.72,40.55,39.63,2583554,525768202.48,2.29,-1.02,-0.41,6.62
191,2024-11-14,荣盛发展,002146,41.71,40.13,41.88,40.05,3776020,798917434.55,4.45,-2.43,-1.0,9.68
190,2024-11-13,荣盛发展,002146,41.38,41.13,42.54,41.05,3489471,773798680.17,3.56,-1.6,-0.67,8.95
189,2024-11-12,荣盛发展,002146,42.05,41.8,42.79,41.8,5711826,1293118028.74,2.26,-4.74,-2.08,14.64
188,2024-11-11,荣盛发展,002146,43.04,43.88,45.37,42.54,8351921,2142280844.81,6.52,1.15,0.5,21.41
187,2024-11-08,荣盛发展,002146,45.04,43.38,45.04,43.04,5807005,1472418869.98,4.65,0.79,0.34,14.89
186,2024-11-07,荣盛发展,002146,43.04,43.04,43.04,43.04,366324,87551541.16,0.0,4.44,1.83,0.94
185,2024-11-06,荣盛发展,002146,41.13,41.21,41.21,40.63,3383370,731401784.8,1.47,4.2,1.66,8.67
184,2024-11-05,荣盛发展,002146,37.89,39.55,39.55,37.8,2785520,534468491.82,4.6,3.94,1.5,7.14
