,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,三特索道,002159,23.62,23.8,23.81,23.38,24760,37770606.5,1.82,0.85,0.2,1.79
240,2025-01-23,三特索道,002159,23.69,23.6,23.86,23.56,19140,29424833.0,1.27,0.17,0.04,1.38
239,2025-01-22,三特索道,002159,24.08,23.56,24.1,23.44,22647,34739746.0,2.74,-2.28,-0.55,1.64
238,2025-01-21,三特索道,002159,24.44,24.11,24.49,23.66,23169,36054085.0,3.41,-1.07,-0.26,1.67
237,2025-01-20,三特索道,002159,24.35,24.37,24.83,24.23,31439,49947284.0,2.47,0.45,0.11,2.27
236,2025-01-17,三特索道,002159,24.16,24.26,24.35,23.93,21779,34235199.3,1.74,0.29,0.07,1.57
235,2025-01-16,三特索道,002159,24.35,24.19,24.58,23.96,34578,54563214.02,2.57,0.33,0.08,2.5
234,2025-01-15,三特索道,002159,23.84,24.11,24.49,23.63,29075,45477441.0,3.6,0.88,0.21,2.1
233,2025-01-14,三特索道,002159,23.77,23.9,23.9,23.29,34758,53283010.0,2.62,2.84,0.66,2.51
232,2025-01-13,三特索道,002159,23.11,23.24,23.45,22.64,13971,20935991.52,3.51,0.65,0.15,1.01
231,2025-01-10,三特索道,002159,23.77,23.09,24.04,23.06,20194,30801626.0,4.1,-3.47,-0.83,1.46
230,2025-01-09,三特索道,002159,23.8,23.92,24.22,23.66,22901,35543173.0,2.33,-0.5,-0.12,1.65
229,2025-01-08,三特索道,002159,22.96,24.04,24.04,22.87,47329,72032766.5,5.04,3.49,0.81,3.42
228,2025-01-07,三特索道,002159,22.87,23.23,23.32,22.66,21652,32261005.5,2.89,1.66,0.38,1.56
227,2025-01-06,三特索道,002159,22.9,22.85,23.21,22.45,30532,45101663.12,3.29,-1.04,-0.24,2.2
226,2025-01-03,三特索道,002159,24.37,23.09,24.37,23.02,41999,64118898.0,5.59,-4.47,-1.08,3.03
225,2025-01-02,三特索道,002159,24.14,24.17,24.89,23.99,44512,70666182.0,3.74,0.37,0.09,3.21
224,2024-12-31,三特索道,002159,24.49,24.08,24.73,24.05,36598,57752740.0,2.78,-1.55,-0.38,2.64
223,2024-12-30,三特索道,002159,25.13,24.46,25.13,24.38,58473,93279408.0,2.91,-5.23,-1.35,4.22
222,2024-12-27,三特索道,002159,25.58,25.81,26.15,25.46,30916,51998735.0,2.68,0.43,0.11,2.23
221,2024-12-26,三特索道,002159,25.34,25.7,25.97,25.34,32235,53565484.0,2.47,0.71,0.18,2.33
220,2024-12-25,三特索道,002159,25.43,25.52,25.9,24.61,38187,62644162.5,5.05,-0.08,-0.02,2.76
219,2024-12-24,三特索道,002159,25.57,25.54,25.6,24.98,26170,43059090.5,2.45,1.03,0.26,1.89
218,2024-12-23,三特索道,002159,26.57,25.28,26.57,25.27,36626,61431365.0,4.92,-4.39,-1.16,2.64
217,2024-12-20,三特索道,002159,26.51,26.44,26.99,26.15,35811,61735459.28,3.17,-0.38,-0.1,2.59
