,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,延华智能,002178,38.56,37.29,38.75,37.16,171840,99736727.8,4.19,-1.69,-0.64,2.41
239,2025-01-24,延华智能,002178,37.67,37.93,38.05,37.23,191223,110357139.24,2.18,0.69,0.26,2.69
238,2025-01-23,延华智能,002178,38.43,37.67,39.45,37.61,221998,131283038.0,4.85,-0.69,-0.26,3.12
237,2025-01-22,延华智能,002178,38.69,37.93,38.75,37.74,246347,144151503.0,2.56,-3.71,-1.46,3.46
236,2025-01-21,延华智能,002178,40.53,39.39,40.59,39.13,208272,126204167.64,3.64,-1.89,-0.76,2.93
235,2025-01-20,延华智能,002178,40.28,40.15,40.85,39.77,218350,135116160.02,2.69,0.15,0.06,3.07
234,2025-01-17,延华智能,002178,40.59,40.09,40.72,39.77,219194,135129019.0,2.34,-1.23,-0.5,3.08
233,2025-01-16,延华智能,002178,40.21,40.59,41.42,39.83,328610,204888200.24,3.95,0.95,0.38,4.62
232,2025-01-15,延华智能,002178,40.59,40.21,40.97,39.83,371288,229672351.0,2.84,0.0,0.0,5.22
231,2025-01-14,延华智能,002178,38.24,40.21,40.28,37.8,421574,255111215.0,6.55,6.21,2.35,5.92
230,2025-01-13,延华智能,002178,37.42,37.86,38.24,36.47,309945,177633141.0,4.64,-0.68,-0.26,4.35
229,2025-01-10,延华智能,002178,40.4,38.12,40.91,37.99,566723,343550729.42,7.09,-7.41,-3.05,7.96
228,2025-01-09,延华智能,002178,40.02,41.17,44.02,39.58,906543,575602792.44,10.87,0.78,0.32,12.74
227,2025-01-08,延华智能,002178,39.13,40.85,40.85,39.01,783092,482220888.53,4.94,9.72,3.62,11.0
226,2025-01-07,延华智能,002178,36.08,37.23,37.23,35.89,241226,134872542.0,3.75,4.29,1.53,3.39
225,2025-01-06,延华智能,002178,36.08,35.7,36.21,34.31,205391,111422728.24,5.27,-1.05,-0.38,2.89
224,2025-01-03,延华智能,002178,38.75,36.08,39.13,36.08,330273,187255878.38,7.87,-6.89,-2.67,4.64
223,2025-01-02,延华智能,002178,39.07,38.75,40.09,38.18,274105,164441846.84,4.88,-0.97,-0.38,3.85
222,2024-12-31,延华智能,002178,40.72,39.13,41.04,38.94,246340,150183695.75,5.17,-3.6,-1.46,3.46
221,2024-12-30,延华智能,002178,41.86,40.59,42.44,39.77,225185,140443607.38,6.45,-2.0,-0.83,3.16
220,2024-12-27,延华智能,002178,40.59,41.42,42.18,40.28,331431,211602746.7,4.69,2.2,0.89,4.66
219,2024-12-26,延华智能,002178,40.09,40.53,41.17,40.09,238166,148867331.3,2.67,0.32,0.13,3.35
218,2024-12-25,延华智能,002178,42.31,40.4,42.75,39.58,417667,259459749.42,7.48,-4.65,-1.97,5.87
217,2024-12-24,延华智能,002178,43.51,42.37,44.09,41.67,407622,265941021.31,5.55,-2.78,-1.21,5.73
