,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,华天科技,002185,128.49,129.65,129.88,127.8,692159,798876795.21,1.64,2.37,3.0,2.16
240,2025-01-23,华天科技,002185,129.42,126.65,131.5,126.65,626909,721302241.28,3.79,-0.99,-1.27,1.96
239,2025-01-22,华天科技,002185,126.76,127.92,128.61,126.42,403923,460725974.55,1.71,0.0,0.0,1.26
238,2025-01-21,华天科技,002185,128.49,127.92,128.73,126.3,443017,504884001.24,1.91,0.36,0.46,1.38
237,2025-01-20,华天科技,002185,127.34,127.46,128.49,126.42,559239,637505997.74,1.64,1.29,1.62,1.75
236,2025-01-17,华天科技,002185,124.69,125.84,127.57,123.99,599955,675347018.18,2.87,0.74,0.92,1.87
235,2025-01-16,华天科技,002185,125.96,124.92,128.38,123.65,604688,679918088.66,3.77,-0.37,-0.46,1.89
234,2025-01-15,华天科技,002185,125.96,125.38,126.53,124.8,582887,654608843.31,1.37,-0.46,-0.58,1.82
233,2025-01-14,华天科技,002185,120.88,125.96,126.19,119.72,800707,886527237.04,5.38,4.8,5.77,2.5
232,2025-01-13,华天科技,002185,117.76,120.19,121.11,117.19,468185,499851659.55,3.24,-0.66,-0.8,1.46
231,2025-01-10,华天科技,002185,120.65,120.99,127.46,120.42,945512,1049072538.44,5.81,-0.19,-0.23,2.95
230,2025-01-09,华天科技,002185,119.61,121.22,122.61,119.15,473206,515012642.07,2.87,0.66,0.8,1.48
229,2025-01-08,华天科技,002185,120.65,120.42,122.03,116.61,614265,657890652.16,4.46,-0.95,-1.15,1.92
228,2025-01-07,华天科技,002185,118.22,121.57,122.03,117.42,614621,659342112.88,3.91,3.24,3.81,1.92
227,2025-01-06,华天科技,002185,117.42,117.76,119.61,116.49,497513,524730994.84,2.65,0.0,0.0,1.55
226,2025-01-03,华天科技,002185,121.57,117.76,122.26,117.42,798435,854027884.89,4.01,-2.48,-3.0,2.49
225,2025-01-02,华天科技,002185,128.73,120.76,129.42,119.61,1218495,1350540104.46,7.55,-7.1,-9.23,3.8
224,2024-12-31,华天科技,002185,138.53,129.99,139.57,129.3,1177020,1405685638.0,7.41,-6.16,-8.54,3.67
223,2024-12-30,华天科技,002185,137.73,138.53,140.96,136.57,827552,1022742876.78,3.17,0.0,0.0,2.58
222,2024-12-27,华天科技,002185,140.38,138.53,141.65,137.73,1280787,1596553738.97,2.78,-1.88,-2.66,4.0
221,2024-12-26,华天科技,002185,136.34,141.19,141.3,134.73,1538886,1911266645.74,4.82,3.56,4.85,4.8
220,2024-12-25,华天科技,002185,135.53,136.34,136.8,134.73,810168,982628845.06,1.53,0.6,0.81,2.53
219,2024-12-24,华天科技,002185,134.15,135.53,135.88,131.38,791258,943257933.6,3.37,1.38,1.84,2.47
218,2024-12-23,华天科技,002185,137.03,133.69,138.19,133.46,967133,1172140493.57,3.46,-2.27,-3.11,3.02
217,2024-12-20,华天科技,002185,134.84,136.8,138.07,134.03,1308436,1592737284.35,3.0,1.54,2.07,4.08
216,2024-12-19,华天科技,002185,131.61,134.73,134.96,131.03,742171,887878420.94,2.95,1.13,1.5,2.32
215,2024-12-18,华天科技,002185,130.8,133.23,134.03,130.34,579352,686201807.53,2.82,1.86,2.43,1.81
214,2024-12-17,华天科技,002185,132.19,130.8,133.92,130.69,454298,535028371.22,2.44,-1.05,-1.39,1.42
213,2024-12-16,华天科技,002185,133.92,132.19,134.84,131.73,570528,678263941.58,2.32,-1.29,-1.73,1.78
212,2024-12-13,华天科技,002185,135.19,133.92,136.69,132.88,837155,1004703476.64,2.82,-1.02,-1.38,2.61
211,2024-12-12,华天科技,002185,135.07,135.3,135.53,133.0,617037,739718446.36,1.87,0.0,0.0,1.93
210,2024-12-11,华天科技,002185,133.92,135.3,136.11,133.34,564920,679684840.34,2.07,1.03,1.38,1.76
209,2024-12-10,华天科技,002185,137.38,133.92,137.96,133.34,800478,968287830.24,3.48,0.87,1.16,2.5
208,2024-12-09,华天科技,002185,134.84,132.76,135.3,131.96,542817,646546207.66,2.48,-1.46,-1.97,1.69
207,2024-12-06,华天科技,002185,133.57,134.73,135.53,131.96,733266,876604239.18,2.67,0.87,1.16,2.29
206,2024-12-05,华天科技,002185,133.23,133.57,134.73,132.76,638895,761678561.97,1.47,-0.43,-0.58,1.99
205,2024-12-04,华天科技,002185,137.27,134.15,138.88,133.57,989442,1204220243.63,3.94,-0.43,-0.58,3.09
204,2024-12-03,华天科技,002185,136.69,134.73,136.8,133.23,769651,926232371.06,2.64,-0.51,-0.69,2.4
203,2024-12-02,华天科技,002185,132.65,135.42,136.11,132.3,850054,1023148468.28,2.87,2.09,2.77,2.65
202,2024-11-29,华天科技,002185,130.34,132.65,134.5,128.49,913748,1074655908.14,4.59,1.24,1.62,2.85
201,2024-11-28,华天科技,002185,132.53,131.03,133.92,130.57,732737,865466939.68,2.53,-0.96,-1.27,2.29
200,2024-11-27,华天科技,002185,129.07,132.3,132.53,126.88,829245,961372025.94,4.35,1.78,2.31,2.59
199,2024-11-26,华天科技,002185,130.8,129.99,132.76,129.88,568407,664644040.6,2.21,-0.44,-0.58,1.77
198,2024-11-25,华天科技,002185,131.61,130.57,132.76,128.15,859834,998782238.84,3.5,-0.88,-1.16,2.68
197,2024-11-22,华天科技,002185,138.53,131.73,139.34,131.26,1034452,1249649996.93,5.84,-4.75,-6.57,3.23
196,2024-11-21,华天科技,002185,138.88,138.3,139.57,136.92,889564,1097676874.91,1.91,-0.34,-0.47,2.78
195,2024-11-20,华天科技,002185,137.84,138.77,140.15,136.34,1019766,1257931320.75,2.76,0.67,0.93,3.18
194,2024-11-19,华天科技,002185,133.57,137.84,137.96,132.76,1179505,1427434371.92,3.89,3.2,4.27,3.68
193,2024-11-18,华天科技,002185,139.0,133.57,139.92,132.3,1353566,1635411268.48,5.47,-4.07,-5.66,4.22
192,2024-11-15,华天科技,002185,143.84,139.23,147.31,139.0,1366994,1743535683.53,5.73,-4.05,-5.88,4.27
191,2024-11-14,华天科技,002185,151.81,145.11,151.81,144.65,1499385,1976678076.43,4.67,-5.35,-8.2,4.68
190,2024-11-13,华天科技,002185,152.5,153.31,157.0,149.73,1535939,2086113263.13,4.71,-0.74,-1.15,4.79
189,2024-11-12,华天科技,002185,161.04,154.46,161.5,152.38,2742879,3810874378.29,5.68,-3.81,-6.12,8.56
188,2024-11-11,华天科技,002185,150.42,160.58,163.58,149.96,3717253,5238871671.52,9.18,8.25,12.24,11.6
187,2024-11-08,华天科技,002185,148.81,148.34,152.96,147.54,2328485,3121499977.38,3.67,0.47,0.69,7.27
186,2024-11-07,华天科技,002185,146.73,147.65,150.42,144.42,2060250,2691359738.88,4.03,-0.93,-1.39,6.43
185,2024-11-06,华天科技,002185,144.88,149.04,151.23,142.69,2914081,3819392905.84,5.93,3.53,5.08,9.1
184,2024-11-05,华天科技,002185,141.54,143.96,146.15,139.69,2221091,2842192870.84,4.57,1.8,2.54,6.93
183,2024-11-04,华天科技,002185,134.5,141.42,143.27,133.46,1904952,2388217336.99,7.08,2.0,2.77,5.95
182,2024-11-01,华天科技,002185,150.65,138.65,150.65,138.65,3725438,4759230010.79,7.77,-10.24,-15.81,11.63
181,2024-10-31,华天科技,002185,141.42,154.46,158.61,140.84,5243496,7030665570.51,12.35,7.38,10.62,16.37
180,2024-10-30,华天科技,002185,146.27,143.84,156.19,143.73,4996875,6656742282.6,8.59,-0.8,-1.16,15.6
179,2024-10-29,华天科技,002185,136.8,145.0,145.0,134.61,2666844,3364377272.67,7.9,10.27,13.5,8.32
178,2024-10-28,华天科技,002185,121.8,131.5,133.46,120.3,2281215,2569014647.33,10.85,8.37,10.16,7.12
177,2024-10-25,华天科技,002185,120.07,121.34,121.46,118.69,1083109,1165503758.7,2.33,2.23,2.65,3.38
176,2024-10-24,华天科技,002185,118.11,118.69,119.96,117.19,889442,944927677.18,2.32,-0.48,-0.57,2.78
175,2024-10-23,华天科技,002185,119.15,119.26,122.03,118.34,1209115,1302091345.72,3.08,-0.58,-0.7,3.77
174,2024-10-22,华天科技,002185,125.84,119.96,126.07,118.69,2017485,2197380332.89,5.89,-4.32,-5.42,6.3
173,2024-10-21,华天科技,002185,120.76,125.38,126.53,120.53,2618277,2893479140.52,5.11,6.78,7.96,8.17
172,2024-10-18,华天科技,002185,111.42,117.42,122.03,110.95,1896974,1968025447.07,9.96,5.5,6.12,5.92
171,2024-10-17,华天科技,002185,111.53,111.3,113.15,110.15,1160379,1165179104.39,2.74,1.48,1.62,3.62
170,2024-10-16,华天科技,002185,106.68,109.68,110.49,105.65,853171,836570611.29,4.47,1.27,1.38,2.66
169,2024-10-15,华天科技,002185,107.95,108.3,112.22,106.45,1160249,1145582722.62,5.35,0.32,0.35,3.62
168,2024-10-14,华天科技,002185,105.41,107.95,108.07,102.18,1025005,973212728.06,5.59,2.41,2.54,3.2
167,2024-10-11,华天科技,002185,109.11,105.41,111.42,103.57,1150191,1101557065.5,7.05,-5.39,-6.01,3.59
166,2024-10-10,华天科技,002185,117.42,111.42,119.72,109.11,1764479,1791221242.08,9.04,-5.11,-6.0,5.51
165,2024-10-09,华天科技,002185,120.99,117.42,125.26,112.8,3189795,3413766849.24,10.88,2.52,2.89,9.96
164,2024-10-08,华天科技,002185,114.53,114.53,114.53,108.41,1450386,1480395122.98,5.9,10.34,10.73,4.53
163,2024-09-30,华天科技,002185,98.38,103.8,103.8,97.45,1240770,1134326305.51,6.76,10.44,9.81,3.87
162,2024-09-27,华天科技,002185,89.37,93.99,94.91,89.26,652135,543455836.98,6.4,6.54,5.77,2.04
161,2024-09-26,华天科技,002185,85.33,88.22,88.34,84.99,408142,321148821.09,3.93,3.52,3.0,1.27
160,2024-09-25,华天科技,002185,85.45,85.22,87.64,84.64,412389,322678451.37,3.54,0.54,0.46,1.29
159,2024-09-24,华天科技,002185,81.99,84.76,84.76,81.53,373497,282915846.22,3.96,3.82,3.12,1.17
158,2024-09-23,华天科技,002185,81.18,81.64,82.45,80.6,143361,106531960.65,2.28,0.42,0.34,0.45
157,2024-09-20,华天科技,002185,81.87,81.3,82.22,80.72,165900,122684699.03,1.83,-0.56,-0.46,0.52
156,2024-09-19,华天科技,002185,80.6,81.76,82.68,79.8,226861,167912879.59,3.58,1.73,1.39,0.71
155,2024-09-18,华天科技,002185,80.95,80.37,81.53,78.99,169059,122991259.12,3.15,-0.29,-0.23,0.53
154,2024-09-13,华天科技,002185,81.87,80.6,82.33,80.6,168754,124779472.6,2.11,-1.7,-1.39,0.53
153,2024-09-12,华天科技,002185,83.6,81.99,83.83,81.87,211075,158623193.5,2.36,-1.25,-1.04,0.66
152,2024-09-11,华天科技,002185,82.68,83.03,83.26,81.87,191705,143882946.56,1.69,0.7,0.58,0.6
151,2024-09-10,华天科技,002185,82.8,82.45,83.14,80.03,324168,239880496.67,3.76,-0.28,-0.23,1.01
150,2024-09-09,华天科技,002185,83.95,82.68,84.64,82.33,207572,156897616.0,2.75,-1.51,-1.27,0.65
149,2024-09-06,华天科技,002185,86.03,83.95,86.6,83.95,192199,148004905.8,3.08,-2.42,-2.08,0.6
148,2024-09-05,华天科技,002185,86.49,86.03,87.3,85.57,189787,148478021.93,2.01,0.0,0.0,0.59
147,2024-09-04,华天科技,002185,85.68,86.03,86.95,85.33,166143,129664702.18,1.87,-0.66,-0.57,0.52
146,2024-09-03,华天科技,002185,85.91,86.6,87.3,85.68,179609,140765980.82,1.89,0.93,0.8,0.56
145,2024-09-02,华天科技,002185,88.22,85.8,88.68,85.68,296748,234059659.54,3.41,-2.49,-2.19,0.93
144,2024-08-30,华天科技,002185,85.91,87.99,88.91,85.68,408610,325946561.07,3.76,2.55,2.19,1.28
143,2024-08-29,华天科技,002185,83.03,85.8,86.49,82.8,291171,224700334.58,4.43,3.05,2.54,0.91
142,2024-08-28,华天科技,002185,82.33,83.26,84.41,82.33,234982,177714732.4,2.47,-0.96,-0.81,0.73
141,2024-08-27,华天科技,002185,86.26,84.07,86.37,83.72,221816,170654816.06,3.06,-3.06,-2.65,0.69
140,2024-08-26,华天科技,002185,86.37,86.72,87.87,86.03,233724,184067138.6,2.14,0.67,0.58,0.73
139,2024-08-23,华天科技,002185,84.3,86.14,86.6,83.72,256208,198492047.23,3.42,2.18,1.84,0.8
138,2024-08-22,华天科技,002185,85.33,84.3,85.68,84.07,209367,160690309.21,1.89,-1.08,-0.92,0.65
137,2024-08-21,华天科技,002185,85.33,85.22,86.83,84.41,219097,170391310.77,2.81,-0.94,-0.81,0.68
136,2024-08-20,华天科技,002185,88.34,86.03,88.45,85.68,339258,266813100.96,3.13,-2.87,-2.54,1.06
135,2024-08-19,华天科技,002185,87.99,88.57,89.95,87.53,343636,276628607.76,2.76,1.06,0.93,1.07
134,2024-08-16,华天科技,002185,87.76,87.64,88.57,86.49,272276,215948294.18,2.37,-0.26,-0.23,0.85
133,2024-08-15,华天科技,002185,86.72,87.87,89.03,86.14,272528,216796035.4,3.33,1.2,1.04,0.85
132,2024-08-14,华天科技,002185,88.68,86.83,88.91,86.83,241515,191589189.51,2.35,-1.96,-1.74,0.75
131,2024-08-13,华天科技,002185,86.72,88.57,88.57,86.72,213823,170225128.11,2.12,1.72,1.5,0.67
130,2024-08-12,华天科技,002185,87.76,87.07,88.45,86.72,231138,183044674.96,1.96,-1.44,-1.27,0.72
129,2024-08-09,华天科技,002185,89.49,88.34,90.41,88.34,269448,217810055.19,2.34,0.0,0.0,0.84
128,2024-08-08,华天科技,002185,87.3,88.34,89.6,86.14,357118,284164185.2,3.94,0.53,0.47,1.11
127,2024-08-07,华天科技,002185,88.1,87.87,88.91,87.3,332824,265929776.44,1.83,-0.14,-0.12,1.04
126,2024-08-06,华天科技,002185,90.99,87.99,92.03,86.83,654828,523787859.54,5.79,-2.06,-1.85,2.04
125,2024-08-05,华天科技,002185,93.64,89.84,94.11,89.84,498052,413470224.69,4.53,-4.65,-4.38,1.55
124,2024-08-02,华天科技,002185,96.18,94.22,97.45,94.22,402068,347460756.4,3.32,-3.09,-3.0,1.25
123,2024-08-01,华天科技,002185,95.84,97.22,97.8,95.49,522434,455949488.71,2.41,1.44,1.38,1.63
122,2024-07-31,华天科技,002185,90.99,95.84,95.95,90.76,543514,461505606.25,5.67,4.66,4.27,1.7
121,2024-07-30,华天科技,002185,90.41,91.57,91.68,88.91,369181,302265950.1,3.06,1.15,1.04,1.15
120,2024-07-29,华天科技,002185,91.1,90.53,92.26,90.41,301527,247906102.75,2.03,-0.89,-0.81,0.94
119,2024-07-26,华天科技,002185,90.76,91.34,92.14,90.3,307532,253849351.79,2.03,0.64,0.58,0.96
118,2024-07-25,华天科技,002185,92.72,90.76,93.41,90.53,395074,326943873.2,3.08,-3.08,-2.88,1.23
117,2024-07-24,华天科技,002185,93.87,93.64,95.95,93.3,372370,318311918.69,2.81,-0.74,-0.7,1.16
116,2024-07-23,华天科技,002185,97.8,94.34,97.91,94.11,474449,410876206.24,3.88,-3.65,-3.57,1.48
115,2024-07-22,华天科技,002185,98.49,97.91,98.95,97.57,458230,405245689.37,1.41,-0.12,-0.12,1.43
114,2024-07-19,华天科技,002185,96.64,98.03,99.53,96.18,595756,528427613.47,3.45,1.07,1.04,1.86
113,2024-07-18,华天科技,002185,96.41,96.99,97.68,94.11,550958,477475403.42,3.65,-0.71,-0.69,1.72
112,2024-07-17,华天科技,002185,98.61,97.68,99.76,97.34,562373,500048433.87,2.45,-1.28,-1.27,1.76
111,2024-07-16,华天科技,002185,96.41,98.95,99.41,95.72,654532,577635101.27,3.82,2.39,2.31,2.04
110,2024-07-15,华天科技,002185,97.57,96.64,98.03,95.61,589134,513873111.49,2.52,0.59,0.57,1.84
109,2024-07-12,华天科技,002185,94.68,96.07,96.41,93.87,363654,313438450.92,2.65,0.37,0.35,1.14
108,2024-07-11,华天科技,002185,95.37,95.72,96.41,93.87,591885,509419241.27,2.7,1.71,1.61,1.85
107,2024-07-10,华天科技,002185,92.95,94.11,94.91,92.6,510689,433406413.94,2.48,0.87,0.81,1.59
106,2024-07-09,华天科技,002185,87.07,93.3,93.53,86.49,807034,666602917.29,8.08,7.02,6.12,2.52
105,2024-07-08,华天科技,002185,87.99,87.18,89.49,87.07,272902,218397564.0,2.73,-1.57,-1.39,0.85
104,2024-07-05,华天科技,002185,89.37,88.57,89.49,86.95,300049,239365646.46,2.85,-0.77,-0.69,0.94
103,2024-07-04,华天科技,002185,90.41,89.26,92.37,89.14,408095,334434230.42,3.57,-1.4,-1.27,1.27
102,2024-07-03,华天科技,002185,89.14,90.53,91.57,88.45,429196,349941070.15,3.49,1.3,1.16,1.34
101,2024-07-02,华天科技,002185,89.72,89.37,90.41,88.91,268409,217646946.32,1.67,-0.39,-0.35,0.84
100,2024-07-01,华天科技,002185,90.53,89.72,90.53,87.99,347828,281188965.65,2.82,-0.39,-0.35,1.09
99,2024-06-28,华天科技,002185,89.14,90.07,91.45,88.45,376134,307512728.87,3.36,0.78,0.7,1.17
98,2024-06-27,华天科技,002185,89.49,89.37,91.8,89.03,486343,397225160.98,3.07,-1.03,-0.93,1.52
97,2024-06-26,华天科技,002185,85.22,90.3,90.53,84.3,503367,400417985.23,7.3,5.82,4.97,1.57
96,2024-06-25,华天科技,002185,89.03,85.33,89.84,84.64,565269,443897192.29,5.84,-4.16,-3.7,1.76
95,2024-06-24,华天科技,002185,91.8,89.03,93.53,88.57,632167,520530159.61,5.34,-4.1,-3.81,1.97
94,2024-06-21,华天科技,002185,90.41,92.84,93.3,89.03,547292,453656250.31,4.64,0.88,0.81,1.71
93,2024-06-20,华天科技,002185,93.3,92.03,95.49,91.8,828389,702531664.8,3.93,-1.94,-1.82,2.59
92,2024-06-19,华天科技,002185,93.51,93.85,94.89,91.54,720556,609923638.47,3.6,0.74,0.69,2.25
91,2024-06-18,华天科技,002185,94.08,93.16,94.2,92.47,513995,434337389.75,1.85,-0.62,-0.58,1.6
90,2024-06-17,华天科技,002185,90.27,93.74,94.54,90.04,843104,709117524.59,4.94,2.92,2.66,2.63
89,2024-06-14,华天科技,002185,91.43,91.08,91.54,89.24,626470,513592477.59,2.5,-1.0,-0.92,1.96
88,2024-06-13,华天科技,002185,92.35,92.0,92.93,91.43,638513,533245737.15,1.62,-0.38,-0.35,1.99
87,2024-06-12,华天科技,002185,92.0,92.35,93.27,91.31,804483,671373659.14,2.09,-1.48,-1.39,2.51
86,2024-06-11,华天科技,002185,90.27,93.74,93.85,89.7,864050,724145732.19,4.6,3.84,3.47,2.7
85,2024-06-07,华天科技,002185,89.24,90.27,91.89,88.66,429880,353187207.21,3.61,1.03,0.92,1.34
84,2024-06-06,华天科技,002185,91.54,89.35,92.24,89.0,485975,400319397.18,3.57,-1.65,-1.5,1.52
83,2024-06-05,华天科技,002185,89.81,90.85,92.0,89.47,404433,335041194.72,2.81,0.9,0.81,1.26
82,2024-06-04,华天科技,002185,90.97,90.04,90.97,88.89,267057,217115378.06,2.29,-1.02,-0.93,0.83
81,2024-06-03,华天科技,002185,90.04,90.97,91.77,89.93,363000,299720255.1,2.04,0.9,0.81,1.13
80,2024-05-31,华天科技,002185,89.81,90.16,91.43,89.7,227713,187077037.06,1.92,0.0,0.0,0.71
79,2024-05-30,华天科技,002185,88.08,90.16,90.62,87.27,305554,248758972.39,3.78,1.83,1.62,0.95
78,2024-05-29,华天科技,002185,88.89,88.54,90.5,88.31,273862,221805647.45,2.44,-1.41,-1.27,0.85
77,2024-05-28,华天科技,002185,90.97,89.81,92.81,89.58,414035,341895737.86,3.57,-0.64,-0.58,1.29
76,2024-05-27,华天科技,002185,88.43,90.39,90.5,86.93,281411,226305581.32,4.04,2.36,2.08,0.88
75,2024-05-24,华天科技,002185,90.27,88.31,90.74,88.2,206664,167418511.2,2.81,-2.3,-2.08,0.65
74,2024-05-23,华天科技,002185,92.35,90.39,92.81,90.16,278935,230749137.8,2.88,-1.88,-1.73,0.87
73,2024-05-22,华天科技,002185,93.39,92.12,93.74,91.08,257477,214238492.98,2.9,0.38,0.35,0.8
72,2024-05-21,华天科技,002185,90.85,91.77,92.24,90.85,208838,173629511.26,1.52,0.37,0.34,0.65
71,2024-05-20,华天科技,002185,92.0,91.43,92.47,90.74,239358,198393081.5,1.9,0.25,0.23,0.75
70,2024-05-17,华天科技,002185,89.58,91.2,91.43,89.24,238797,195962696.92,2.44,1.81,1.62,0.75
69,2024-05-16,华天科技,002185,89.81,89.58,90.62,89.24,224776,183502220.39,1.55,0.52,0.46,0.7
68,2024-05-15,华天科技,002185,89.35,89.12,91.66,88.31,264889,216257878.82,3.75,-0.13,-0.12,0.83
