,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
231,2025-01-24,合肥城建,002208,36.74,36.16,36.88,36.12,134578,88884546.2,2.05,-2.59,-0.96,1.68
230,2025-01-23,合肥城建,002208,37.32,37.12,37.94,37.08,122226,83695671.2,2.33,0.65,0.24,1.52
229,2025-01-22,合肥城建,002208,37.08,36.88,37.7,36.74,119933,80941794.61,2.57,-1.42,-0.53,1.49
228,2025-01-21,合肥城建,002208,37.8,37.41,38.42,37.36,161879,111906775.15,2.81,-0.9,-0.34,2.02
227,2025-01-20,合肥城建,002208,37.56,37.75,38.13,36.98,111771,77031885.62,3.06,0.51,0.19,1.39
226,2025-01-17,合肥城建,002208,37.17,37.56,37.89,36.93,82137,56125765.2,2.56,0.0,0.0,1.02
225,2025-01-16,合肥城建,002208,37.75,37.56,38.23,37.12,110469,75787115.31,2.96,0.13,0.05,1.38
224,2025-01-15,合肥城建,002208,37.65,37.51,38.08,37.27,101107,69368752.69,2.15,-0.5,-0.19,1.26
223,2025-01-14,合肥城建,002208,36.93,37.7,37.89,36.93,122236,83674725.0,2.6,2.09,0.77,1.52
222,2025-01-13,合肥城建,002208,35.97,36.93,37.08,35.44,92359,61249737.2,4.5,1.32,0.48,1.15
221,2025-01-10,合肥城建,002208,36.74,36.45,37.7,36.4,181065,122535092.14,3.52,-1.3,-0.48,2.26
220,2025-01-09,合肥城建,002208,36.64,36.93,37.22,36.6,87994,59282211.0,1.68,0.14,0.05,1.1
219,2025-01-08,合肥城建,002208,36.84,36.88,37.03,35.78,118519,78539537.43,3.38,-0.14,-0.05,1.48
218,2025-01-07,合肥城建,002208,36.02,36.93,37.08,35.78,120663,79894962.2,3.61,2.67,0.96,1.5
217,2025-01-06,合肥城建,002208,36.45,35.97,36.5,35.11,142611,92973192.6,3.81,-1.32,-0.48,1.78
216,2025-01-03,合肥城建,002208,38.47,36.45,38.66,36.45,175012,118568698.2,5.74,-5.25,-2.02,2.18
215,2025-01-02,合肥城建,002208,38.71,38.47,39.33,38.04,156003,110663264.91,3.32,-0.85,-0.33,1.94
214,2024-12-31,合肥城建,002208,39.52,38.8,40.05,38.71,116988,84022665.04,3.38,-2.07,-0.82,1.46
213,2024-12-30,合肥城建,002208,39.91,39.62,40.0,39.24,102571,74679543.4,1.9,-1.2,-0.48,1.28
212,2024-12-27,合肥城建,002208,39.86,40.1,40.29,39.57,130606,96312173.2,1.81,0.86,0.34,1.63
211,2024-12-26,合肥城建,002208,39.81,39.76,40.2,39.62,98236,72116191.22,1.46,-0.13,-0.05,1.22
210,2024-12-25,合肥城建,002208,40.2,39.81,40.24,38.85,177060,128878161.96,3.46,-0.85,-0.34,2.21
209,2024-12-24,合肥城建,002208,40.1,40.15,40.48,39.72,160821,118705412.63,1.9,0.12,0.05,2.0
208,2024-12-23,合肥城建,002208,42.36,40.1,42.4,39.96,279897,210516741.19,5.72,-5.96,-2.54,3.49
207,2024-12-20,合肥城建,002208,43.22,42.64,43.51,42.21,247854,195814621.0,3.02,-1.02,-0.44,3.09
206,2024-12-19,合肥城建,002208,42.36,43.08,44.23,41.92,249690,201019041.28,5.37,0.12,0.05,3.11
205,2024-12-18,合肥城建,002208,42.79,43.03,43.36,42.12,176286,140236630.48,2.9,0.8,0.34,2.2
204,2024-12-17,合肥城建,002208,44.04,42.69,44.04,42.55,249367,199497773.8,3.38,-3.07,-1.35,3.11
203,2024-12-16,合肥城建,002208,43.75,44.04,44.47,42.64,305281,247943967.0,4.16,0.23,0.1,3.8
202,2024-12-13,合肥城建,002208,47.44,43.94,47.54,43.94,735767,622191623.7,7.47,-8.86,-4.27,9.17
201,2024-12-12,合肥城建,002208,47.92,48.21,49.56,47.3,454402,414073044.68,4.68,-0.1,-0.05,5.66
200,2024-12-11,合肥城建,002208,47.49,48.26,48.84,47.06,293182,266016618.02,3.7,0.4,0.19,3.65
199,2024-12-10,合肥城建,002208,50.56,48.07,50.56,47.44,443531,405587397.08,6.55,0.9,0.43,5.53
198,2024-12-09,合肥城建,002208,49.27,47.64,49.65,47.54,391651,354420694.52,4.29,-3.21,-1.58,4.88
197,2024-12-06,合肥城建,002208,47.92,49.22,50.47,47.78,498255,464521249.24,5.55,1.59,0.77,6.21
196,2024-12-05,合肥城建,002208,48.36,48.45,49.7,47.16,483282,437830970.56,5.37,2.43,1.15,6.02
195,2024-12-04,合肥城建,002208,47.88,47.3,48.36,46.53,384986,342637085.4,3.87,0.0,0.0,4.8
194,2024-12-03,合肥城建,002208,46.92,47.3,47.88,46.0,474743,419277849.78,4.09,2.92,1.34,5.92
193,2024-12-02,合肥城建,002208,44.9,45.96,46.92,44.8,422980,365187856.76,4.73,2.47,1.11,5.27
192,2024-11-29,合肥城建,002208,45.52,44.85,45.91,44.04,440898,369443151.49,4.07,-2.31,-1.06,5.49
191,2024-11-28,合肥城建,002208,47.3,45.91,47.73,45.52,392505,341524254.08,4.82,0.22,0.1,4.89
190,2024-11-27,合肥城建,002208,45.24,45.81,46.92,44.18,508772,432283233.76,5.72,-4.32,-2.07,6.34
189,2024-11-26,合肥城建,002208,50.85,47.88,51.62,47.88,585202,535344926.11,7.1,-9.11,-4.8,7.29
