,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,三全食品,002216,115.5,116.38,116.64,115.32,33028,37222478.7,1.14,0.54,0.62,0.52
240,2025-01-23,三全食品,002216,116.82,115.76,117.61,115.58,35373,40028603.0,1.75,0.0,0.0,0.56
239,2025-01-22,三全食品,002216,117.17,115.76,117.17,114.97,37665,42387401.63,1.88,-1.28,-1.5,0.6
238,2025-01-21,三全食品,002216,118.4,117.26,118.4,116.11,34703,39439192.3,1.95,-0.3,-0.35,0.55
237,2025-01-20,三全食品,002216,118.22,117.61,119.02,116.99,38239,43929022.9,1.72,-0.14,-0.17,0.61
236,2025-01-17,三全食品,002216,116.38,117.78,118.4,116.02,35943,41030057.88,2.04,0.75,0.88,0.57
235,2025-01-16,三全食品,002216,117.61,116.9,119.02,116.29,38241,43714279.1,2.33,-0.31,-0.36,0.61
234,2025-01-15,三全食品,002216,117.34,117.26,119.02,116.99,40903,46769680.84,1.73,0.0,0.0,0.65
233,2025-01-14,三全食品,002216,114.97,117.26,117.7,114.97,57904,65594832.4,2.38,2.07,2.38,0.92
232,2025-01-13,三全食品,002216,112.33,114.88,115.23,112.33,38230,42093913.65,2.54,0.77,0.88,0.61
231,2025-01-10,三全食品,002216,116.02,114.0,116.73,113.91,45518,50652346.4,2.43,-1.89,-2.2,0.72
230,2025-01-09,三全食品,002216,116.73,116.2,117.61,115.5,53214,60141415.1,1.8,-0.97,-1.14,0.84
229,2025-01-08,三全食品,002216,117.78,117.34,118.49,115.67,61126,69470393.8,2.39,-0.6,-0.71,0.97
228,2025-01-07,三全食品,002216,116.99,118.05,119.28,116.64,55631,63737969.2,2.25,0.83,0.97,0.88
227,2025-01-06,三全食品,002216,118.58,117.08,120.16,115.94,69417,79470909.2,3.55,-1.56,-1.85,1.1
226,2025-01-03,三全食品,002216,123.15,118.93,123.86,118.58,95362,112331359.54,4.27,-3.77,-4.66,1.51
225,2025-01-02,三全食品,002216,122.45,123.59,127.46,122.18,127178,156022186.71,4.31,0.79,0.97,2.02
224,2024-12-31,三全食品,002216,125.26,122.62,126.32,122.45,90007,109502785.3,3.09,-2.25,-2.82,1.43
223,2024-12-30,三全食品,002216,127.38,125.44,127.38,124.82,79892,98549338.5,2.01,-1.65,-2.11,1.27
222,2024-12-27,三全食品,002216,129.66,127.55,130.54,127.29,100420,127392710.28,2.51,-1.5,-1.94,1.59
221,2024-12-26,三全食品,002216,128.87,129.49,130.98,127.99,112199,143741056.14,2.3,-0.41,-0.53,1.78
220,2024-12-25,三全食品,002216,127.64,130.02,131.16,124.47,147796,185608254.24,5.23,1.59,2.03,2.35
219,2024-12-24,三全食品,002216,127.29,127.99,128.34,125.0,113367,141402876.34,2.63,0.62,0.79,1.8
218,2024-12-23,三全食品,002216,126.76,127.2,129.05,124.3,153015,189731654.6,3.75,0.42,0.53,2.43
217,2024-12-20,三全食品,002216,125.7,126.67,128.61,125.7,119421,149436533.2,2.33,1.26,1.58,1.89
216,2024-12-19,三全食品,002216,125.62,125.09,125.88,123.5,88343,107841742.7,1.89,-0.63,-0.79,1.4
215,2024-12-18,三全食品,002216,125.97,125.88,127.2,125.0,83192,102892294.4,1.75,-0.14,-0.18,1.32
214,2024-12-17,三全食品,002216,129.14,126.06,129.22,125.62,121424,151287826.14,2.79,-2.45,-3.16,1.93
213,2024-12-16,三全食品,002216,130.37,129.22,131.25,128.61,151920,194750313.01,2.02,-0.95,-1.24,2.41
212,2024-12-13,三全食品,002216,134.33,130.46,134.94,130.37,284438,371654730.51,3.34,-4.75,-6.51,4.51
211,2024-12-12,三全食品,002216,132.74,136.97,139.43,129.31,444185,590161938.02,7.68,3.94,5.19,7.05
210,2024-12-11,三全食品,002216,124.38,131.78,132.3,124.21,375583,481297365.38,6.41,4.47,5.64,5.96
209,2024-12-10,三全食品,002216,130.98,126.14,132.3,125.7,319664,407826841.09,5.34,2.14,2.64,5.07
208,2024-12-09,三全食品,002216,122.89,123.5,126.85,121.3,119431,144646450.3,4.52,0.5,0.61,1.89
207,2024-12-06,三全食品,002216,122.62,122.89,123.5,121.74,86510,103914936.3,1.43,0.0,0.0,1.37
206,2024-12-05,三全食品,002216,124.91,122.89,125.0,122.45,83377,100641762.1,2.04,-1.89,-2.37,1.32
205,2024-12-04,三全食品,002216,123.59,125.26,128.17,122.36,156983,193695596.85,4.68,0.92,1.14,2.49
204,2024-12-03,三全食品,002216,124.74,124.12,125.0,122.8,94044,113976116.8,1.76,-0.7,-0.88,1.49
203,2024-12-02,三全食品,002216,123.77,125.0,125.97,122.54,132081,161700950.1,2.79,1.5,1.85,2.1
202,2024-11-29,三全食品,002216,121.57,123.15,125.7,120.69,151238,182994196.87,4.15,1.89,2.29,2.4
201,2024-11-28,三全食品,002216,120.69,120.86,121.57,119.46,74824,88078845.96,1.76,0.88,1.05,1.19
200,2024-11-27,三全食品,002216,117.43,119.81,119.81,115.94,72513,83182187.54,3.29,1.95,2.29,1.15
199,2024-11-26,三全食品,002216,116.46,117.52,119.28,115.94,66034,75664510.98,2.87,0.91,1.06,1.05
198,2024-11-25,三全食品,002216,114.88,116.46,117.34,114.79,61938,69789910.84,2.22,1.38,1.58,0.98
197,2024-11-22,三全食品,002216,119.63,114.88,119.9,114.88,90467,103279941.86,4.18,-4.39,-5.28,1.44
196,2024-11-21,三全食品,002216,119.63,120.16,121.39,118.49,87418,102053641.48,2.42,0.29,0.35,1.39
195,2024-11-20,三全食品,002216,119.19,119.81,119.9,117.7,78815,91134421.3,1.85,0.52,0.62,1.25
194,2024-11-19,三全食品,002216,118.93,119.19,119.9,117.17,71916,83095465.8,2.3,0.37,0.44,1.14
