,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,濮耐股份,002225,10.28,10.3,10.42,9.96,220964,114243720.19,4.49,0.49,0.05,2.68
240,2025-01-23,濮耐股份,002225,10.45,10.25,10.86,10.22,219186,117779650.5,6.18,-0.97,-0.1,2.66
239,2025-01-22,濮耐股份,002225,10.6,10.35,10.76,10.28,243231,129770185.0,4.48,-3.36,-0.36,2.95
238,2025-01-21,濮耐股份,002225,10.54,10.71,10.76,10.44,247565,134712169.0,3.04,1.81,0.19,3.0
237,2025-01-20,濮耐股份,002225,10.89,10.52,11.01,10.25,321383,171564196.64,7.1,-1.77,-0.19,3.89
236,2025-01-17,濮耐股份,002225,10.64,10.71,10.79,10.57,169317,92783650.17,2.06,0.19,0.02,2.05
235,2025-01-16,濮耐股份,002225,10.81,10.69,11.06,10.52,287324,158388541.27,5.0,-1.11,-0.12,3.48
234,2025-01-15,濮耐股份,002225,11.2,10.81,11.38,10.74,303177,170977606.71,5.68,-4.0,-0.45,3.67
233,2025-01-14,濮耐股份,002225,11.04,11.26,11.42,10.91,437220,253091004.71,4.58,1.17,0.13,5.3
232,2025-01-13,濮耐股份,002225,10.5,11.13,11.57,10.35,337331,192707991.3,11.38,3.82,0.41,4.09
231,2025-01-10,濮耐股份,002225,11.09,10.72,11.21,10.66,302252,169597776.17,4.97,-3.07,-0.34,3.66
230,2025-01-09,濮耐股份,002225,10.74,11.06,11.15,10.71,441767,248566211.08,4.07,2.31,0.25,5.35
229,2025-01-08,濮耐股份,002225,10.64,10.81,10.87,10.5,414331,227472316.97,3.38,-1.19,-0.13,5.02
228,2025-01-07,濮耐股份,002225,10.35,10.94,11.03,10.22,860334,472355347.33,7.8,5.39,0.56,10.42
227,2025-01-06,濮耐股份,002225,9.71,10.38,10.38,9.51,304960,158144413.8,9.09,8.46,0.81,3.69
226,2025-01-03,濮耐股份,002225,9.61,9.57,9.93,9.49,176285,86461710.68,4.55,-0.93,-0.09,2.14
225,2025-01-02,濮耐股份,002225,9.76,9.66,10.03,9.56,168125,83198230.24,4.78,-1.73,-0.17,2.04
224,2024-12-31,濮耐股份,002225,9.91,9.83,10.25,9.73,203232,102455125.33,5.24,-1.01,-0.1,2.46
223,2024-12-30,濮耐股份,002225,9.76,9.93,9.98,9.51,201684,100184545.0,4.84,2.27,0.22,2.44
222,2024-12-27,濮耐股份,002225,9.4,9.71,9.76,9.24,251380,121208883.89,5.52,3.08,0.29,3.05
