,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,塔牌集团,002233,25.53,26.15,26.19,25.45,147685,113647807.01,2.9,2.59,0.66,1.24
240,2025-01-23,塔牌集团,002233,25.47,25.49,25.69,25.45,61935,46592241.45,0.95,0.39,0.1,0.52
239,2025-01-22,塔牌集团,002233,25.25,25.39,25.41,25.17,45826,33810711.78,0.95,0.4,0.1,0.38
238,2025-01-21,塔牌集团,002233,25.35,25.29,25.37,25.13,45332,33331150.36,0.95,-0.16,-0.04,0.38
237,2025-01-20,塔牌集团,002233,25.53,25.33,25.57,25.29,64428,47951349.39,1.1,-0.63,-0.16,0.54
236,2025-01-17,塔牌集团,002233,25.25,25.49,25.53,25.15,64310,47820344.44,1.5,0.71,0.18,0.54
235,2025-01-16,塔牌集团,002233,25.13,25.31,25.37,25.05,60593,44699293.51,1.27,0.72,0.18,0.51
234,2025-01-15,塔牌集团,002233,25.07,25.13,25.17,24.97,57674,41926660.67,0.8,0.0,0.0,0.48
233,2025-01-14,塔牌集团,002233,24.93,25.13,25.13,24.93,78634,57035684.61,0.8,0.8,0.2,0.66
232,2025-01-13,塔牌集团,002233,24.87,24.93,25.13,24.73,59819,43014768.98,1.61,0.08,0.02,0.5
231,2025-01-10,塔牌集团,002233,25.09,24.91,25.17,24.91,49089,35602814.14,1.04,-0.56,-0.14,0.41
230,2025-01-09,塔牌集团,002233,25.21,25.05,25.23,25.05,58736,42807124.0,0.71,-0.95,-0.24,0.49
229,2025-01-08,塔牌集团,002233,25.45,25.29,25.57,25.09,82364,60958448.72,1.89,-0.63,-0.16,0.69
228,2025-01-07,塔牌集团,002233,25.71,25.45,25.89,25.31,100541,75448728.73,2.26,-1.01,-0.26,0.84
227,2025-01-06,塔牌集团,002233,25.39,25.71,25.87,25.37,91263,69145539.88,1.97,1.1,0.28,0.77
226,2025-01-03,塔牌集团,002233,25.71,25.43,25.87,25.35,102093,76879869.3,2.03,-0.86,-0.22,0.86
225,2025-01-02,塔牌集团,002233,25.93,25.65,26.25,25.55,138203,107021612.21,2.71,-0.85,-0.22,1.16
224,2024-12-31,塔牌集团,002233,25.87,25.87,26.09,25.85,98280,75972678.14,0.93,0.0,0.0,0.82
223,2024-12-30,塔牌集团,002233,25.85,25.87,25.93,25.65,74219,56772899.33,1.08,0.08,0.02,0.62
222,2024-12-27,塔牌集团,002233,25.73,25.85,25.91,25.69,51872,39708803.0,0.86,0.47,0.12,0.44
221,2024-12-26,塔牌集团,002233,25.81,25.73,25.91,25.73,54252,41453100.0,0.7,-0.31,-0.08,0.46
220,2024-12-25,塔牌集团,002233,25.73,25.81,25.83,25.57,53129,40367108.98,1.01,0.16,0.04,0.45
219,2024-12-24,塔牌集团,002233,25.43,25.77,25.77,25.43,70054,52973474.68,1.34,1.26,0.32,0.59
218,2024-12-23,塔牌集团,002233,25.43,25.45,25.59,25.35,64875,48534170.0,0.94,0.0,0.0,0.54
217,2024-12-20,塔牌集团,002233,25.53,25.45,25.61,25.43,44412,33258497.23,0.71,-0.31,-0.08,0.37
216,2024-12-19,塔牌集团,002233,25.67,25.53,25.77,25.41,102756,77058648.47,1.4,-0.78,-0.2,0.86
215,2024-12-18,塔牌集团,002233,25.79,25.73,25.91,25.73,49436,37778206.6,0.7,0.0,0.0,0.41
214,2024-12-17,塔牌集团,002233,25.87,25.73,25.93,25.59,89269,67852406.63,1.32,-0.39,-0.1,0.75
213,2024-12-16,塔牌集团,002233,25.89,25.83,25.99,25.77,87709,67336277.8,0.85,0.0,0.0,0.74
212,2024-12-13,塔牌集团,002233,26.27,25.83,26.31,25.83,140884,109203231.84,1.82,-1.9,-0.5,1.18
211,2024-12-12,塔牌集团,002233,26.17,26.33,26.41,26.01,134812,105742737.81,1.53,0.84,0.22,1.13
210,2024-12-11,塔牌集团,002233,25.95,26.11,26.27,25.95,114113,89123928.43,1.23,0.46,0.12,0.96
209,2024-12-10,塔牌集团,002233,26.17,25.99,26.27,25.95,126276,98313478.39,1.24,0.39,0.1,1.06
208,2024-12-09,塔牌集团,002233,26.11,25.89,26.13,25.79,93705,72240362.93,1.3,-0.77,-0.2,0.79
207,2024-12-06,塔牌集团,002233,25.73,26.09,26.09,25.71,160414,123806131.6,1.48,1.4,0.36,1.35
206,2024-12-05,塔牌集团,002233,25.75,25.73,25.81,25.55,104155,78902319.9,1.01,0.0,0.0,0.87
205,2024-12-04,塔牌集团,002233,25.93,25.73,25.97,25.69,111112,84848899.03,1.08,-0.85,-0.22,0.93
204,2024-12-03,塔牌集团,002233,25.95,25.95,26.05,25.83,112039,86358710.45,0.85,0.08,0.02,0.94
