,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,大华股份,002236,705.2,717.6,718.8,703.6,303520,467277537.59,2.16,1.76,12.4,1.44
240,2025-01-23,大华股份,002236,710.0,705.2,718.4,705.2,302469,464210311.5,1.87,0.06,0.4,1.44
239,2025-01-22,大华股份,002236,699.6,704.8,709.2,699.6,235961,357808379.54,1.36,0.11,0.8,1.12
238,2025-01-21,大华股份,002236,706.0,704.0,706.8,696.8,222706,336168264.5,1.42,0.23,1.6,1.06
237,2025-01-20,大华股份,002236,706.0,702.4,708.0,699.6,218296,330678270.42,1.2,0.29,2.0,1.04
236,2025-01-17,大华股份,002236,694.4,700.4,705.2,693.2,253111,380712167.68,1.72,0.46,3.2,1.2
235,2025-01-16,大华股份,002236,695.6,697.2,704.0,691.6,263779,395257057.2,1.79,0.58,4.0,1.25
234,2025-01-15,大华股份,002236,698.0,693.2,701.2,692.4,245015,365696522.8,1.25,-1.2,-8.4,1.16
233,2025-01-14,大华股份,002236,682.4,701.6,702.0,678.8,401030,596914241.38,3.41,3.18,21.6,1.91
232,2025-01-13,大华股份,002236,667.6,680.0,686.8,666.0,253990,368828388.54,3.09,1.13,7.6,1.21
231,2025-01-10,大华股份,002236,681.2,672.4,691.2,672.4,292204,426348517.74,2.75,-1.47,-10.0,1.39
230,2025-01-09,大华股份,002236,682.4,682.4,688.0,678.4,247636,362169100.58,1.4,-0.23,-1.6,1.18
229,2025-01-08,大华股份,002236,693.6,684.0,694.8,672.4,437614,639765054.48,3.21,-1.89,-13.2,2.08
228,2025-01-07,大华股份,002236,692.4,697.2,697.2,689.2,272896,406357720.7,1.16,0.69,4.8,1.3
227,2025-01-06,大华股份,002236,696.0,692.4,701.6,687.6,271118,403635709.7,2.01,-0.4,-2.8,1.29
226,2025-01-03,大华股份,002236,714.4,695.2,718.4,695.2,378904,576258284.1,3.25,-2.63,-18.8,1.8
225,2025-01-02,大华股份,002236,734.8,714.0,738.0,708.4,497376,777065579.3,4.01,-3.25,-24.0,2.36
224,2024-12-31,大华股份,002236,769.6,738.0,771.6,737.2,728143,1181491831.02,4.48,-3.91,-30.0,3.46
223,2024-12-30,大华股份,002236,763.2,768.0,775.6,759.2,338841,567727698.38,2.14,0.26,2.0,1.61
222,2024-12-27,大华股份,002236,778.0,766.0,778.8,763.6,478079,804971594.19,1.95,-1.64,-12.8,2.27
221,2024-12-26,大华股份,002236,752.4,778.8,781.6,750.0,762504,1288047561.44,4.19,3.18,24.0,3.62
220,2024-12-25,大华股份,002236,759.6,754.8,764.4,752.4,273487,450478891.8,1.58,-0.74,-5.6,1.3
219,2024-12-24,大华股份,002236,757.6,760.4,764.8,752.4,283069,467146184.93,1.64,0.26,2.0,1.35
218,2024-12-23,大华股份,002236,768.0,758.4,772.4,757.2,311959,519646544.55,1.98,-1.4,-10.8,1.48
217,2024-12-20,大华股份,002236,766.0,769.2,777.2,765.2,357728,601267315.93,1.56,-0.21,-1.6,1.7
216,2024-12-19,大华股份,002236,756.4,770.8,770.8,753.6,416518,694201551.05,2.25,1.05,8.0,1.98
215,2024-12-18,大华股份,002236,756.8,762.8,768.4,750.8,347728,576275474.3,2.34,1.44,10.8,1.65
214,2024-12-17,大华股份,002236,758.0,752.0,763.2,751.6,306463,504861856.18,1.53,-0.74,-5.6,1.46
213,2024-12-16,大华股份,002236,765.2,757.6,769.2,754.4,328689,545216129.87,1.94,-0.94,-7.2,1.56
212,2024-12-13,大华股份,002236,770.0,764.8,775.2,760.4,475655,794920524.36,1.91,-1.29,-10.0,2.26
211,2024-12-12,大华股份,002236,776.8,774.8,779.2,766.4,406796,684959081.89,1.65,-0.1,-0.8,1.93
210,2024-12-11,大华股份,002236,777.2,775.6,780.0,772.4,378835,642007147.9,0.98,-0.46,-3.6,1.8
209,2024-12-10,大华股份,002236,788.0,779.2,794.4,777.2,773270,1329501527.73,2.23,1.04,8.0,3.68
208,2024-12-09,大华股份,002236,770.4,771.2,788.0,766.0,562306,954261943.81,2.85,-0.21,-1.6,2.67
207,2024-12-06,大华股份,002236,755.2,772.8,783.6,752.0,938622,1571321117.51,4.25,3.98,29.6,4.46
206,2024-12-05,大华股份,002236,739.2,743.2,746.8,739.2,277320,446859023.05,1.03,0.27,2.0,1.32
205,2024-12-04,大华股份,002236,749.2,741.2,751.6,739.2,285189,461170184.95,1.66,-0.96,-7.2,1.36
204,2024-12-03,大华股份,002236,756.4,748.4,756.4,741.6,389546,632341946.37,1.96,-1.06,-8.0,1.85
203,2024-12-02,大华股份,002236,752.4,756.4,759.6,746.4,378268,620915786.49,1.76,0.69,5.2,1.8
202,2024-11-29,大华股份,002236,734.0,751.2,757.6,733.6,420349,681721416.82,3.26,1.95,14.4,2.0
201,2024-11-28,大华股份,002236,747.2,736.8,750.8,735.2,337289,542928552.6,2.09,-1.44,-10.8,1.6
200,2024-11-27,大华股份,002236,731.6,747.6,747.6,721.2,378283,601435549.72,3.59,1.8,13.2,1.8
199,2024-11-26,大华股份,002236,737.2,734.4,744.0,734.0,249514,399215420.05,1.35,-0.7,-5.2,1.19
198,2024-11-25,大华股份,002236,754.4,739.6,756.8,730.4,523168,838440695.63,3.5,-2.07,-15.6,2.49
197,2024-11-22,大华股份,002236,776.8,755.2,792.0,754.8,563865,954010785.34,4.78,-2.88,-22.4,2.68
196,2024-11-21,大华股份,002236,780.8,777.6,785.2,770.8,333675,567329523.99,1.84,-0.87,-6.8,1.59
195,2024-11-20,大华股份,002236,774.4,784.4,794.4,773.6,464173,794791876.33,2.67,0.62,4.8,2.21
194,2024-11-19,大华股份,002236,772.0,779.6,779.6,758.0,498602,838442105.58,2.8,1.04,8.0,2.37
193,2024-11-18,大华股份,002236,809.2,771.6,810.0,765.2,849476,1450804391.26,5.56,-4.27,-34.4,4.04
192,2024-11-15,大华股份,002236,793.6,806.0,834.8,793.6,1101657,1986868200.83,5.17,1.1,8.8,5.24
191,2024-11-14,大华股份,002236,820.0,797.2,822.8,796.8,543197,966563979.29,3.17,-2.88,-23.6,2.58
190,2024-11-13,大华股份,002236,810.0,820.8,828.4,806.0,610050,1099252163.64,2.76,1.18,9.6,2.9
189,2024-11-12,大华股份,002236,833.2,811.2,833.2,805.2,810983,1461485162.67,3.39,-1.74,-14.4,3.86
188,2024-11-11,大华股份,002236,788.0,825.6,830.0,779.2,1154204,2066530238.53,6.43,4.56,36.0,5.49
187,2024-11-08,大华股份,002236,796.0,789.6,806.8,788.4,737220,1289246236.7,2.32,-0.3,-2.4,3.51
186,2024-11-07,大华股份,002236,774.8,792.0,792.0,773.2,628854,1079310444.67,2.4,1.07,8.4,2.99
185,2024-11-06,大华股份,002236,790.8,783.6,793.6,774.0,729353,1252292010.07,2.48,-0.76,-6.0,3.47
184,2024-11-05,大华股份,002236,749.2,789.6,797.6,748.0,1085927,1842738592.84,6.62,5.34,40.0,5.17
183,2024-11-04,大华股份,002236,740.8,749.6,752.0,740.4,289788,470334634.57,1.57,1.41,10.4,1.38
182,2024-11-01,大华股份,002236,754.0,739.2,754.0,734.4,461278,744124945.74,2.59,-2.17,-16.4,2.2
181,2024-10-31,大华股份,002236,747.2,755.6,758.8,741.6,443743,725361439.87,2.3,1.12,8.4,2.11
180,2024-10-30,大华股份,002236,750.0,747.2,754.4,740.8,386288,627359148.88,1.8,-1.06,-8.0,1.84
179,2024-10-29,大华股份,002236,769.6,755.2,772.0,754.4,488668,810045039.71,2.3,-1.31,-10.0,2.33
178,2024-10-28,大华股份,002236,756.8,765.2,774.0,756.8,498163,829510083.11,2.28,1.22,9.2,2.37
177,2024-10-25,大华股份,002236,753.2,756.0,761.2,746.8,353505,579756845.98,1.91,0.53,4.0,1.68
176,2024-10-24,大华股份,002236,761.2,752.0,763.2,750.0,350390,574637892.01,1.73,-1.52,-11.6,1.67
175,2024-10-23,大华股份,002236,766.4,763.6,771.2,760.4,395291,660097741.46,1.41,-0.37,-2.8,1.88
174,2024-10-22,大华股份,002236,770.0,766.4,771.2,759.6,458688,764301065.82,1.5,-0.93,-7.2,2.18
173,2024-10-21,大华股份,002236,768.0,773.6,784.4,763.6,756528,1280346348.55,2.76,2.49,18.8,3.6
172,2024-10-18,大华股份,002236,730.4,754.8,766.8,728.8,672901,1094450978.49,5.17,2.78,20.4,3.2
171,2024-10-17,大华股份,002236,738.8,734.4,751.2,733.6,395435,635926338.81,2.4,0.0,0.0,1.88
170,2024-10-16,大华股份,002236,734.0,734.4,743.6,728.4,402979,641764034.01,2.05,-1.13,-8.4,1.92
169,2024-10-15,大华股份,002236,752.0,742.8,762.4,742.8,439009,719482136.6,2.59,-1.69,-12.8,2.09
168,2024-10-14,大华股份,002236,734.0,755.6,760.8,732.8,642390,1042678479.54,3.81,2.89,21.2,3.06
167,2024-10-11,大华股份,002236,762.0,734.4,766.4,728.0,539504,870277158.44,5.01,-4.28,-32.8,2.57
166,2024-10-10,大华股份,002236,774.0,767.2,786.8,754.8,626579,1056993985.02,4.17,-0.1,-0.8,2.98
165,2024-10-09,大华股份,002236,816.0,768.0,816.0,766.4,1053120,1823052812.87,5.92,-8.31,-69.6,5.01
164,2024-10-08,大华股份,002236,855.6,837.6,855.6,787.2,1543289,2827899698.05,8.69,6.46,50.8,7.35
163,2024-09-30,大华股份,002236,764.0,786.8,791.6,750.0,1389451,2345575938.35,5.64,6.67,49.2,6.61
162,2024-09-27,大华股份,002236,705.6,737.6,741.6,704.4,881752,1378715455.2,5.32,5.43,38.0,4.2
161,2024-09-26,大华股份,002236,680.0,699.6,700.0,678.4,452145,668742064.82,3.17,2.52,17.2,2.15
160,2024-09-25,大华股份,002236,679.2,682.4,690.8,679.2,506577,743343160.53,1.72,1.31,8.8,2.41
159,2024-09-24,大华股份,002236,663.2,673.6,678.0,656.0,493358,702603949.61,3.33,1.88,12.4,2.35
158,2024-09-23,大华股份,002236,657.2,661.2,670.4,654.4,295342,417242372.47,2.44,0.67,4.4,1.41
157,2024-09-20,大华股份,002236,646.4,656.8,660.8,644.0,329455,457499253.31,2.6,1.76,11.36,1.57
156,2024-09-19,大华股份,002236,636.24,645.44,648.24,631.04,231950,320155378.58,2.71,1.83,11.6,1.1
155,2024-09-18,大华股份,002236,631.04,633.84,635.84,624.64,153749,207409929.5,1.77,0.38,2.4,0.73
154,2024-09-13,大华股份,002236,631.44,631.44,636.64,628.64,136578,185230237.96,1.27,0.0,0.0,0.65
153,2024-09-12,大华股份,002236,637.84,631.44,642.64,631.44,121518,165831704.49,1.76,-0.57,-3.6,0.58
152,2024-09-11,大华股份,002236,634.64,635.04,639.44,630.64,153336,209106198.04,1.39,0.06,0.4,0.73
151,2024-09-10,大华股份,002236,627.04,634.64,637.44,621.84,173401,233367118.27,2.49,1.47,9.2,0.83
150,2024-09-09,大华股份,002236,627.84,625.44,632.64,621.44,162995,217814662.36,1.77,-0.95,-6.0,0.78
149,2024-09-06,大华股份,002236,640.24,631.44,642.24,631.44,144875,197364541.4,1.69,-1.37,-8.8,0.69
148,2024-09-05,大华股份,002236,637.84,640.24,646.24,637.44,163864,225448024.02,1.38,0.31,2.0,0.78
147,2024-09-04,大华股份,002236,635.04,638.24,642.64,634.64,185502,254619750.82,1.25,-0.25,-1.6,0.88
146,2024-09-03,大华股份,002236,631.44,639.84,643.44,631.04,195316,267684132.46,1.96,1.33,8.4,0.93
145,2024-09-02,大华股份,002236,639.04,631.44,642.64,631.44,227745,310412071.98,1.75,-1.25,-8.0,1.08
144,2024-08-30,大华股份,002236,623.44,639.44,646.64,623.04,340445,467102447.38,3.78,2.37,14.8,1.62
143,2024-08-29,大华股份,002236,615.84,624.64,628.64,614.64,200306,267060718.08,2.27,1.1,6.8,0.95
142,2024-08-28,大华股份,002236,611.04,617.84,619.04,609.04,167725,219551070.32,1.63,0.78,4.8,0.8
141,2024-08-27,大华股份,002236,621.04,613.04,623.04,611.04,187017,245344128.06,1.92,-2.05,-12.8,0.89
140,2024-08-26,大华股份,002236,622.24,625.84,634.24,619.44,301502,405034508.85,2.41,1.76,10.8,1.44
139,2024-08-23,大华股份,002236,611.84,615.04,618.24,608.64,213017,278509985.16,1.57,0.52,3.2,1.01
138,2024-08-22,大华股份,002236,621.44,611.84,623.84,608.64,263880,346066868.09,2.45,-1.54,-9.6,1.26
137,2024-08-21,大华股份,002236,628.64,621.44,632.64,620.64,203580,272708617.79,1.9,-1.46,-9.2,0.97
136,2024-08-20,大华股份,002236,640.24,630.64,641.04,628.24,197591,267426518.66,2.0,-1.44,-9.2,0.94
135,2024-08-19,大华股份,002236,646.64,639.84,651.44,639.44,242319,335173662.84,1.85,-1.23,-8.0,1.15
134,2024-08-16,大华股份,002236,645.44,647.84,652.64,644.64,146427,204574428.2,1.24,0.19,1.2,0.7
133,2024-08-15,大华股份,002236,637.84,646.64,652.24,635.44,193173,268411391.28,2.62,1.0,6.4,0.92
132,2024-08-14,大华股份,002236,638.24,640.24,642.24,636.24,141558,194085653.62,0.94,0.31,2.0,0.67
131,2024-08-13,大华股份,002236,638.64,638.24,640.64,633.04,129939,177088582.1,1.19,0.13,0.8,0.62
130,2024-08-12,大华股份,002236,638.64,637.44,640.64,635.44,143362,196050933.18,0.81,-0.31,-2.0,0.68
129,2024-08-09,大华股份,002236,651.84,639.44,657.44,638.64,220257,306116944.75,2.9,-1.36,-8.8,1.05
128,2024-08-08,大华股份,002236,647.84,648.24,651.84,639.84,229866,318636901.31,1.85,-0.31,-2.0,1.09
127,2024-08-07,大华股份,002236,662.24,650.24,664.64,647.84,328096,463089309.0,2.54,-1.75,-11.6,1.56
126,2024-08-06,大华股份,002236,664.64,661.84,666.24,657.04,184272,262660054.82,1.4,0.79,5.2,0.88
125,2024-08-05,大华股份,002236,675.84,656.64,682.64,656.64,304898,439178333.16,3.83,-3.3,-22.4,1.45
124,2024-08-02,大华股份,002236,682.24,679.04,691.44,678.24,194178,288090898.59,1.92,-1.22,-8.4,0.92
123,2024-08-01,大华股份,002236,690.64,687.44,696.24,686.24,183974,275965095.06,1.45,-0.46,-3.2,0.88
122,2024-07-31,大华股份,002236,664.64,690.64,690.64,664.24,316015,467969637.49,3.97,3.85,25.6,1.5
121,2024-07-30,大华股份,002236,665.44,665.04,666.24,657.04,153918,219949927.05,1.38,-0.24,-1.6,0.73
120,2024-07-29,大华股份,002236,671.44,666.64,674.24,666.64,120330,174304800.46,1.13,-0.77,-5.2,0.57
119,2024-07-26,大华股份,002236,666.24,671.84,676.64,665.84,142720,207396852.5,1.62,0.84,5.6,0.68
118,2024-07-25,大华股份,002236,659.44,666.24,671.04,656.64,144084,206787624.49,2.17,0.48,3.2,0.69
117,2024-07-24,大华股份,002236,668.24,663.04,672.64,661.04,196512,282354689.57,1.73,-1.19,-8.0,0.93
116,2024-07-23,大华股份,002236,694.24,671.04,694.64,670.64,276003,407100353.06,3.46,-3.4,-23.6,1.31
115,2024-07-22,大华股份,002236,696.64,694.64,698.24,691.04,165157,249286977.1,1.04,-0.12,-0.8,0.79
114,2024-07-19,大华股份,002236,683.84,695.44,698.64,683.04,229431,345807877.8,2.27,1.16,8.0,1.09
113,2024-07-18,大华股份,002236,686.64,687.44,688.64,676.24,228303,337907103.13,1.8,-0.41,-2.8,1.09
112,2024-07-17,大华股份,002236,696.24,690.24,697.04,689.84,159693,240391976.45,1.03,-0.92,-6.4,0.76
111,2024-07-16,大华股份,002236,685.84,696.64,697.44,685.04,213732,322015486.07,1.8,1.22,8.4,1.02
110,2024-07-15,大华股份,002236,689.84,688.24,692.24,683.84,143696,214762513.0,1.21,-0.58,-4.0,0.68
109,2024-07-12,大华股份,002236,697.84,692.24,697.84,689.44,209304,315165585.64,1.2,-1.14,-8.0,1.01
108,2024-07-11,大华股份,002236,693.84,700.24,702.64,687.04,359081,543107708.81,2.29,2.58,17.6,1.72
107,2024-07-10,大华股份,002236,674.64,682.64,692.64,673.84,251911,374271630.64,2.77,0.65,4.4,1.21
106,2024-07-09,大华股份,002236,661.44,678.24,678.64,659.44,315926,457696255.64,2.9,2.54,16.8,1.52
105,2024-07-08,大华股份,002236,677.84,661.44,679.44,659.04,246214,354970209.69,2.99,-3.05,-20.8,1.18
104,2024-07-05,大华股份,002236,686.64,682.24,687.44,673.04,219389,322382140.65,2.1,-0.35,-2.4,1.05
103,2024-07-04,大华股份,002236,693.04,684.64,699.44,683.44,196918,295161359.83,2.31,-1.16,-8.0,0.95
102,2024-07-03,大华股份,002236,698.24,692.64,700.64,687.04,209408,315433021.44,1.94,-1.14,-8.0,1.01
101,2024-07-02,大华股份,002236,707.44,700.64,711.44,699.04,161341,248070500.0,1.75,-0.85,-6.0,0.77
100,2024-07-01,大华股份,002236,704.64,706.64,709.84,694.64,204134,312327511.33,2.14,-0.34,-2.4,0.98
