,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,蔚蓝锂芯,002245,174.59,166.93,176.7,166.93,1049392,1311806829.46,5.49,-6.16,-10.96,9.65
239,2025-01-24,蔚蓝锂芯,002245,175.38,177.89,181.98,171.95,1630102,2112518284.84,5.73,1.59,2.78,14.99
238,2025-01-23,蔚蓝锂芯,002245,173.13,175.11,180.39,171.02,2250823,2918715141.5,5.7,6.5,10.69,20.7
237,2025-01-22,蔚蓝锂芯,002245,162.18,164.42,166.8,161.39,1021178,1230693640.46,3.31,0.48,0.79,9.39
236,2025-01-21,蔚蓝锂芯,002245,160.59,163.63,164.82,157.16,1180402,1394397006.85,4.77,1.98,3.17,10.86
235,2025-01-20,蔚蓝锂芯,002245,155.84,160.46,162.57,155.71,1052986,1236090319.65,4.44,3.76,5.81,9.68
234,2025-01-17,蔚蓝锂芯,002245,155.71,154.65,157.69,151.88,683417,773499951.44,3.69,-1.68,-2.64,6.29
233,2025-01-16,蔚蓝锂芯,002245,157.03,157.29,163.23,155.31,825733,959690254.44,5.04,0.08,0.13,7.59
232,2025-01-15,蔚蓝锂芯,002245,157.29,157.16,164.69,152.15,1370213,1579099786.29,7.95,-0.42,-0.66,12.6
231,2025-01-14,蔚蓝锂芯,002245,151.88,157.82,158.48,149.9,1099993,1247547334.11,5.67,4.36,6.6,10.12
230,2025-01-13,蔚蓝锂芯,002245,150.96,151.22,155.18,148.71,1050937,1160160258.96,4.14,-3.29,-5.15,9.67
229,2025-01-10,蔚蓝锂芯,002245,167.85,156.37,169.7,156.37,1695537,2017683953.65,7.7,-9.68,-16.76,15.59
228,2025-01-09,蔚蓝锂芯,002245,164.03,173.13,185.28,164.03,2254637,2908727001.96,12.49,1.78,3.03,20.74
227,2025-01-08,蔚蓝锂芯,002245,176.96,170.1,179.6,166.93,2716997,3439439099.37,6.85,-7.99,-14.78,24.99
226,2025-01-07,蔚蓝锂芯,002245,163.76,184.88,184.88,162.44,2660532,3462676920.64,13.32,9.71,16.37,24.47
225,2025-01-06,蔚蓝锂芯,002245,156.37,168.51,174.59,154.13,2251733,2748428818.89,12.86,5.89,9.37,20.71
224,2025-01-03,蔚蓝锂芯,002245,161.12,159.14,168.38,152.94,2490971,2934382712.24,9.61,-0.9,-1.45,22.91
223,2025-01-02,蔚蓝锂芯,002245,160.59,160.59,160.59,157.69,1071133,1259179646.76,1.98,9.64,14.12,9.85
222,2024-12-31,蔚蓝锂芯,002245,151.62,146.47,152.54,145.55,674117,728621999.42,4.61,-3.48,-5.28,6.2
221,2024-12-30,蔚蓝锂芯,002245,152.01,151.75,159.14,151.09,788476,886340267.56,5.35,0.79,1.19,7.25
220,2024-12-27,蔚蓝锂芯,002245,153.99,150.56,162.18,150.3,1198698,1355396287.21,7.93,0.53,0.79,11.02
219,2024-12-26,蔚蓝锂芯,002245,145.55,149.77,151.75,144.36,885577,960630639.56,4.99,1.07,1.58,8.15
218,2024-12-25,蔚蓝锂芯,002245,144.89,148.19,151.75,142.64,826828,890673221.29,6.3,2.47,3.57,7.6
217,2024-12-24,蔚蓝锂芯,002245,139.21,144.62,147.39,139.08,668547,701911940.5,5.99,4.28,5.94,6.15
216,2024-12-23,蔚蓝锂芯,002245,140.93,138.68,142.77,138.02,339730,347715034.92,3.38,-1.41,-1.98,3.12
215,2024-12-20,蔚蓝锂芯,002245,140.4,140.66,142.38,139.47,311727,320164055.3,2.08,0.38,0.53,2.87
214,2024-12-19,蔚蓝锂芯,002245,137.36,140.13,140.93,136.57,276590,280041815.91,3.14,1.05,1.45,2.54
213,2024-12-18,蔚蓝锂芯,002245,138.68,138.68,139.74,137.89,274748,277885327.0,1.33,-0.09,-0.13,2.53
212,2024-12-17,蔚蓝锂芯,002245,141.06,138.81,142.38,138.42,341201,349055933.95,2.81,-1.5,-2.12,3.14
211,2024-12-16,蔚蓝锂芯,002245,143.3,140.93,144.09,140.27,401599,415123846.15,2.65,-2.19,-3.16,3.69
210,2024-12-13,蔚蓝锂芯,002245,147.26,144.09,147.53,143.96,536509,568214556.59,2.41,-2.85,-4.23,4.93
209,2024-12-12,蔚蓝锂芯,002245,150.56,148.32,150.83,146.07,682621,737922910.65,3.15,-1.75,-2.64,6.28
208,2024-12-11,蔚蓝锂芯,002245,151.62,150.96,153.2,150.17,466935,516826107.26,2.0,-0.44,-0.66,4.29
207,2024-12-10,蔚蓝锂芯,002245,155.84,151.62,156.11,151.09,713812,802299350.29,3.31,0.0,0.0,6.57
206,2024-12-09,蔚蓝锂芯,002245,153.47,151.62,155.71,149.64,664100,738272074.01,3.94,-1.63,-2.51,6.11
205,2024-12-06,蔚蓝锂芯,002245,154.26,154.13,155.71,151.88,656735,738788110.54,2.47,-0.51,-0.79,6.04
204,2024-12-05,蔚蓝锂芯,002245,149.24,154.92,157.29,148.58,802754,902987677.34,5.82,3.44,5.15,7.38
203,2024-12-04,蔚蓝锂芯,002245,153.6,149.77,155.97,148.98,645016,714365945.74,4.52,-3.24,-5.02,5.93
202,2024-12-03,蔚蓝锂芯,002245,155.18,154.79,156.37,150.03,889480,995931621.35,4.11,0.34,0.53,8.18
201,2024-12-02,蔚蓝锂芯,002245,146.47,154.26,157.56,145.28,1245943,1375878616.67,8.32,4.56,6.73,11.46
200,2024-11-29,蔚蓝锂芯,002245,143.96,147.53,149.9,142.11,950318,1014309358.89,5.39,2.1,3.04,8.74
199,2024-11-28,蔚蓝锂芯,002245,149.51,144.49,150.3,144.09,936858,1000245681.07,4.16,-3.27,-4.88,8.62
198,2024-11-27,蔚蓝锂芯,002245,142.64,149.37,149.51,140.79,1244955,1313280951.18,5.91,1.16,1.71,11.45
197,2024-11-26,蔚蓝锂芯,002245,162.84,147.66,162.97,147.66,1770767,1952597504.77,9.36,-9.69,-15.84,16.29
196,2024-11-25,蔚蓝锂芯,002245,172.61,163.5,172.87,161.12,2369310,2877104611.77,6.72,-6.56,-11.48,21.79
195,2024-11-22,蔚蓝锂芯,002245,168.78,174.98,178.02,167.19,3127451,4033244051.41,6.67,7.81,12.67,28.76
194,2024-11-21,蔚蓝锂芯,002245,153.2,162.31,162.31,151.88,1472287,1722498107.79,7.04,9.63,14.26,13.54
193,2024-11-20,蔚蓝锂芯,002245,143.96,148.05,149.51,143.3,1378374,1472524382.85,4.23,0.8,1.18,12.68
192,2024-11-19,蔚蓝锂芯,002245,135.91,146.87,150.03,134.59,1382247,1423305872.75,11.28,7.34,10.04,12.71
191,2024-11-18,蔚蓝锂芯,002245,143.17,136.83,143.17,134.06,1322429,1328085843.68,6.36,-4.52,-6.47,12.16
190,2024-11-15,蔚蓝锂芯,002245,134.46,143.3,147.79,133.01,1835054,1933349725.25,10.96,6.27,8.45,16.88
189,2024-11-14,蔚蓝锂芯,002245,137.23,134.85,139.08,134.33,390236,385627934.53,3.48,-1.26,-1.72,3.59
188,2024-11-13,蔚蓝锂芯,002245,136.04,136.57,140.66,133.14,467917,464220070.8,5.54,0.68,0.92,4.3
187,2024-11-12,蔚蓝锂芯,002245,137.36,135.65,140.53,134.46,599148,598780449.2,4.46,-0.38,-0.52,5.51
186,2024-11-11,蔚蓝锂芯,002245,130.37,136.17,136.57,129.05,597790,583805699.89,5.76,4.34,5.67,5.5
185,2024-11-08,蔚蓝锂芯,002245,132.08,130.5,134.06,129.71,456170,437376180.32,3.33,0.0,0.0,4.2
184,2024-11-07,蔚蓝锂芯,002245,127.99,130.5,130.63,127.46,289088,272053509.35,2.46,1.34,1.72,2.66
183,2024-11-06,蔚蓝锂芯,002245,129.18,128.78,131.69,128.12,359871,339892881.32,2.78,0.2,0.26,3.31
182,2024-11-05,蔚蓝锂芯,002245,126.67,128.52,128.91,125.88,343757,319468473.08,2.4,1.99,2.51,3.16
181,2024-11-04,蔚蓝锂芯,002245,124.56,126.01,127.46,124.56,191516,174924561.26,2.33,1.27,1.58,1.76
180,2024-11-01,蔚蓝锂芯,002245,127.86,124.43,128.78,123.37,344880,313641627.0,4.23,-2.78,-3.56,3.17
179,2024-10-31,蔚蓝锂芯,002245,126.54,127.99,128.65,126.01,310699,287839852.92,2.09,1.25,1.58,2.86
178,2024-10-30,蔚蓝锂芯,002245,126.8,126.41,128.78,125.22,298616,274767251.0,2.78,-1.33,-1.71,2.75
177,2024-10-29,蔚蓝锂芯,002245,131.16,128.12,134.46,127.86,577964,548169276.86,5.14,-0.21,-0.27,5.32
176,2024-10-28,蔚蓝锂芯,002245,127.59,128.39,128.52,126.27,333120,308555560.69,1.76,0.63,0.8,3.06
175,2024-10-25,蔚蓝锂芯,002245,124.29,127.59,129.18,124.16,448478,412907409.79,4.08,3.64,4.48,4.12
174,2024-10-24,蔚蓝锂芯,002245,123.63,123.11,123.9,122.05,196005,174237499.17,1.5,-0.42,-0.52,1.8
173,2024-10-23,蔚蓝锂芯,002245,123.9,123.63,126.01,122.45,323859,291007863.36,2.89,0.32,0.39,2.98
172,2024-10-22,蔚蓝锂芯,002245,120.86,123.24,123.5,119.94,326969,289612938.05,2.94,1.63,1.98,3.01
171,2024-10-21,蔚蓝锂芯,002245,121.39,121.26,123.5,119.54,340121,298453728.55,3.33,2.0,2.38,3.13
170,2024-10-18,蔚蓝锂芯,002245,114.92,118.88,121.26,114.53,359908,307232154.71,5.86,3.45,3.96,3.31
169,2024-10-17,蔚蓝锂芯,002245,116.51,114.92,117.83,114.92,199117,166971955.27,2.51,-0.8,-0.93,1.83
168,2024-10-16,蔚蓝锂芯,002245,114.66,115.85,117.17,114.26,204018,170282796.8,2.5,-0.34,-0.39,1.88
167,2024-10-15,蔚蓝锂芯,002245,118.62,116.24,119.41,115.98,241903,205856179.75,2.89,-2.01,-2.38,2.22
166,2024-10-14,蔚蓝锂芯,002245,117.96,118.62,119.67,114.53,351695,298508343.14,4.37,0.79,0.93,3.23
165,2024-10-11,蔚蓝锂芯,002245,123.5,117.69,123.77,115.98,341936,293743365.66,6.36,-3.89,-4.76,3.14
164,2024-10-10,蔚蓝锂芯,002245,123.24,122.45,127.46,121.79,421377,380346070.67,4.6,-0.64,-0.79,3.88
163,2024-10-09,蔚蓝锂芯,002245,134.46,123.24,134.85,123.11,701499,657531247.18,8.71,-8.61,-11.61,6.45
162,2024-10-08,蔚蓝锂芯,002245,134.85,134.85,134.85,126.01,854092,822436305.42,7.18,9.54,11.74,7.86
161,2024-09-30,蔚蓝锂芯,002245,117.56,123.11,123.11,117.43,682930,599586216.53,5.05,9.52,10.7,6.28
160,2024-09-27,蔚蓝锂芯,002245,106.34,112.41,114.66,106.21,440872,353224058.61,8.04,6.9,7.26,4.05
159,2024-09-26,蔚蓝锂芯,002245,102.78,105.15,105.29,102.12,195567,145504368.12,3.09,2.44,2.5,1.8
158,2024-09-25,蔚蓝锂芯,002245,102.12,102.65,105.15,102.12,243513,181837530.66,2.99,1.3,1.32,2.24
157,2024-09-24,蔚蓝锂芯,002245,98.03,101.33,101.33,97.89,212916,152673824.0,3.51,3.51,3.44,1.96
156,2024-09-23,蔚蓝锂芯,002245,97.89,97.89,98.82,97.23,83516,58577819.0,1.62,-0.28,-0.27,0.77
155,2024-09-20,蔚蓝锂芯,002245,99.87,98.16,99.87,97.76,92793,65352985.0,2.12,-1.33,-1.32,0.85
154,2024-09-19,蔚蓝锂芯,002245,98.69,99.48,100.8,97.63,108916,77592864.11,3.23,1.34,1.32,1.0
153,2024-09-18,蔚蓝锂芯,002245,98.29,98.16,98.95,96.57,87314,60959136.5,2.42,-0.13,-0.13,0.8
152,2024-09-13,蔚蓝锂芯,002245,101.06,98.29,101.33,98.29,120587,85725242.24,3.02,-2.49,-2.51,1.11
151,2024-09-12,蔚蓝锂芯,002245,101.72,100.8,102.25,100.4,127043,92177670.72,1.82,-0.78,-0.79,1.17
150,2024-09-11,蔚蓝锂芯,002245,99.87,101.59,101.85,99.61,138362,100538675.56,2.23,1.32,1.32,1.27
149,2024-09-10,蔚蓝锂芯,002245,100.67,100.27,101.33,98.16,124159,88499534.85,3.15,-0.26,-0.26,1.14
148,2024-09-09,蔚蓝锂芯,002245,100.01,100.53,101.19,99.74,109795,79051332.95,1.44,-0.14,-0.14,1.01
147,2024-09-06,蔚蓝锂芯,002245,102.91,100.67,102.91,100.67,134604,97940958.16,2.18,-2.05,-2.11,1.24
146,2024-09-05,蔚蓝锂芯,002245,103.7,102.78,104.63,102.12,187247,138502735.12,2.42,-0.76,-0.79,1.72
145,2024-09-04,蔚蓝锂芯,002245,102.38,103.57,105.02,102.12,214741,160267352.4,2.82,0.77,0.79,1.98
144,2024-09-03,蔚蓝锂芯,002245,101.59,102.78,103.57,101.46,146096,107709278.06,2.08,1.3,1.32,1.34
143,2024-09-02,蔚蓝锂芯,002245,104.36,101.46,105.02,101.33,206910,153011815.0,3.54,-2.66,-2.77,1.9
142,2024-08-30,蔚蓝锂芯,002245,101.46,104.23,105.55,101.46,212350,158851272.93,4.03,2.6,2.64,1.95
141,2024-08-29,蔚蓝锂芯,002245,101.33,101.59,103.04,101.19,188037,137776704.0,1.81,-0.39,-0.4,1.73
140,2024-08-28,蔚蓝锂芯,002245,102.12,101.99,103.17,101.19,95693,70143615.0,1.93,-0.38,-0.39,0.88
139,2024-08-27,蔚蓝锂芯,002245,104.36,102.38,104.36,101.46,129356,95155233.31,2.77,-2.27,-2.38,1.19
138,2024-08-26,蔚蓝锂芯,002245,104.1,104.76,107.0,103.97,137973,104365212.24,2.91,0.63,0.66,1.27
137,2024-08-23,蔚蓝锂芯,002245,104.63,104.1,104.89,103.17,99665,74379016.56,1.64,-0.88,-0.92,0.92
136,2024-08-22,蔚蓝锂芯,002245,106.87,105.02,107.53,104.63,112127,85123114.94,2.71,-1.73,-1.85,1.03
135,2024-08-21,蔚蓝锂芯,002245,107.13,106.87,108.19,106.61,88578,68335186.0,1.47,-0.37,-0.4,0.81
134,2024-08-20,蔚蓝锂芯,002245,108.98,107.27,109.64,106.87,99388,77112954.31,2.54,-1.45,-1.58,0.91
133,2024-08-19,蔚蓝锂芯,002245,109.64,108.85,110.96,108.72,92278,72893225.94,2.04,-0.96,-1.06,0.85
132,2024-08-16,蔚蓝锂芯,002245,111.09,109.91,111.49,109.91,82722,65984442.0,1.42,-1.06,-1.18,0.76
131,2024-08-15,蔚蓝锂芯,002245,110.3,111.09,112.81,109.11,130277,104293902.5,3.33,0.0,0.0,1.2
130,2024-08-14,蔚蓝锂芯,002245,112.28,111.09,113.21,110.96,85661,68929687.11,2.0,-1.41,-1.59,0.79
129,2024-08-13,蔚蓝锂芯,002245,110.57,112.68,112.81,110.57,106931,86311629.2,2.02,1.79,1.98,0.98
128,2024-08-12,蔚蓝锂芯,002245,112.15,110.7,112.68,110.04,107217,85811801.0,2.35,-1.29,-1.45,0.99
127,2024-08-09,蔚蓝锂芯,002245,113.47,112.15,114.66,112.02,117379,95561840.8,2.33,-0.81,-0.92,1.08
126,2024-08-08,蔚蓝锂芯,002245,112.55,113.07,113.87,111.75,117519,95707311.6,1.88,0.35,0.39,1.08
125,2024-08-07,蔚蓝锂芯,002245,113.87,112.68,113.87,112.15,130228,106222301.97,1.52,-0.7,-0.79,1.2
124,2024-08-06,蔚蓝锂芯,002245,113.21,113.47,114.92,111.75,181901,148755038.53,2.82,0.82,0.92,1.67
123,2024-08-05,蔚蓝锂芯,002245,115.32,112.55,116.64,112.28,221623,182970656.0,3.76,-2.96,-3.43,2.04
