,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,大洋电机,002249,78.36,76.93,78.67,76.73,384869,222873245.76,2.48,-1.7,-1.33,2.11
239,2025-01-24,大洋电机,002249,77.24,78.26,78.67,77.03,469087,274890070.74,2.12,0.93,0.72,2.57
238,2025-01-23,大洋电机,002249,78.36,77.54,79.99,77.44,735031,432878668.35,3.27,-0.53,-0.41,4.03
237,2025-01-22,大洋电机,002249,78.16,77.95,78.26,77.24,411029,239243013.66,1.3,-0.4,-0.31,2.26
236,2025-01-21,大洋电机,002249,77.24,78.26,78.56,77.03,632339,369029810.54,1.99,1.6,1.23,3.45
235,2025-01-20,大洋电机,002249,76.83,77.03,77.65,76.83,337723,194564342.8,1.07,0.52,0.4,1.85
234,2025-01-17,大洋电机,002249,76.01,76.63,77.03,75.71,328423,186628075.66,1.73,0.41,0.31,1.8
233,2025-01-16,大洋电机,002249,76.12,76.32,77.75,75.71,452304,257926221.0,2.69,0.67,0.51,2.47
232,2025-01-15,大洋电机,002249,76.22,75.81,76.63,75.5,443285,250725440.23,1.48,-0.8,-0.61,2.42
231,2025-01-14,大洋电机,002249,72.95,76.42,76.73,72.65,804584,449745501.74,5.62,5.33,3.87,4.4
230,2025-01-13,大洋电机,002249,73.06,72.55,73.46,71.93,440344,233739090.5,2.08,-1.52,-1.12,2.41
229,2025-01-10,大洋电机,002249,75.4,73.67,75.91,73.57,433966,239230589.2,3.1,-2.29,-1.73,2.37
228,2025-01-09,大洋电机,002249,74.79,75.4,75.91,74.59,491668,273962426.94,1.76,0.4,0.3,2.69
227,2025-01-08,大洋电机,002249,76.01,75.1,76.42,72.95,825398,454873785.63,4.52,-2.12,-1.63,4.51
226,2025-01-07,大洋电机,002249,73.57,76.73,77.03,72.95,906182,507573818.03,5.55,4.45,3.27,4.96
225,2025-01-06,大洋电机,002249,73.26,73.46,74.79,72.85,560480,303747122.62,2.65,0.41,0.3,3.07
224,2025-01-03,大洋电机,002249,74.48,73.16,75.81,72.85,716195,392254088.66,3.96,-2.05,-1.53,3.92
223,2025-01-02,大洋电机,002249,78.05,74.69,78.36,73.87,982408,554673543.14,5.74,-4.56,-3.57,5.37
222,2024-12-31,大洋电机,002249,80.2,78.26,80.81,77.85,1171576,698026888.99,3.68,-2.78,-2.24,6.41
221,2024-12-30,大洋电机,002249,80.5,80.5,82.24,79.18,1598749,975051711.29,3.82,0.37,0.3,8.75
220,2024-12-27,大洋电机,002249,77.54,80.2,81.22,77.54,1412319,847165269.52,4.73,3.02,2.35,7.73
219,2024-12-26,大洋电机,002249,76.93,77.85,78.36,76.73,596979,347729700.52,2.11,0.92,0.71,3.27
218,2024-12-25,大洋电机,002249,77.14,77.14,77.44,76.12,601613,344315023.26,1.71,0.0,0.0,3.29
217,2024-12-24,大洋电机,002249,74.79,77.14,78.05,74.79,782737,449508716.12,4.36,3.14,2.35,4.28
216,2024-12-23,大洋电机,002249,75.5,74.79,75.81,74.59,279997,156046536.47,1.61,-1.08,-0.82,1.53
215,2024-12-20,大洋电机,002249,75.61,75.61,76.12,75.2,220625,123757501.16,1.21,-0.26,-0.2,1.21
214,2024-12-19,大洋电机,002249,74.79,75.81,76.01,74.48,227604,126886740.78,2.03,0.81,0.61,1.24
213,2024-12-18,大洋电机,002249,75.3,75.2,75.91,75.1,229958,128552064.22,1.08,0.13,0.1,1.26
212,2024-12-17,大洋电机,002249,75.91,75.1,76.12,74.89,249735,139732808.26,1.62,-1.34,-1.02,1.37
211,2024-12-16,大洋电机,002249,76.42,76.12,77.03,75.71,271783,154129258.11,1.72,-0.67,-0.51,1.49
210,2024-12-13,大洋电机,002249,77.75,76.63,77.85,76.42,342426,196584009.59,1.83,-1.69,-1.32,1.87
209,2024-12-12,大洋电机,002249,77.44,77.95,77.95,76.63,420871,243221339.05,1.7,0.66,0.51,2.3
208,2024-12-11,大洋电机,002249,77.24,77.44,77.85,77.14,352514,204386059.65,0.92,0.0,0.0,1.93
207,2024-12-10,大洋电机,002249,79.58,77.44,79.58,77.44,654235,384538239.59,2.74,-0.92,-0.72,3.58
206,2024-12-09,大洋电机,002249,77.95,78.16,79.07,77.54,561649,330085321.09,1.97,0.4,0.31,3.07
205,2024-12-06,大洋电机,002249,77.85,77.85,78.05,76.52,638005,368767303.1,1.97,0.0,0.0,3.49
204,2024-12-05,大洋电机,002249,76.12,77.85,78.36,75.91,852075,495163823.7,3.21,2.14,1.63,4.66
203,2024-12-04,大洋电机,002249,76.52,76.22,76.93,75.71,305484,173298681.36,1.59,-0.92,-0.71,1.67
202,2024-12-03,大洋电机,002249,76.93,76.93,77.44,76.32,391180,224466673.84,1.46,0.13,0.1,2.14
201,2024-12-02,大洋电机,002249,74.69,76.83,77.03,74.28,530775,301412653.59,3.69,3.0,2.24,2.9
200,2024-11-29,大洋电机,002249,73.26,74.59,74.89,73.06,326902,178776067.05,2.49,1.54,1.13,1.8
199,2024-11-28,大洋电机,002249,73.97,73.46,74.28,73.36,241819,131336285.0,1.24,-0.97,-0.72,1.33
198,2024-11-27,大洋电机,002249,73.36,74.18,74.28,72.04,314260,168389850.48,3.04,0.83,0.61,1.73
