,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,联化科技,002250,38.87,38.64,39.14,38.31,253025,147668813.78,2.14,-0.16,-0.06,2.79
240,2025-01-23,联化科技,002250,38.87,38.7,39.53,38.64,306922,181586018.01,2.31,0.57,0.22,3.39
239,2025-01-22,联化科技,002250,39.25,38.48,39.37,38.31,320964,188044308.0,2.69,-2.26,-0.89,3.54
238,2025-01-21,联化科技,002250,39.7,39.37,40.09,38.36,621345,368692527.17,4.35,-1.11,-0.44,6.85
237,2025-01-20,联化科技,002250,39.64,39.81,41.03,38.7,985166,593978536.59,6.1,4.21,1.61,10.87
236,2025-01-17,联化科技,002250,38.2,38.2,38.2,38.2,70466,40588416.0,0.0,8.18,2.89,0.78
235,2025-01-16,联化科技,002250,35.2,35.31,35.59,35.03,123436,64761707.74,1.59,0.48,0.17,1.36
234,2025-01-15,联化科技,002250,35.31,35.14,35.42,34.81,126894,65932655.74,1.72,-0.79,-0.28,1.4
233,2025-01-14,联化科技,002250,34.64,35.42,35.48,34.64,149479,78068038.37,2.41,1.75,0.61,1.65
232,2025-01-13,联化科技,002250,34.09,34.81,34.92,34.09,124558,63683417.11,2.41,0.99,0.34,1.37
231,2025-01-10,联化科技,002250,35.48,34.47,35.59,34.42,162288,84060203.2,3.29,-3.15,-1.12,1.79
230,2025-01-09,联化科技,002250,35.42,35.59,36.7,35.25,197988,105697869.84,4.07,0.0,0.0,2.18
229,2025-01-08,联化科技,002250,36.25,35.59,36.81,34.92,224057,119143210.66,5.26,-0.92,-0.33,2.47
228,2025-01-07,联化科技,002250,35.36,35.92,36.2,34.97,164344,86813608.0,3.47,1.41,0.5,1.81
227,2025-01-06,联化科技,002250,35.14,35.42,35.86,34.59,157021,82414271.75,3.61,0.63,0.22,1.73
226,2025-01-03,联化科技,002250,36.53,35.2,36.7,35.09,229981,122802960.67,4.42,-3.35,-1.22,2.54
225,2025-01-02,联化科技,002250,36.81,36.42,37.42,36.09,194903,107439425.24,3.61,-1.06,-0.39,2.15
224,2024-12-31,联化科技,002250,37.48,36.81,37.59,36.75,168018,93500790.85,2.24,-1.79,-0.67,1.85
223,2024-12-30,联化科技,002250,38.03,37.48,38.03,37.36,146259,82675195.46,1.76,-1.45,-0.55,1.61
222,2024-12-27,联化科技,002250,37.59,38.03,38.81,37.53,226052,130300395.0,3.41,1.17,0.44,2.49
221,2024-12-26,联化科技,002250,37.31,37.59,37.7,37.14,118775,66965278.99,1.5,0.75,0.28,1.31
220,2024-12-25,联化科技,002250,37.53,37.31,37.7,36.98,144769,80891792.0,1.92,-0.74,-0.28,1.6
219,2024-12-24,联化科技,002250,37.42,37.59,38.53,37.25,254078,144830130.79,3.44,1.05,0.39,2.8
218,2024-12-23,联化科技,002250,37.7,37.2,38.36,37.09,292659,165607449.69,3.38,-0.88,-0.33,3.23
217,2024-12-20,联化科技,002250,37.09,37.53,37.53,36.86,171935,95978148.41,1.81,1.19,0.44,1.9
