,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,华昌化工,002274,28.54,28.45,28.83,28.42,126008,103889318.59,1.43,-0.52,-0.15,1.34
239,2025-01-24,华昌化工,002274,28.54,28.6,28.74,28.16,180465,147360072.55,2.03,0.0,0.0,1.92
238,2025-01-23,华昌化工,002274,28.42,28.6,28.86,28.36,281729,232004140.2,1.76,0.63,0.18,3.0
237,2025-01-22,华昌化工,002274,27.93,28.42,28.6,27.81,287134,233192593.55,2.84,2.08,0.58,3.06
236,2025-01-21,华昌化工,002274,28.1,27.84,28.25,27.81,127519,102363136.06,1.57,-0.82,-0.23,1.36
235,2025-01-20,华昌化工,002274,28.22,28.07,28.28,27.93,117670,94802690.5,1.24,-0.21,-0.06,1.25
234,2025-01-17,华昌化工,002274,28.01,28.13,28.25,27.95,128210,103479708.0,1.07,0.0,0.0,1.37
233,2025-01-16,华昌化工,002274,27.78,28.13,28.22,27.57,180007,143877858.53,2.34,1.26,0.35,1.92
232,2025-01-15,华昌化工,002274,27.93,27.78,27.98,27.69,100573,79975698.86,1.04,-0.71,-0.2,1.07
231,2025-01-14,华昌化工,002274,27.66,27.98,28.07,27.6,233908,187342807.05,1.7,0.94,0.26,2.49
230,2025-01-13,华昌化工,002274,26.78,27.72,27.87,26.55,248747,195351580.69,4.9,2.93,0.79,2.65
229,2025-01-10,华昌化工,002274,26.84,26.93,27.19,26.67,105243,80659409.83,1.94,0.22,0.06,1.12
228,2025-01-09,华昌化工,002274,26.7,26.87,26.93,26.52,83297,63441666.33,1.53,0.22,0.06,0.89
227,2025-01-08,华昌化工,002274,27.25,26.81,27.28,26.43,146699,111502280.65,3.11,-1.83,-0.5,1.56
226,2025-01-07,华昌化工,002274,27.11,27.31,27.37,26.73,136564,105409841.0,2.36,0.85,0.23,1.46
225,2025-01-06,华昌化工,002274,26.76,27.08,27.22,26.37,139439,106810435.35,3.19,1.65,0.44,1.49
224,2025-01-03,华昌化工,002274,26.84,26.64,27.28,26.58,159618,121986406.61,2.61,-0.63,-0.17,1.7
223,2025-01-02,华昌化工,002274,27.28,26.81,27.6,26.67,189297,146420807.5,3.41,-1.61,-0.44,2.02
222,2024-12-31,华昌化工,002274,27.93,27.25,28.04,27.22,146617,115427992.62,2.95,-2.01,-0.56,1.56
221,2024-12-30,华昌化工,002274,27.63,27.81,28.07,27.52,151908,121165549.5,1.99,0.65,0.18,1.62
220,2024-12-27,华昌化工,002274,27.31,27.63,27.69,27.16,100674,79103331.87,1.94,1.28,0.35,1.07
219,2024-12-26,华昌化工,002274,27.28,27.28,27.49,27.25,62607,48871231.03,0.88,0.11,0.03,0.67
218,2024-12-25,华昌化工,002274,27.57,27.25,27.6,27.05,108015,83913709.01,1.99,-1.27,-0.35,1.15
217,2024-12-24,华昌化工,002274,27.31,27.6,27.78,27.31,87647,69015625.55,1.72,0.84,0.23,0.93
216,2024-12-23,华昌化工,002274,27.66,27.37,27.87,27.34,129620,102297776.8,1.92,-0.94,-0.26,1.38
215,2024-12-20,华昌化工,002274,27.81,27.63,27.84,27.57,91526,72470742.0,0.97,-0.43,-0.12,0.98
214,2024-12-19,华昌化工,002274,27.63,27.75,27.78,27.46,108888,85890019.0,1.15,-0.22,-0.06,1.16
213,2024-12-18,华昌化工,002274,27.9,27.81,28.01,27.72,121874,97349397.46,1.04,0.0,0.0,1.3
212,2024-12-17,华昌化工,002274,27.93,27.81,28.07,27.54,159063,126573507.95,1.89,-0.61,-0.17,1.7
211,2024-12-16,华昌化工,002274,28.07,27.98,28.22,27.87,125386,100884403.35,1.25,-0.21,-0.06,1.34
210,2024-12-13,华昌化工,002274,28.36,28.04,28.36,27.95,188721,152039748.32,1.44,-1.44,-0.41,2.01
209,2024-12-12,华昌化工,002274,28.48,28.45,28.57,28.16,166184,135527036.0,1.44,0.21,0.06,1.77
208,2024-12-11,华昌化工,002274,28.42,28.39,28.6,28.28,174089,142133814.65,1.12,-0.21,-0.06,1.86
207,2024-12-10,华昌化工,002274,29.15,28.45,29.27,28.36,290614,240291124.72,3.17,-0.84,-0.24,3.1
206,2024-12-09,华昌化工,002274,28.45,28.69,29.07,28.36,281316,232919328.34,2.5,0.84,0.24,3.0
