,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,博深股份,002282,18.09,17.68,18.38,17.64,208257,167250481.48,4.1,-2.16,-0.39,4.15
239,2025-01-24,博深股份,002282,17.82,18.07,18.21,17.6,312778,252026544.63,3.47,2.9,0.51,6.23
238,2025-01-23,博深股份,002282,17.91,17.56,18.19,17.54,281631,225076688.2,3.67,-0.79,-0.14,5.61
237,2025-01-22,博深股份,002282,17.95,17.7,18.03,17.6,217971,173408074.0,2.38,-1.94,-0.35,4.34
236,2025-01-21,博深股份,002282,18.58,18.05,18.73,17.84,480772,391912594.43,4.88,-1.1,-0.2,9.58
235,2025-01-20,博深股份,002282,16.84,18.25,18.25,16.8,291707,234793132.7,8.64,8.76,1.47,5.81
234,2025-01-17,博深股份,002282,16.53,16.78,17.15,16.33,219280,162733871.77,4.94,1.02,0.17,4.37
233,2025-01-16,博深股份,002282,16.76,16.61,17.02,16.41,131013,97099727.32,3.64,-0.78,-0.13,2.61
232,2025-01-15,博深股份,002282,17.04,16.74,17.13,16.63,159243,118953993.41,2.92,-2.28,-0.39,3.17
231,2025-01-14,博深股份,002282,16.3,17.13,17.15,16.3,254028,189737196.01,5.21,4.96,0.81,5.06
230,2025-01-13,博深股份,002282,16.96,16.32,17.17,16.22,316743,233481933.83,5.44,-6.48,-1.13,6.31
229,2025-01-10,博深股份,002282,17.58,17.45,18.13,17.39,341490,270480164.71,4.16,-1.97,-0.35,6.8
228,2025-01-09,博深股份,002282,17.68,17.8,18.36,17.21,516909,412022883.5,6.5,0.68,0.12,10.3
227,2025-01-08,博深股份,002282,18.23,17.68,18.44,17.35,616757,490043425.32,6.36,3.09,0.53,12.29
226,2025-01-07,博深股份,002282,15.81,17.15,17.15,15.69,159699,119619703.25,9.25,8.61,1.36,3.18
225,2025-01-06,博深股份,002282,15.52,15.79,15.93,15.2,136506,93813159.65,4.68,1.15,0.18,2.72
224,2025-01-03,博深股份,002282,16.47,15.61,17.52,15.54,205847,148674319.62,12.1,-4.64,-0.76,4.1
223,2025-01-02,博深股份,002282,16.71,16.37,16.96,16.26,187740,137493256.56,4.19,-1.92,-0.32,3.74
222,2024-12-31,博深股份,002282,16.9,16.69,17.29,16.55,282438,211280229.26,4.36,-1.59,-0.27,5.63
221,2024-12-30,博深股份,002282,16.28,16.96,17.62,15.94,367574,281718310.94,10.36,4.56,0.74,7.32
220,2024-12-27,博深股份,002282,15.89,16.22,16.32,15.79,58096,41531894.21,3.33,1.95,0.31,1.16
219,2024-12-26,博深股份,002282,15.79,15.91,16.1,15.73,51709,36365666.8,2.35,0.89,0.14,1.03
218,2024-12-25,博深股份,002282,16.0,15.77,16.02,15.54,61231,42412920.06,3.0,-1.44,-0.23,1.22
217,2024-12-24,博深股份,002282,15.94,16.0,16.06,15.75,50371,35399889.0,1.97,1.85,0.29,1.0
216,2024-12-23,博深股份,002282,16.35,15.71,16.41,15.69,71311,50240933.0,4.41,-3.8,-0.62,1.42
215,2024-12-20,博深股份,002282,16.24,16.33,16.51,16.22,46385,33568927.0,1.79,0.55,0.09,0.92
214,2024-12-19,博深股份,002282,16.14,16.24,16.28,16.02,44229,31541404.0,1.6,0.25,0.04,0.88
213,2024-12-18,博深股份,002282,16.32,16.2,16.51,16.02,49844,35844159.4,3.02,0.0,0.0,0.99
212,2024-12-17,博深股份,002282,16.84,16.2,16.88,16.16,79552,57674824.22,4.28,-3.8,-0.64,1.58
211,2024-12-16,博深股份,002282,16.76,16.84,16.98,16.71,59170,44351672.93,1.62,0.78,0.13,1.18
210,2024-12-13,博深股份,002282,17.06,16.71,17.06,16.63,66962,50112913.62,2.52,-2.05,-0.35,1.33
209,2024-12-12,博深股份,002282,17.06,17.06,17.11,16.86,49386,37393055.04,1.47,0.0,0.0,0.98
208,2024-12-11,博深股份,002282,16.96,17.06,17.11,16.94,57032,43277379.5,1.0,0.35,0.06,1.14
207,2024-12-10,博深股份,002282,17.25,17.0,17.37,16.98,84523,64393155.34,2.3,0.24,0.04,1.68
206,2024-12-09,博深股份,002282,17.02,16.96,17.17,16.8,72158,54581795.0,2.18,-0.24,-0.04,1.44
205,2024-12-06,博深股份,002282,16.96,17.0,17.08,16.78,71643,53990612.65,1.77,0.35,0.06,1.43
204,2024-12-05,博深股份,002282,16.63,16.94,17.1,16.59,72659,54549046.8,3.05,1.19,0.2,1.45
203,2024-12-04,博深股份,002282,17.15,16.74,17.29,16.61,110599,82999078.0,4.04,-0.59,-0.1,2.2
202,2024-12-03,博深股份,002282,16.72,16.84,16.92,16.69,76617,57238641.2,1.37,0.36,0.06,1.53
201,2024-12-02,博深股份,002282,16.63,16.78,16.86,16.45,85892,63666984.94,2.49,1.76,0.29,1.71
200,2024-11-29,博深股份,002282,16.26,16.49,16.59,16.22,63679,46348664.5,2.27,0.98,0.16,1.27
199,2024-11-28,博深股份,002282,16.16,16.33,16.61,16.12,82996,60085507.23,3.02,0.8,0.13,1.65
198,2024-11-27,博深股份,002282,16.08,16.2,16.22,15.57,64406,45058632.45,4.04,0.62,0.1,1.28
197,2024-11-26,博深股份,002282,16.18,16.1,16.51,16.08,87966,63253880.97,2.66,-0.37,-0.06,1.75
196,2024-11-25,博深股份,002282,15.91,16.16,16.18,15.79,51416,36348521.0,2.45,1.44,0.23,1.02
195,2024-11-22,博深股份,002282,16.3,15.93,16.39,15.81,72989,52149027.0,3.56,-2.27,-0.37,1.45
194,2024-11-21,博深股份,002282,16.2,16.3,16.33,16.12,66582,47802496.5,1.29,0.25,0.04,1.33
193,2024-11-20,博深股份,002282,15.91,16.26,16.26,15.87,79356,56491577.92,2.45,2.33,0.37,1.58
192,2024-11-19,博深股份,002282,15.65,15.89,15.89,15.59,57589,39898356.0,1.92,1.92,0.3,1.15
191,2024-11-18,博深股份,002282,15.85,15.59,15.85,15.42,70568,48552529.86,2.76,0.0,0.0,1.41
190,2024-11-15,博深股份,002282,15.85,15.59,16.1,15.57,85745,59868524.0,3.34,-1.89,-0.3,1.71
189,2024-11-14,博深股份,002282,16.18,15.89,16.26,15.85,67705,47942877.96,2.52,-2.16,-0.35,1.35
188,2024-11-13,博深股份,002282,16.2,16.24,16.35,15.98,73552,52533728.95,2.3,0.87,0.14,1.47
187,2024-11-12,博深股份,002282,16.16,16.1,16.43,16.02,97424,69951614.98,2.53,-0.62,-0.1,1.94
186,2024-11-11,博深股份,002282,15.98,16.2,16.2,15.94,63477,45179381.5,1.62,0.87,0.14,1.26
185,2024-11-08,博深股份,002282,16.16,16.06,16.24,16.0,80509,57149094.0,1.49,-0.5,-0.08,1.6
184,2024-11-07,博深股份,002282,15.85,16.14,16.18,15.75,89021,63137648.32,2.7,1.45,0.23,1.77
183,2024-11-06,博深股份,002282,16.04,15.91,16.12,15.85,88943,62642980.44,1.68,-0.81,-0.13,1.77
182,2024-11-05,博深股份,002282,15.89,16.04,16.08,15.87,74896,52817501.85,1.32,0.94,0.15,1.49
181,2024-11-04,博深股份,002282,15.55,15.89,15.93,15.54,57410,39840775.8,2.51,2.25,0.35,1.14
180,2024-11-01,博深股份,002282,16.08,15.54,16.1,15.52,90159,62261009.11,3.62,-3.0,-0.48,1.8
179,2024-10-31,博深股份,002282,16.0,16.02,16.14,15.85,73746,52002081.74,1.82,0.56,0.09,1.47
178,2024-10-30,博深股份,002282,15.83,15.93,16.0,15.65,64116,44752159.65,2.22,1.01,0.16,1.28
177,2024-10-29,博深股份,002282,16.41,15.77,16.41,15.69,98757,69499957.64,4.43,-3.01,-0.49,1.97
176,2024-10-28,博深股份,002282,15.83,16.26,16.33,15.69,93968,66498746.93,4.07,3.37,0.53,1.87
175,2024-10-25,博深股份,002282,15.57,15.73,15.79,15.57,51239,35435655.0,1.41,1.16,0.18,1.02
174,2024-10-24,博深股份,002282,15.5,15.55,15.87,15.48,73651,50676061.0,2.51,0.06,0.01,1.47
173,2024-10-23,博深股份,002282,15.54,15.54,15.73,15.46,55291,37916514.0,1.74,-0.06,-0.01,1.1
172,2024-10-22,博深股份,002282,15.32,15.55,15.55,15.24,64087,43465844.3,2.02,1.37,0.21,1.28
171,2024-10-21,博深股份,002282,15.4,15.34,15.5,15.24,70255,47259521.28,1.69,-0.26,-0.04,1.4
170,2024-10-18,博深股份,002282,15.09,15.38,15.48,15.05,65117,43656538.7,2.86,2.19,0.33,1.3
169,2024-10-17,博深股份,002282,15.24,15.05,15.42,15.01,53189,35414948.99,2.69,-1.12,-0.17,1.06
168,2024-10-16,博深股份,002282,15.07,15.22,15.32,14.81,39852,26489578.87,3.38,0.86,0.13,0.79
167,2024-10-15,博深股份,002282,15.3,15.09,15.4,15.07,52298,34882866.0,2.15,-1.63,-0.25,1.04
166,2024-10-14,博深股份,002282,15.2,15.34,15.36,14.87,57503,38142933.6,3.29,2.88,0.43,1.15
165,2024-10-11,博深股份,002282,15.44,14.91,15.48,14.81,76678,50780031.0,4.33,-3.56,-0.55,1.53
164,2024-10-10,博深股份,002282,15.4,15.46,15.75,15.03,109077,74083670.37,4.75,2.05,0.31,2.17
163,2024-10-09,博深股份,002282,16.12,15.15,16.28,15.15,142088,97652921.45,6.83,-8.46,-1.4,2.83
162,2024-10-08,博深股份,002282,17.25,16.55,17.25,15.85,192994,141617194.34,8.77,3.7,0.59,3.84
161,2024-09-30,博深股份,002282,15.3,15.96,15.98,15.09,152751,104678852.31,5.95,6.61,0.99,3.04
160,2024-09-27,博深股份,002282,14.66,14.97,15.13,14.66,76348,49523185.0,3.21,2.25,0.33,1.52
159,2024-09-26,博深股份,002282,14.42,14.64,14.66,14.33,39963,25161331.04,2.29,1.67,0.24,0.8
158,2024-09-25,博深股份,002282,14.29,14.4,14.52,14.07,63356,39572236.2,3.19,2.06,0.29,1.26
157,2024-09-24,博深股份,002282,13.72,14.11,14.11,13.68,38984,23357541.25,3.15,3.45,0.47,0.78
156,2024-09-23,博深股份,002282,13.6,13.64,13.74,13.59,24323,14241608.0,1.1,-0.29,-0.04,0.48
155,2024-09-20,博深股份,002282,13.76,13.68,13.78,13.6,21336,12518460.4,1.31,-0.58,-0.08,0.43
154,2024-09-19,博深股份,002282,13.6,13.76,13.86,13.43,35123,20622786.77,3.18,1.85,0.25,0.7
153,2024-09-18,博深股份,002282,13.72,13.51,13.74,13.25,35417,20327874.18,3.58,-1.39,-0.19,0.71
152,2024-09-13,博深股份,002282,14.03,13.7,14.03,13.66,27293,16182046.32,2.65,-1.72,-0.24,0.54
151,2024-09-12,博深股份,002282,13.96,13.94,14.05,13.9,17562,10584108.15,1.07,-0.29,-0.04,0.35
150,2024-09-11,博深股份,002282,13.99,13.98,14.13,13.9,19476,11742668.3,1.64,-0.36,-0.05,0.39
149,2024-09-10,博深股份,002282,14.09,14.03,14.11,13.78,35201,21135441.0,2.35,-0.14,-0.02,0.7
148,2024-09-09,博深股份,002282,14.01,14.05,14.13,13.9,20782,12560458.0,1.64,0.29,0.04,0.41
147,2024-09-06,博深股份,002282,14.09,14.01,14.23,13.98,24414,14851576.76,1.76,-1.13,-0.16,0.49
146,2024-09-05,博深股份,002282,14.15,14.17,14.25,14.11,19087,11688631.0,0.99,0.14,0.02,0.38
145,2024-09-04,博深股份,002282,14.19,14.15,14.29,14.07,26160,16069393.0,1.55,-0.42,-0.06,0.52
144,2024-09-03,博深股份,002282,14.13,14.21,14.27,14.07,23921,14666431.0,1.42,0.71,0.1,0.48
143,2024-09-02,博深股份,002282,14.19,14.11,14.42,14.09,63704,39274459.12,2.31,-1.26,-0.18,1.27
