,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,辉煌科技,002296,54.37,55.25,55.99,54.37,303720,318024040.0,2.97,1.25,0.68,8.74
240,2025-01-23,辉煌科技,002296,56.68,54.57,56.92,54.27,535527,565493796.56,4.69,-3.47,-1.96,15.41
239,2025-01-22,辉煌科技,002296,56.14,56.53,58.99,55.5,811298,877167249.01,6.41,3.88,2.11,23.35
238,2025-01-21,辉煌科技,002296,54.42,54.42,54.42,54.42,76856,79469104.0,0.0,9.28,4.62,2.21
237,2025-01-20,辉煌科技,002296,49.95,49.8,50.14,49.46,117100,110113765.0,1.37,0.59,0.29,3.37
236,2025-01-17,辉煌科技,002296,48.97,49.51,49.8,48.67,121036,112514326.0,2.29,0.51,0.25,3.48
235,2025-01-16,辉煌科技,002296,49.56,49.26,50.05,48.57,152120,141521512.0,3.02,0.41,0.2,4.38
234,2025-01-15,辉煌科技,002296,49.75,49.06,50.19,48.92,145992,136176891.0,2.55,-1.68,-0.84,4.2
233,2025-01-14,辉煌科技,002296,47.49,49.9,50.14,47.49,226078,209884491.95,5.59,5.19,2.46,6.51
232,2025-01-13,辉煌科技,002296,46.85,47.44,47.74,45.72,111965,98412963.94,4.24,-0.42,-0.2,3.22
231,2025-01-10,辉煌科技,002296,48.08,47.64,49.8,47.44,201860,184737008.54,4.91,-0.92,-0.44,5.81
230,2025-01-09,辉煌科技,002296,47.44,48.08,48.33,47.3,151687,137098311.75,2.16,0.61,0.29,4.37
229,2025-01-08,辉煌科技,002296,48.23,47.79,48.28,46.36,182405,162748105.0,3.96,-1.32,-0.64,5.25
228,2025-01-07,辉煌科技,002296,47.25,48.43,48.43,47.0,151552,135997022.35,3.04,3.04,1.43,4.36
227,2025-01-06,辉煌科技,002296,47.44,47.0,48.08,46.26,131747,116547102.0,3.85,-0.53,-0.25,3.79
226,2025-01-03,辉煌科技,002296,50.54,47.25,50.73,47.15,202536,184884639.96,7.14,-5.76,-2.89,5.83
225,2025-01-02,辉煌科技,002296,51.52,50.14,52.26,49.65,181396,174525145.0,5.04,-3.24,-1.68,5.22
224,2024-12-31,辉煌科技,002296,54.42,51.82,54.71,51.77,202552,202821602.72,5.43,-4.34,-2.35,5.83
223,2024-12-30,辉煌科技,002296,55.21,54.17,55.7,53.78,207786,215008697.0,3.48,-1.71,-0.94,5.98
222,2024-12-27,辉煌科技,002296,52.6,55.11,56.92,52.26,388758,406421778.06,8.88,5.07,2.66,11.19
221,2024-12-26,辉煌科技,002296,51.82,52.45,52.9,51.72,150193,149586867.72,2.28,1.22,0.63,4.32
220,2024-12-25,辉煌科技,002296,53.19,51.82,53.58,50.83,188701,185110253.66,5.18,-2.39,-1.27,5.43
219,2024-12-24,辉煌科技,002296,51.91,53.09,53.49,51.91,208911,209182342.0,3.06,2.75,1.42,6.01
218,2024-12-23,辉煌科技,002296,54.47,51.67,54.91,51.52,260928,260371514.0,6.2,-5.56,-3.04,7.51
217,2024-12-20,辉煌科技,002296,54.17,54.71,55.11,53.49,233949,242449549.55,3.0,1.16,0.63,6.73
216,2024-12-19,辉煌科技,002296,52.75,54.08,54.32,52.75,202600,206810320.0,2.94,1.1,0.59,5.83
215,2024-12-18,辉煌科技,002296,53.04,53.49,54.57,52.01,211634,214639449.18,4.83,0.85,0.45,6.09
214,2024-12-17,辉煌科技,002296,55.94,53.04,56.14,52.75,330285,338465857.98,6.02,-5.77,-3.25,9.51
213,2024-12-16,辉煌科技,002296,58.25,56.29,58.64,55.6,332859,359426662.87,5.23,-3.2,-1.86,9.58
212,2024-12-13,辉煌科技,002296,60.07,58.15,60.07,57.96,323161,364791308.36,3.46,-4.52,-2.75,9.3
211,2024-12-12,辉煌科技,002296,60.12,60.9,62.08,59.28,401580,465372079.31,4.66,1.38,0.83,11.56
210,2024-12-11,辉煌科技,002296,58.64,60.07,60.86,58.15,379081,432307832.03,4.61,2.18,1.28,10.91
209,2024-12-10,辉煌科技,002296,60.46,58.79,61.54,58.55,549690,629650298.91,4.98,-2.13,-1.28,15.82
208,2024-12-09,辉煌科技,002296,59.28,60.07,63.56,59.14,735856,860902837.69,7.5,1.92,1.13,21.18
207,2024-12-06,辉煌科技,002296,57.66,58.94,61.49,57.27,955738,1085764741.88,7.17,0.17,0.1,27.51
206,2024-12-05,辉煌科技,002296,53.63,58.84,58.84,53.63,777616,869792683.54,9.68,9.31,5.01,22.38
205,2024-12-04,辉煌科技,002296,56.83,53.83,56.92,53.68,426839,447084833.89,5.61,-6.8,-3.93,12.29
204,2024-12-03,辉煌科技,002296,55.3,57.76,59.38,53.98,596764,640866448.93,9.68,3.53,1.97,17.18
203,2024-12-02,辉煌科技,002296,55.55,55.79,56.53,55.16,376411,398993232.26,2.49,1.23,0.68,10.83
202,2024-11-29,辉煌科技,002296,55.55,55.11,56.48,54.62,459743,484944468.52,3.32,-1.48,-0.83,13.23
201,2024-11-28,辉煌科技,002296,58.69,55.94,59.53,55.3,723039,783494066.91,7.27,-3.8,-2.21,20.81
200,2024-11-27,辉煌科技,002296,52.06,58.15,58.15,50.78,690824,712165333.96,13.86,9.33,4.96,19.88
199,2024-11-26,辉煌科技,002296,50.59,53.19,55.45,50.59,671027,679292285.16,9.54,4.44,2.26,19.31
198,2024-11-25,辉煌科技,002296,51.77,50.93,52.16,49.56,378341,360691238.6,5.11,0.1,0.05,10.89
197,2024-11-22,辉煌科技,002296,52.65,50.88,54.32,50.78,644162,642889114.98,6.69,-3.82,-2.02,18.54
196,2024-11-21,辉煌科技,002296,52.21,52.9,55.01,50.83,867110,861354673.44,8.08,2.28,1.18,24.96
195,2024-11-20,辉煌科技,002296,47.25,51.72,51.72,47.1,575140,553575272.12,9.76,9.25,4.38,16.55
194,2024-11-19,辉煌科技,002296,46.36,47.34,47.34,46.02,116576,102126910.12,2.87,2.76,1.27,3.36
193,2024-11-18,辉煌科技,002296,47.25,46.07,47.54,45.62,136863,119261495.0,4.09,-1.87,-0.88,3.94
192,2024-11-15,辉煌科技,002296,48.03,46.95,48.62,46.85,150730,135852513.0,3.69,-2.25,-1.08,4.34
191,2024-11-14,辉煌科技,002296,49.46,48.03,49.75,47.93,136409,124989836.0,3.68,-2.89,-1.43,3.93
190,2024-11-13,辉煌科技,002296,48.97,49.46,49.46,48.23,156196,144103937.06,2.5,0.61,0.3,4.5
189,2024-11-12,辉煌科技,002296,49.85,49.16,50.49,48.72,233743,218837294.64,3.56,-1.09,-0.54,6.73
188,2024-11-11,辉煌科技,002296,48.62,49.7,49.8,48.47,216070,200646463.39,2.73,2.01,0.98,6.22
187,2024-11-08,辉煌科技,002296,49.26,48.72,49.75,48.47,250851,232426388.0,2.62,-0.41,-0.2,7.22
186,2024-11-07,辉煌科技,002296,47.1,48.92,49.01,46.85,237031,214622574.52,4.57,3.42,1.62,6.82
185,2024-11-06,辉煌科技,002296,47.1,47.3,47.64,46.75,187157,166308807.1,1.89,0.64,0.3,5.39
184,2024-11-05,辉煌科技,002296,45.87,47.0,47.05,45.67,174049,152044899.0,3.0,2.24,1.03,5.01
183,2024-11-04,辉煌科技,002296,44.69,45.97,45.97,44.69,152634,130133406.0,2.86,2.86,1.28,4.39
182,2024-11-01,辉煌科技,002296,46.85,44.69,46.9,44.59,262323,223368145.0,4.91,-4.91,-2.31,7.55
181,2024-10-31,辉煌科技,002296,47.44,47.0,47.64,46.71,213032,188521581.75,1.96,-1.03,-0.49,6.13
180,2024-10-30,辉煌科技,002296,47.44,47.49,48.18,46.51,185227,165014777.5,3.47,-1.23,-0.59,5.33
179,2024-10-29,辉煌科技,002296,49.11,48.08,49.26,47.74,157012,142984983.5,3.1,-1.9,-0.93,4.52
